Verslóritgerðir	nvfn-s	Verslóritgerðir
til	ae	til
greina	nvfe	grein
við	ao	við
val	nheo	val
í	ao	í
vísitöluna	nveog	vísitala
.	.	.

Breytingar	nvfn	breyting
á	aþ	á
reglum	nvfþ	regla
um	ao	um
val	nheo	val
í	ao	í
vísitöluna	nveog	vísitala
,	,	,
sem	ct	sem
gerðar	sþgvfn	gera
voru	sfg3fþ	vera
í	aþ	í
mars	nkeþ	mars
2004	ta	2004
,	,	,
fela	sfg3fn	fela
í	aþ	í
sér	fpvfþ	sig
að	c	að
markaðsvirði	nhen	markaðsvirði
félaganna	nhfeg	félag
er	sfg3en	vera
leiðrétt	sþghen	leiðrétta
fyrir	aþ	fyrir
floti	nheþ	flot
.	.	.

Með	aþ	með
slíkri	fbveþ	slíkur
leiðréttingu	nveþ	leiðrétting
er	sfg3en	vera
reynt	sþghen	reyna
að	cn	að
tryggja	sng	tryggja
að	c	að
þau	fahfn	sá
bréf	nhfn	bréf
sem	ct	sem
að	aþ	að
baki	nheþ	bak
vísitölunni	nveþg	vísitala
standa	sfg3fn	standa
séu	svg3fn	vera
raunverulega	aa	raunverulega
aðgengileg	lhfnsf	aðgengilegur
fjárfestum	nkfþ	fjárfestir
til	ae	til
kaups	nhee	kaup
.	.	.

Þannig	aa	þannig
teljast	sfm3fn	telja
bréf	nhfn	bréf
í	aþ	í
eigu	nveþ	eiga
ráðandi	lkfeof	ráðandi
hluthafa	nkfe	hluthafi
og	c	og
innherja	nkfe	innherji
ekki	aa	ekki
vera	sng	vera
aðgengileg	lhfnsf	aðgengilegur
og	c	og
það	fphen	það
sama	fbhen	sami
gildir	sfg3en	gilda
um	ao	um
eignarhluti	nkfo	eignarhlutur
opinberra	lkfesf	opinber
aðila	nkfe	aðili
.	.	.

Á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
var	sfg3eþ	vera
bætt	sþghen	bæta
inn	aa	inn
skilyrði	nheþ	skilyrði
um	ao	um
hámarks	nhee	hámark
verðbil	nheo	verðbil
milli	ae	milli
kaup-	nhfe	kauptilboð
og	c	og
sölutilboða	nhfe	sölutilboð
og	c	og
að	c	að
allar	fovfo	allur
fréttir	nvfo	frétt
skuli	svg3fn	skulu
birta	sng	birta
samtímis	aa	samtímis
á	aþ	á
íslensku	nveþ	íslenska
og	c	og
ensku	nveþ	enska
.	.	.

Almennt	aa	almennt
hafa	sfg3fn	hafa
félög	nhfn	félag
unnið	ssg	vinna
að	aþ	að
því	fpheþ	það
að	cn	að
uppfylla	sng	uppfylla
þessi	fahfo	þessi
skilyrði	nhfo	skilyrði
og	c	og
flest	lhfnse	margur
hafa	sfg3fn	hafa
gert	ssg	gera
samninga	nkfo	samningur
um	ao	um
viðskiptavakt	nveo	viðskiptavakt
við	ao	við
kauphallaraðila	nkeo	kauphallaraðili
.	.	.

42	ta	42

Úrvalsvísitalan	nvengs	Úrvalsvísitala
1997-2006	ta	1997-2006

Mynd	nven	mynd
4.2	ta	4.2
-	-	-
Úrvalsvísitalan	nvengs	Úrvalsvísitala
1997-2006	ta	1997-2006

Hlutabréfavísitölur	nvfn	hlutabréfavísitala
Kauphallarinnar	nveegs	Kauphöll
eru	sfg3fn	vera
reiknaðar	sþgvfn	reikna
með	aþ	með
Paasche	e	Paasche
formúlu	nveþ	formúla
.	.	.

43	ta	43
Þá	aa	þá
eru	sfg3fn	vera
verðbreytingar	nvfn	verðbreyting
frá	aþ	frá
tíma	nkeþ	tími
t-1	x	t-1
til	ae	til
tíma	nkee	tími
t	x	t
vegnar	sþgvfn	vega
saman	aa	saman
með	aþ	með
flotleiðréttu	lheþsf	flotleiðréttur
markaðsverðmæti	nheþ	markaðsverðmæti
fyrirtækjanna	nhfeg	fyrirtæki
á	aþ	á
tíma	nkeþ	tími
t	x	t
.	.	.

Meðalverðbreytingin	nveng	meðalverðbreyting
sem	ct	sem
Paasche	e	Paasche
formúlan	nveng	formúla
skilar	sfg3en	skila
er	sfg3en	vera
svo	aa	svo
keðjutengd	sþgven	keðjutengja
við	ao	við
síðasta	lheove	síðari
gildi	nheo	gildi
vísitölunnar	nveeg	vísitala
.	.	.

Vísitölustig	nhen	vísitölustig
á	aþ	á
tíma	nkeþ	tími
t	x	t
er	sfg3en	vera
því	aa	því
(	(	(
jafna	nven	jafna
32	ta	32
)	)	)
þar	aa	þar
sem	c	sem
m	nhen	m
er	sfg3en	vera
fjöldi	nken	fjöldi
fyrirtækja	nhfe	fyrirtæki
í	aþ	í
grunni	nkeþ	grunnur
vísitölunnar	nveeg	vísitala
,	,	,
pi	x	pí
er	sfg3en	vera
viðmiðunarverð	nhen	viðmiðunarverð
hlutabréfs	nhee	hlutabréf
í	aþ	í
félagi	nheþ	félag
i	x	í
og	c	og
ni	x	ni
er	sfg3en	vera
nafnverð	nhen	nafnverð
hlutafjár	nhee	hlutafé
félags	nhee	félag
i	x	í
.	.	.

Paasche	e	Paasche
formúlan	nveng	formúla
notar	sfg3en	nota
þannig	aa	þannig
vogir	nvfo	vog
frá	aþ	frá
tíma	nkeþ	tími
t	x	t
til	ae	til
að	cn	að
vega	sng	vega
saman	aa	saman
verðbreytingarnar	nvfog	verðbreyting
.	.	.

Hliðstæð	lvensf	hliðstæður
formúla	nven	formúla
,	,	,
þar	aa	þar
sem	c	sem
vogir	nvfn	vog
frá	aþ	frá
tíma	nkeþ	tími
t-1	x	t-1
eru	sfg3fn	vera
notaðar	sþgvfn	nota
,	,	,
er	sfg3en	vera
kennd	sþgven	kenna
við	ao	við
Laspeyres	e	Laspeyres
og	c	og
margfeldismeðaltal	nhen	margfeldismeðaltal
Laspeyres	e	Laspeyres
vísitölu	nvee	vísitala
og	c	og
Paasche	e	Paasche
vísitölu	nvee	vísitala
gefur	sfg3en	gefa
Fisher	e	Fisher
vísitölu	nveo	vísitala
,	,	,
þ.e.	as	þ.e.
(	(	(
jafna	nven	jafna
)	)	)
.	.	.

Við	ao	við
vísitöluútreikninga	nkfo	vísitöluútreikningur
sem	ct	sem
byggja	sfg3fn	byggja
á	aþ	á
verðmælingu	nveþ	verðmæling
á	aþ	á
úrtaki	nheþ	úrtak
,	,	,
fremur	aam	fremur
en	c	en
öllum	fohfþ	allur
viðskiptum	nhfþ	viðskipti
innan	ae	innan
tímabilsins	nheeg	tímabil
kemur	sfg3en	koma
Fisher	e	Fisher
formúlan	nveng	formúla
að	aþ	að
góðum	lhfþsf	góður
notum	nhfþ	not
.	.	.

Tökum	svg1fn	taka
sem	c	sem
dæmi	nheo	dæmi
verðvísitölu	nveo	verðvísitala
fyrir	ao	fyrir
vörumarkað	nkeo	vörumarkaður
þar	aa	þar
sem	c	sem
neytendur	nkfn	neytandi
eru	sfg3fn	vera
verðþegar	nkfn	verðþegi
og	c	og
gerum	svg1fn	gera
ráð	nheo	ráð
fyrir	ao	fyrir
að	c	að
verð	nhen	verð
einnar	tfvee	einn
vöru	nvee	vara
hækki	svg3en	hækka
milli	ae	milli
tímabila	nhfe	tímabil
,	,	,
pt	x	pt
/	/	/
pt-1	x	pt-1
>	>	>
1	ta	1
.	.	.

Vegna	ae	vegna
staðkvæmdaráhrifa	nhfe	staðkvæmdaráhrif
minnkar	sfg3en	minnka
eftirspurn	nven	eftirspurn
eftir	aþ	eftir
henni	fpveþ	hún
,	,	,
þ.a	as	þ.a
.	.	.

qt	e	qt
/	/	/
qt-1	ta	qt-1
<	<	<
1	ta	1
.	.	.

Undir	aþ	undir
slíkum	fbvfþ	slíkur
kringumstæðum	nvfþ	kringumstæður
ofmetur	sfg3en	ofmeta
Laspeyres	e	Laspeyres
formúlan	nveng	formúla
verðhækkunina	nveog	verðhækkun
en	c	en
Paasche	e	Paasche
formúlan	nveng	formúla
vanmetur	sfg3en	vanmeta
hana	fpveo	hún
.	.	.

44	ta	44
Hentug	lvensf	hentugur
formúla	nven	formúla
til	ae	til
að	cn	að
reikna	sng	reikna
margfeldismeðaltal	nheo	margfeldismeðaltal
þessara	favfe	þessi
tveggja	tfvfe	tveir
vísitalna	nvfe	vísitala
og	c	og
jafna	sng	jafna
út	aa	út
bjagann	nkeog	bjagi
sem	ct	sem
fylgir	sfg3en	fylgja
þeim	fpvfþ	hún
er	sfg3en	vera
Fisher	e	Fisher
formúla	nven	formúla
.	.	.

Fisher	e	Fisher
vísitalan	nveng	vísitala
telst	sfm3en	telja
til	ae	til
afburðarvísitalna	nvfe	afburðarvísitala
(	(	(
e.	as	e.
superlative	e	superlative
index	e	index
)	)	)
og	c	og
hefur	sfg3en	hafa
formúla	nven	formúla
hennar	fpvee	hún
ýmsa	fokfo	ýmis
ákjósanlega	lkfosf	ákjósanlegur
eiginleika	nkfo	eiginleiki
umfram	ao	umfram
aðrar	fovfo	annar
meðaltalsformúlur	nvfo	meðaltalsformúla
.	.	.

Til	ae	til
dæmis	nhee	dæmi
má	sfg3en	mega
nefna	sng	nefna
að	c	að
hún	fpven	hún
hefur	sfg3en	hafa
réttan	lkeosf	réttur
viðsnúning	nkeo	viðsnúningur
í	aþ	í
tíma	nkeþ	tími
.	.	.

Fyrir	ao	fyrir
verð	nheo	verð
(	(	(
p	nhen	p
)	)	)
og	c	og
magn	nhen	magn
(	(	(
q	x	q
)	)	)
frá	aþ	frá
einum	fokeþ	einn
tímapunkti	nkeþ	tímapunktur
til	ae	til
annars	fokee	annar
(	(	(
t	x	t
=	=	=
0	ta	0
og	c	og
t	x	t
=	=	=
1	ta	1
)	)	)
er	sfg3en	vera
IF	x	if
(	(	(
p0	x	p0
,	,	,
q0	x	q0
,	,	,
p1	x	p1
,	,	,
q1	x	q1
)	)	)
=	=	=
1/IF	x	1/if
(	(	(
p1	x	p1
,	,	,
q1	x	q1
,	,	,
p0	x	p0
,	,	,
q0	x	q0
)	)	)
,	,	,
eiginleiki	nken	eiginleiki
sem	ct	sem
m.a.	as	m.a.
Laspeyres	e	Laspeyres
og	c	og
Paasche	e	Paasche
formúlurnar	nvfng	formúla
hafa	sfg3fn	hafa
ekki	aa	ekki
.	.	.

45	ta	45
Fyrir	ao	fyrir
vísitölu	nveo	vísitala
eins	aa	eins
og	c	og
Úrvalsvísitöluna	nveogs	Úrvalsvísitala
er	sfg3en	vera
þetta	fahen	þessi
vandamál	nhen	vandamál
ekki	aa	ekki
til	ae	til
staðar	nkee	staður
þar	aa	þar
sem	c	sem
ekki	aa	ekki
er	sfg3en	vera
gert	sþghen	gera
mat	nhen	mat
á	aþ	á
vægi	nheþ	vægi
hvers	fohee	hver
félags	nhee	félag
í	aþ	í
heildarmarkaðsverðmæti	nheþ	heildarmarkaðsverðmæti
,	,	,
heldur	c	heldur
er	sfg3en	vera
vægið	nheng	vægi
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
þekkt	lhensf	þekktur
.	.	.

Öll	fohfn	allur
viðskipti	nhfn	viðskipti
í	aþ	í
Kauphöllinni	nveþgs	Kauphöll
eru	sfg3fn	vera
milli	ae	milli
skráðra	lkfesf	skráður
kauphallaraðila	nkfe	kauphallaraðili
og	c	og
uppgjör	nhen	uppgjör
viðskipta	nhfe	viðskipti
fer	sfg3en	fara
fram	aa	fram
hjá	aþ	hjá
Verðbréfaskráningu	nveþ-s	Verðbréfaskráning
Íslands	nhee-s	Ísland
.	.	.

4.3	ta	4.3
Tölfræðilegir	lkfnsf	tölfræðilegur
eiginleikar	nkfn	eiginleiki
Úrvalsvísitölunnar	nveegs	Úrvalsvísitala
Í	aþ	í
þessari	faveþ	þessi
ritgerð	nveþ	ritgerð
er	sfg3en	vera
litið	sþghen	líta
yfir	ao	yfir
þróun	nveo	þróun
Úrvalsvísitölunnar	nveegs	úrvalsvísitala
á	aþ	á
10	ta	10
ára	nhfe	ár
tímabili	nheþ	tímabil
,	,	,
frá	aþ	frá
ársbyrjun	nveþ	ársbyrjun
1997	ta	1997
til	ae	til
ársloka	nhfe	árslok
2006	ta	2006
,	,	,
alls	fohee	allur
2.481	ta	2.481
viðskiptadagur	nken	viðskiptadagur
.	.	.

Dagleg	lvensf	daglegur
ávöxtun	nven	ávöxtun
er	sfg3en	vera
reiknuð	sþgven	reikna
sem	ct	sem
logri	nken	logri
breytingar	nvee	breyting
vísitölustigsins	nheeg	vísitölustig
samkvæmt	aþ	samkvæmt
jöfnu	nveþ	jafna
31	ta	31
.	.	.

Engin	foven	enginn
leiðrétting	nven	leiðrétting
er	sfg3en	vera
gerð	sþgven	gera
hér	aa	hér
vegna	ae	vegna
helga	nvfe	helgi
og	c	og
frídaga	nkfe	frídagur
,	,	,
þ.e.	as	þ.e.
ávöxtun	nven	ávöxtun
frá	aþ	frá
dagslokum	nhfþ	dagslok
föstudags	nkee	föstudagur
til	ae	til
mánudags	nkee	mánudagur
er	sfg3en	vera
reiknuð	sþgven	reikna
á	ao	á
sama	fbkeo	samur
hátt	nkeo	háttur
og	c	og
ávöxtun	nven	ávöxtun
frá	aþ	frá
dagslokum	nhfþ	dagslok
mánudags	nkee	mánudagur
til	ae	til
þriðjudags	nkee	þriðjudagur
.	.	.

Kosturinn	nkeng	kostur
við	ao	við
formúluna	nveog	formúla
í	aþ	í
jöfnu	nveþ	jafna
31	ta	31
umfram	ao	umfram
hina	gveo	hinn
hefðbundnu	lveovf	hefðbundinn
formúlu	nveo	formúla
fyrir	ao	fyrir
ávöxtun	nveo	ávöxtun
,	,	,
1+Rt	x	1+rt
=	=	=
Pt	x	pt
/	/	/
Pt-1	x	pt-1
,	,	,
er	sfg3en	vera
einna	fohfe	einn
helst	aae	heldur
sá	faken	sá
að	c	að
auðvelt	lhensf	auðveldur
er	sfg3en	vera
að	cn	að
reikna	sng	reikna
samsetta	lkfosf	samsettur
vexti	nkfo	vöxtur
.	.	.

Ef	c	ef
rt	x	rt
er	sfg3en	vera
ávöxtun	nven	ávöxtun
á	aþ	á
degi	nkeþ	dagur
t	x	t
,	,	,
reiknuð	sþgven	reikna
með	aþ	með
jöfnu	nveþ	jafna
31	ta	31
,	,	,
og	c	og
k	nhen	k
dagar	nkfn	dagur
eru	sfg3fn	vera
í	aþ	í
mánuði	nkeþ	mánuður
,	,	,
þá	aa	þá
er	sfg3en	vera
mánaðarleg	lvensf	mánaðarlegur
ávöxtun	nven	ávöxtun
jöfn	lvensf	jafn
summu	nveþ	summa
mælinganna	nvfeg	mæling
fyrir	ao	fyrir
hvern	fokeo	hver
dag	nkeo	dagur
mánaðarins	nkeeg	mánuður
því	fpheþ	það
reikniregla	nven	reikniregla
fyrir	ao	fyrir
logra	nkfo	logri
segir	sfg3en	segja
að	c	að
(	(	(
jafna	nven	jafna
33	ta	33
)	)	)
.	.	.

Tafla	nven	tafla
4.2	ta	4.2
sýnir	sfg3en	sýna
helstu	lkfove	heldri
tölfræðilegu	lkfovf	tölfræðilegur
eiginleika	nkfo	eiginleiki
gagnanna	nhfeg	gagn
fyrir	ao	fyrir
tímabilið	nheog	tímabil
í	aþ	í
heild	nveþ	heild
en	c	en
einnig	aa	einnig
fyrir	ao	fyrir
fyrri	lkeovm	fyrri
og	c	og
seinni	lkeovm	seinn
helming	nkeo	helmingur
tímabilsins	nheeg	tímabil
.	.	.

Það	fahen	sá
sem	ct	sem
vekur	sfg3en	vekja
helst	aae	heldur
athygli	nveo	athygli
er	sfg3en	vera
að	c	að
reisn	nven	reisn
mælist	sfm3en	mæla
há	lvensf	hár
,	,	,
7,16	ta	7,16
fyrir	ao	fyrir
allt	foheo	allur
tímabilið	nheog	tímabil
.	.	.

Slíkt	fbhen	slíkur
er	sfg3en	vera
dæmigert	lhensf	dæmigerður
fyrir	ao	fyrir
fjármálatímaraðir	nvfo	fjármálatímaröð
sem	ct	sem
hafa	sfg3fn	hafa
jafnan	aa	jafnan
mun	nkeþ	munur
hærri	lveovm	hár
reisn	nveo	reisn
en	c	en
normaldreifð	lhfnsf	normaldreifður
ferli	nhfn	ferli
,	,	,
en	c	en
fyrir	ao	fyrir
normaldreift	lheosf	normaldreifður
ferli	nheo	ferli
er	sfg3en	vera
vænt	lhensf	vænn
reisn	nven	reisn
3	ta	3
.	.	.

Útgildi	nhfn	útgildi
eru	sfg3fn	vera
því	aa	því
bæði	c	bæði
stærri	lhfnvm	stór
og	c	og
tíðari	lhfnvm	tíður
en	c	en
búast	snm	búa
mætti	svg3eþ	mega
við	aa	við
ef	c	ef
ávöxtun	nven	ávöxtun
væri	svg3eþ	vera
normaldreifð	lvensf	normaldreifður
.	.	.

Tafla	nven	tafla
4.2	ta	4.2

MYND	nven	mynd
4.3	ta	4.3
MYND	nven	mynd
4.4	ta	4.4
Á	aþ	á
mynd	nveþ	mynd
4.3	ta	4.3
eru	sfg3fn	vera
hlutfallsmörk	nhfn	hlutfallsmark
ávöxtunar	nvee	ávöxtun
úrvalsvísitölunnar	nveeg	úrvalsvísitala
borin	sþghfn	bera
saman	aa	saman
við	ao	við
hlutfallsmörk	nhfo	hlutfallsmark
normaldreifingar	nvee	normaldreifing
.	.	.

Kúrfan	nveng	kúrfa
sem	ct	sem
myndast	sfm3en	mynda
er	sfg3en	vera
S-laga	lvenof	s-laga
og	c	og
stór	lkensf	stór
hluti	nken	hluti
punktanna	nkfeg	punktur
fellur	sfg3en	falla
utan	aa	utan
við	ao	við
beinu	lveovf	beinn
viðmiðunarlínuna	nveog	viðmiðunarlína
.	.	.

Þessi	faven	þessi
mynd	nven	mynd
gefur	sfg3en	gefa
til	ae	til
kynna	nhfe	kynni
að	c	að
dreifing	nven	dreifing
ávöxtunar	nvee	ávöxtun
Úrvalsvísitölunnar	nveegs	Úrvalsvísitala
hafi	svg3en	hafa
mun	nkeþ	munur
meiri	lveovm	mikill
reisn	nveo	reisn
en	c	en
ferli	nhfn	ferli
normaldreifðra	lvfesf	normaldreifður
hendinga	nvfe	hending
.	.	.

Kúrfan	nveng	kúrfa
tekur	sfg3en	taka
ekki	aa	ekki
á	ao	á
sig	fpveo	sig
U-laga	lheoof	U-laga
form	nheo	form
,	,	,
sem	ct	sem
gæfi	svg3eþ	gefa
til	ae	til
kynna	nhfe	kynni
að	c	að
dreifingin	nveng	dreifing
væri	svg3eþ	vera
ósamhverf	lvensf	ósamhverfur
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
niðurstöðurnar	nvfog	niðurstaða
í	aþ	í
töflu	nveþ	tafla
4.2	ta	4.2
hér	aa	hér
að	aa	að
ofan	aa	ofan
,	,	,
þar	aa	þar
sem	c	sem
reisn	nven	reisn
var	sfg3eþ	vera
metin	sþgven	meta
7,16	ta	7,16
og	c	og
skakki	nken	skakki
nálægt	aþ	nálægt
núlli	nheþ	núll
,	,	,
-0,28	ta	-0,28
.	.	.

Mynd	nven	mynd
4.4	ta	4.4
sýnir	sfg3en	sýna
hlutfallsmörk	nhfo	hlutfallsmark
fyrri	lkeevm	fyrri
helmings	nkee	helmingur
gagnanna	nhfeg	gagn
borin	lhfosf	borinn
saman	aa	saman
við	ao	við
seinni	lkeovm	seinn
helming	nkeo	helmingur
þeirra	fphfe	það
,	,	,
árin	nhfog	ár
1997	ta	1997
til	aa	til
2001	ta	2001
annars	fokee	annar
vegar	nkee	vegur
og	c	og
2002	ta	2002
til	aa	til
2006	ta	2006
hins	fakee	hinn
vegar	nkee	vegur
.	.	.

Aðeins	aa	aðeins
örfáir	lkfnsf	örfár
punktar	nkfn	punktur
falla	sfg3fn	falla
utan	ae	utan
beinu	lveevf	beinn
línunnar	nveeg	lína
og	c	og
myndin	nveng	mynd
gefur	sfg3en	gefa
ekki	aa	ekki
tilefni	nheo	tilefni
til	ae	til
að	cn	að
ætla	sng	ætla
að	c	að
dreifing	nven	dreifing
ávöxtunar	nvee	ávöxtun
sé	svg3en	vera
ólík	lvensf	ólíkur
milli	ae	milli
tímabila	nhfe	tímabil
.	.	.

Tafla	nven	tafla
4.3	ta	4.3
sýnir	sfg3en	sýna
sjálffylgnifall	nheo	sjálffylgnifall
ávöxtunar	nvee	ávöxtun
,	,	,
fyrstu	lhfove	fyrstur
fimm	tfhfo	fimm
gildi	nhfo	gildi
.	.	.

Fyrstu	lveeve	fyrstur
gráðu	nvee	gráða
sjálffylgnin	nveng	sjálffylgni
mælist	sfm3en	mæla
hæst	lvense	hár
og	c	og
sjálffylgnin	nveng	sjálffylgni
fer	sfg3en	fara
svo	aa	svo
lækkandi	slg	lækka
en	c	en
þó	aa	þó
mælist	sfm3en	mæla
annarar	x	annar
gráðu	nvee	gráða
sjálffylgni	nven	sjálffylgni
marktæk	lvensf	marktækur
ef	c	ef
miðað	sþghen	miða
er	sfg3en	vera
við	ao	við
þrjú	tfhfo	þrír
staðalfrávik	nhfo	staðalfrávik
.	.	.

Sjálffylgni	nven	sjálffylgni
mælist	sfm3en	mæla
hærri	lvenvm	hár
yfir	ao	yfir
seinna	lheovm	seinn
tímabilið	nheog	tímabil
.	.	.

Úrvalsvísitala	nven-s	Úrvalsvísitala
-	-	-
dagleg	lvensf	daglegur
ávöxtun	nven	ávöxtun
-	-	-
1997-2006	ta	1997-2006

Tafla	nven	tafla
4.3	ta	4.3

Það	fphen	það
er	sfg3en	vera
nokkuð	fohen	nokkur
algengt	lhensf	algengur
að	c	að
sjálffylgni	nven	sjálffylgni
finnist	svm3en	finna
í	aþ	í
ávöxtunargögnum	nhfþ	ávöxtunargögn
.	.	.

Sjálffylgnin	nveng	sjálffylgni
veldur	sfg3en	valda
því	fpheþ	það
að	c	að
ávöxtun	nven	ávöxtun
er	sfg3en	vera
upp	aa	upp
að	aþ	að
vissu	lheþsf	viss
marki	nheþ	mark
fyrirsjáanleg	lvensf	fyrirsjáanlegur
og	c	og
ávöxtunarferlið	nheng	ávöxtunarferli
er	sfg3en	vera
ekki	aa	ekki
hvítt	lhensf	hvítur
suð	nhen	suð
.	.	.

Ýmsir	fokfn	ýmis
þættir	nkfn	þáttur
geta	sfg3fn	geta
valdið	ssg	valda
sjálffylgni	nveþ	sjálffylgni
í	aþ	í
fjármálatímaröðum	nvfþ	fjármálatímaröð
og	c	og
oft	aa	oft
er	sfg3en	vera
reynt	sþghen	reyna
að	cn	að
taka	sng	taka
tillit	nheo	tillit
til	ae	til
þeirra	fpkfe	hann
þegar	c	þegar
unnið	sþghen	vinna
er	sfg3en	vera
með	ao	með
eignaverðslíkön	nhfo	eignaverðslíkan
.	.	.

Þegar	c	þegar
um	ao	um
er	sfg3en	vera
að	cn	að
ræða	sng	ræða
sjálffylgni	nveo	sjálffylgni
í	aþ	í
ávöxtun	nveþ	ávöxtun
hlutabréfavísitölu	nvee	hlutabréfavísitala
en	c	en
ekki	aa	ekki
hlutabréfum	nhfþ	hlutabréf
eins	tfhee	einn
fyrirtækis	nhee	fyrirtæki
þá	aa	þá
getur	sfg3en	geta
ástæðan	nveng	ástæða
m.a.	as	m.a.
einfaldlega	aa	einfaldlega
verið	ssg	vera
sú	faven	sá
að	c	að
viðskipti	nhfn	viðskipti
með	ao	með
bréf	nhfo	bréf
félaganna	nhfeg	félag
í	aþ	í
vísitölunni	nveþg	vísitala
verða	sfg3fn	verða
ekki	aa	ekki
með	aþ	með
samstilltum	lkeþsf	samstilltur
hætti	nkeþ	háttur
(	(	(
e.	as	e.
non-synchronous	e	non-synchronous
trading	e	trading
)	)	)
.	.	.

Hlutabréf	nhfn	hlutabréf
eins	tfhee	einn
félags	nhee	félag
skipta	sfg3fn	skipta
um	ao	um
hendur	nvfo	hönd
oftar	aam	oft
en	c	en
hlutabréf	nhfn	hlutabréf
annars	aa	annars
en	c	en
verðmæling	nven	verðmæling
fyrir	ao	fyrir
vísitöluna	nveog	vísitala
fer	sfg3en	fara
þó	aa	þó
alltaf	aa	alltaf
fram	aa	fram
með	aþ	með
jöfnu	lheþsf	jafn
millibili	nheþ	millibil
.	.	.

Til	ae	til
dæmis	nhee	dæmi
gæti	svg3eþ	geta
frétt	nven	frétt
birtst	ssm	birta
seinni	lkeovm	seinn
part	nkeo	partur
dags	nkee	dagur
sem	ct	sem
hefur	sfg3en	hafa
almennt	aa	almennt
áhrif	nhfo	áhrif
til	ae	til
hækkunar	nvee	hækkun
á	aþ	á
hlutabréfum	nhfþ	hlutabréf
.	.	.

Segjum	svg1fn	segja
sem	ct	sem
svo	aa	svo
að	c	að
viðskipti	nhfn	viðskipti
verði	svg3fn	verða
með	ao	með
bréf	nhfo	bréf
helmings	nkee	helmingur
félaganna	nhfeg	félag
fyrir	ao	fyrir
lokun	nveo	lokun
þann	fakeo	sá
daginn	nkeog	dagur
en	c	en
hinn	faken	hinn
helmingurinn	nkeng	helmingur
bætist	svm3en	bæta
svo	aa	svo
við	aa	við
daginn	nkeog	dagur
eftir	aa	eftir
.	.	.

Viðskiptin	nhfng	viðskipti
sem	ct	sem
fara	sfg3fn	fara
fram	aa	fram
uppfæra	sfg3fn	uppfæra
verð	nheo	verð
bréfanna	nhfeg	bréf
með	aþ	með
hliðsjón	nveþ	hliðsjón
af	aþ	af
fréttinni	nveþg	frétt
.	.	.

Þannig	aa	þannig
kemur	sfg3en	koma
hækkunin	nveng	hækkun
fram	aa	fram
í	aþ	í
tveim	tfhfþ	tveir
skrefum	nhfþ	skref
þó	aa	þó
fréttin	nveng	frétt
sé	svg3en	vera
birt	sþgven	birta
öllum	fokfþ	allur
á	aþ	á
sama	fbkeþ	sami
tímapunkti	nkeþ	tímapunktur
og	c	og
þessar	favfn	þessi
tvær	tfvfn	tveir
hækkanir	nvfn	hækkun
í	aþ	í
röð	nveþ	röð
gefa	sfg3fn	gefa
merki	nheo	merki
um	ao	um
sjálffylgni	nveo	sjálffylgni
.	.	.

Verðmæti	nhen	verðmæti
eigna	nvfe	eign
á	aþ	á
markaði	nkeþ	markaður
breytist	sfm3en	breyta
stöðugt	aa	stöðugt
þegar	c	þegar
nýjar	lvfnsf	nýr
fréttir	nvfn	frétt
berast	sfm3fn	bera
fjárfestum	nkfþ	fjárfestir
en	c	en
það	fahen	sá
verð	nhen	verð
eignar	nvee	eign
sem	ct	sem
notað	sþghen	nota
er	sfg3en	vera
við	ao	við
útreikning	nkeo	útreikningur
vísitölu	nvee	vísitala
er	sfg3en	vera
síðasta	lhenve	síðari
skráða	lhenvf	skráður
verð	nhen	verð
hennar	fpvee	hún
í	aþ	í
viðskiptum	nhfþ	viðskipti
.	.	.

Það	fphen	það
að	c	að
verðbreytingar	nvfn	verðbreyting
og	c	og
viðskipti	nhfn	viðskipti
verða	sfg3fn	verða
ekki	aa	ekki
með	aþ	með
samstilltum	lkeþsf	samstilltur
hætti	nkeþ	háttur
og	c	og
viðskipti	nhfn	viðskipti
með	ao	með
bréf	nhfo	bréf
ólíkra	lhfesf	ólíkur
félaga	nhfe	félag
eru	sfg3fn	vera
mis	aa	mis
tíð	lhfnsf	tíður
getur	sfg3en	geta
valdið	ssg	valda
mælanlegri	lveþsf	mælanlegur
sjálffylgni	nveþ	sjálffylgni
í	aþ	í
ávöxtun	nveþ	ávöxtun
hlutabréfavísitölu	nvee	hlutabréfavísitala
.	.	.

Sjálffylgni	nven	sjálffylgni
Úrvalsvísitölunnar	nveegs	Úrvalsvísitala

Mynd	nven	mynd
4.5	ta	4.5
-	-	-
Sjálffylgni	nven	sjálffylgni
Úrvalsvísitölunnar	nveegs	Úrvalsvísitala

Til	ae	til
að	cn	að
kanna	sng	kanna
hvort	c	hvort
merki	nhen	merki
um	ao	um
ARCH	e	ARCH
áhrif	nhfo	áhrif
finnist	svm3en	finna
í	aþ	í
gögnunum	nhfþg	gagn
var	sfg3eþ	vera
aðferðin	nveng	aðferð
sem	ct	sem
lýst	sþghen	lýsa
var	sfg3eþ	vera
í	aþ	í
kafla	nkeþ	kafli
