slíkan	fbkeo	slíkur
d.	as	d.
16.	ta	16.
nóvember	nkeo	nóvember
1984	ta	1984
.	.	.
Systir	nven	systir
hennar	fpvee	hún
er	sfg3en	vera
Aðalbjörg	nven-s	Aðalbjörg
Hólmgeirsdóttir	nven-s	Hólmgeirsdóttir
,	,	,
f.	as	f.
17.	ta	17.
ágúst	nkeo	ágúst
1940	ta	1940
.	.	.
Eyvör	nven-s	Eyvör
giftist	sfm3eþ	gifta
8.	ta	8.
nóvember	nkeo	nóvember
1958	ta	1958
eftirlifandi	lkeþof	eftirlifandi
eiginmanni	nkeþ	eiginmaður
sínum	fekeþ	sinn
,	,	,
Steingrími	nkeþ-s	Steingrímur
Helgasyni	nkeþ-s	Helgason
,	,	,
stórkaupmanni	nkeþ	stórkaupmaður
,	,	,
f.	as	f.
12.	ta	12.
nóvember	nkeo	nóvember
1922	ta	1922
.	.	.
Börn	nhfn	barn
þeirra	fphfe	það
eru	sfg3fn	vera
:	:	:
1	ta	1
)	)	)
Unnur	nven-s	Unnur
Heba	nven-s	Heba
,	,	,
f.	as	f.
1959	ta	1959
,	,	,
gift	lvensf	giftur
Hafþóri	nkeþ-s	Hafþór
Aðalsteinssyni	nkeþ-s	Aðalsteinsson
,	,	,
sonur	nken	sonur
þeirra	fphfe	það
er	sfg3en	vera
Bjarki	nken-s	Bjarki
,	,	,
f.	as	f.
1990	ta	1990
,	,	,
Steingrím	nkeo-s	Steingrímur
Arnar	nkeo-s	Arnar
,	,	,
f.	as	f.
1986	ta	1986
,	,	,
átti	sfg3eþ	eiga
Unnur	nven-s	Unnur
Heba	nven-s	Heba
fyrir	aa	fyrir
.	.	.
2	ta	2
)	)	)
Helga	nven-s	Helga
Guðrún	nven-s	Guðrún
,	,	,
f.	as	f.
1960	ta	1960
,	,	,
gift	lvensf	giftur
Eiríki	nkeþ-s	Eiríkur
Haukssyni	nkeþ-s	Hauksson
,	,	,
dætur	nvfn	dóttir
þeirra	fphfe	það
eru	sfg3fn	vera
Hildur	nven-s	Hildur
,	,	,
f.	as	f.
1980	ta	1980
og	c	og
Eyrún	nven-s	Eyrún
Helga	nven-s	Helga
,	,	,
f.	as	f.
1987	ta	1987
.	.	.
3	ta	3
)	)	)
Jón	nken-s	Jón
Hólmgeir	nken-s	Hólmgeir
,	,	,
f.	as	f.
1963	ta	1963
,	,	,
kvæntur	lkensf	kvæntur
Soffíu	nveþ-s	Soffía
Hilmarsdóttur	nveþ-s	Hilmarsdóttir
,	,	,
börn	nhfn	barn
þeirra	fphfe	það
eru	sfg3fn	vera
Hilmar	nken-s	Hilmar
,	,	,
f.	as	f.
1987	ta	1987
,	,	,
Ólafur	nken-s	Ólafur
Helgi	nken-s	Helgi
,	,	,
f.	as	f.
1992	ta	1992
og	c	og
Eyvör	nven-s	Eyvör
Halla	nven-s	Halla
,	,	,
f.	as	f.
1999	ta	1999
.	.	.
4	ta	4
)	)	)
Ingunn	nven-s	Ingunn
,	,	,
f.	as	f.
1966	ta	1966
,	,	,
í	aþ	í
sambúð	nveþ	sambúð
með	aþ	með
Sveinbirni	nkeþ-s	Sveinbjörn
Auðunssyni	nkeþ-s	Auðunsson
,	,	,
börn	nhfn	barn
þeirra	fphfe	það
eru	sfg3fn	vera
Dagný	nven-s	Dagný
,	,	,
f.	as	f.
1993	ta	1993
og	c	og
Einar	nken-s	Einar
,	,	,
f.	as	f.
1996	ta	1996
.	.	.
Eyvör	nven-s	Eyvör
lauk	sfg3eþ	ljúka
stúdentsprófi	nheþ	stúdentspróf
frá	aþ	frá
Verslunarskóla	nkeþ-s	Verslunarskóli
Íslands	nhee-s	Ísland
1957	ta	1957
.	.	.
Hún	fpven	hún
vann	sfg3eþ	vinna
við	ao	við
ýmis	fohfo	ýmis
verslunar-	nhfo	verslunarstarf
og	c	og
skrifstofustörf	nhfo	skrifstofustarf
en	c	en
lengst	aae	lengi
af	aa	af
rak	sfg3eþ	reka
hún	fpven	hún
fyrirtæki	nheo	fyrirtæki
ásamt	aþ	ásamt
eiginmanni	nkeþ	eiginmaður
sínum	fekeþ	sinn
.	.	.
Útför	nven	útför
Eyvarar	nvee-s	Eyvör
fer	sfg3en	fara
fram	aa	fram
frá	aþ	frá
Langholtskirkju	nveþ-s	Langholtskirkja
í	ao	í
dag	nkeo	dagur
og	c	og
hefst	sfm3en	hefja
athöfnin	nveng	athöfn
klukkan	nveng	klukka
15:00	ta	15:00
.	.	.
Nú	aa	nú
legg	sfg1en	leggja
ég	fp1en	ég
augun	nhfog	auga
aftur	aa	aftur
,	,	,
ó	au	ó
Guð	nken-s	Guð
þinn	feken	þinn
náðarkraftur	nken	náðarkraftur
mín	feven	minn
veri	svg3en	vera
vörn	nven	vörn
í	ao	í
nótt	nveo	nótt
.	.	.
Æ	au	æ
,	,	,
virst	sbm2en	virða
mér	fp1eþ	ég
að	aþ	að
þér	fp2eþ	þú
taka	sng	taka
,	,	,
mér	fp1eþ	ég
yfir	aþ	yfir
láttu	sbg2en	láta
vaka	sng	vaka
þinn	fekeo	þinn
engil	nkeo	engill
svo	aa	svo
ég	fp1en	ég
sofi	svg1en	sofa
rótt	aa	rótt
.	.	.
(	(	(
Sveinbjörn	nken-s	Sveinbjörn
Egilsson	nken-s	Egilsson
)	)	)
Elsku	nvee	elska
mamma	nven	mamma
!	!	!
Þú	fp2en	þú
varst	sfg2eþ	vera
hvers	fokee	hver
manns	nkee	maður
hugljúfi	nken	hugljúfi
.	.	.
Þau	fahfn	sá
orð	nhfn	orð
koma	sfg3fn	koma
fyrst	aae	fyrr
upp	aa	upp
í	ao	í
hugann	nkeog	hugi
þegar	c	þegar
ég	fp1en	ég
sest	sfm1en	setja
niður	aa	niður
til	ae	til
að	cn	að
skrifa	sng	skrifa
mín	fehfo	minn
hinstu	lhfove	hinstur
orð	nhfo	orð
til	ae	til
þín	fp2ee	þú
,	,	,
eftir	ao	eftir
andlát	nheo	andlát
þitt	feheo	þinn
21.	ta	21.
nóvember	nkeo	nóvember
sl.	as	sl.
Svo	aa	svo
skammt	lhensf	skammur
síðan	aa	síðan
en	c	en
samt	aa	samt
svo	aa	svo
langt	lhensf	langur
.	.	.
Eins	aa	eins
og	c	og
það	fphen	það
hafi	svg3en	hafa
legið	ssg	liggja
fyrir	aa	fyrir
lengi	aa	lengi
en	c	en
bara	aa	bara
ekki	aa	ekki
verið	ssg	vera
heyrinkunnugt	lhensf	heyrinkunnugur
fyrr	aam	fyrr
.	.	.
Sem	c	sem
betur	aam	vel
fór	sfg3eþ	fara
fyrir	ao	fyrir
þig	fp2eo	þú
var	sfg3eþ	vera
banalegan	nveng	banalega
stutt	lvensf	stuttur
en	c	en
sjúkdómsstríðið	nheng	sjúkdómsstríð
var	sfg3eþ	vera
langt	lhensf	langur
og	c	og
strangt	lhensf	strangur
í	aþ	í
augum	nhfþ	auga
okkar	fp1fe	ég
ástvinanna	nkfeg	ástvinur
.	.	.
Erfitt	lhensf	erfiður
reyndist	sfm3eþ	reyna
að	cn	að
festa	sng	festa
hönd	nveo	hönd
á	aþ	á
meininu	nheþg	mein
og	c	og
varnarúrræði	nhfn	varnarúrræði
virtust	sfm3fþ	virða
haldlítil	lhfnsf	haldlítill
.	.	.
Þrátt	aa	þrátt
fyrir	ao	fyrir
það	fpheo	það
bárum	sfg1fþ	bera
við	fp1fn	ég
ástvinir	nkfn	ástvinur
þínir	fekfn	þinn
alltaf	aa	alltaf
von	nveo	von
í	aþ	í
brjósti	nheþ	brjóst
um	ao	um
að	c	að
bati	nken	bati
væri	svg3eþ	vera
framundan	aa	framundan
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ekki	aa	ekki
síst	aae	síður
vegna	ae	vegna
þess	fphee	það
að	c	að
þú	fp2en	þú
varst	sfg2eþ	vera
baráttukona	nven	baráttukona
sem	ct	sem
með	ao	með
þína	feveo	þinn
léttu	lveovf	léttur
lund	nveo	lund
að	aþ	að
vopni	nheþ	vopn
stóðst	sfm2eþ	standa
af	aþ	af
þér	fp2eþ	þú
hvert	foheo	hver
reiðarslagið	nheog	reiðarslag
á	ao	á
fætur	nkfo	fótur
öðru	foheþ	annar
.	.	.
Lundarfar	nhen	lundarfar
þitt	fehen	þinn
,	,	,
jákvætt	lhensf	jákvæður
viðhorf	nhen	viðhorf
og	c	og
jafnaðargeð	nhen	jafnaðargeð
var	sfg3eþ	vera
líka	aa	líka
það	fahen	sá
sem	ct	sem
laðaði	sfg3eþ	laða
fólk	nheo	fólk
að	aþ	að
þér	fp2eþ	þú
.	.	.
Það	fphen	það
virtist	sfm3eþ	virða
vera	sng	vera
sama	fbhen	sami
hvernig	aa	hvernig
þér	fp2eþ	þú
leið	sfg3eþ	líða
þetta	faheo	þessi
síðasta	lheove	síðari
ár	nheo	ár
,	,	,
alltaf	aa	alltaf
varstu	sfg2eþ	vera
jákvæð	lvensf	jákvæður
.	.	.
Liði	svg3eþ	líða
þér	fp2eþ	þú
illa	aa	illa
sagðirðu	sfg2eþ	segja
bara	aa	bara
að	c	að
þetta	fahen	þessi
væri	svg3eþ	vera
allt	fohen	allur
að	cn	að
koma	sng	koma
.	.	.
Það	fphen	það
hefur	sfg3en	hafa
líka	aa	líka
örugglega	aa	örugglega
reynt	ssg	reyna
á	ao	á
þolmæðina	nveog	þolmæði
að	c	að
fólk	nhen	fólk
var	sfg3eþ	vera
stöðugt	aa	stöðugt
að	cn	að
minna	sng	minna
þig	fp2eo	þú
á	ao	á
að	cn	að
borða	sng	borða
,	,	,
ég	fp1en	ég
meðtalinn	lkensf	meðtalinn
,	,	,
meðan	c	meðan
þú	fp2en	þú
einfaldlega	aa	einfaldlega
gast	sfg2eþ	geta
það	fpheo	það
ekki	aa	ekki
.	.	.
Þú	fp2en	þú
skildir	sfg2eþ	skilja
hins	fakee	hinn
vegar	nkee	vegur
áhyggjur	nvfo	áhyggja
fólks	nhee	fólk
og	c	og
sagðist	sfm2eþ	segja
skyldu	sng	skulu
gera	sng	gera
þitt	feheo	þinn
besta	lheove	góður
þó	aa	þó
það	fphen	það
væri	svg3eþ	vera
þér	fp2eþ	þú
þrekraun	nven	þrekraun
næstum	aa	næstum
því	fpheþ	það
í	ao	í
hvert	foheo	hver
sinn	nheo	sinn
sem	ct	sem
þú	fp2en	þú
mataðist	sfm2eþ	mata
.	.	.
Já	au	já
,	,	,
hvernig	aa	hvernig
var	sfg3eþ	vera
hægt	lhensf	hægur
annað	fohen	annar
en	c	en
að	cn	að
laðast	snm	laða
að	aþ	að
þér	fp2eþ	þú
.	.	.
Ég	fp1en	ég
man	sfg1en	muna
varla	aa	varla
eftir	aþ	eftir
að	c	að
þú	fp2en	þú
hafir	svg2en	hafa
skipt	ssg	skipta
skapi	nheþ	skap
,	,	,
þú	fp2en	þú
áttir	sfg2eþ	eiga
stutt	lheosf	stuttur
í	ao	í
hláturinn	nkeog	hlátur
,	,	,
varst	sfg2eþ	vera
þolinmóður	lkensf	þolinmóður
og	c	og
athugull	lkensf	athugull
hlustandi	nken	hlustandi
,	,	,
hjálpsöm	lvensf	hjálpsamur
og	c	og
gjafmild	lvensf	gjafmildur
.	.	.
Ég	fp1en	ég
þykist	sfm1en	þykja
vita	sng	vita
að	c	að
það	fphen	það
hafi	svg3en	hafa
ekki	aa	ekki
verið	ssg	vera
neitt	fohen	neinn
óskaverkefni	nhen	óskaverkefni
að	cn	að
ala	sng	ala
upp	aa	upp
og	c	og
umgangast	snm	umgangast
geðillan	lkeosf	geðillur
og	c	og
brúnaþungan	lkeosf	brúnaþungur
soninn	nkeog	sonur
á	aþ	á
unglingsárunum	nhfþg	unglingsár
en	c	en
þar	aa	þar
kom	sfg3eþ	koma
þolinmæðin	nveng	þolinmæði
örugglega	aa	örugglega
að	aþ	að
góðum	lhfþsf	góður
notum	nhfþ	not
sem	aa	sem
og	c	og
lundin	nveng	lund
létta	lvenvf	léttur
.	.	.
Síðan	aa	síðan
lagaðist	sfm3eþ	laga
strákurinn	nkeng	strákur
vonandi	aa	vonandi
eitthvað	fohen	einhver
,	,	,
fann	sfg3eþ	finna
sér	fpkeþ	sig
væna	lveosf	vænn
konu	nveo	kona
og	c	og
gat	sfg3eþ	geta
henni	fpveþ	hún
börn	nhfo	barn
.	.	.
Hún	fpven	hún
hefur	sfg3en	hafa
reyndar	aa	reyndar
ítrekað	aa	ítrekað
sagst	ssm	segja
svo	aa	svo
hrifin	lvensf	hrifinn
af	aþ	af
tengdamóðurinni	nveþg	tengdamóðir
að	c	að
drengurinn	nkeng	drengur
hefur	sfg3en	hafa
efast	ssm	efa
um	ao	um
hennar	fpvee	hún
forsendur	nvfo	forsenda
fyrir	aþ	fyrir
makavalinu	nheþg	makaval
.	.	.
Auk	ae	auk
þess	fphee	það
þurftirðu	sfg2eþ	þurfa
auðvitað	aa	auðvitað
að	cn	að
ala	sng	ala
upp	aa	upp
dæturnar	nvfog	dóttir
þrjár	tfvfo	þrír
og	c	og
leggja	sng	leggja
okkur	fp1fþ	ég
öllum	fohfþ	allur
lífsreglurnar	nvfog	lífsregla
með	aþ	með
honum	fpkeþ	hann
pabba	nkeþ	pabbi
.	.	.
Við	fp1fn	ég
erum	sfg1fn	vera
svo	aa	svo
gæfusöm	lhfnsf	gæfusamur
að	cn	að
hafa	sng	hafa
notið	ssg	njóta
ástríkis	nhee	ástríki
ykkar	fp2fe	þú
og	c	og
stuðnings	nkee	stuðningur
og	c	og
getað	ssg	geta
lagt	ssg	leggja
af	aþ	af
stað	nkeþ	staður
út	aa	út
í	ao	í
lífið	nheog	líf
með	ao	með
gott	lheosf	góður
veganesti	nheo	veganesti
.	.	.
Þér	fp2eþ	þú
þótti	sfg3eþ	þykja
alltaf	aa	alltaf
gott	lhensf	góður
að	cn	að
hafa	sng	hafa
fjölskylduna	nveog	fjölskylda
í	aa	í
kringum	ao	kringum
þig	fp2eo	þú
,	,	,
mamma	nven	mamma
,	,	,
og	c	og
það	fphen	það
var	sfg3eþ	vera
gagnkvæmt	lhensf	gagnkvæmur
.	.	.
Því	aa	því
var	sfg3eþ	vera
oft	aa	oft
mannmargt	lhensf	mannmargur
í	aþ	í
Hlunnavoginum	nkeþgs	Hlunnavogur
í	ao	í
kaffi	nheo	kaffi
eða	c	eða
í	ao	í
mat	nkeo	matur
og	c	og
reyndar	aa	reyndar
endaði	sfg3eþ	enda
oft	aa	oft
saklaust	lhensf	saklaus
kaffiinnlit	nhen	kaffiinnlit
með	aþ	með
dýrðlegri	lveþsf	dýrðlegur
matarveislu	nveþ	matarveisla
.	.	.
Enda	c	enda
varst	sfg2eþ	vera
þú	fp2en	þú
svo	aa	svo
sannarlega	aa	sannarlega
kokkur	nken	kokkur
af	aþ	af
betri	lkeþvm	góður
endanum	nkeþg	endi
og	c	og
hafðir	sfg2eþ	hafa
gaman	nheo	gaman
af	aþ	af
því	fpheþ	það
að	cn	að
veita	sng	veita
vel	aa	vel
.	.	.
Við	fp1fn	ég
munum	sfg1fn	munu
öll	fohfn	allur
sakna	sng	sakna
þín	fp2ee	þú
sárt	aa	sárt
en	c	en
ég	fp1en	ég
þykist	sfm1en	þykja
vita	sng	vita
að	c	að
þú	fp2en	þú
sért	svg2en	vera
nú	aa	nú
komin	sþgven	koma
í	ao	í
hóp	nkeo	hópur
horfinna	lkfesf	horfinn
ástvina	nkfe	ástvinur
og	c	og
getir	svg2en	geta
glaðst	ssm	gleðja
yfir	aþ	yfir
endurfundum	nkfþ	endurfundur
með	aþ	með
þeim	fpkfþ	hann
og	c	og
yfir	aþ	yfir
að	cn	að
vera	sng	vera
laus	lvensf	laus
undan	aþ	undan
oki	nheþ	ok
heilsubrests	nkee	heilsubrestur
og	c	og
vanlíðunar	nvee	vanlíðun
.	.	.
Hvíl	sbg2en	hvíla
þú	fp2en	þú
í	aþ	í
friði	nkeþ	friður
!	!	!
Þinn	feken	þinn
sonur	nken	sonur
,	,	,
Jón	nken-s	Jón
Hólmgeir	nken-s	Hólmgeir
Elsku	nvee	elska
Eyja	nven-s	Eyja
mín	feven	minn
!	!	!
Ég	fp1en	ég
á	sfg1en	eiga
því	faheþ	sá
láni	nheþ	lán
að	cn	að
fagna	sng	fagna
að	cn	að
hafa	sng	hafa
komið	ssg	koma
inn	aa	inn
í	ao	í
fjölskyldu	nveo	fjölskylda
þína	feveo	þinn
fyrir	aþ	fyrir
rúmum	lhfþsf	rúmur
14	ta	14
árum	nhfþ	ár
sem	ct	sem
tengdadóttir	nven	tengdadóttir
.	.	.
Ég	fp1en	ég
man	sfg1en	muna
enn	aa	enn
þann	fakeo	sá
dag	nkeo	dagur
þegar	c	þegar
Jón	nken-s	Jón
taldi	sfg3eþ	telja
að	c	að
tími	nken	tími
væri	svg3eþ	vera
kominn	sþgken	koma
til	ae	til
að	c	að
ég	fp1en	ég
kæmi	svg1eþ	koma
með	aþ	með
sér	fpkeþ	sig
heim	aa	heim
í	ao	í
Hvassaleiti	nheo-s	Hvassaleiti
og	c	og
hitti	svg1eþ	hitta
ykkur	fp2fo	þú
Steina	nkeo-s	Steini
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ekki	aa	ekki
laust	lhensf	laus
við	ao	við
að	c	að
það	fphen	það
væri	svg3eþ	vera
fiðringur	nken	fiðringur
í	aþ	í
maganum	nkeþg	magi
á	aþ	á
mér	fp1eþ	ég
þegar	c	þegar
ég	fp1en	ég
stóð	sfg1eþ	standa
á	aþ	á
tröppunum	nvfþg	trappa
þar	aa	þar
.	.	.
Ósjálfrátt	aa	ósjálfrátt
flugu	sfg3fþ	fljúga
í	aa	í
gegnum	ao	gegnum
hugann	nkeog	hugi
skondnar	lvfnsf	skondinn
sögur	nvfn	saga
er	ct	er
ég	fp1en	ég
hafði	sfg1eþ	hafa
heyrt	ssg	heyra
af	aþ	af
samskiptum	nhfþ	samskipti
tengdamömmu	nvee	tengdamamma
og	c	og
tengdadóttur	nvee	tengdadóttir
.	.	.
Fiðringurinn	nkeng	fiðringur
hvarf	sfg3eþ	hverfa
strax	aa	strax
á	aþ	á
fyrsta	lheþve	fyrstur
kvöldi	nheþ	kvöld
með	aþ	með
þér	fp2eþ	þú
og	c	og
hef	sfg1en	hafa
ég	fp1en	ég
oft	aa	oft
látið	ssg	láta
þau	fahfo	sá
orð	nhfo	orð
falla	sng	falla
síðan	aa	síðan
að	c	að
ég	fp1en	ég
hefði	svg1eþ	hafa
ekki	aa	ekki
getað	ssg	geta
fengið	ssg	fá
betri	lveovm	góður
tengdamömmu	nveo	tengdamamma
þó	aa	þó
ég	fp1en	ég
hefði	svg1eþ	hafa
valið	ssg	velja
hana	fpveo	hún
sjálf	fbven	sjálfur
.	.	.
Aldrei	aa	aldrei
hefur	sfg3en	hafa
borið	ssg	bera
skugga	nkeo	skuggi
á	ao	á
samskipti	nhfo	samskipti
okkar	fp1fe	ég
öll	fohfo	allur
þessi	fahfo	þessi
ár	nhfo	ár
.	.	.
Ég	fp1en	ég
held	sfg1en	halda
að	c	að
það	fphen	það
væri	svg3eþ	vera
erfitt	lhensf	erfiður
að	cn	að
finna	sng	finna
glaðlyndari	lveovm	glaðlyndur
og	c	og
jákvæðari	lveovm	jákvæður
persónu	nveo	persóna
en	c	en
þú	fp2en	þú
varst	sfg2eþ	vera
.	.	.
Alveg	aa	alveg
sama	fbhen	sami
hvað	fshen	hver
á	aa	á
dundi	sfg3eþ	dynja
í	aþ	í
lífinu	nheþg	líf
hjá	aþ	hjá
þér	fp2eþ	þú
(	(	(
sem	ct	sem
var	sfg3eþ	vera
ekki	aa	ekki
lítið	lhensf	lítill
)	)	)
,	,	,
þá	aa	þá
sást	sfm2eþ	sjá
þú	fp2en	þú
leið	nveo	leið
út	aa	út
úr	aþ	úr
því	fpheþ	það
og	c	og
brostir	sfg2eþ	brosa
.	.	.
Síðastliðið	lhensf	síðastliðinn
ár	nhen	ár
hefur	sfg3en	hafa
verið	ssg	vera
erfitt	lhensf	erfiður
.	.	.
Nánast	aae	náið
stöðug	lvensf	stöðugur
sjúkrahúslega	nven	sjúkrahúslega
og	c	og
erfiðar	lvfnsf	erfiður
aðgerðir	nvfn	aðgerð
.	.	.
En	c	en
alltaf	aa	alltaf
stóðst	sfm2eþ	standa
þú	fp2en	þú
þig	fp2eo	þú
eins	aa	eins
og	c	og
hetja	nven	hetja
.	.	.
Ef	c	ef
spurt	sþghen	spyrja
var	sfg3eþ	vera
hvernig	aa	hvernig
þú	fp2en	þú
hefðir	svg2eþ	hafa
það	fpheo	það
þá	aa	þá
var	sfg3eþ	vera
svarið	nheng	svar
alltaf	aa	alltaf
á	ao	á
þá	faveo	sá
leið	nveo	leið
að	c	að
þú	fp2en	þú
hefðir	svg2eþ	hafa
það	fpheo	það
fínt	lheosf	fínn
og	c	og
þetta	fahen	þessi
væri	svg3eþ	vera
allt	fohen	allur
að	cn	að
koma	sng	koma
.	.	.
Jafnvel	aa	jafnvel
þegar	c	þegar
þú	fp2en	þú
gast	sfg2eþ	geta
þig	fp2eo	þú
varla	aa	varla
hreyft	ssg	hreyfa
fyrir	aþ	fyrir
verkjum	nkfþ	verkur
.	.	.
Rúmri	lveþsf	rúmur
viku	nveþ	vika
fyrir	ao	fyrir
andlát	nheo	andlát
þitt	feheo	þinn
gerðum	sfg1fþ	gera
við	fp1fn	ég
okkur	fp1fþ	ég
glaðan	lkeosf	glaður
dag	nkeo	dagur
og	c	og
hittumst	sfm1fþ	hitta
í	aþ	í
Geitlandinu	nheþgs	Geitland
.	.	.
Tilefnið	nheng	tilefni
var	sfg3eþ	vera
ærið	lhensf	ærinn
.	.	.
Steini	nken-s	Steini
átti	sfg3eþ	eiga
afmæli	nheo	afmæli
og	c	og
þú	fp2en	þú
að	cn	að
koma	sng	koma
út	aa	út
af	aþ	af
sjúkrahúsinu	nheþg	sjúkrahús
,	,	,
á	aþ	á
leiðinni	nveþg	leið
á	ao	á
Reykjalund	nkeo-s	Reykjalundur
.	.	.
Öll	fohfn	allur
styrktumst	sfm1fþ	styrkja
við	fp1fn	ég
í	aþ	í
trúnni	nveþg	trú
um	ao	um
að	c	að
við	fp1fn	ég
fengjum	svg1fþ	fá
þig	fp2eo	þú
kannski	aa	kannski
heim	aa	heim
um	ao	um
jólin	nhfog	jól
.	.	.
Og	c	og
ekki	aa	ekki
var	sfg3eþ	vera
minni	lkenvm	lítill
hugur	nken	hugur
í	aþ	í
þér	fp2eþ	þú
.	.	.
Fórst	sfm2eþ	fara
strax	aa	strax
að	cn	að
tala	sng	tala
um	ao	um
að	c	að
nú	aa	nú
þyrfti	svg3eþ	þurfa
að	cn	að
fara	sng	fara
að	cn	að
huga	sng	huga
að	aþ	að
jólagjöfunum	nvfþg	jólagjöf
.	.	.
Mikið	lheosf	mikill
dálæti	nheo	dálæti
hafðir	sfg2eþ	hafa
þú	fp2en	þú
á	aþ	á
barnabörnunum	nhfþg	barnabarn
og	c	og
gladdist	sfm2eþ	gleðja
í	ao	í
hvert	foheo	hver
sinn	nheo	sinn
er	ct	er
þeim	fphfþ	það
fjölgaði	sfg3eþ	fjölga
.	.	.
Ég	fp1en	ég
held	sfg1en	halda
þú	fp2en	þú
hefðir	svg2eþ	hafa
viljað	ssg	vilja
hafa	sng	hafa
þau	fahfo	sá
sem	ct	sem
allra	fohfe	allur
flest	lhfose	margur
.	.	.
Ekki	aa	ekki
skorti	sfg3eþ	skorta
heldur	aam	heldur
viljann	nkeog	vilji
til	ae	til
að	cn	að
sinna	sng	sinna
þeim	fphfþ	það
.	.	.
Minnist	sfm1en	minna
ég	fp1en	ég
þess	fphee	það
er	c	er
þú	fp2en	þú
lást	sfg2eþ	liggja
helsjúk	lvensf	helsjúkur
á	aþ	á
spítalanum	nkeþg	spítali
og	c	og
Eyvör	nven-s	Eyvör
litla	lvenvf	lítill
var	sfg3eþ	vera
veik	lvensf	veikur
heima	aa	heima
.	.	.
Þá	aa	þá
talaðir	sfg2eþ	tala
þú	fp2en	þú
um	ao	um
að	c	að
þú	fp2en	þú
yrðir	svg2eþ	verða
nú	aa	nú
að	cn	að
hætta	sng	hætta
þessum	fakeþ	þessi
aumingjaskap	nkeþ	aumingjaskapur
og	c	og
koma	sng	koma
þér	fp2eþ	þú
heim	aa	heim
til	ae	til
að	cn	að
geta	sng	geta
hjálpað	ssg	hjálpa
okkur	fp1fþ	ég
svo	aa	svo
við	fp1fn	ég
kæmumst	svm1fþ	koma
í	ao	í
vinnuna	nveog	vinna
.	.	.
Elsku	nvee	elska
Eyja	nven-s	Eyja
mín	feven	minn
.	.	.
Það	fphen	það
er	sfg3en	vera
komið	sþghen	koma
að	aþ	að
kveðjustundinni	nveþg	kveðjustund
og	c	og
hún	fpven	hún
er	sfg3en	vera
sárari	lvenvm	sár
en	c	en
orð	nhfn	orð
fá	sfg3fn	fá
lýst	ssg	lýsa
.	.	.
Ég	fp1en	ég
þakka	sfg1en	þakka
þér	fp2eþ	þú
fyrir	ao	fyrir
að	cn	að
hafa	sng	hafa
verið	ssg	vera
besta	lvenve	góður
tengdamamma	nven	tengdamamma
í	aþ	í
heimi	nkeþ	heimur
og	c	og
hversu	aa	hversu
vel	aa	vel
þú	fp2en	þú
reyndist	sfm2eþ	reyna
börnunum	nhfþg	barn
okkar	fp1fe	ég
Jóns	nkee-s	Jón
.	.	.
Við	fp1fn	ég
eigum	sfg1fn	eiga
góðar	lvfosf	góður
minningar	nvfo	minning
um	ao	um
þig	fp2eo	þú
sem	ct	sem
munu	sfg3fn	munu
ylja	sng	ylja
okkur	fp1fþ	ég
í	aþ	í
framtíðinni	nveþg	framtíð
.	.	.
Ekki	aa	ekki
svo	aa	svo
hafa	sng	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
honum	fpkeþ	hann
Steina	nkeþ-s	Steini
þínum	fekeþ	þinn
.	.	.
Við	fp1fn	ég
munum	sfg1fn	munu
hugsa	sng	hugsa
vel	aa	vel
um	ao	um
hann	fpkeo	hann
fyrir	ao	fyrir
þig	fp2eo	þú
.	.	.
Hvíl	sbg2en	hvíla
í	aþ	í
friði	nkeþ	friður
.	.	.
Þín	feven	þinn
Soffía	nven-s	Soffía
Elsku	nvee	elska
mamma	nven	mamma
okkar	fp1fe	ég
,	,	,
með	aþ	með
þessum	fahfþ	þessi
orðum	nhfþ	orð
viljum	sfg1fn	vilja
við	fp1fn	ég
minnast	snm	minna
þín	fp2ee	þú
og	c	og
þakka	sng	þakka
þér	fp2eþ	þú
fyrir	ao	fyrir
allt	foheo	allur
sem	ct	sem
þú	fp2en	þú
hefur	sfg2en	hafa
verið	ssg	vera
fyrir	aþ	fyrir
okkur	fp1fþ	ég
og	c	og
með	aþ	með
okkur	fp1fþ	ég
.	.	.
Það	fahen	sá
sem	ct	sem
einkenndi	sfg3eþ	einkenna
þig	fp2eo	þú
alla	foveo	allur
tíð	nveo	tíð
var	sfg3eþ	vera
ótrúlegt	lhensf	ótrúlegur
örlæti	nhen	örlæti
og	c	og
gjafmildi	nven	gjafmildi
sem	ct	sem
þú	fp2en	þú
veittir	sfg2eþ	veita
óspart	aa	óspart
þeim	fpkfþ	hann
sem	ct	sem
á	aþ	á
vegi	nkeþ	vegur
þínum	fekeþ	þinn
urðu	sfg3fþ	verða
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
alltaf	aa	alltaf
til	ae	til
staðar	nkee	staður
þegar	c	þegar
við	fp1fn	ég
þurftum	sfg1fþ	þurfa
á	aþ	á
að	cn	að
halda	sng	halda
.	.	.
Bjartsýni	nven	bjartsýni
þín	feven	þinn
og	c	og
jákvæðni	nven	jákvæðni
voru	sfg3fþ	vera
skapgerðarþættir	nkfn	skapgerðarþáttur
sem	ct	sem
við	fp1fn	ég
nutum	sfg1fþ	njóta
og	c	og
hjálpuðu	sfg3fþ	hjálpa
