maður	nken	maður
að	cn	að
komast	snm	koma
að	aþ	að
kakórunnunum	nkfþg	kakórunni
á	aþ	á
bátum	nkfþ	bátur
.	.	.

Fyrir	ao	fyrir
vikið	nheog	vik
er	sfg3en	vera
lítið	lhensf	lítill
magn	nhen	magn
framleitt	sþghen	framleiða
af	aþ	af
slíku	fbheþ	slíkur
súkkulaði	nheþ	súkkulaði
og	c	og
það	fphen	það
kostar	sfg3en	kosta
sitt	feheo	sinn
.	.	.

Súkkulaðið	nheng	súkkulaði
er	sfg3en	vera
með	ao	með
68%	tp	68%
kakóinnihald	nheo	kakóinnihald
og	c	og
bragðmikið	lhensf	bragðmikill
.	.	.

Í	aþ	í
því	fpheþ	það
er	sfg3en	vera
ávöxtur	nken	ávöxtur
,	,	,
lime	e	lime
og	c	og
smá	lhenof	smá
greipaldin	nhen	greipaldin
,	,	,
en	c	en
eftirbragðið	nheng	eftirbragð
er	sfg3en	vera
milt	lhensf	mildur
,	,	,
segir	sfg3en	segja
Hafliði	nken-s	Hafliði
og	c	og
það	fphen	það
er	sfg3en	vera
eins	aa	eins
og	c	og
hann	fpken	hann
sé	svg3en	vera
að	cn	að
lýsa	sng	lýsa
göfugu	lheþsf	göfugur
víni	nheþ	vín
.	.	.

Hann	fpken	hann
fékk	sfg3eþ	fá
ekki	aa	ekki
að	cn	að
kaupa	sng	kaupa
nema	c	nema
300	ta	300
kíló	nhfo	kíló
af	aþ	af
þessu	faheþ	þessi
súkkulaði	nheþ	súkkulaði
og	c	og
segir	sfg3en	segja
að	c	að
það	fphen	það
geri	svg3en	gera
það	fpheo	það
enn	aa	enn
skemmtilegra	lheovm	skemmtilegur
að	cn	að
geta	sng	geta
boðið	ssg	bjóða
upp	aa	upp
á	ao	á
páskaegg	nhfo	páskaegg
úr	aþ	úr
því	fpheþ	það
.	.	.

Það	fphen	það
er	sfg3en	vera
ekkert	fohen	enginn
erfiðara	lhenvm	erfiður
að	cn	að
vinna	sng	vinna
með	ao	með
þetta	faheo	þessi
súkkulaði	nheo	súkkulaði
en	c	en
annað	foheo	annar
,	,	,
en	c	en
það	fphen	það
er	sfg3en	vera
erfitt	lhensf	erfiður
að	cn	að
vinna	sng	vinna
með	ao	með
allt	foheo	allur
súkkulaði	nheo	súkkulaði
,	,	,
það	fphen	það
er	sfg3en	vera
svo	aa	svo
lifandi	lhenof	lifandi
efni	nhen	efni
og	c	og
getur	sfg3en	geta
verið	ssg	vera
mikil	lvensf	mikill
og	c	og
flókin	lvensf	flókinn
vinna	nven	vinna
að	cn	að
ná	sng	ná
að	cn	að
binda	sng	binda
saman	aa	saman
súkkulaði	nheo	súkkulaði
og	c	og
bragðefni	nheo	bragðefni
.	.	.

Hlutföllin	nhfng	hlutfall
skipta	sfg3fn	skipta
miklu	lheþsf	mikill
máli	nheþ	mál
og	c	og
hitastigið	nheng	hitastig
er	sfg3en	vera
líka	aa	líka
mjög	aa	mjög
mikilvægt	lhensf	mikilvægur
.	.	.

Þar	aa	þar
sem	c	sem
páskaeggin	nhfng	páskaegg
eru	sfg3fn	vera
handgerð	lhfnsf	handgerður
eru	sfg3fn	vera
engin	fohfn	enginn
tvö	tfhfn	tveir
egg	nhfn	egg
eins	aa	eins
,	,	,
á	aþ	á
þeim	fphfþ	það
verður	sfg3en	verða
mismunandi	lhenof	mismunandi
mynstur	nhen	mynstur
og	c	og
mismunandi	lvfnof	mismunandi
skreytingar	nvfn	skreyting
.	.	.

Ég	fp1en	ég
er	sfg1en	vera
ekki	aa	ekki
að	cn	að
hugsa	sng	hugsa
um	ao	um
magnið	nheog	magn
,	,	,
ég	fp1en	ég
vil	sfg1en	vilja
að	c	að
hvert	fohen	hver
egg	nhen	egg
sé	svg3en	vera
sjálfstætt	lhensf	sjálfstæður
listaverk	nhen	listaverk
,	,	,
að	c	að
fólk	nhen	fólk
hrífist	svm3en	hrífa
af	aþ	af
því	fpheþ	það
sem	ct	sem
það	fphen	það
fær	sfg3en	fá
og	c	og
njóti	svg3en	njóta
þess	fphee	það
þannig	aa	þannig
.	.	.

Texti	nken	texti
Árni	nken-s	Árni
Matthíasson	nken-s	Matthíasson
.	.	.

Ljósmyndir	nvfn	ljósmynd
Arnaldur	nken-s	Arnaldur
Halldórsson	nken-s	Halldórsson
.	.	.

Kokka	nven-s	Kokka
hefur	sfg3en	hafa
hafið	ssg	hefja
sölu	nveo	sala
á	aþ	á
pastagerðarvélum	nvfþ	pastagerðarvél
frá	aþ	frá
ítalska	lkeþvf	ítalskur
framleiðandanum	nkeþg	framleiðandi
Imperia	e	Imperia
,	,	,
auk	ae	auk
ýmissa	fokfe	ýmis
handhægra	lkfesf	handhægur
fylgihluta	nkfe	fylgihlutur
,	,	,
m.a.	as	m.a.
til	ae	til
gnocchigerðar	nvee	gnocchigerð
.	.	.

Í	aþ	í
tilefni	nheþ	tilefni
ítalskra	lkfesf	ítalskur
daga	nkfe	dagur
mun	sfg3en	munu
Kokka	nven-s	Kokka
síðan	aa	síðan
bjóða	sng	bjóða
upp	aa	upp
á	ao	á
sýnikennslu	nveo	sýnikennsla
í	aþ	í
pastagerð	nveþ	pastagerð
í	aþ	í
búðinni	nveþg	búð
í	ao	í
dag	nkeo	dagur
,	,	,
laugardaginn	nkeog	laugardagur
25.	ta	25.
mars	nkeo	mars
.	.	.

Imperia	e	Imperia
framleiðir	sfg3en	framleiða
bæði	c	bæði
hefðbundnar	lvfosf	hefðbundinn
handknúnar	lvfosf	handknúinn
pastavélar	nvfo	pastavél
sem	aa	sem
og	c	og
rafknúna	lveosf	rafknúinn
pastavél	nveo	pastavél
,	,	,
sem	ct	sem
þykir	sfg3en	þykja
sérlega	aa	sérlega
þægileg	lvensf	þægilegur
fyrir	ao	fyrir
þá	fakfo	sá
sem	ct	sem
vilja	sfg3fn	vilja
vera	sng	vera
snöggir	lkfnsf	snöggur
að	cn	að
búa	sng	búa
til	aa	til
pasta	nheo	pasta
í	aþ	í
miklu	lheþsf	mikill
magni	nheþ	magn
.	.	.

Pastavélarnar	nvfog	pastavél
má	sfg3en	mega
þó	aa	þó
nota	sng	nota
í	ao	í
fleira	lheovm	margur
en	c	en
ítalska	lveosf	ítalskur
matargerð	nveo	matargerð
og	c	og
þykja	sfg3fn	þykja
þær	fpvfn	hún
t.d.	as	t.d.
frábærar	lvfnsf	frábær
í	ao	í
laufabrauðsgerðina	nveog	laufabrauðsgerð
og	c	og
til	ae	til
að	cn	að
valsa	sng	valsa
bökudeig	nheo	bökudeig
.	.	.

súkkulaðikaka	nven	súkkulaðikaka
með	aþ	með
viskíi	nheþ	viskí
fyrir	ao	fyrir
12	ta	12
150	ta	150
g	as	g
heslihnetur	nvfn	heslihneta
,	,	,
heilar	lvfnsf	heill
150	ta	150
g	as	g
súkkulaði	nhen	súkkulaði
,	,	,
70%	tp	70%
75	ta	75
g	as	g
smjör	nhen	smjör
½	ta	½
dl	as	dl
viskí	nhen	viskí
6	ta	6
egg	nhfn	egg
2	ta	2
dl	as	dl
sykur	nken	sykur
1	ta	1
dl	as	dl
hveiti	nhen	hveiti
1dl	as	1dl
kakó	nhen	kakó
1	ta	1
tsk	as	tsk
.	.	.

lyftiduft	nhen	lyftiduft
meðlæti	nhen	meðlæti
:	:	:
½	ta	½
l	as	l
rjómi	nken	rjómi
1	ta	1
dl	as	dl
rúsínur	nvfn	rúsína
50	ta	50
g	as	g
súkkulaði	nhen	súkkulaði
,	,	,
70%	tp	70%
,	,	,
saxað	lhensf	saxaður
Ristið	sbg2fn	rista
hneturnar	nvfog	hneta
á	aþ	á
plötu	nveþ	plata
í	aþ	í
ofni	nkeþ	ofn
við	ao	við
200°C	ta	200°c
,	,	,
það	fphen	það
tekur	sfg3en	taka
u.þ.b.	as	u.þ.b.
10	ta	10
mínútur	nvfo	mínúta
.	.	.

Setjið	sbg2fn	setja
smjör	nheo	smjör
og	c	og
súkkulaði	nheo	súkkulaði
í	aþ	í
bitum	nkfþ	biti
í	ao	í
pott	nkeo	pottur
og	c	og
látið	sbg2fn	láta
bráðna	sng	bráðna
.	.	.

Hellið	sbg2fn	hella
viskíinu	nheþg	viskí
út	aa	út
í	aa	í
.	.	.

Skiljið	sbg2fn	skilja
eggin	nhfog	egg
í	ao	í
rauður	nvfo	rauða
og	c	og
hvítur	nvfo	hvíta
.	.	.

Þeytið	sbg2fn	þeyta
saman	aa	saman
eggjarauður	nvfo	eggjarauða
og	c	og
sykur	nkeo	sykur
,	,	,
blandið	sbg2fn	blanda
saman	aa	saman
við	ao	við
súkkulaðið	nheog	súkkulaði
.	.	.

Blandið	sbg2fn	blanda
hnetum	nvfþ	hneta
,	,	,
hveiti	nheþ	hveiti
,	,	,
kakó	nheþ	kakó
og	c	og
lyftidufti	nheþ	lyftiduft
út	aa	út
í	aa	í
og	c	og
blandið	sbg2fn	blanda
saman	aa	saman
.	.	.

Stífþeytið	sbg2fn	stífþeyta
eggjahvítur	nvfo	eggjahvíta
og	c	og
blandið	sbg2fn	blanda
varlega	aa	varlega
saman	aa	saman
við	aa	við
með	aþ	með
sleikju	nveþ	sleikja
.	.	.

Setjið	sbg2fn	setja
í	ao	í
form	nheo	form
með	aþ	með
lausum	lvfþsf	laus
hliðum	nvfþ	hlið
og	c	og
bakið	sbg2fn	baka
við	ao	við
200°C	ta	200°c
í	ao	í
30	ta	30
mínútur	nvfo	mínúta
.	.	.

Þeytið	sbg2fn	þeyta
rjómann	nkeog	rjómi
og	c	og
blandið	sbg2fn	blanda
rúsínum	nvfþ	rúsína
og	c	og
súkkulaði	nheþ	súkkulaði
út	aa	út
í	aa	í
og	c	og
setjið	sbg2fn	setja
á	ao	á
kökuna	nveog	kaka
.	.	.

Þessi	faven	þessi
kaka	nven	kaka
er	sfg3en	vera
betri	lvenvm	góður
ef	c	ef
hún	fpven	hún
er	sfg3en	vera
bökuð	sþgven	baka
a.m.k.	as	a.m.k.
degi	nkeþ	dagur
áður	aa	áður
en	c	en
hún	fpven	hún
er	sfg3en	vera
borin	sþgven	bera
fram	aa	fram
.	.	.

gráfíkjubrauð	nhen	gráfíkjubrauð
2-3	ta	2-3
brauð	nhfn	brauð
150	ta	150
g	as	g
gráfíkjur	nvfn	gráfíkja
,	,	,
í	aþ	í
bitum	nkfþ	biti
1½	ta	1½
dl	as	dl
hörfræ	nhfn	hörfræ
,	,	,
100	ta	100
g	as	g
3½	ta	3½
dl	as	dl
vatn	nhen	vatn
3	ta	3
tsk	as	tsk
.	.	.
þurrger	nhen	þurrger
1	ta	1
tsk	as	tsk
.	.	.
hrásykur	nken	hrásykur
3	ta	3
dl	as	dl
kalt	lhensf	kaldur
vatn	nhen	vatn
1/3	ta	1/3
dl	as	dl
matatolía	nven	matatolía
1½	ta	1½
tsk	as	tsk
.	.	.
salt	nhen	salt
10	ta	10
dl	as	dl
hveiti	nhen	hveiti
,	,	,
600	ta	600
g	as	g
6	ta	6
dl	as	dl
haframjöl	nhen	haframjöl
,	,	,
210	ta	210
g	as	g
4	ta	4
dl	as	dl
rúgmjöl	nhen	rúgmjöl
,	,	,
200	ta	200
g	as	g
Skerið	sbg2fn	skera
gráfíkjurnar	nvfog	gráfíkja
smátt	aa	smátt
og	c	og
takið	sbg2fn	taka
burt	aa	burt
alla	fokfo	allur
harða	lkfosf	harður
bita	nkfo	biti
.	.	.

Setjið	sbg2fn	setja
í	ao	í
skál	nveo	skál
með	aþ	með
hörfræjum	nhfþ	hörfræ
.	.	.

Hitið	sbg2fn	hita
3½	ta	3½
dl	as	dl
af	aþ	af
vatni	nheþ	vatn
að	aþ	að
suðu	nveþ	suða
og	c	og
hellið	sbg2fn	hella
yfir	ao	yfir
gráfíkjurnar	nvfog	gráfíkja
og	c	og
hörfræin	nhfog	hörfræ
og	c	og
látið	sbg2fn	láta
standa	sng	standa
í	ao	í
10	ta	10
mínútur	nvfo	mínúta
.	.	.

Hærið	sbg2fn	hæra
gerið	nheog	ger
og	c	og
sykurinn	nkeog	sykur
út	aa	út
í	ao	í
kalda	lheovf	kaldur
vatnið	nheog	vatn
og	c	og
blandið	sbg2fn	blanda
saman	aa	saman
við	ao	við
gráfíkjurnar	nvfog	gráfíkja
ásamt	aþ	ásamt
matarolíu	nveþ	matarolía
og	c	og
salti	nheþ	salt
þegar	c	þegar
hitastig	nhen	hitastig
vatnsins	nheeg	vatn
er	sfg3en	vera
við	ao	við
37°C	ta	37°c
.	.	.

Setjið	sbg2fn	setja
í	ao	í
hrærivélarskál	nveo	hrærivélarskál
og	c	og
hnoðið	sbg2fn	hnoða
hveiti	nheo	hveiti
(	(	(
skiljið	sbg2fn	skilja
eftir	aa	eftir
1	ta	1
dl	as	dl
)	)	)
,	,	,
haframjöl	nheo	haframjöl
og	c	og
rúgmjöl	nheo	rúgmjöl
saman	aa	saman
við	aa	við
.	.	.

Látið	sbg2fn	láta
lyfta	sng	lyfta
sér	fpheþ	sig
í	ao	í
40	ta	40
mínútur	nvfo	mínúta
.	.	.

Hellið	sbg2fn	hella
deiginu	nheþg	deig
á	ao	á
borð	nheo	borð
og	c	og
hnoðið	sbg2fn	hnoða
og	c	og
bætið	sbg2fn	bæta
afgangshveitinu	nheþg	afgangshveiti
við	aa	við
ef	c	ef
deigið	nheng	deig
er	sfg3en	vera
blautt	lhensf	blautur
.	.	.

Mótið	sbg2fn	móta
í	ao	í
bollur	nvfo	bolla
eða	c	eða
brauð	nheo	brauð
og	c	og
setjið	sbg2fn	setja
á	ao	á
smurða	lveosf	smurður
ofnplötu	nveo	ofnplata
eða	c	eða
í	ao	í
form	nheo	form
.	.	.

Setjið	sbg2fn	setja
fræ	nhfo	fræ
yfir	aa	yfir
ef	c	ef
vill	sfg3en	vilja
og	c	og
látið	sbg2fn	láta
lyfta	sng	lyfta
sér	fpheþ	sig
á	aa	á
ný	aa	ný
undir	aþ	undir
viskastykki	nheþ	viskastykki
í	ao	í
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
30	ta	30
mínútur	nvfo	mínúta
.	.	.

Bakið	sbg2fn	baka
samkvæmt	aþ	samkvæmt
leiðbeiningum	nvfþ	leiðbeining
hér	aa	hér
að	aa	að
framan	aa	framan
við	ao	við
200°C	ta	200°c
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
virkilega	aa	virkilega
gott	lhensf	góður
trefjaríkt	lhensf	trefjaríkur
brauð	nhen	brauð
sem	ct	sem
má	sfg3en	mega
vel	aa	vel
frysta	sng	frysta
og	c	og
bragðast	sfm3en	bragða
vel	aa	vel
hitað	sþghen	hita
jafnóðum	aa	jafnóðum
í	aþ	í
brauðristinni	nveþg	brauðrist
.	.	.

Þétt	lhensf	þéttur
og	c	og
bragðmikið	lhensf	bragðmikill
hollustubrauð	nhen	hollustubrauð
.	.	.

sjávarpasta	nhen	sjávarpasta
fyrir	ao	fyrir
4	ta	4
400	ta	400
g	as	g
tagliatelle	e	tagliatelle
pasta	nhen	pasta
1	ta	1
blaðlaukur	nken	blaðlaukur
3	ta	3
rauðlaukar	nkfn	rauðlaukur
,	,	,
saxaðir	lkfnsf	saxaður
1	ta	1
msk	as	msk
.	.	.
olía	nven	olía
½	ta	½
tsk	as	tsk
.	.	.
paprikukrydd	nhen	paprikukrydd
½	ta	½
dl	as	dl
þurrt	lhensf	þurr
hvítvín	nhen	hvítvín
2	ta	2
msk	as	msk
.	.	.
fljótandi	lkenof	fljótandi
skeldýrakraftur	nken	skeldýrakraftur
¾	ta	¾
dl	as	dl
vatn	nhen	vatn
2	ta	2
dl	as	dl
matargerðarrjómi	nken	matargerðarrjómi
1	ta	1
hvítlauksgeiri	nken	hvítlauksgeiri
,	,	,
smátt	aa	smátt
saxaður	lkensf	saxaður
1	ta	1
msk	as	msk
.	.	.
hvítur	lkensf	hvítur
maízena	e	maízena
sósujafnari	nken	sósujafnari
200	ta	200
g	as	g
rækjur	nvfn	rækja
200	ta	200
g	as	g
kræklingur	nken	kræklingur
,	,	,
niðursoðinn	lkensf	niðursoðinn
½	ta	½
knippi	nhen	knippi
steinselja	nven	steinselja
,	,	,
smátt	aa	smátt
söxuð	lvensf	saxaður
½	ta	½
tsk	as	tsk
.	.	.
flögusalt	nhen	flögusalt
½	ta	½
tsk	as	tsk
.	.	.
pipar	nken	pipar
Sjóðið	sbg2fn	sjóða
tagliatelle	e	tagliatelle
pasta	nheo	pasta
samkvæmt	aþ	samkvæmt
leiðbeiningum	nvfþ	leiðbeining
á	aþ	á
umbúðum	nvfþ	umbúð
.	.	.

Ferskt	lhensf	ferskur
pasta	nhen	pasta
er	sfg3en	vera
betra	lhenvm	góður
en	c	en
þurrkað	lhensf	þurrkaður
,	,	,
en	c	en
þó	aa	þó
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
nota	sng	nota
það	fpheo	það
líka	aa	líka
.	.	.

Hellið	sbg2fn	hella
pastanu	nheþg	pasta
í	ao	í
sigti	nheo	sigti
og	c	og
látið	sbg2fn	láta
vatnið	nheog	vatn
renna	sng	renna
af	aa	af
.	.	.

Skerið	sbg2fn	skera
blaðlauk	nkeo	blaðlaukur
og	c	og
rauðlauk	nkeo	rauðlaukur
í	ao	í
bita	nkfo	biti
.	.	.

Hitið	sbg2fn	hita
olíu	nveo	olía
í	aþ	í
potti	nkeþ	pottur
og	c	og
steikið	sbg2fn	steikja
laukinn	nkeog	laukur
þar	aa	þar
til	aa	til
hann	fpken	hann
er	sfg3en	vera
glær	lkensf	glær
og	c	og
blandið	sbg2fn	blanda
saman	aa	saman
við	aa	við
paprikukryddi	nheþ	paprikukrydd
og	c	og
hvítvíni	nheþ	hvítvín
og	c	og
látið	sbg2fn	láta
sjóða	sng	sjóða
aðeins	aa	aðeins
saman	aa	saman
.	.	.

Setjið	sbg2fn	setja
vatn	nheo	vatn
og	c	og
fljótandi	lkeoof	fljótandi
kraft	nkeo	kraftur
saman	aa	saman
við	aa	við
ásamt	aþ	ásamt
rjóma	nkeþ	rjómi
og	c	og
hvítlauk	nkeþ	hvítlaukur
og	c	og
látið	sbg2fn	láta
sjóða	sng	sjóða
saman	aa	saman
.	.	.

Jafnið	sbg2fn	jafna
með	aþ	með
hvítum	lkeþsf	hvítur
maízena	e	maízena
sósujafnara	nkeþ	sósujafnari
og	c	og
látið	sbg2fn	láta
suðuna	nveog	suða
koma	sng	koma
upp	aa	upp
.	.	.

Blandið	sbg2fn	blanda
rækjum	nvfþ	rækja
og	c	og
kræklingi	nkeþ	kræklingur
saman	aa	saman
við	ao	við
sósuna	nveog	sósa
og	c	og
látið	sbg2fn	láta
suðuna	nveog	suða
koma	sng	koma
upp	aa	upp
,	,	,
bætið	sbg2fn	bæta
pasta	nheþ	pasta
því	fpheþ	það
næst	aþe	nærri
saman	aa	saman
við	aa	við
og	c	og
smakkið	sbg2fn	smakka
til	aa	til
með	aþ	með
steinselju	nveþ	steinselja
,	,	,
salti	nheþ	salt
og	c	og
pipar	nkeþ	pipar
.	.	.

Berið	sbg2fn	bera
fram	aa	fram
með	aþ	með
grænum	lvfþsf	grænn
baunum	nvfþ	baun
og	c	og
hvítlauksbrauði	nheþ	hvítlauksbrauð
.	.	.

andar	nvee	önd
tortelonni	e	tortelonni

öndin	nveng	önd
:	:	:
1	ta	1
stór	lvensf	stór
íslensk	lvensf	íslenskur
önd	nven	önd
2	ta	2
fíkjur	nvfn	fíkja
2	ta	2
jólasalatshausar	nkfn	jólasalatshaus
hindberjagljái	nken	hindberjagljái
hunangs-súraldinsósa	nven	hunangssúraldinsósa
pastadeig	nhen	pastadeig
:	:	:
300	ta	300
g	as	g
hveiti	nhen	hveiti
2	ta	2
egg	nhfn	egg
2	ta	2
eggjarauður	nvfn	eggjarauða
1	ta	1
msk	as	msk
.	.	.
olía	nven	olía
10	ta	10
g	as	g
salt	nhen	salt
Pastadeig	nhen	pastadeig
:	:	:
Blandið	sbg2fn	blanda
öllu	foheþ	allur
saman	aa	saman
í	aþ	í
hrærivél	nveþ	hrærivél
og	c	og
geymið	sbg2fn	geyma
í	aþ	í
kæli	nkeþ	kælir
í	ao	í
allavega	aa	allavega
2-3	ta	2-3
tíma	nkfo	tími
fyrir	ao	fyrir
notkun	nveo	notkun
.	.	.

Rúllið	sbg2fn	rúlla
pastadeigið	nheog	pastadeig
í	aþ	í
pastavél	nveþ	pastavél
og	c	og
skerið	sbg2fn	skera
út	aa	út
10-15	ta	10-15
cm	as	cm
langa	lkfosf	langur
hringi	nkfo	hringur
og	c	og
setjið	sbg2fn	setja
rjómaostfyllinguna	nveog	rjómaostfylling
í	ao	í
miðjuna	nveog	miðja
og	c	og
lokið	sbg2fn	loka
eins	aa	eins
og	c	og
þið	fp2fn	þú
væruð	svg2fþ	vera
að	cn	að
gera	sng	gera
hálfmána	nkeo	hálfmáni
.	.	.

Sjóðið	sbg2fn	sjóða
pastað	nheog	pasta
rétt	aa	rétt
fyrir	ao	fyrir
notkun	nveo	notkun
.	.	.

Rjómaostsfylling	nven	rjómaostsfylling
:	:	:
Pastað	nheng	pasta
er	sfg3en	vera
fyllt	sþghen	fylla
með	aþ	með
andalæra-confit	e	andalæra-confit
.	.	.

Þá	aa	þá
eru	sfg3fn	vera
andalærin	nhfng	andalæri
elduð	sþghfn	elda
í	aþ	í
andafitu	nveþ	andafita
,	,	,
en	c	en
ef	c	ef
notuð	sþgven	nota
er	sfg3en	vera
olía	nven	olía
í	ao	í
staðinn	nkeog	staður
er	sfg3en	vera
gott	lhensf	góður
að	cn	að
bragðbæta	sng	bragðbæta
hana	fpveo	hún
með	aþ	með
hvítlauk	nkeþ	hvítlaukur
og	c	og
kryddjurtum	nvfþ	kryddjurt
s.s.	as	s.s.
timjan	nheþ	timjan
og	c	og
rósmarín	nheþ	rósmarín
.	.	.

Kjötið	nheng	kjöt
er	sfg3en	vera
skafið	sþghen	skafa
af	aa	af
,	,	,
saxað	sþghen	saxa
mjög	aa	mjög
fínt	aa	fínt
og	c	og
blandað	sþghen	blanda
saman	aa	saman
við	ao	við
fínt	aa	fínt
skorinn	lkeosf	skorinn
graslauk	nkeo	graslaukur
og	c	og
rjómaost	nkeo	rjómaostur
og	c	og
smakkað	sþghen	smakka
til	aa	til
með	aþ	með
salti	nheþ	salt
og	c	og
pipar	nkeþ	pipar
.	.	.

Hunangs-súraldinsósa	nven	hunangssúraldinsósa
:	:	:
Andabeinin	nhfng	andabein
eru	sfg3fn	vera
bökuð	sþghfn	baka
í	aþ	í
ofni	nkeþ	ofn
við	ao	við
220°C	ta	220°c
þar	aa	þar
til	aa	til
þau	fphfn	það
eru	sfg3fn	vera
orðin	sþghfn	verða
brún	lhfnsf	brúnn
.	.	.

Grænmeti	nhen	grænmeti
skorið	sþghen	skera
gróft	aa	gróft
niður	aa	niður
,	,	,
s.s.	as	s.s.
gulrætur	nvfn	gulrót
,	,	,
sellerírót	nven	sellerírót
,	,	,
steinseljurót	nven	steinseljurót
,	,	,
fennel	nhen	fennel
,	,	,
laukur	nken	laukur
,	,	,
hvítlaukur	nken	hvítlaukur
og	c	og
kryddjurtir	nvfn	kryddjurt
eins	aa	eins
og	c	og
rósmarín	nhen	rósmarín
,	,	,
timjan	nhen	timjan
og	c	og
steinselja	nven	steinselja
.	.	.

Steikið	sbg2fn	steikja
í	aþ	í
potti	nkeþ	pottur
,	,	,
setjið	sbg2fn	setja
andabeinin	nhfog	andabein
ofan	aa	ofan
í	aa	í
og	c	og
bætið	sbg2fn	bæta
í	aa	í
vatni	nheþ	vatn
þar	aa	þar
til	aa	til
flýtur	sfg3en	fljóta
vel	aa	vel
yfir	aa	yfir
og	c	og
sjóðið	sbg2fn	sjóða
í	ao	í
1-2	ta	1-2
klst.	as	klst.

Sigtið	sbg2fn	sigta
grænmetið	nheog	grænmeti
og	c	og
beinin	nhfog	bein
frá	aa	frá
,	,	,
sjóðið	sbg2fn	sjóða
niður	aa	niður
um	ao	um
¾	ta	¾
og	c	og
smakkið	sbg2fn	smakka
til	aa	til
með	aþ	með
hunangi	nheþ	hunang
og	c	og
súraldini	nheþ	súraldin
,	,	,
salti	nheþ	salt
og	c	og
fínum	lkeþsf	fínn
hvítum	lkeþsf	hvítur
pipar	nkeþ	pipar
.	.	.

Íslenskar	lvfnsf	íslenskur
andabringur	nvfn	andabringa
:	:	:
Byrjið	sbg2fn	byrja
á	aþ	á
að	cn	að
skera	sng	skera
skurði	nkfo	skurður
í	ao	í
fituna	nveog	fita
með	aþ	með
2	ta	2
mm	as	mm
millibili	nheþ	millibil
.	.	.

Setjið	sbg2fn	setja
á	ao	á
miðlungsheita	lveosf	miðlungsheitur
pönnu	nveo	panna
með	ao	með
fituna	nveog	fita
niður	aa	niður
,	,	,
og	c	og
hækkið	sbg2fn	hækka
svo	aa	svo
hitann	nkeog	hiti
jafnt	aa	jafnt
og	c	og
þétt	aa	þétt
þar	aa	þar
til	aa	til
fitan	nveng	fita
er	sfg3en	vera
orðin	sþgven	verða
að	aþ	að
fallegri	lveþsf	fallegur
puru	nveþ	pura
.	.	.

Setjið	sbg2fn	setja
inn	aa	inn
í	ao	í
ofn	nkeo	ofn
við	ao	við
150°C	ta	150°c
og	c	og
eldið	sbg2fn	elda
í	ao	í
u.þ.b.	as	u.þ.b.
15-20	ta	15-20
mín.	as	mín.
eða	c	eða
þar	aa	þar
til	aa	til
kjarnhitinn	nkeng	kjarnhiti
er	sfg3en	vera
orðinn	sþgken	verða
um	aa	um
50°C	ta	50°c
.	.	.

Andívur	nvfn	andíva
(	(	(
jólasalat	nhen	jólasalat
)	)	)
:	:	:
Eldaðar	sþgvfn	elda
í	aþ	í
nýpressuðum	lkeþsf	nýpressaður
appelsínusafa	nkeþ	appelsínusafi
ásamt	aþ	ásamt
vanillustöng	nveþ	vanillustöng
sem	ct	sem
er	sfg3en	vera
búið	lhensf	búinn
að	cn	að
kljúfa	sng	kljúfa
.	.	.

Smakkið	sbg2fn	smakka
til	aa	til
með	aþ	með
salti	nheþ	salt
,	,	,
hvítum	lkeþsf	hvítur
pipar	nkeþ	pipar
og	c	og
sítrónusafa	nkeþ	sítrónusafi
.	.	.

Bornar	sþgvfn	bera
fram	aa	fram
undir	aþ	undir
andabringunum	nvfþg	andabringa
.	.	.

Hindberjagljái	nken	hindberjagljái
:	:	:
Eitt	tfhen	einn
box	nhen	box
af	aþ	af
hindberjum	nhfþ	hindber
er	sfg3en	vera
eldað	sþghen	elda
í	aþ	í
potti	nkeþ	pottur
ásamt	aþ	ásamt
1½	ta	1½
msk	as	msk
.	.	.
af	aþ	af
sykri	nkeþ	sykur
og	c	og
1	ta	1
msk	as	msk
.	.	.
af	aþ	af
vatni	nheþ	vatn
.	.	.

Blandið	sbg2fn	blanda
saman	aa	saman
í	ao	í
þykkan	lkeosf	þykkur
hindberjagljáa	nkeo	hindberjagljái
sem	ct	sem
er	sfg3en	vera
síðan	aa	síðan
penslað	sþghen	pensla
ofan	aa	ofan
á	ao	á
fíkjurnar	nvfog	fíkja
sem	ct	sem
eru	sfg3fn	vera
skornar	sþgvfn	skera
í	ao	í
1	ta	1
cm	as	cm
þykkar	lvfosf	þykkur
sneiðar	nvfo	sneið
og	c	og
eldaðar	sþgvfn	elda
í	aþ	í
150°C	ta	150°c
heitum	lkeþsf	heitur
ofni	nkeþ	ofn
í	ao	í
7-10	ta	7-10
mín.	as	mín.

soðnir	lkfnsf	soðinn
kryddaðir	lkfnsf	kryddaður
hafrar	nkfn	hafri
fyrir	ao	fyrir
4	ta	4
4	ta	4
dl	as	dl
vatn	nhen	vatn
2	ta	2
dl	as	dl
heilir	lkfnsf	heill
hafrar	nkfn	hafri
1	ta	1
kanilstöng	nven	kanilstöng
4	ta	4
