spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
Íran	nheþ-s	Íran
og	c	og
Norður-Kóreu	nveþ-s	Norður-Kórea
vegna	ae	vegna
kjarnorkuógnunar	nvee	kjarnorkuógnun
.	.	.
73%	tp	73%
Bandaríkjamanna	nkfe-s	Bandaríkjamaður
sögðu	sfg3fþ	segja
vopnavald	nheo	vopnavald
réttlætanlegt	lheosf	réttlætanlegur
vegna	ae	vegna
þessa	fahee	þessi
en	c	en
aðeins	aa	aðeins
44%	tp	44%
Evrópubúa	nkfe-s	Evrópubúi
.	.	.
Lúalegt	lhensf	lúalegur
að	cn	að
nauðga	sng	nauðga
bændum	nkfþ	bóndi
til	ae	til
eignar	nvee	eign
«	«	«
Mér	fp1eþ	ég
þykir	sfg3en	þykja
frekar	aam	frekar
lúalegt	lhensf	lúalegur
að	cn	að
nauðga	sng	nauðga
bændum	nkfþ	bóndi
til	ae	til
þess	fphee	það
að	cn	að
eignast	snm	eigna
hlut	nkeo	hlutur
í	aþ	í
fyrirtæki	nheþ	fyrirtæki
sem	ct	sem
þeir	fpkfn	hann
kæra	sfg3fn	kæra
sig	fpkfo	sig
ekkert	foheo	enginn
um	aa	um
,	,	,
»	»	»
segir	sfg3en	segja
Kári	nken-s	Kári
Þorgrímsson	nken-s	Þorgrímsson
,	,	,
bóndi	nken	bóndi
í	aþ	í
Garði	nkeþ-s	Garður
2	ta	2
í	aþ	í
Mývatnssveit	nveþ-s	Mývatnssveit
,	,	,
um	ao	um
það	faheo	sá
tilboð	nheo	tilboð
sem	ct	sem
bændum	nkfþ	bóndi
hefur	sfg3en	hafa
borist	ssm	bera
frá	aþ	frá
Norðlenska	lheþvf	norðlenskur
um	ao	um
að	c	að
þeir	fpkfn	hann
leggi	svg3fn	leggja
fjögur	tfhfo	fjórir
prósent	nhfo	prósent
af	aþ	af
afurðaverði	nheþ	afurðaverð
inn	aa	inn
í	ao	í
nýtt	lheosf	nýr
félag	nheo	félag
sem	ct	sem
stofnað	sþghen	stofna
verði	svg3en	verða
um	ao	um
rekstur	nkeo	rekstur
Norðlenska	lheevf	norðlenskur
.	.	.
Þetta	fahen	þessi
kemur	sfg3en	koma
til	ae	til
viðbótar	nvee	viðbót
6	ta	6
til	ae	til
8	ta	8
prósenta	nhfe	prósent
verðlækkun	nveþ	verðlækkun
sem	ct	sem
verður	sfg3en	verða
í	ao	í
haust	nheo	haust
.	.	.
Bændum	nkfþ	bóndi
á	aþ	á
svæði	nheþ	svæði
félagsins	nheeg	félag
hefur	sfg3en	hafa
verið	ssg	vera
sent	sþghen	senda
þetta	fahen	þessi
tilboð	nhen	tilboð
en	c	en
4	ta	4
prósentin	nhfng	prósent
eru	sfg3fn	vera
raunar	aa	raunar
samsvarandi	lhfnof	samsvarandi
því	faheþ	sá
sem	ct	sem
myndi	svg3eþ	munu
kosta	sng	kosta
þá	fpkfo	hann
að	cn	að
flytja	sng	flytja
sláturfé	nheo	sláturfé
til	ae	til
annarra	fokfe	annar
sláturleyfishafa	nkfe	sláturleyfishafi
,	,	,
svo	aa	svo
sem	c	sem
í	aþ	í
Skagafirði	nkeþ-s	Skagafjörður
.	.	.
«	«	«
Það	fphen	það
hefði	svg3eþ	hafa
verið	ssg	vera
miklu	lheþsf	mikill
heiðarlega	aa	heiðarlega
hjá	aþ	hjá
Norðlenska	lheþvf	norðlenskur
að	cn	að
lækka	sng	lækka
verð	nheo	verð
til	ae	til
bænda	nkfe	bóndi
um	ao	um
fjögur	tfhfo	fjórir
prósent	nhfo	prósent
fremur	aam	fremur
en	c	en
að	cn	að
þröngva	sng	þröngva
bændum	nkfþ	bóndi
til	ae	til
eignaraðildar	nvee	eignaraðild
að	aþ	að
félaginu	nheþg	félag
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
allt	fohen	allur
í	aþ	í
lagi	nheþ	lag
fyrir	ao	fyrir
þá	fakfo	sá
sem	ct	sem
vilja	sfg3fn	vilja
en	c	en
verra	lhenvm	verri
með	ao	með
hina	fakfo	hinn
.	.	.
Formaður	nken	formaður
Landssambands	nhee-s	Landssamband
sláturleyfishafa	nkfe	sláturleyfishafi
hefur	sfg3en	hafa
talað	ssg	tala
mikið	aa	mikið
um	ao	um
að	c	að
úrelda	sng	úrelda
þurfi	svg3en	þurfa
sláturhús	nheo	sláturhús
.	.	.
Ef	c	ef
miðað	sþghen	miða
er	sfg3en	vera
við	ao	við
afkomutölur	nvfo	afkomutala
sem	ct	sem
birtust	sfm3fþ	birta
í	aþ	í
Bændablaðinu	nheþgs	Bændablað
má	sfg3en	mega
ljóst	lhensf	ljós
vera	sng	vera
hvaða	fshen	hvaða
hús	nhen	hús
það	fphen	það
ætti	svg3eþ	eiga
að	cn	að
vera	sng	vera
.	.	.
Norðlenska	lhenvf	norðlenskur
,	,	,
»	»	»
segir	sfg3en	segja
Kári	nken-s	Kári
.	.	.
Norðlenska	lhenvf	norðlenskur
hefur	sfg3en	hafa
glímt	ssg	glíma
við	ao	við
gríðarlega	lkfosf	gríðarlegur
rekstrarerfiðleika	nkfo	rekstrarerfiðleikar
undanfarin	lhfosf	undanfarinn
ár	nhfo	ár
.	.	.
Félagið	nheng	félag
hefur	sfg3en	hafa
tapað	ssg	tapa
rúmlega	aa	rúmlega
hálfum	lkeþsf	hálfur
milljarði	nkeþ	milljarður
á	aþ	á
undanförnum	lhfþsf	undanfarinn
tveimur	tfhfþ	tveir
árum	nhfþ	ár
.	.	.
Kári	nken-s	Kári
segir	sfg3en	segja
að	c	að
reynsla	nven	reynsla
bænda	nkfe	bóndi
af	aþ	af
fjárfestingum	nvfþ	fjárfesting
í	aþ	í
afurðastöðvum	nvfþ	afurðastöð
í	aþ	í
landbúnaði	nkeþ	landbúnaður
sé	svg3en	vera
dapurleg	lvensf	dapurlegur
.	.	.
«	«	«
Ég	fp1en	ég
hef	sfg1en	hafa
almennt	aa	almennt
ekki	aa	ekki
verið	ssg	vera
hrifinn	lkensf	hrifinn
af	aþ	af
hugmyndafræðinni	nveþg	hugmyndafræði
um	ao	um
eignarhald	nheo	eignarhald
bænda	nkfe	bóndi
að	aþ	að
afurðastöðvum	nvfþ	afurðastöð
og	c	og
var	sfg1eþ	vera
ekki	aa	ekki
með	aa	með
í	aþ	í
því	fpheþ	það
þegar	c	þegar
farin	sþgven	fara
var	sfg3eþ	vera
sú	faven	sá
leið	nven	leið
með	ao	með
Norðurmjólk	nveo-s	Norðurmjólk
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
hvorki	c	hvorki
áhuga	nkeo	áhugi
né	c	né
vit	nheo	vit
á	aþ	á
þessum	fahfþ	þessi
málum	nhfþ	mál
,	,	,
»	»	»
segir	sfg3en	segja
Kári	nken-s	Kári
.	.	.
Ari	nken-s	Ari
Teitsson	nken-s	Teitsson
,	,	,
formaður	nken	formaður
Bændasamtakanna	nhfegs	Bændasamtök
,	,	,
hefur	sfg3en	hafa
lýst	ssg	lýsa
því	fpheþ	það
að	c	að
hundruð	nhfn	hundrað
sauðfjárbúa	nhfe	sauðfjárbú
gætu	svg3fþ	geta
orðið	ssg	verða
gjaldþrota	lhfnof	gjaldþrota
ef	c	ef
ekki	aa	ekki
verði	svg3en	verða
dregið	sþghen	draga
úr	aþ	úr
framleiðslu	nveþ	framleiðsla
.	.	.
Ari	nken-s	Ari
kennir	sfg3en	kenna
þar	aa	þar
um	aa	um
samkeppni	nveþ	samkeppni
við	ao	við
hvíta	lheovf	hvítur
kjötið	nheog	kjöt
.	.	.
Kári	nken-s	Kári
segir	sfg3en	segja
þetta	faheo	þessi
mikla	lveosf	mikill
einföldun	nveo	einföldun
og	c	og
að	c	að
vandi	nken	vandi
sauðfjárbænda	nkfe	sauðfjárbóndi
sé	svg3en	vera
ekki	aa	ekki
fólginn	sþgken	fela
í	aþ	í
samkeppninni	nveþg	samkeppni
við	ao	við
hvíta	lheovf	hvítur
kjötið	nheog	kjöt
heldur	c	heldur
verði	svg3fn	verða
menn	nkfn	maður
að	cn	að
líta	sng	líta
heildstætt	aa	heildstætt
á	ao	á
greinina	nveog	grein
til	ae	til
að	cn	að
finna	sng	finna
lausnir	nvfo	lausn
.	.	.
«	«	«
Þetta	fahen	þessi
er	sfg3en	vera
varasöm	lvensf	varasamur
umræða	nven	umræða
fyrir	ao	fyrir
sauðfjárbændur	nkfo	sauðfjárbóndi
.	.	.
Ég	fp1en	ég
sé	sfg1en	sjá
ekki	aa	ekki
allan	fokeo	allur
mun	nkeo	munur
á	aþ	á
því	fpheþ	það
hvort	c	hvort
bankinn	nkeng	banki
styður	sfg3en	styðja
svínabóndann	nkeog	svínabóndi
eða	c	eða
ríkið	nheng	ríki
sauðfjárbóndann	nkeog	sauðfjárbóndi
.	.	.
Ég	fp1en	ég
held	sfg1en	halda
að	c	að
sauðfjárbændur	nkfn	sauðfjárbóndi
ættu	svg3fþ	eiga
að	cn	að
taka	sng	taka
það	fpheo	það
til	ae	til
umfjöllunar	nvee	umfjöllun
hvort	c	hvort
þeir	fpkfn	hann
séu	svg3fn	vera
að	cn	að
sinna	sng	sinna
réttum	lkfþsf	réttur
hlutum	nkfþ	hlutur
.	.	.
Fagleg	lvensf	faglegur
og	c	og
fræðileg	lvensf	fræðilegur
umræða	nven	umræða
og	c	og
starfsemi	nven	starfsemi
í	aþ	í
sauðfjárrækt	nveþ	sauðfjárrækt
snýst	sfm3en	snúa
aðallega	aa	aðallega
um	ao	um
að	cn	að
þukla	sng	þukla
hrúta	nkfo	hrútur
.	.	.
Lagt	sþghen	leggja
er	sfg3en	vera
upp	aa	upp
með	ao	með
sauðfjárræktina	nveog	sauðfjárrækt
sem	c	sem
kynbótastarf	nheo	kynbótastarf
og	c	og
allur	foken	allur
slagkraftur	nken	slagkraftur
greinarinnar	nveeg	grein
liggur	sfg3en	liggja
þar	aa	þar
.	.	.
Svínabændur	nkfn	svínabóndi
og	c	og
hænsnabændur	nkfn	hænsnabóndi
flytja	sfg3fn	flytja
einfaldlega	aa	einfaldlega
inn	aa	inn
dýr	nhfo	dýr
frá	aþ	frá
útlöndum	nhfþ	útland
.	.	.
Ef	c	ef
hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
flytja	sng	flytja
inn	aa	inn
korn	nheo	korn
og	c	og
framleiða	sng	framleiða
svínakjöt	nheo	svínakjöt
sem	ct	sem
bolar	sfg3en	bola
í	aa	í
burtu	aa	burtu
kindakjötinu	nheþg	kindakjöt
hljóta	sfg3fn	hljóta
menn	nkfn	maður
að	cn	að
spyrja	sng	spyrja
sig	fpkfo	sig
hvað	fshen	hver
það	fphen	það
er	sfg3en	vera
sem	ct	sem
svínabændur	nkfn	svínabóndi
eru	sfg3fn	vera
að	cn	að
gera	sng	gera
rétt	aa	rétt
en	c	en
sauðfjárbændur	nkfn	sauðfjárbóndi
rangt	aa	rangt
,	,	,
»	»	»
segir	sfg3en	segja
Kári	nken-s	Kári
.	.	.
rt@frettabladid.is	v	rt@frettabladid.is
Gripaflutningabílinn	nkeng	gripaflutningabíll
:	:	:
Ekkert	fohen	enginn
formlegt	lhensf	formlegur
svar	nhen	svar
Landbúnaðarráðuneytið	nhengs	Landbúnaðarráðuneyti
hefur	sfg3en	hafa
ekki	aa	ekki
svarað	ssg	svara
ósk	nveþ	ósk
um	ao	um
innflutningsleyfi	nheo	innflutningsleyfi
vegna	ae	vegna
notaða	lkeevf	notaður
gripaflutningabílsins	nkeeg	gripaflutningabíll
í	aþ	í
Sundahöfn	nveþ-s	Sundahöfn
.	.	.
Guðni	nken-s	Guðni
Ágústsson	nken-s	Ágústsson
landbúnaðarráðherra	nken	landbúnaðarráðherra
hefur	sfg3en	hafa
þó	aa	þó
sagt	ssg	segja
í	aþ	í
fjölmiðlum	nkfþ	fjölmiðill
að	cn	að
senda	sng	senda
eigi	svg3en	eiga
bílinn	nkeog	bíll
úr	aþ	úr
landi	nheþ	land
.	.	.
Rafn	nken-s	Rafn
Guðjónssyni	x	Guðjónsson
hjá	aþ	hjá
Bílasölunni	nveþgs	Bílasala
Hrauni	nheþ-s	Hraun
sagði	sfg3eþ	segja
í	aþ	í
Fréttablaðinu	nheþgs	Fréttablað
á	ao	á
mánudag	nkeo	mánudagur
að	c	að
hann	fpken	hann
teldi	svg3eþ	telja
íslensk	lhfosf	íslenskur
stjórnvöld	nhfo	stjórnvald
ekki	aa	ekki
geta	sng	geta
sent	ssg	senda
gripaflutningabílinn	nkeog	gripaflutningabíll
úr	aþ	úr
landi	nheþ	land
því	fpheþ	það
bílinn	nkeog	bíll
hefði	svg3eþ	hafa
vottorð	nheo	vottorð
um	ao	um
sótthreinsun	nveo	sótthreinsun
frá	aþ	frá
þýskum	lkeþsf	þýskur
dýralækni	nkeþ	dýralæknir
og	c	og
Ísland	nhen-s	Ísland
væri	svg3eþ	vera
innan	ae	innan
Evrópska	lheevf	evrópskur
efnahagssvæðisins	nheeg	efnahagssvæði
.	.	.
Rafn	nken-s	Rafn
vill	sfg3en	vilja
ekkert	foheo	enginn
frekar	aam	frekar
láta	sng	láta
hafa	sng	hafa
eftir	aþ	eftir
sér	fpkeþ	sig
um	ao	um
málið	nheog	mál
að	aþ	að
sinni	nheþ	sinn
.	.	.
«	«	«
Fagleg	lvensf	faglegur
og	c	og
fræðileg	lvensf	fræðilegur
umræða	nven	umræða
og	c	og
starfsemi	nven	starfsemi
í	aþ	í
sauðfjárrækt	nveþ	sauðfjárrækt
snýst	sfm3en	snúa
aðallega	aa	aðallega
um	ao	um
að	cn	að
þukla	sng	þukla
hrúta	nkfo	hrútur
.	.	.
»	»	»
Ingeborg	nven-s	Ingeborg
Midttömme	e	Midttömme
,	,	,
41	ta	41
árs	nhee	ár
prestur	nken	prestur
frá	aþ	frá
Osló	nveþ-s	Osló
,	,	,
var	sfg3eþ	vera
kjörin	sþgven	kjósa
formaður	nken	formaður
norska	lheevf	norskur
prestafélagsins	nheeg	prestafélag
í	aa	í
gær	aa	gær
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
í	aþ	í
103	ta	103
ára	nhfe	ár
sögu	nveþ	saga
félagsins	nheeg	félag
sem	ct	sem
kona	nven	kona
er	sfg3en	vera
kjörin	sþgven	kjósa
til	ae	til
formennsku	nvee	formennska
.	.	.
Að	aþ	að
þessu	faheþ	þessi
sinni	nheþ	sinn
buðu	sfg3fþ	bjóða
tvær	tfvfn	tveir
konur	nvfn	kona
sig	fpvfo	sig
fram	aa	fram
í	ao	í
embættið	nheog	embætti
.	.	.
Midttömme	e	Midttömme
hlaut	sfg3eþ	hljóta
116	ta	116
atkvæði	nhfo	atkvæði
en	c	en
keppinautur	nken	keppinautur
hennar	fpvee	hún
Brita	e	Brita
Hardeberg	e	Hardeberg
hlaut	sfg3eþ	hljóta
82	ta	82
atkvæði	nhfo	atkvæði
.	.	.
Líkt	aa	líkt
og	c	og
víða	aa	víða
annars	fokee	annar
staðar	nkee	staður
er	sfg3en	vera
norska	lvenvf	norskur
kirkjan	nveng	kirkja
íhaldssöm	lvensf	íhaldssamur
.	.	.
Aðeins	aa	aðeins
eru	sfg3fn	vera
40	ta	40
ár	nhfn	ár
síðan	c	síðan
fyrsta	lvenve	fyrstur
konan	nveng	kona
var	sfg3eþ	vera
vígð	sþgven	vígja
til	ae	til
embættis	nhee	embætti
í	aþ	í
Noregi	nkeþ-s	Noregur
en	c	en
þá	aa	þá
var	sfg3eþ	vera
Ingrid	nven-s	Ingrid
Bjerkeås	e	Bjerkeås
vígð	sþgven	vígja
til	ae	til
embættis	nhee	embætti
.	.	.
Tveir	tfkfn	tveir
af	aþ	af
ellefu	tfkfþ	ellefu
biskupum	nkfþ	biskup
lútersku	lveevf	lúterskur
kirkjunnar	nveeg	kirkja
í	aþ	í
Noregi	nkeþ-s	Noregur
eru	sfg3fn	vera
konur	nvfn	kona
.	.	.
Rosmarie	e	Rosmarie
Kohn	e	Kohn
hlaut	sfg3eþ	hljóta
biskupsvígslu	nveo	biskupsvígsla
fyrir	aþ	fyrir
tíu	tfhfþ	tíu
árum	nhfþ	ár
en	c	en
Laila	nven-s	Laila
Riksåsen	e	Riksåsen
Dahl	e	Dahl
var	sfg3eþ	vera
skipuð	sþgven	skipa
fyrr	aam	fyrr
á	aþ	á
þessu	faheþ	þessi
ári	nheþ	ár
.	.	.
Brotthvarf	nhen	brotthvarf
14	ta	14
ára	nhfe	ár
stúlku	nvee	stúlka
:	:	:
Kærður	sþgken	kæra
fyrir	ao	fyrir
mannrán	nheo	mannrán
Yfirvöld	nhfn	yfirvald
í	aþ	í
Bretlandi	nheþ-s	Bretland
hafa	sfg3fn	hafa
birt	ssg	birta
David	e	David
John	e	John
Milner	e	Milner
ákæru	nveo	ákæra
fyrir	ao	fyrir
aðild	nveo	aðild
að	aþ	að
brotthvarfi	nheþ	brotthvarf
Stacey	e	Stacey
Marie	e	Marie
Champ	e	Champ
,	,	,
14	ta	14
ára	nhfe	ár
stúlku	nvee	stúlka
,	,	,
í	aþ	í
liðinni	lveþsf	liðinn
viku	nveþ	vika
.	.	.
Stacey	e	Stacey
og	c	og
Milner	e	Milner
hurfu	sfg3fþ	hverfa
á	ao	á
braut	nveo	braut
en	c	en
fundust	sfm3fþ	finna
eftir	ao	eftir
fjóra	tfkfo	fjórir
daga	nkfo	dagur
.	.	.
Lögregla	nven	lögregla
sagði	sfg3eþ	segja
þá	aa	þá
að	c	að
ekkert	fohen	enginn
benti	svg3eþ	benda
til	ae	til
þess	fphee	það
að	c	að
stúlkunni	nveþg	stúlka
hefði	svg3eþ	hafa
verið	ssg	vera
haldið	sþghen	halda
gegn	aþ	gegn
vilja	nkeþ	vilji
hennar	fpvee	hún
.	.	.
Engu	foheþ	enginn
að	aa	að
síður	aam	síður
hefur	sfg3en	hafa
Milner	e	Milner
verið	ssg	vera
ákærður	sþgken	ákæra
fyrir	ao	fyrir
mannrán	nheo	mannrán
.	.	.
Milner	e	Milner
situr	sfg3en	sitja
nú	aa	nú
í	aþ	í
gæsluvarðhaldi	nheþ	gæsluvarðhald
en	c	en
hann	fpken	hann
kemur	sfg3en	koma
fyrir	ao	fyrir
dómara	nkeo	dómari
í	ao	í
dag	nkeo	dagur
.	.	.
KJARTAN	nken-s	Kjartan
HAUKSSON	nken-s	Hauksson
Heldur	sfg3en	halda
enn	aa	enn
kyrru	lheþsf	kyrr
fyrir	aa	fyrir
í	aþ	í
höfninni	nveþg	höfn
á	aþ	á
Bolungarvík	nveþ-s	Bolungarvík
Veður	nhen	veður
heftir	sfg3en	hefta
för	nveo	för
Kjartans	nkee-s	Kjartan
:	:	:
Vel	aa	vel
úthvíldur	lkensf	úthvíldur
RÓÐUR	nken	róður
Kjartan	nken-s	Kjartan
Hauksson	nken-s	Hauksson
,	,	,
sem	ct	sem
ætlar	sfg3en	ætla
sér	fpkeþ	sig
að	cn	að
róa	sng	róa
hringinn	nkeog	hringur
í	aa	í
kringum	ao	kringum
landið	nheog	land
á	aþ	á
bát	nkeþ	bátur
sínum	fekeþ	sinn
,	,	,
Rödd	nveþ-s	Rödd
hjartans	nheeg	hjarta
,	,	,
er	sfg3en	vera
enn	aa	enn
veðurtepptur	lkensf	veðurtepptur
á	aþ	á
Bolungarvík	nveþ-s	Bolungarvík
en	c	en
þangað	aa	þangað
kom	sfg3eþ	koma
hann	fpken	hann
á	ao	á
laugardaginn	nkeog	laugardagur
var	sfg3eþ	vera
.	.	.
Einn	foken	einn
erfiðasti	lkenve	erfiður
hluti	nken	hluti
leiðarinnar	nveeg	leið
,	,	,
fyrir	ao	fyrir
Hornstrandir	nvfo-s	Hornstrandir
,	,	,
er	sfg3en	vera
fram	aa	fram
undan	aa	undan
en	c	en
Kjartan	nken-s	Kjartan
þarf	sfg3en	þurfa
góðan	lkeosf	góður
meðbyr	nkeo	meðbyr
til	ae	til
að	cn	að
komast	snm	koma
fyrir	ao	fyrir
hann	fpkeo	hann
.	.	.
Síðustu	lkfove	síðari
daga	nkfo	dagur
hafa	sfg3fn	hafa
vindáttir	nvfn	vindátt
verið	ssg	vera
í	aa	í
mót	aa	mót
og	c	og
hafstraumar	nkfn	hafstraumur
erfiðir	lkfnsf	erfiður
og	c	og
því	aa	því
bíður	sfg3en	bíða
Kjartan	nken-s	Kjartan
enn	aa	enn
tækifæris	nhee	tækifæri
.	.	.
Hann	fpken	hann
á	sfg3en	eiga
þó	aa	þó
von	nveo	von
á	aþ	á
að	cn	að
komast	snm	koma
af	aþ	af
stað	nkeþ	staður
í	ao	í
dag	nkeo	dagur
eða	c	eða
á	ao	á
morgun	nkeo	morgunn
í	aþ	í
síðasta	lheþve	síðari
lagi	nheþ	lag
.	.	.
Kjartan	nken-s	Kjartan
hefur	sfg3en	hafa
notað	ssg	nota
tímann	nkeog	tími
til	ae	til
að	cn	að
dytta	sng	dytta
að	aþ	að
farkosti	nkeþ	farkostur
sínum	fekeþ	sinn
og	c	og
hefur	sfg3en	hafa
hvílst	ssm	hvíla
vel	aa	vel
.	.	.
ÞVERRANDI	lvfnof	þverrandi
VINSÆLDIR	nvfn	vinsæld
Evrópubúar	nkfn-s	Evrópubúi
hafa	sfg3fn	hafa
lítið	lheosf	lítill
álit	nheo	álit
á	aþ	á
George	e	George
Bush	e	Bush
Bandaríkjaforseta	nkeþ-s	Bandaríkjaforseti
og	c	og
telja	sfg3fn	telja
forystu	nveo	forysta
Bandaríkjanna	nhfegs	Bandaríki
á	aþ	á
alþjóðavettvangi	nkeþ	alþjóðavettvangur
lítt	aa	lítt
eftirsóknarverða	lveosf	eftirsóknarverður
.	.	.
Stuðningur	nken	stuðningur
Evrópubúa	nkfe-s	Evrópubúi
við	ao	við
Bandaríkin	nhfogs	Bandaríki
:	:	:
Forysta	nven	forysta
Bush	e	Bush
ekki	aa	ekki
eftirsóknarverð	lvensf	eftirsóknarverður
Formannskosningar	nvfn	formannskosning
í	aþ	í
norska	lheþvf	norskur
prestafélaginu	nheþg	prestafélag
:	:	:
Kona	nven	kona
kjörin	sþgven	kjósa
formaður	nken	formaður
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
INGEBORG	nven-s	Ingeborg
MIDTTÖMME	e	MIDTTÖMME
Norska	lhenvf	norskur
prestafélagið	nheng	prestafélag
hefur	sfg3en	hafa
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
í	aþ	í
103	ta	103
ára	nhfe	ár
sögu	nveþ	saga
félagsins	nheeg	félag
,	,	,
kosið	ssg	kjósa
konu	nveo	kona
til	ae	til
formennsku	nvee	formennska
.	.	.
Aðeins	aa	aðeins
eru	sfg3fn	vera
40	ta	40
ár	nhfn	ár
síðan	c	síðan
fyrsta	lvenve	fyrstur
konan	nveng	kona
hlaut	sfg3eþ	hljóta
prestvígslu	nveo	prestvígsla
í	aþ	í
Noregi	nkeþ-s	Noregur
.	.	.
Kári	nken-s	Kári
Þorgrímsson	nken-s	Þorgrímsson
í	aþ	í
Garði	nkeþ-s	Garður
segir	sfg3en	segja
að	c	að
heiðarlegra	lhenvm	heiðarlegur
hefði	svg3eþ	hafa
verið	ssg	vera
af	aþ	af
Norðlenska	lheþvf	norðlenskur
að	cn	að
lækka	sng	lækka
verð	nheo	verð
til	ae	til
bænda	nkfe	bóndi
um	ao	um
4%	tp	4%
.	.	.
Vill	sfg3en	vilja
að	c	að
sauðfjárbændur	nkfn	sauðfjárbóndi
líti	svg3fn	líta
í	ao	í
eigin	lkeoof	eigin
barm	nkeo	barmur
til	ae	til
að	cn	að
meta	sng	meta
hvað	fshen	hver
megi	svg3en	mega
betur	aam	vel
fara	sng	fara
í	aþ	í
sauðfjárræktinni	nveþg	sauðfjárrækt
.	.	.
KINDUR	nvfn	kind
Á	aþ	á
BEIT	nveþ	beit
Kári	nken-s	Kári
Þorgrímsson	nken-s	Þorgrímsson
er	sfg3en	vera
ekki	aa	ekki
hrifinn	lkensf	hrifinn
af	aþ	af
því	fpheþ	það
þegar	c	þegar
bændur	nkfn	bóndi
eru	sfg3fn	vera
dregnir	sþgkfn	draga
inn	aa	inn
í	ao	í
það	fpheo	það
að	cn	að
vera	sng	vera
eigendur	nkfn	eigandi
að	aþ	að
afurðastöðvum	nvfþ	afurðastöð
.	.	.
FÉKK	sfg3eþ	fá
FLUGU	nveo	fluga
Í	ao	í
AUGAÐ	nheog	auga
Veiðimaður	nken	veiðimaður
fékk	sfg3eþ	fá
flugu	nveo	fluga
í	ao	í
augað	nheog	auga
þegar	c	þegar
hann	fpken	hann
var	sfg3eþ	vera
við	ao	við
veiðar	nvfo	veiði
í	aþ	í
Langá	nveþ-s	Langá
í	ao	í
gærmorgun	nkeo	gærmorgunn
.	.	.
Félagar	nkfn	félagi
hans	fpkee	hann
fluttu	sfg3fþ	flytja
hann	fpkeo	hann
á	ao	á
Heilsugæslustöðina	nveogs	Heilsugæslustöð
í	aþ	í
Borgarnesi	nheþ-s	Borgarnes
til	ae	til
skoðunar	nvee	skoðun
.	.	.
Hann	fpken	hann
reyndist	sfm3eþ	reyna
ekki	aa	ekki
vera	sng	vera
alvarlega	aa	alvarlega
slasaður	lkensf	slasaður
á	aþ	á
auganu	nheþg	auga
.	.	.
STÚTUR	nken	stútur
UNDIR	aþ	undir
STÝRI	nheþ	stýri
Ölvaður	lkensf	ölvaður
ökumaður	nken	ökumaður
var	sfg3eþ	vera
stöðvaður	sþgken	stöðva
af	aþ	af
lögreglunni	nveþg	lögregla
á	aþ	á
Húsavík	nveþ-s	Húsavík
í	ao	í
fyrrakvöld	nheo	fyrrakvöld
.	.	.
Lögreglan	nveng	lögregla
var	sfg3eþ	vera
við	ao	við
venjubundið	lheosf	venjubundinn
eftirlit	nheo	eftirlit
og	c	og
þótti	sfg3eþ	þykja
ökulag	nhen	ökulag
mannsins	nkeeg	maður
athugavert	lhensf	athugaverður
.	.	.
Atvinnuleysi	nhen	atvinnuleysi
4,3%	tp	4,3%
í	aþ	í
Noregi	nkeþ-s	Noregur
:	:	:
Ekki	aa	ekki
mælst	ssm	mæla
meira	aam	meira
í	ao	í
7	ta	7
ár	nhfo	ár
Atvinnuleysi	nhen	atvinnuleysi
í	aþ	í
Noregi	nkeþ-s	Noregur
mælist	sfm3en	mæla
nú	aa	nú
4,3%	tp	4,3%
,	,	,
jókst	sfm3eþ	auka
um	ao	um
0,2%	tp	0,2%
frá	aþ	frá
júlímánuði	nkeþ	júlímánuður
.	.	.
Fyrir	aþ	fyrir
ári	nheþ	ár
mældist	sfm3eþ	mæla
atvinnuleysið	nheng	atvinnuleysi
3,5%	tp	3,5%
og	c	og
hefur	sfg3en	hafa
því	aa	því
aukist	ssm	auka
um	ao	um
fjórðung	nkeo	fjórðungur
.	.	.
Atvinnuleysið	nheng	atvinnuleysi
í	aþ	í
ágúst	nkeþ	ágúst
er	sfg3en	vera
hið	ghen	hinn
mesta	lhenve	mikill
sem	ct	sem
mælst	ssm	mæla
hefur	sfg3en	hafa
í	aþ	í
Noregi	nkeþ-s	Noregur
í	ao	í
sjö	tfhfo	sjö
ár	nhfo	ár
að	aþ	að
sögn	nveþ	sögn
vinnumálaskrifstofu	nvee	vinnumálaskrifstofa
Noregs	nkee-s	Noregur
.	.	.
Meginskýring	nven	meginskýring
vaxandi	lheeof	vaxandi
atvinnuleysis	nhee	atvinnuleysi
er	sfg3en	vera
samdráttur	nken	samdráttur
í	aþ	í
tæknigreinum	nvfþ	tæknigrein
.	.	.
Tæplega	aa	tæplega
102.000	ta	102.000
Norðmenn	nkfn-s	Norðmaður
eru	sfg3fn	vera
án	ae	án
atvinnu	nvee	atvinna
,	,	,
fjölgaði	sfg3eþ	fjölga
um	aa	um
tæplega	aa	tæplega
4.000	ta	4.000
manns	nkee	maður
