annarra	fokfe	annar
opinberrar	lveesf	opinber
fjölskyldustefnu	nvee	fjölskyldustefna
í	aþ	í
landinu	nheþg	land
.	.	.

Í	aþ	í
þingsályktuninni	nveþg	þingsályktun
frá	aþ	frá
1997	ta	1997
er	sfg3en	vera
viðurkennt	sþghen	viðurkenna
að	c	að
fjölskyldan	nveng	fjölskylda
sé	svg3en	vera
hornsteinn	nken	hornsteinn
íslensks	lheesf	íslenskur
samfélags	nhee	samfélag
og	c	og
uppspretta	nven	uppspretta
lífsgilda	nhfe	lífsgildi
.	.	.

Þar	aa	þar
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
ríkisstjórn	nveþ	ríkisstjórn
og	c	og
sveitarstjórnum	nvfþ	sveitarstjórn
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
beri	svg3en	bera
að	cn	að
marka	sng	marka
sér	fpvfþ	sig
opinbera	lveosf	opinber
stefnu	nveo	stefna
í	aþ	í
málefnum	nhfþ	málefni
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Markmið	nhen	markmið
opinberrar	lveesf	opinber
fjölskyldustefnu	nvee	fjölskyldustefna
skal	sfg3en	skulu
vera	sng	vera
að	cn	að
efla	sng	efla
fjölskylduna	nveog	fjölskylda
í	aþ	í
nútímaþjóðfélagi	nheþ	nútímaþjóðfélag
og	c	og
styrkja	sng	styrkja
hana	fpveo	hún
og	c	og
vernda	sng	vernda
án	ae	án
tillits	nhee	tillit
til	ae	til
gerðar	nvee	gerður
hennar	fpvee	hún
og	c	og
búsetu	nvee	búseta
.	.	.

Í	aþ	í
þingsályktuninni	nveþg	þingsályktun
segir	sfg3en	segja
ennfremur	aa	ennfremur
að	c	að
verkefni	nhfn	verkefni
slíkrar	fbvee	slíkur
fjölskyldustefnu	nvee	fjölskyldustefna
séu	svg3fn	vera
margþætt	lhfnsf	margþættur
og	c	og
snerti	svg3fn	snerta
öll	fohfo	allur
svið	nhfo	svið
þjóðlífsins	nheeg	þjóðlíf
og	c	og
að	c	að
hún	fpven	hún
spanni	svg3en	spanna
því	fpheþ	það
nánast	aae	náið
öll	fohfo	allur
viðfangsefni	nhfo	viðfangsefni
opinberrar	lveesf	opinber
stjórnsýslu	nvee	stjórnsýsla
(	(	(
Félagsmálaráðuneytið	nheng	félagsmálaráðuneyti
,	,	,
2001	ta	2001
)	)	)
.	.	.

147	ta	147
Fjölskylduráð	nhen	fjölskylduráð
er	sfg3en	vera
staðsett	sþghen	staðsetja
í	aþ	í
félagsmálaráðuneytinu	nheþg	félagsmálaráðuneyti
og	c	og
vinnur	sfg3en	vinna
þar	aa	þar
að	aþ	að
mótun	nveþ	mótun
fjölskyldustefnunnar	nveeg	fjölskyldustefna
.	.	.

Ráðið	nheng	ráð
vill	sfg3en	vilja
m.a.	as	m.a.
efla	sng	efla
uppeldi	nheo	uppeldi
foreldra	nkfe	foreldrar
á	aþ	á
börnum	nhfþ	barn
sínum	fehfþ	sinn
með	aþ	með
því	fpheþ	það
að	c	að
foreldrarnir	nkfng	foreldrar
annist	svm3fn	anna
uppfræðslu	nveo	uppfræðsla
barnanna	nhfeg	barn
svo	aa	svo
þau	fphfn	það
verði	svg3fn	verða
sjálfstæðir	lkfnsf	sjálfstæður
og	c	og
ábyrgir	lkfnsf	ábyrgur
einstaklingar	nkfn	einstaklingur
.	.	.

Samtímis	aa	samtímis
vill	sfg3en	vilja
ráðið	nheng	ráð
stórauka	sng	stórauka
fræðslu	nveo	fræðsla
til	ae	til
foreldra	nkfe	foreldrar
og	c	og
í	aþ	í
því	faheþ	sá
skyni	nheþ	skyn
er	sfg3en	vera
þörf	nven	þörf
á	aþ	á
öflugri	lveþsf	öflugur
fjölskylduráðgjöf	nveþ	fjölskylduráðgjöf
á	aþ	á
vegum	nkfþ	vegur
ríkis	nhee	ríki
og	c	og
sveitarfélaga	nhfe	sveitarfélag
.	.	.

Fjölskylduráð	nhen	fjölskylduráð
bendir	sfg3en	benda
m.a.	as	m.a.
á	ao	á
að	c	að
þjónusta	nven	þjónusta
af	aþ	af
þessu	faheþ	þessi
tagi	nheþ	tag
hafi	svg3en	hafa
forvarnargildi	nheo	forvarnargildi
og	c	og
sé	svg3en	vera
auk	ae	auk
þess	fphee	það
mikilvægur	lkensf	mikilvægur
liður	nken	liður
í	aþ	í
að	cn	að
draga	sng	draga
úr	aþ	úr
afleiðingum	nvfþ	afleiðing
fjölskylduerfiðleika	nkfe	fjölskylduerfiðleikar
(	(	(
Félagsmálaráðuneytið	nheng	félagsmálaráðuneyti
,	,	,
2001	ta	2001
)	)	)
.	.	.

148	ta	148
Ráðið	nheng	ráð
leggur	sfg3en	leggja
einnig	aa	einnig
áherslu	nveo	áhersla
á	ao	á
að	c	að
skilyrði	nhfn	skilyrði
skapist	svm3en	skapa
til	ae	til
jafnvægis	nhee	jafnvægi
milli	ae	milli
fjölskyldulífs	nhee	fjölskyldulíf
og	c	og
atvinnulífs	nhee	atvinnulíf
.	.	.

Þetta	faheo	þessi
megi	svg3en	mega
t.d.	as	t.d.
gera	sng	gera
með	aþ	með
sveigjanlegum	lkeþsf	sveigjanlegur
vinnutíma	nkeþ	vinnutími
og	c	og
umburðarlyndi	nheþ	umburðarlyndi
gagnvart	aþ	gagnvart
fjarveru	nveþ	fjarvera
foreldra	nkfe	foreldrar
vegna	ae	vegna
barna	nhfe	barn
sinna	fehfe	sinn
.	.	.

Þá	aa	þá
er	sfg3en	vera
einnig	aa	einnig
undirstrikað	sþghen	undirstrika
mikilvægi	nhen	mikilvægi
þess	fphee	það
að	c	að
foreldrum	nkfþ	foreldrar
fatlaðra	lkfesf	fatlaður
og	c	og
/	/	/
eða	c	eða
langveikra	lhfesf	langveikur
barna	nhfe	barn
sé	svg3en	vera
veitt	sþgven	veita
þverfagleg	lvensf	þverfaglegur
aðstoð	nven	aðstoð
og	c	og
að	c	að
rannsóknir	nvfn	rannsókn
séu	svg3fn	vera
auknar	lvfnsf	aukinn
á	aþ	á
högum	nkfþ	hagur
fjölskyldunnar	nveeg	fjölskylda
.	.	.

Í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
þingsályktunina	nveog	þingsályktun
frá	aþ	frá
1997	ta	1997
hafa	sfg3fn	hafa
sveitarstjórnir	nvfn	sveitarstjórn
hafið	ssg	hefja
mótun	nveo	mótun
fjölskyldustefnu	nvee	fjölskyldustefna
sinna	fehfe	sinn
sveitarfélaga	nhfe	sveitarfélag
og	c	og
hafa	sfg3fn	hafa
sumar	fovfn	sumur
þegar	c	þegar
lokið	ssg	ljúka
þeirri	faveþ	sá
vinnu	nveþ	vinna
.	.	.

Þannig	aa	þannig
var	sfg3eþ	vera
t.d.	as	t.d.
fjölskyldustefna	nven	fjölskyldustefna
Akureyrarbæjar	nkee-s	Akureyrarbær
samþykkt	sþgven	samþykkja
í	aþ	í
bæjarstjórn	nveþ	bæjarstjórn
9.	ta	9.
apríl	nkeo	apríl
2002	ta	2002
(	(	(
Akureyrarbær	nken-s	Akureyrarbær
,	,	,
2002	ta	2002
)	)	)
.	.	.

Sú	faven	sá
fjölskyldustefna	nven	fjölskyldustefna
greinir	sfg3en	greina
frá	aþ	frá
því	fpheþ	það
hvernig	aa	hvernig
yfirvöld	nhfn	yfirvald
bæjarins	nkeeg	bær
ætla	sfg3fn	ætla
að	cn	að
koma	sng	koma
til	ae	til
móts	nhee	mót
við	ao	við
barnafjölskyldur	nvfo	barnafjölskylda
og	c	og
gera	sng	gera
þeim	fpvfþ	hún
auðveldara	lheovm	auðveldur
að	cn	að
sinna	sng	sinna
hlutverki	nheþ	hlutverk
sínu	feheþ	sinn
.	.	.

Í	aþ	í
stefnu	nveþ	stefna
bæjarins	nkeeg	bær
í	aþ	í
fjölskyldumálum	nhfþ	fjölskyldumál
eru	sfg3fn	vera
greindir	sþgkfn	greina
tilteknir	lkfnsf	tiltekinn
þættir	nkfn	þáttur
í	aþ	í
verkefnum	nhfþ	verkefni
bæjarins	nkeeg	bær
sem	ct	sem
varða	sfg3fn	varða
barnafjölskyldur	nvfo	barnafjölskylda
og	c	og
hlutverk	nheo	hlutverk
þeirra	fpvfe	hún
.	.	.

Þar	aa	þar
er	sfg3en	vera
skýrt	sþghen	skýra
frá	aþ	frá
því	fpheþ	það
hvernig	aa	hvernig
nýta	sng	nýta
megi	svg3en	mega
sem	aa	sem
best	aae	vel
þjónustu	nveo	þjónusta
bæjarins	nkeeg	bær
,	,	,
hvernig	aa	hvernig
megi	svg3en	mega
bæta	sng	bæta
hana	fpveo	hún
og	c	og
hvernig	aa	hvernig
megi	svg3en	mega
auka	sng	auka
nýtingu	nveo	nýting
hennar	fpvee	hún
og	c	og
áhrif	nhfo	áhrif
fjölskyldna	nvfe	fjölskylda
á	ao	á
hana	fpveo	hún
.	.	.

Gert	sþghen	gera
er	sfg3en	vera
ráð	nhen	ráð
fyrir	aþ	fyrir
að	c	að
allar	fovfn	allur
deildir	nvfn	deild
bæjarins	nkeeg	bær
taki	svg3fn	taka
mið	nheo	mið
af	aþ	af
fjölskyldustefnunni	nveþg	fjölskyldustefna
við	ao	við
mótun	nveo	mótun
starfsáætlana	nvfe	starfsáætlun
sinna	fevfe	sinn
.	.	.

Þá	aa	þá
er	sfg3en	vera
yfirleitt	aa	yfirleitt
gengið	sþghen	ganga
út	aa	út
frá	aþ	frá
því	fpheþ	það
að	c	að
einn	tfken	einn
aðili	nken	aðili
beri	svg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
hverju	foheþ	hver
verkefni	nheþ	verkefni
í	aþ	í
stefnunni	nveþg	stefna
og	c	og
að	c	að
hann	fpken	hann
geti	svg3en	geta
eftir	aþ	eftir
þörfum	nvfþ	þörf
kallað	ssg	kalla
aðra	fokfo	annar
til	ae	til
samstarfs	nhee	samstarf
um	ao	um
úrlausn	nveo	úrlausn
verkefna	nhfe	verkefni
.	.	.

Hér	aa	hér
er	sfg3en	vera
um	ao	um
metnaðarfulla	lveosf	metnaðarfullur
fjölskyldustefnu	nveo	fjölskyldustefna
að	cn	að
ræða	sng	ræða
sem	ct	sem
lofar	sfg3en	lofa
góðu	lheþsf	góður
fyrir	ao	fyrir
framtíð	nveo	framtíð
fjölskyldna	nvfe	fjölskylda
í	aþ	í
bæjarfélaginu	nheþg	bæjarfélag
.	.	.

Mikilvægur	lkensf	mikilvægur
liður	nken	liður
í	aþ	í
eflingu	nveþ	efling
fjölskyldunnar	nveeg	fjölskylda
er	sfg3en	vera
opinber	lvensf	opinber
stefnumótun	nven	stefnumótun
í	aþ	í
málefnum	nhfþ	málefni
barna	nhfe	barn
og	c	og
unglinga	nkfe	unglingur
með	ao	með
geðraskanir	nvfo	geðröskun
.	.	.

Um	ao	um
þetta	faheo	þessi
efni	nheo	efni
hafa	sfg3fn	hafa
m.a.	as	m.a.
tveir	tfkfn	tveir
hjúkrunarfræðinemar	nkfn	hjúkrunarfræðinemi
við	ao	við
Háskólann	nkeogs	Háskóli
á	aþ	á
Akureyri	nveþ-s	Akureyri
fjallað	ssg	fjalla
í	aþ	í
lokaverkefni	nheþ	lokaverkefni
sínu	feheþ	sinn
til	ae	til
B.Sc-prófs	nkee-s	B.Sc-próf
(	(	(
Karólína	nven-s	Karólína
Baldvinsdóttir	nven-s	Baldvinsdóttir
og	c	og
Sif	nven-s	Sif
Bjarklind	nven-s	Bjarklind
Ólafsdóttir	nven-s	Ólafsdóttir
,	,	,
2002	ta	2002
)	)	)
.	.	.

Þar	aa	þar
er	sfg3en	vera
rætt	sþghen	ræða
um	ao	um
geðheilbrigðismál	nhfo	geðheilbrigðismál
barna	nhfe	barn
og	c	og
unglinga	nkfe	unglingur
,	,	,
m.a.	as	m.a.
alþjóðlega	lveosf	alþjóðlegur
stefnumörkun	nveo	stefnumörkun
í	aþ	í
geðheilbrigðismálum	nhfþ	geðheilbrigðismál
þessa	fakee	þessi
aldurshóps	nkee	aldurshópur
,	,	,
geðheilbrigðisþjónustu	nveo	geðheilbrigðisþjónusta
á	aþ	á
Íslandi	nheþ-s	Ísland
og	c	og
stefnumótun	nveo	stefnumótun
í	aþ	í
málefnum	nhfþ	málefni
barna	nhfe	barn
og	c	og
unglinga	nkfe	unglingur
með	ao	með
geðraskanir	nvfo	geðröskun
.	.	.

Ljóst	lhensf	ljós
er	sfg3en	vera
að	c	að
mikið	lhensf	mikill
hefur	sfg3en	hafa
áunnist	ssm	ávinna
í	aþ	í
þessum	fahfþ	þessi
málum	nhfþ	mál
á	aþ	á
undanförnum	lkfþsf	undanfarinn
áratugum	nkfþ	áratugur
en	c	en
hitt	fahen	hinn
er	sfg3en	vera
ekki	aa	ekki
síður	aam	síður
ljóst	lhensf	ljós
að	c	að
mikið	lheosf	mikill
þarf	sfg3en	þurfa
að	cn	að
gera	sng	gera
í	aþ	í
þeim	fphfþ	það
svo	aa	svo
viðunandi	lhenof	viðunandi
sé	svg3en	vera
fyrir	ao	fyrir
aldurshópinn	nkeog	aldurshópur
og	c	og
ekki	aa	ekki
síst	aae	síður
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
búsetu	nvee	búseta
hans	fpkee	hann
.	.	.

7.2.6	ta	7.2.6
Tölfræði	nven	tölfræði
fjölskyldunnar	nveeg	fjölskylda
í	aþ	í
hnotskurn	nveþ	hnotskurn
Hér	aa	hér
á	aa	á
eftir	aa	eftir
verður	sfg3en	verða
brugðið	sþghen	bregða
upp	aa	upp
nokkrum	fovfþ	nokkur
tölfræðilegum	lvfþsf	tölfræðilegur
staðreyndum	nvfþ	staðreynd
um	ao	um
fjölskylduna	nveog	fjölskylda
um	ao	um
aldamótin	nhfog	aldamót
síðustu	lhfove	síðari
og	c	og
á	aþ	á
seinni	lkeþvm	seinn
helmingi	nkeþ	helmingur
20.	ta	20.
aldar	nvee	öld
.	.	.

Upplýsingar	nvfn	upplýsing
Hagstofunnar	nveegs	Hagstofa
um	ao	um
mannfjölda	nkeo	mannfjöldi
eftir	aþ	eftir
kyni	nheþ	kyn
,	,	,
aldri	nkeþ	aldur
og	c	og
borgaralegri	lveþsf	borgaralegur
stöðu	nveþ	staða
31.	ta	31.
desember	nkeo	desember
2000	ta	2000
sýna	sfg3fn	sýna
að	c	að
af	aþ	af
283.361	ta	283.361
landsmanni	nkeþ	landsmaður
er	sfg3en	vera
121.371	ta	121.371
giftur	lkensf	giftur
eða	c	eða
í	aþ	í
sambúð	nveþ	sambúð
,	,	,
þ.e.	as	þ.e.
42,8%	tp	42,8%
landsmanna	nkfe	landsmaður
.	.	.

Í	aþ	í
töflunni	nveþg	tafla
hér	aa	hér
að	aa	að
neðan	aa	neðan
getur	sfg3en	geta
að	cn	að
líta	sng	líta
sundurliðaðar	lvfosf	sundurliðaður
upplýsingar	nvfo	upplýsing
Hagstofunnar	nveegs	Hagstofa
um	ao	um
hjúskaparstöðu	nveo	hjúskaparstaða
Íslendinga	nkfe-s	Íslendingur
árið	nheog	ár
2000	ta	2000
:	:	:
Næsta	lvenve	næstur
tafla	nven	tafla
sýnir	sfg3en	sýna
þá	fakfo	sá
sem	ct	sem
eru	sfg3fn	vera
áður	aa	áður
giftir	lkfnsf	giftur
eða	c	eða
kvæntir	lkfnsf	kvæntur
31.	ta	31.
desember	nkeo	desember
árið	nheog	ár
2000	ta	2000
og	c	og
skiptingu	nveo	skipting
þeirra	fpkfe	hann
í	ao	í
ekkla	nkfo	ekkill
eða	c	eða
ekkjur	nvfo	ekkja
.	.	.

Einnig	aa	einnig
sýnir	sfg3en	sýna
hún	fpven	hún
þá	fakfo	sá
sem	ct	sem
eru	sfg3fn	vera
skildir	lkfnsf	skilinn
að	aþ	að
lögum	nhfþ	lag
:	:	:
Fyrsti	lkenve	fyrstur
dálkurinn	nkeng	dálkur
sýnir	sfg3en	sýna
mannfjöldann	nkeog	mannfjöldi
í	aþ	í
heild	nveþ	heild
.	.	.

Næsti	lkenve	næstur
dálkur	nken	dálkur
sýnir	sfg3en	sýna
fjölda	nkeo	fjöldi
þeirra	fakfe	sá
sem	ct	sem
eru	sfg3fn	vera
giftir	lkfnsf	giftur
eða	c	eða
kvæntir	lkfnsf	kvæntur
og	c	og
einnig	aa	einnig
þá	fakfo	sá
sem	ct	sem
eru	sfg3fn	vera
í	aþ	í
sambúð	nveþ	sambúð
án	ae	án
þess	fphee	það
að	cn	að
vera	sng	vera
giftir	lkfnsf	giftur
eða	c	eða
kvæntir	lkfnsf	kvæntur
.	.	.

Þriðji	lkenvf	þriðji
dálkurinn	nkeng	dálkur
sýnir	sfg3en	sýna
þá	fakfo	sá
sem	ct	sem
dvelja	sfg3fn	dvelja
í	aþ	í
samvistum	nvfþ	samvist
við	ao	við
maka	nkeo	maki
sinn	fekeo	sinn
,	,	,
en	c	en
sá	faken	sá
fjórði	lkenvf	fjórði
sýnir	sfg3en	sýna
fjölda	nkeo	fjöldi
þeirra	fakfe	sá
sem	ct	sem
slitið	ssg	slíta
hafa	sfg3fn	hafa
löglegum	lvfþsf	löglegur
samvistum	nvfþ	samvist
.	.	.

Loks	aa	loks
sýnir	sfg3en	sýna
fimmti	lkenvf	fimmti
og	c	og
síðasti	lkenve	síðari
dálkurinn	nkeng	dálkur
þá	fakfo	sá
sem	ct	sem
eru	sfg3fn	vera
í	aþ	í
sambúð	nveþ	sambúð
án	ae	án
þess	fphee	það
að	cn	að
vera	sng	vera
giftir	lkfnsf	giftur
eða	c	eða
kvæntir	lkfnsf	kvæntur
.	.	.

Séu	svg3fn	vera
tölurnar	nvfng	tala
í	aþ	í
dálki	nkeþ	dálkur
3	ta	3
,	,	,
4	ta	4
og	c	og
5	ta	5
lagðar	sþgvfn	leggja
saman	aa	saman
fæst	sfm3en	fá
samtalan	nveng	samtala
sem	ct	sem
birtist	sfm3en	birta
í	aþ	í
dálki	nkeþ	dálkur
tvö	ta	tvö
.	.	.

Meðalaldur	nken	meðalaldur
brúðguma	nkfe	brúðgumi
og	c	og
brúða	nvfe	brúður
hefur	sfg3en	hafa
farið	ssg	fara
hækkandi	slg	hækka
á	aþ	á
undanförnum	lkfþsf	undanfarinn
áratugum	nkfþ	áratugur
.	.	.

Frá	aþ	frá
því	fpheþ	það
á	aþ	á
sjöunda	lkeþvf	sjöundi
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
hefur	sfg3en	hafa
meðalaldur	nken	meðalaldur
brúðguma	nkfe	brúðgumi
hækkað	ssg	hækka
úr	aþ	úr
tæplega	aa	tæplega
27	ta	27
árum	nhfþ	ár
í	ao	í
tæplega	aa	tæplega
34	ta	34
ár	nhfo	ár
.	.	.

Meðalaldur	nken	meðalaldur
brúða	nvfe	brúður
hefur	sfg3en	hafa
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
hækkað	ssg	hækka
úr	aþ	úr
24	ta	24
árum	nhfþ	ár
í	ao	í
31	ta	31
ár	nhfo	ár
.	.	.

Þá	aa	þá
hefur	sfg3en	hafa
meðalaldur	nken	meðalaldur
áður	aa	áður
kvæntra	lkfesf	kvæntur
brúðguma	nkfe	brúðgumi
hækkað	ssg	hækka
úr	aþ	úr
40	ta	40
árum	nhfþ	ár
í	ao	í
tæp	lhfosf	tæpur
45	ta	45
ár	nhfo	ár
og	c	og
áður	aa	áður
giftra	lvfesf	giftur
brúða	nvfe	brúður
úr	aþ	úr
36	ta	36
árum	nhfþ	ár
í	ao	í
41	ta	41
ár	nhfo	ár
.	.	.

Meðalaldur	nken	meðalaldur
áður	aa	áður
ókvæntra	lkfesf	ókvæntur
brúðguma	nkfe	brúðgumi
hefur	sfg3en	hafa
einnig	aa	einnig
hækkað	ssg	hækka
úr	aþ	úr
tæpum	lhfþsf	tæpur
26	ta	26
árum	nhfþ	ár
á	aþ	á
sjöunda	lkeþvf	sjöundi
áratugnum	nkeþg	áratugur
í	ao	í
31	ta	31
ár	nhfo	ár
á	aþ	á
tíunda	lkeþvf	tíundi
áratugnum	nkeþg	áratugur
.	.	.

Meðalaldur	nken	meðalaldur
áður	aa	áður
ókvæntra	lvfesf	ókvæntur
brúða	nvfe	brúður
hefur	sfg3en	hafa
sömuleiðis	aa	sömuleiðis
hækkað	ssg	hækka
úr	aþ	úr
liðlega	aa	liðlega
23	ta	23
árum	nhfþ	ár
á	aþ	á
sjöunda	lkeþvf	sjöundi
áratugnum	nkeþg	áratugur
í	ao	í
29	ta	29
ár	nhfo	ár
á	aþ	á
tíunda	lkeþvf	tíundi
áratugnum	nkeþg	áratugur
.	.	.

Áttundi	lkenvf	áttundi
áratugurinn	nkeng	áratugur
sker	sfg3en	skera
sig	fpkeo	sig
úr	aa	úr
að	aþ	að
því	faheþ	sá
leyti	nheþ	leyti
að	c	að
þá	aa	þá
lækkar	sfg3en	lækka
í	aþ	í
raun	nveþ	raun
meðalaldur	nken	meðalaldur
áður	aa	áður
kvæntra	lkfesf	kvæntur
og	c	og
ókvæntra	lkfesf	ókvæntur
brúðguma	nkfe	brúðgumi
og	c	og
áður	aa	áður
ógiftra	lvfesf	ógiftur
og	c	og
giftra	lvfesf	giftur
brúða	nvfe	brúður
.	.	.

Frá	aþ	frá
1991	ta	1991
til	aa	til
2000	ta	2000
fjölgar	sfg3en	fjölga
íslenskum	lvfþsf	íslenskur
kjarnafjölskyldum	nvfþ	kjarnafjölskylda
.	.	.

Af	aþ	af
þessum	favfþ	þessi
fjölskyldum	nvfþ	fjölskylda
eru	sfg3fn	vera
um	aa	um
62%	tp	62%
búsett	lhfnsf	búsettur
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
árið	nheog	ár
2000	ta	2000
:	:	:
Frá	aþ	frá
1991	ta	1991
til	aa	til
2000	ta	2000
fjölgar	sfg3en	fjölga
hjónaböndum	nhfþ	hjónaband
án	ae	án
barna	nhfe	barn
um	ao	um
tæp	lhfosf	tæpur
8%	tp	8%
og	c	og
hjónaböndum	nhfþ	hjónaband
með	aþ	með
börnum	nhfþ	barn
um	aa	um
tæplega	aa	tæplega
1%	tp	1%
.	.	.

Feðrum	nkfþ	faðir
með	ao	með
börn	nhfo	barn
fjölgar	sfg3en	fjölga
um	ao	um
52%	tp	52%
frá	aþ	frá
1991	ta	1991
.	.	.

Mæðrum	nvfþ	móðir
með	ao	með
börn	nhfo	barn
fjölgar	sfg3en	fjölga
um	ao	um
30%	tp	30%
frá	aþ	frá
1991	ta	1991
.	.	.

Um	ao	um
41%	tp	41%
einstæðra	lkfesf	einstæður
feðra	nkfe	faðir
býr	sfg3en	búa
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
árið	nheog	ár
2000	ta	2000
og	c	og
28%	tp	28%
einstæðra	lvfesf	einstæður
mæðra	nvfe	móðir
.	.	.

Kjarnafjölskyldum	nvfþ	kjarnafjölskylda
fjölgar	sfg3en	fjölga
um	ao	um
12%	tp	12%
frá	aþ	frá
1991	ta	1991
til	aa	til
2000	ta	2000
.	.	.

Á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
eykst	sfm3en	auka
mannfjöldinn	nkeng	mannfjöldi
í	aþ	í
landinu	nheþg	land
um	ao	um
9%	tp	9%
.	.	.

Hlutfall	nhen	hlutfall
einhleypra	lkfesf	einhleypur
karla	nkfe	karl
eldri	lkfevm	gamall
en	c	en
18	ta	18
ára	nhfe	ár
sem	ct	sem
búa	sfg3fn	búa
ásamt	aþ	ásamt
börnum	nhfþ	barn
eykst	sfm3en	auka
á	aþ	á
tímabilinu	nheþg	tímabil
1995-1999	ta	1995-1999
.	.	.

Aukningin	nveng	aukning
er	sfg3en	vera
úr	aþ	úr
0,5%	tp	0,5%
í	ao	í
0,7%	tp	0,7%
.	.	.

Hlutfall	nhen	hlutfall
samsvarandi	lkeeof	samsvarandi
hóps	nkee	hópur
kvenna	nvfe	kona
eykst	sfm3en	auka
úr	aþ	úr
liðlega	aa	liðlega
7%	tp	7%
í	ao	í
tæp	lhfosf	tæpur
9%	tp	9%
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
en	c	en
árið	nheog	ár
2000	ta	2000
býr	sfg3en	búa
áberandi	aa	áberandi
hátt	lhensf	hár
hlutfall	nhen	hlutfall
einhleypra	lvfesf	einhleypur
kvenna	nvfe	kona
ásamt	aþ	ásamt
börnum	nhfþ	barn
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
,	,	,
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
og	c	og
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
.	.	.

Hlutfall	nhen	hlutfall
karla	nkfe	karl
sem	ct	sem
búa	sfg3fn	búa
með	aþ	með
maka	nkeþ	maki
og	c	og
börnum	nhfþ	barn
fer	sfg3en	fara
samtímis	aa	samtímis
örlítið	aa	örlítið
lækkandi	slg	lækka
.	.	.

Hlutfallið	nheng	hlutfall
er	sfg3en	vera
tæp	lhfnsf	tæpur
32%	tp	32%
1995	ta	1995
en	c	en
tæp	lhfnsf	tæpur
31%	tp	31%
1999	ta	1999
.	.	.

Hlutfall	nhen	hlutfall
kvenna	nvfe	kona
í	aþ	í
sambúð	nveþ	sambúð
ásamt	aþ	ásamt
börnum	nhfþ	barn
breytist	sfm3en	breyta
á	ao	á
svipaðan	lkeosf	svipaður
hátt	nkeo	háttur
.	.	.

Árið	nheog	ár
2000	ta	2000
er	sfg3en	vera
hlutfall	nhen	hlutfall
kvenna	nvfe	kona
og	c	og
karla	nkfe	karl
eldri	lhfevm	gamall
en	c	en
18	ta	18
ára	nhfe	ár
sem	ct	sem
býr	sfg3en	búa
ásamt	aþ	ásamt
maka	nkeþ	maki
og	c	og
börnum	nhfþ	barn
áberandi	aa	áberandi
lægra	lhenvm	lágur
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
en	c	en
í	aþ	í
öðrum	fokfþ	annar
landshlutum	nkfþ	landshluti
.	.	.

Þessar	favfn	þessi
niðurstöður	nvfn	niðurstaða
gefa	sfg3fn	gefa
til	ae	til
kynna	nhfe	kynni
að	c	að
hefðbundin	lvensf	hefðbundinn
tveggja	tfvfe	tveir
kynslóða	nvfe	kynslóð
fjölskyldugerð	nven	fjölskyldugerð
,	,	,
þ.e.	as	þ.e.
foreldrar	nkfn	foreldrar
með	aþ	með
börnum	nhfþ	barn
,	,	,
sé	svg3en	vera
hlutfallslega	aa	hlutfallslega
algengari	lvenvm	algengur
utan	ae	utan
höfuðborgarsvæðisins	nheeg	höfuðborgarsvæði
og	c	og
að	c	að
þessi	faven	þessi
fjölskyldugerð	nven	fjölskyldugerð
sé	svg3en	vera
á	aþ	á
undanhaldi	nheþ	undanhald
í	aþ	í
landinu	nheþg	land
sem	ct	sem
heild	nveþ	heild
á	aþ	á
níunda	lkeþvf	níundi
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
.	.	.

Tölfræðiupplýsingarnar	nvfng	tölfræðiupplýsing
hér	aa	hér
á	aa	á
eftir	aa	eftir
benda	sfg3fn	benda
einnig	aa	einnig
í	ao	í
sömu	fbveo	sami
átt	nveo	átt
.	.	.

Hlutfall	nhen	hlutfall
barna	nhfe	barn
á	aþ	á
aldrinum	nkeþg	aldur
0-17	ta	0-17
ára	nhfe	ár
sem	ct	sem
býr	sfg3en	búa
hjá	aþ	hjá
tveimur	tfkfþ	tveir
fullorðnum	lkfþsf	fullorðinn
lækkar	sfg3en	lækka
frá	aþ	frá
1995-1999	ta	1995-1999
úr	aþ	úr
tæpum	lhfþsf	tæpur
84%	ta	84%
í	ao	í
um	aa	um
80%	tp	80%
.	.	.

Samtímis	aa	samtímis
eykst	sfm3en	auka
