listamaðurinn	nkeng	listamaður
kór	nken	kór
Fríkirkjunnar	nveegs	Fríkirkja
leiðir	sfg3en	leiða
tónlist	nveo	tónlist
og	c	og
söng	nkeo	söngur
að	aþ	að
venju	nveþ	venja
og	c	og
eftir	ao	eftir
stundina	nveog	stund
verður	sfg3en	verða
kaffi	nhen	kaffi
í	aþ	í
safnaðarheimilinu	nheþg	safnaðarheimili
.	.	.

Mattheusarguðspjall	nhen-s	Mattheusarguðspjall
í	aþ	í
Neskirkju	nveþ-s	Neskirkja
Sunnudaginn	nkeog	sunnudagur
12.	ta	12.
mars	nkeo	mars
kl.	as	kl.
15	ta	15
verður	sfg3en	verða
sýnd	sþgven	sýna
og	c	og
rædd	sþgven	ræða
í	aþ	í
safnarheimili	nheþ	safnarheimili
Neskirkju	nvee-s	Neskirkja
Passolinimyndin	nvengs	Passolinimynd
Mattheusarguðspjallið	nhengs	Mattheusarguðspjall
frá	aþ	frá
1964	ta	1964
.	.	.

Myndin	nveng	mynd
er	sfg3en	vera
n.k.	as	n.k.
andsvar	nhen	andsvar
við	aþ	við
bandarísku	lvfþvf	bandarískur
Jesú-myndunum	nvfþgs	Jesúmynd
,	,	,
sem	ct	sem
gerðar	sþgvfn	gera
voru	sfg3fþ	vera
um	ao	um
svipað	lheosf	svipaður
leyti	nheo	leyti
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
svart-hvít	lvensf	svart-hvítur
mynd	nven	mynd
,	,	,
sem	ct	sem
byggir	sfg3en	byggja
á	aþ	á
texta	nkeþ	texti
fyrsta	lheeve	fyrstur
guðspjallsins	nheeg	guðspjall
.	.	.

Alþýðufólk	nhen	alþýðufólk
er	sfg3en	vera
í	aþ	í
helstu	lhfþve	heldri
hlutverkum	nhfþ	hlutverk
.	.	.

Kristur	nken-s	Kristur
birtist	sfm3en	birta
sem	c	sem
reiður	lkensf	reiður
umbótamaður	nken	umbótamaður
,	,	,
sem	ct	sem
ögrar	sfg3en	ögra
samtímafólki	nheþ	samtímafólk
sínu	feheþ	sinn
með	aþ	með
krefjandi	lkeþof	krefjandi
boðskap	nkeþ	boðskapur
.	.	.

Oddný	nven-s	Oddný
Sen	nven-s	Sen
og	c	og
Arnfríður	nven-s	Arnfríður
Guðmundsdóttir	nven-s	Guðmundsdóttir
flytja	sfg3fn	flytja
innlýsingar	nvfo	innlýsing
.	.	.

Aðgangur	nken	aðgangur
ókeypis	aa	ókeypis
og	c	og
allir	fokfn	allur
velkomnir	lkfnsf	velkominn
á	ao	á
Jesúbíó	nheo-s	Jesúbíó
á	aþ	á
föstu	nveþ	fasta
.	.	.

Barnaleikritið	nheng	barnaleikrit

Við	fp1fn	ég
Guð	nken-s	Guð
erum	sfg1fn	vera
vinir	nkfn	vinur
í	aþ	í
Fríkirkjunni	nveþgs	Fríkirkja
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
Við	fp1fn	ég
fáum	sfg1fn	fá
barnaleikritið	nheog	barnaleikrit
Við	fp1fn	ég
Guð	nken-s	Guð
erum	sfg1fn	vera
vinir	nkfn	vinur
eftir	ao	eftir
Kari	e	Kari
Vinje	e	Vinje
í	aþ	í
flutningi	nkeþ	flutningur
Stoppleikhópsins	nkeegs	Stoppleikhópur
í	ao	í
heimsókn	nveo	heimsókn
í	ao	í
barnaguðsþjónustuna	nveog	barnaguðsþjónusta
til	ae	til
okkar	fp1fe	ég
í	ao	í
Fríkirkjuna	nveogs	Fríkirkja
kl.	as	kl.
14.	ta	14.

Leikritið	nheng	leikrit
er	sfg3en	vera
aðallega	aa	aðallega
ætlað	sþghen	ætla
er	sfg3en	vera
fyrir	ao	fyrir
aldurshópinn	nkeog	aldurshópur
1-8	ta	1-8
ára	nhfe	ár
.	.	.

Að	aþ	að
sjálfsögðu	lheþsf	sjálfsagður
höfum	sfg1fn	hafa
við	fp1fn	ég
okkar	fp1fe	ég
umgjörð	nveo	umgjörð
í	aþ	í
stundinni	nveþg	stund
,	,	,
með	aþ	með
sögu	nveþ	saga
,	,	,
söng	nkeþ	söngur
,	,	,
bænum	nvfþ	bæn
og	c	og
andabrauði	nheþ	andabrauð
í	ao	í
lokin	nhfog	lok
.	.	.

Kvöldmessa	nven	kvöldmessa
og	c	og
trúfræðsla	nven	trúfræðsla
í	aþ	í
Laugarneskirkju	nveþ-s	Laugarneskirkja
Nú	aa	nú
er	sfg3en	vera
komið	sþghen	koma
að	aþ	að
hinni	gveþ	hinn
mánaðarlegu	lveþvf	mánaðarlegur
kvöldmessu	nveþ	kvöldmessa
í	aþ	í
Laugarneskirkju	nveþ-s	Laugarneskirkja
kl.	as	kl.
20.30	ta	20.30
á	ao	á
sunnudagskvöldið	nheog	sunnudagskvöld
.	.	.

Að	aþ	að
þessu	faheþ	þessi
sinni	nheþ	sinn
er	sfg3en	vera
það	fphen	það
hinn	gken	hinn
nívígði	lkenvf	nívígður
prestur	nken	prestur
safnaðarins	nkeeg	söfnuður
,	,	,
sr.	as	sr.
Hildur	nven-s	Hildur
Eir	nven-s	Eir
Bolladóttir	nven-s	Bolladóttir
,	,	,
sem	ct	sem
þjónar	sfg3en	þjóna
við	ao	við
sína	feveo	sinn
fyrstu	lveove	fyrstur
messu	nveo	messa
.	.	.

Djasskvartett	nken-s	djasskvartett
Gunnars	nkee-s	Gunnar
Gunnarssonar	nkee-s	Gunnarsson
mun	sfg3en	munu
leika	sng	leika
og	c	og
kór	nken	kór
Laugarneskirkju	nvee-s	Laugarneskirkja
leiða	sng	leiða
gospelsönginn	nkeog	gospelsöngur
,	,	,
en	c	en
Sigurbjörn	nken-s	Sigurbjörn
Þorkelsson	nken-s	Þorkelsson
er	sfg3en	vera
meðhjálpari	nken	meðhjálpari
.	.	.

Athugið	sbg2fn	athuga
að	c	að
Djasskvartettinn	nken-s	djasskvartett
hefur	sfg3en	hefja
leikinn	nkeog	leikur
kl.	as	kl.
20	ta	20
.	.	.

Þess	fphee	það
skal	sfg3en	skulu
líka	aa	líka
geta	sng	geta
að	c	að
á	aþ	á
þriðjudagskvöldum	nhfþ	þriðjudagskvöld
kl.	as	kl.
20	ta	20
hefjast	sfm3fn	hefja
alltaf	aa	alltaf
mannræktarkvöld	nhfn	mannræktarkvöld
Laugarneskirkju	nvee-s	Laugarneskirkja
á	ao	á
kvöldsöng	nkeo	kvöldsöngur
í	aþ	í
kirkjuskipi	nheþ	kirkjuskip
þar	aa	þar
sem	c	sem
Þorvaldur	nken-s	Þorvaldur
Halldórsson	nken-s	Halldórsson
leiðir	sfg3en	leiða
söng	nkeo	söngur
við	ao	við
undirleik	nkeo	undirleikur
Gunnars	nkee-s	Gunnar
Gunnarssonar	nkee-s	Gunnarsson
og	c	og
sr.	as	sr.
Bjarni	nken-s	Bjarni
Karlsson	nken-s	Karlsson
flytur	sfg3en	flytja
Guðs	nkee-s	Guð
orð	nheo	orð
og	c	og
bæn	nveo	bæn
.	.	.

Að	aþ	að
kvöldsöng	nkeþ	kvöldsöngur
loknum	lkeþsf	lokinn
,	,	,
kl.	as	kl.
20.30	ta	20.30
býður	sfg3en	bjóða
Bjarni	nken-s	Bjarni
svo	aa	svo
upp	aa	upp
á	ao	á
trúfræðslu	nveo	trúfræðsla
í	aþ	í
gamla	lkeþvf	gamall
sal	nkeþ	salur
safnaðarheimilisins	nheeg	safnaðarheimili
um	ao	um
leið	nveo	leið
og	c	og
12	ta	12
spora	nhfe	spor
hóparnir	nkfng	hópur
ganga	sfg3fn	ganga
til	ae	til
sinna	fehfe	sinn
verka	nhfe	verk
.	.	.

Næstu	lhfove	næstur
þrjú	tfhfo	þrír
þriðjudagskvöld	nhfo	þriðjudagskvöld
mun	sfg3en	munu
Bjarni	nken-s	Bjarni
fjalla	sng	fjalla
um	ao	um
mannréttindi	nhfo	mannréttindi
í	aþ	í
ljósi	nheþ	ljós
Biblíulegrar	lveesf	biblíulegur
trúar	nvee	trú
.	.	.

Velkomið	lhensf	velkominn
er	sfg3en	vera
að	cn	að
koma	sng	koma
beint	aa	beint
á	ao	á
trúfræðsluna	nveog	trúfræðsla
kl.	as	kl.
20.30	ta	20.30
,	,	,
einvörðungu	aa	einvörðungu
til	ae	til
kvöldsöngsins	nkeeg	kvöldsöngur
kl.	as	kl.
20	ta	20
eða	c	eða
vera	sng	vera
með	aa	með
frá	aþ	frá
upphafi	nheþ	upphaf
til	ae	til
loka	nhfe	lok
.	.	.

Kvennakirkjan	nveng	kvennakirkjan
í	aþ	í
Seltjarnarneskirkju	nveþ-s	Seltjarnarneskirkja
Kvennakirkjan	nvengs	Kvennakirkjan
heldur	c	heldur
guðþjónustu	nveo	guðþjónusta
í	aþ	í
Seltjarnarneskirkju	nveþ-s	Seltjarnarneskirkja
sunnudaginn	nkeog	sunnudagur
12.	ta	12.
mars	nkeo	mars
kl.	as	kl.
20.30	ta	20.30
.	.	.

Yfirskrift	nven	yfirskrift
messunnar	nveeg	messa
er	sfg3en	vera
:	:	:
Gunna	nven-s	Gunna
,	,	,
Gunna	nven-s	Gunna
,	,	,
safnaðu	sbg2en	safna
sjálfri	fbveþ	sjálfur
þér	fp2eþ	þú
saman	aa	saman
.	.	.

Gunna	nven-s	Gunna
,	,	,
Gunna	nven-s	Gunna
farðu	sbg2en	fara
með	ao	með
sjálfa	fbveo	sjálfur
þig	fp2eo	þú
heim	aa	heim
.	.	.

Séra	nken	séra
Auður	nven-s	Auður
Eir	nven-s	Eir
Vilhjálmsdóttir	nven-s	Vilhjálmsdóttir
prédikar	sfg3en	prédika
.	.	.

Hópur	nken	hópur
flautuleikara	nkfe	flautuleikari
sem	ct	sem
eru	sfg3fn	vera
nemendur	nkfn	nemandi
Hallfríðar	nvee-s	Hallfríður
Ólafsdóttur	nvee-s	Ólafsdóttir
í	aþ	í
Tónlistarskólanum	nkeþgs	Tónlistarskóli
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
leika	sfg3fn	leika
á	ao	á
flautur	nvfo	flauta
.	.	.

Kór	nken	kór
Kvennakirkjunnar	nveegs	Kvennakirkjan
leiðir	sfg3en	leiða
sönginn	nkeog	söngur
við	ao	við
undirleik	nkeo	undirleikur
Aðalheiðar	nvee-s	Aðalheiður
Þorsteinsdóttur	nvee-s	Þorsteinsdóttir
.	.	.

Á	aa	á
eftir	aa	eftir
er	sfg3en	vera
kaffi	nhen	kaffi
í	aþ	í
safnaðarheimilinu	nheþg	safnaðarheimili
.	.	.

Messur	nvfn	messa
Kvennakirkjunnar	nveegs	Kvennakirkjan
eru	sfg3fn	vera
öllum	fokfþ	allur
opnar	lvfnsf	opinn
.	.	.

Þær	fpvfn	hún
hafa	sfg3fn	hafa
á	aþ	á
sér	fpvfþ	sig
sérstakan	lkeosf	sérstakur
blæ	nkeo	blær
léttleika	nkee	léttleiki
og	c	og
samstöðu	nvee	samstaða
.	.	.

Í	aþ	í
bænastund	nveþ	bænastund
eru	sfg3fn	vera
lesnar	sþgvfn	lesa
bænir	nvfn	bæn
sem	ct	sem
kirkjugestum	nkfþ	kirkjugestur
býðst	sfm3en	bjóða
að	cn	að
skrifa	sng	skrifa
frá	aþ	frá
eigin	lheþof	eigin
brjósti	nheþ	brjóst
og	c	og
setja	sng	setja
í	ao	í
körfu	nveo	karfa
.	.	.

Er	sfg3en	vera
þjóðkirkjan	nveng	þjóðkirkja
á	aþ	á
undanhaldi	nheþ	undanhald
?	?	?

Reglulega	aa	reglulega
sendir	sfg3en	senda
Hagstofan	nvengs	Hagstofa
frá	aþ	frá
sér	fpveþ	sig
tölur	nvfo	tala
um	ao	um
meðlimafjölda	nkeo	meðlimafjöldi
trúfélaga	nhfe	trúfélag
og	c	og
setja	sfg3fn	setja
fjölmiðlar	nkfn	fjölmiðill
þá	aa	þá
gjarnan	aa	gjarnan
í	ao	í
fyrirsögn	nveo	fyrirsögn
að	c	að
fækkað	ssg	fækka
hafi	svg3en	hafa
hlutfallslega	aa	hlutfallslega
í	aþ	í
þjóðkirkjunni	nveþg	þjóðkirkja
.	.	.

Allt	fohen	allur
eru	sfg3fn	vera
þetta	fahen	þessi
áreiðanlegar	lvfnsf	áreiðanlegur
tölur	nvfn	tala
og	c	og
vekja	sfg3fn	vekja
til	ae	til
umhugsunar	nvee	umhugsun
um	ao	um
þjóðkirkjuna	nveog	þjóðkirkja
og	c	og
stöðu	nveo	staða
hennar	fpvee	hún
,	,	,
en	c	en
jafnframt	aa	jafnframt
um	ao	um
stöðu	nveo	staða
annarra	fohfe	annar
kristinna	lhfesf	kristinn
trúfélaga	nhfe	trúfélag
í	aþ	í
landinu	nheþg	land
.	.	.

Er	sfg3en	vera
að	cn	að
fækka	sng	fækka
í	aþ	í
kristnum	lhfþsf	kristinn
trúfélögum	nhfþ	trúfélag
almennt	aa	almennt
eða	c	eða
er	sfg3en	vera
hér	aa	hér
fyrst	aae	fyrr
og	c	og
fremst	aae	fremur
um	ao	um
tilflutning	nkeo	tilflutningur
að	cn	að
ræða	sng	ræða
?	?	?

Á	aþ	á
fræðslumorgni	nkeþ	fræðslumorgunn
í	aþ	í
Hallgrímskirkju	nveþ-s	Hallgrímskirkja
kl.	as	kl.
10.	ta	10.
næstkomandi	lkeoof	næstkomandi
sunnudag	nkeo	sunnudagur
mun	sfg3en	munu
Steinunn	nven-s	Steinunn
Arnþrúður	nven-s	Arnþrúður
Björnsdóttir	nven-s	Björnsdóttir
verkefnisstjóri	nken	verkefnisstjóri
á	aþ	á
Biskupsstofu	nveþ-s	Biskupsstofa
ræða	sng	ræða
þetta	faheo	þessi
efni	nheo	efni
.	.	.

Sömuleiðis	aa	sömuleiðis
mun	sfg3en	munu
hún	fpven	hún
ræða	sng	ræða
hvort	c	hvort
innra	lhenvm	innri
starf	nhen	starf
kirkjunnar	nveeg	kirkja
sé	svg3en	vera
að	cn	að
daprast	snm	dapra
.	.	.

Svigrúm	nhen	svigrúm
gefst	sfm3en	gefa
til	ae	til
fyrirspurna	nvfe	fyrirspurn
að	aþ	að
fyrirlestri	nkeþ	fyrirlestur
loknum	lkeþsf	lokinn
.	.	.

Að	aþ	að
loknum	lkeþsf	lokinn
fræðslumorgninum	nkeþg	fræðslumorgunn
,	,	,
kl.	as	kl.
11	ta	11
hefst	sfm3en	hefja
guðsþjónusta	nven	guðsþjónusta
í	aþ	í
umsjá	nveþ	umsjá
sr.	as	sr.
Sigurðar	nkee-s	Sigurður
Pálassonar	nkee-s	Pálasson
og	c	og
barnastarf	nhen	barnastarf
í	aþ	í
umsjá	nveþ	umsjá
Magneu	nvee-s	Magnea
Sverrisdóttur	nvee-s	Sverrisdóttir
djákna	nkee	djákni
.	.	.

Vídalínshátíð	nven-s	Vídalínshátíð
í	aþ	í
Garðasókn	nveþ-s	Garðasókn
Vídalínshátíð	nven-s	Vídalínshátíð
stendur	sfg3en	standa
nú	aa	nú
yfir	aa	yfir
í	aþ	í
Garðasókn	nveþ-s	Garðasókn
.	.	.

Atburðir	nkfn	atburður
hennar	fpvee	hún
dreifast	sfm3fn	dreifa
á	ao	á
mánuðinn	nkeog	mánuður
,	,	,
en	c	en
messan	nveng	messa
í	aþ	í
Vídalínskirkju	nveþ-s	Vídalínskirkja
kl.	as	kl.
11	ta	11
mun	sfg3en	munu
að	aþ	að
nokkru	foheþ	nokkur
endurspegla	sng	endurspegla
Jón	nkeo-s	Jón
Vídalín	nkeo-s	Vídalín
og	c	og
samtíð	nveo	samtíð
hans	fpkee	hann
í	aþ	í
tali	nheþ	tal
og	c	og
tónum	nkfþ	tónn
.	.	.

Arnar	nken-s	Arnar
Jónsson	nken-s	Jónsson
,	,	,
leikari	nken	leikari
,	,	,
mun	sfg3en	munu
bregða	sng	bregða
sér	fpkeþ	sig
í	ao	í
hlutverk	nheo	hlutverk
biskupsins	nkeeg	biskup
,	,	,
sem	ct	sem
fæddur	sþgken	fæða
var	sfg3eþ	vera
21.	ta	21.
mars	nkeo	mars
1666	ta	1666
.	.	.

Arnar	nken-s	Arnar
flytur	sfg3en	flytja
efni	nheo	efni
úr	aþ	úr
prédikunum	nvfþ	prédikun
sr.	as	sr.
Jóns	nkee-s	Jón
,	,	,
en	c	en
sálmalögin	nhfng	sálmalag
sem	ct	sem
flutt	sþghfn	flytja
verða	sfg3fn	verða
eru	sfg3fn	vera
öll	fohfn	allur
eftir	ao	eftir
samtímamenn	nkfo	samtímamaður
hans	fpkee	hann
.	.	.

Þau	fphfn	það
eru	sfg3fn	vera
þó	aa	þó
mörg	lhfnsf	margur
hver	fohfn	hver
að	aþ	að
góðu	lheþsf	góður
kunn	lhfnsf	kunnur
úr	aþ	úr
helgihaldinu	nheþg	helgihald
.	.	.

Kór	nken	kór
Vídalínskirkju	nvee-s	Vídalínskirkja
syngur	sfg3en	syngja
undir	aþ	undir
stjórn	nveþ	stjórn
organistans	nkeeg	organisti
,	,	,
Jóhanns	nkee-s	Jóhann
Baldvinssonar	nkee-s	Baldvinsson
.	.	.

Fulltrúi	nken	fulltrúi
ungu	lveevf	ungur
kynslóðarinnar	nveeg	kynslóð
í	aþ	í
þessari	faveþ	þessi
messu	nveþ	messa
verður	sfg3en	verða
Rósa	nven-s	Rósa
Dögg	nven-s	Dögg
Ægisdóttir	nven-s	Ægisdóttir
,	,	,
nemandi	nken	nemandi
í	aþ	í
Tónlistarskólanum	nkeþgs	Tónlistarskóli
og	c	og
eitt	tfhen	einn
af	aþ	af
fermingarbörnum	nhfþ	fermingarbarn
vorsins	nheeg	vor
.	.	.

Hún	fpven	hún
mun	sfg3en	munu
leika	sng	leika
á	ao	á
þverflautu	nveo	þverflauta
í	aþ	í
upphafi	nheþ	upphaf
.	.	.

Sr.	as	Sr.
Friðrik	nken-s	Friðrik
J.	as	J.
Hjartar	nkee-s	Hjörtur
og	c	og
Nanna	nven-s	Nanna
Guðrún	nven-s	Guðrún
Zoëga	nven-s	Zoëga
,	,	,
djákni	nken	djákni
,	,	,
þjóna	sfg3fn	þjóna
.	.	.

Sunnudagaskólinn	nkeng	sunnudagaskóli
verður	sfg3en	verða
eins	aa	eins
og	c	og
venjulega	aa	venjulega
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
í	aþ	í
umsjón	nveþ	umsjón
þeirra	fpvfe	hún
Rannveigar	nvee-s	Rannveig
Káradóttur	nvee-s	Káradóttir
og	c	og
Hjördísar	nvee-s	Hjördís
Jónsdóttur	nvee-s	Jónsdóttir
.	.	.

Að	aþ	að
lokinni	lveþsf	lokinn
messu	nveþ	messa
annast	sfm3fn	anna
Lionsmenn	nkfn-s	Lionsmaður
veitinga	x	veiting
í	aþ	í
Safnaðarheimilinu	nheþgs	Safnaðarheimilið
í	aþ	í
boði	nheþ	boð
sóknarnefndar	nvee	sóknarnefnd
.	.	.

Aðalsafnaðarfundur	nken	aðalsafnaðarfundur
Garðasóknar	nvee-s	Garðasókn
hefst	sfm3en	hefja
þar	aa	þar
síðan	aa	síðan
kl.	as	kl.
12.45	ta	12.45
.	.	.

Aðalsafnaðarfundur	nken	aðalsafnaðarfundur
er	sfg3en	vera
vettvangur	nken	vettvangur
starfsskila	nhfe	starfsskil
og	c	og
reikningsskila	nhfe	reikningsskil
af	aþ	af
hendi	nveþ	hönd
sóknarnefndar	nvee	sóknarnefnd
og	c	og
einstakra	lvfesf	einstakur
nefnda	nvfe	nefnd
innan	ae	innan
sóknarinnar	nveeg	sókn
.	.	.

Sóknarbörnin	nhfng	sóknarbarn
eru	sfg3fn	vera
hvött	sþghfn	hvetja
til	ae	til
að	cn	að
taka	sng	taka
þátt	nkeo	þáttur
í	aþ	í
helgihaldinu	nheþg	helgihald
og	c	og
láta	sng	láta
sig	fphfo	sig
varða	sng	varða
hag	nkeo	hagur
safnaðarins	nkeeg	söfnuður
með	aþ	með
því	fpheþ	það
að	cn	að
mæta	sng	mæta
vel	aa	vel
á	ao	á
aðalsafnaðarfund	nkeo	aðalsafnaðarfundur
.	.	.

Næstu	lkfove	næstur
sunnudaga	nkfo	sunnudagur
mun	sfg3en	munu
Vídalínshátíð	nven-s	Vídalínshátíð
halda	sng	halda
áfram	aa	áfram
með	aþ	með
áhugaverðum	lkfþsf	áhugaverður
atburðum	nkfþ	atburður
sem	ct	sem
auglýstir	sþgkfn	auglýsa
verða	sfg3fn	verða
síðar	aam	síðar
.	.	.

Sjá	sng	sjá
einnig	aa	einnig
heimasíðu	nveo	heimasíða
Garðasóknar	nvee-s	Garðasókn
:	:	:
www.gardasokn.is	v	www.gardasokn.is
Messuferð	nven	messuferð
að	aþ	að
Kirkjubæjarklaustri	nheþ-s	Kirkjubæjarklaustur
Á	ao	á
morgun	nkeo	morgunn
,	,	,
sunnudaginn	nkeog	sunnudagur
12.	ta	12.
mars	nkeo	mars
kl.	as	kl.
11	ta	11
,	,	,
mun	sfg3en	munu
Kór	nken-s	Kór
Grafarvogskirkju	nvee-s	Grafarvogskirkja
og	c	og
prestar	nkfn	prestur
Grafarvogssafnaðar	nkee-s	Grafarvogssöfnuður
messa	sng	messa
í	aþ	í
Pestbakkakirkju	nveþ-s	Pestbakkakirkja
á	aþ	á
Kirkjubæjarklaustri	nheþ-s	Kirkjubæjarklaustur
.	.	.

Séra	nken	séra
Vigfús	nken-s	Vigfús
Þór	nken-s	Þór
Árnason	nken-s	Árnason
prédikar	sfg3en	prédika
og	c	og
þjónar	sfg3en	þjóna
fyrir	aþ	fyrir
altari	nheþ	altari
ásamt	aþ	ásamt
séra	nkeþ	séra
Önnu	nveþ-s	Anna
Sigríði	nveþ-s	Sigríður
Pálsdóttur	nveþ-s	Pálsdóttir
og	c	og
séra	nkeþ	séra
Elínborgu	nveþ-s	Elínborg
Gísladóttur	nveþ-s	Gísladóttir
.	.	.

Organistar	nkfn	organisti
og	c	og
kórstjórar	nkfn	kórstjóri
eru	sfg3fn	vera
:	:	:
Hörður	nken-s	Hörður
Bragason	nken-s	Bragason
og	c	og
Brian	e	Brian
Patrick	e	Patrick
Fitzgibbon	e	Fitzgibbon
.	.	.

Grafarvogskirkja	nven-s	Grafarvogskirkja
.	.	.

Ákveðið	sþghen	ákveða
að	cn	að
efla	sng	efla
samskiptin	nhfog	samskipti
:	:	:
Sandgerði	nhen-s	Sandgerði
|	|	|
Fjórir	tfkfn	fjórir
bæjarfulltrúar	nkfn	bæjarfulltrúi
frá	aþ	frá
Vogi	nkeþ-s	Vogur
á	aþ	á
Suðurey	nveþ-s	Suðurey
í	aþ	í
Færeyjum	nvfþ-s	Færeyjar
og	c	og
makar	nkfn	maki
þeirra	fpkfe	hann
eru	sfg3fn	vera
í	aþ	í
heimsókn	nveþ	heimsókn
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
.	.	.

Bæirnir	nkfng	bær
eru	sfg3fn	vera
í	aþ	í
vinabæjasambandi	nheþ	vinabæjasamband
.	.	.

Ákveðið	sþghen	ákveða
var	sfg3eþ	vera
á	aþ	á
fundi	nkeþ	fundur
bæjarfulltrúa	nkfe	bæjarfulltrúi
í	aa	í
gær	aa	gær
að	cn	að
auka	sng	auka
samskipti	nhfo	samskipti
félaga	nhfe	félag
og	c	og
stofnana	nvfe	stofnun
til	ae	til
að	cn	að
rækta	sng	rækta
vinabæjasambandið	nheog	vinabæjasamband
...	...	...

--	--	--
>	>	>
Sandgerði	nhen-s	Sandgerði
|	|	|
Fjórir	tfkfn	fjórir
bæjarfulltrúar	nkfn	bæjarfulltrúi
frá	aþ	frá
Vogi	nkeþ-s	Vogur
á	aþ	á
Suðurey	nveþ-s	Suðurey
í	aþ	í
Færeyjum	nvfþ-s	Færeyjar
og	c	og
makar	nkfn	maki
þeirra	fpkfe	hann
eru	sfg3fn	vera
í	aþ	í
heimsókn	nveþ	heimsókn
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
.	.	.

Bæirnir	nkfng	bær
eru	sfg3fn	vera
í	aþ	í
vinabæjasambandi	nheþ	vinabæjasamband
.	.	.

Ákveðið	sþghen	ákveða
var	sfg3eþ	vera
á	aþ	á
fundi	nkeþ	fundur
bæjarfulltrúa	nkfe	bæjarfulltrúi
í	aa	í
gær	aa	gær
að	cn	að
auka	sng	auka
samskipti	nhfo	samskipti
félaga	nhfe	félag
og	c	og
stofnana	nvfe	stofnun
til	ae	til
að	cn	að
rækta	sng	rækta
vinabæjasambandið	nheog	vinabæjasamband
betur	aam	vel
.	.	.

Samskipti	nhfn	samskipti
íbúa	nkfe	íbúi
Vogs	nkee-s	Vogur
og	c	og
Sandgerðis	nhee-s	Sandgerði
hófust	sfm3fþ	hefja
á	aþ	á
árinu	nheþg	ár
1957	ta	1957
þegar	c	þegar
Knattspyrnufélagið	nhengs	Knattspyrnufélag
Reynir	nken-s	Reynir
fór	sfg3eþ	fara
í	ao	í
heimsókn	nveo	heimsókn
til	ae	til
Færeyja	nvfe-s	Færeyjar
.	.	.

Eftir	ao	eftir
það	fpheo	það
voru	sfg3fþ	vera
teknar	sþgvfn	taka
upp	aa	upp
heimsóknir	nvfn	heimsókn
á	aa	á
milli	ae	milli
bæjanna	nkfeg	bær
,	,	,
meðal	ae	meðal
annars	fohee	annar
á	aþ	á
vegum	nkfþ	vegur
félaga	nhfe	félag
og	c	og
skóla	nkfe	skóli
,	,	,
og	c	og
frá	aþ	frá
árinu	nheþg	ár
1987	ta	1987
hefur	sfg3en	hafa
verið	ssg	vera
formlegt	lhensf	formlegur
vinabæjasamband	nhen	vinabæjasamband
.	.	.

Í	aþ	í
Vogi	nkeþ-s	Vogur
eru	sfg3fn	vera
um	aa	um
1.480	ta	1.480
íbúar	nkfn	íbúi
og	c	og
hefur	sfg3en	hafa
íbúafjöldinn	nkeng	íbúafjöldi
staðið	ssg	standa
í	ao	í
stað	nkeo	staður
á	aþ	á
undanförnum	lhfþsf	undanfarinn
árum	nhfþ	ár
.	.	.

Færeysku	lkfnvf	færeyskur
gestirnir	nkfng	gestur
munu	sfg3fn	munu
skoða	sng	skoða
eitt	foheo	einn
og	c	og
annað	foheo	annar
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
í	aþ	í
ferð	nveþ	ferð
sinni	feveþ	sinn
hingað	aa	hingað
.	.	.

Þeir	fpkfn	hann
heimsóttu	sfg3fþ	heimsækja
stofnanir	nvfo	stofnun
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
í	aa	í
gær	aa	gær
og	c	og
bæjarfulltrúarnir	nkfng	bæjarfulltrúi
funduðu	sfg3fþ	funda
.	.	.

Sólbrekkubraut	nven-s	Sólbrekkubraut
opnuð	sþgven	opna
|	|	|
Fyrsta	lvenve	fyrstur
bikarkeppni	nven	bikarkeppni
sumarsins	nheeg	sumar
...	...	...

:	:	:
Sólbrekkubraut	nven-s	Sólbrekkubraut
opnuð	sþgven	opna
|	|	|
Fyrsta	lvenve	fyrstur
bikarkeppni	nven	bikarkeppni
sumarsins	nheeg	sumar
í	aþ	í
mótorhjólatorfæru	nveþ	mótorhjólatorfæra
fer	sfg3en	fara
fram	aa	fram
í	aþ	í
Sólbrekkubraut	nveþ-s	Sólbrekkubraut
við	ao	við
Grindavíkurveg	nkeo-s	Grindavíkurvegur
í	ao	í
dag	nkeo	dagur
.	.	.

Er	sfg3en	vera
þetta	fahen	þessi
jafnframt	aa	jafnframt
vígslumót	nhen	vígslumót
brautarinnar	nveeg	braut
.	.	.

--	--	--
>	>	>
Sólbrekkubraut	nven-s	Sólbrekkubraut
opnuð	sþgven	opna
|	|	|
Fyrsta	lvenve	fyrstur
bikarkeppni	nven	bikarkeppni
sumarsins	nheeg	sumar
í	aþ	í
mótorhjólatorfæru	nveþ	mótorhjólatorfæra
fer	sfg3en	fara
fram	aa	fram
í	aþ	í
