mennskra	lvfesf	mennskur
skoðað	ssg	skoða
þann	fakeo	sá
möguleika	nkeo	möguleiki
að	cn	að
draga	sng	draga
úr	aþ	úr
hinu	gheþ	hinn
meinta	lheþvf	meintur
skattahagræði	nheþ	skattahagræði
sem	ct	sem
fylgir	sfg3en	fylgja
skuldsetningu	nveþ	skuldsetning
og	c	og
skuldsettum	lhfþsf	skuldsettur
kaupum	nhfþ	kaup
þótt	c	þótt
ekki	aa	ekki
hafi	svg3en	hafa
verið	ssg	vera
gengið	sþghen	ganga
eins	aa	eins
langt	aa	langt
í	aþ	í
þeim	favfþ	sá
hugmyndum	nvfþ	hugmynd
og	c	og
Danir	nkfn-s	Dani
hyggjast	sfm3fn	hyggja
gera	sng	gera
nú	aa	nú
.	.	.

Undanfarar	nkfn	undanfari
eru	sfg3fn	vera
þeir	fpkfn	hann
kallaðir	sþgkfn	kalla
sem	ct	sem
fá	sfg3fn	fá
að	cn	að
æða	sng	æða
niður	ao	niður
brunbrautirnar	nvfog	brunbraut
áður	aa	áður
en	c	en
keppt	sþghen	keppa
er	sfg3en	vera
í	aþ	í
þeim	fpvfþ	hún
og	c	og
segja	sng	segja
má	sfg3en	mega
að	c	að
Fogh	e	Fogh
og	c	og
danska	lvenvf	danskur
ríkisstjórnin	nveng	ríkisstjórn
séu	svg3fn	vera
einmitt	aa	einmitt
í	aþ	í
því	faheþ	sá
hlutverki	nheþ	hlutverk
.	.	.

HAGNAÐUR	nken	hagnaður
Vinnslustöðvarinnar	nveegs	Vinnslustöð
í	aþ	í
Vestmannaeyjum	nvfþ-s	Vestmannaeyjar
var	sfg3eþ	vera
335	ta	335
milljónir	nvfn	milljón
króna	nvfe	króna
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
en	c	en
var	sfg3eþ	vera
442	ta	442
milljónir	nvfn	milljón
árið	nheog	ár
2005	ta	2005
.	.	.

Hagnaðurinn	nkeng	hagnaður
dróst	sfm3eþ	draga
því	aa	því
saman	aa	saman
um	ao	um
107	ta	107
milljónir	nvfo	milljón
króna	nvfe	króna
þrátt	aa	þrátt
fyrir	ao	fyrir
að	c	að
heildartekjur	nvfn	heildartekjur
félagsins	nheeg	félag
ykjust	svm3fþ	auka
á	aa	á
milli	ae	milli
ára	nhfe	ár
um	ao	um
tæpa	lkfosf	tæpur
1,4	ta	1,4
milljarða	nkfo	milljarður
króna	nvfe	króna
,	,	,
en	c	en
heildartekjurnar	nvfng	heildartekjur
í	ao	í
fyrra	lheovm	fyrri
námu	sfg3fþ	nema
um	aa	um
5,8	ta	5,8
milljörðum	nkfþ	milljarður
.	.	.

Minni	lkenvm	lítill
hagnaður	nken	hagnaður
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
en	c	en
árið	nheog	ár
á	aa	á
undan	aa	undan
stafar	sfg3en	stafa
að	aþ	að
stærstum	lkeþse	stór
hluta	nkeþ	hluti
af	aþ	af
því	fpheþ	það
að	c	að
fjármagnsliðir	nkfn	fjármagnsliður
voru	sfg3fþ	vera
neikvæðir	lkfnsf	neikvæður
um	ao	um
889	ta	889
milljónir	nvfo	milljón
á	aþ	á
árinu	nheþg	ár
2006	ta	2006
,	,	,
en	c	en
gengistap	nhen	gengistap
félagsins	nheeg	félag
nam	sfg3eþ	nema
796	ta	796
milljónum	nvfþ	milljón
.	.	.

Þetta	fahen	þessi
eru	sfg3fn	vera
mikil	lhfnsf	mikill
umskipti	nhfn	umskipti
frá	aþ	frá
fyrra	lheþvm	fyrri
ári	nheþ	ár
en	c	en
þá	aa	þá
var	sfg3eþ	vera
gengishagnaður	nken	gengishagnaður
280	ta	280
milljónir	nvfn	milljón
.	.	.

Framlegð	nven	framlegð
Vinnslustöðvarinnar	nveegs	Vinnslustöð
,	,	,
þ.e.	as	þ.e.
hagnaður	nken	hagnaður
fyrir	ao	fyrir
afskriftir	nvfo	afskrift
og	c	og
fjármagnsliði	nkfo	fjármagnsliður
,	,	,
nam	sfg3eþ	nema
um	aa	um
1,8	ta	1,8
milljörðum	nkfþ	milljarður
í	ao	í
fyrra	lheovm	fyrri
,	,	,
eða	c	eða
30,6%	tp	30,6%
af	aþ	af
tekjum	nvfþ	tekja
,	,	,
og	c	og
jókst	sfm3eþ	auka
um	ao	um
910	ta	910
milljónir	nvfo	milljón
frá	aþ	frá
fyrra	lheþvm	fyrri
ári	nheþ	ár
en	c	en
þá	aa	þá
var	sfg3eþ	vera
framlegðarhlutfallið	nheng	framlegðarhlutfall
19,7%	tp	19,7%
.	.	.

Eftir	ao	eftir
Arnór	nkeo-s	Arnór
Gísla	nkeo-s	Gísli
Ólafsson	nkeo-s	Ólafsson
arnorg@mbl.is	v	arnorg@mbl.is
KRÓNURNAR	nvfng	króna
halda	sfg3fn	halda
áfram	aa	áfram
að	cn	að
fljúga	sng	fljúga
út	aa	út
og	c	og
erlendar	lvfnsf	erlendur
myntir	nvfn	mynt
inn	aa	inn
hjá	aþ	hjá
Kaupþingi	nheþ-s	Kaupþing
banka	nkeþ	banki
og	c	og
ætla	sng	ætla
má	sfg3en	mega
að	c	að
bankinn	nkeng	banki
sé	svg3en	vera
nú	aa	nú
kominn	sþgken	koma
með	aa	með
um	aa	um
tvo	tfkfo	tveir
þriðju	lkfovf	þriðji
hluta	nkfo	hluti
eða	c	eða
um	aa	um
210-220	ta	210-220
milljarða	nkfo	milljarður
af	aþ	af
eigin	lheþof	eigin
fé	nheþ	fé
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
.	.	.

En	c	en
málið	nheng	mál
virðist	sfm3en	virða
ekki	aa	ekki
snúast	snm	snúa
um	ao	um
að	cn	að
komast	snm	koma
í	ao	í
evrur	nvfo	evra
heldur	c	heldur
frekar	aam	frekar
að	cn	að
komast	snm	koma
úr	aþ	úr
íslensku	lveþvf	íslenskur
krónunni	nveþg	króna
;	;	;
þannig	aa	þannig
var	sfg3eþ	vera
hlutfallslega	aa	hlutfallslega
mest	lhense	mikill
af	aþ	af
dönskum	lvfþsf	danskur
krónum	nvfþ	króna
en	c	en
ekki	aa	ekki
evrum	nvfþ	evra
í	aþ	í
gjaldeyrisskúffum	nvfþ	gjaldeyrisskúffa
Kaupþings	nhee-s	Kaupþing
um	ao	um
áramótin	nhfog	áramót
.	.	.

Enn	aa	enn
hækkar	sfg3en	hækka
gjaldeyriseignin	nveng	gjaldeyriseign
Samkvæmt	aþ	samkvæmt
tölum	nvfþ	tala
Seðlabanka	nkee-s	Seðlabanki
Íslands	nhee-s	Ísland
sem	ct	sem
birtar	sþgvfn	birta
voru	sfg3fþ	vera
í	aa	í
gær	aa	gær
snarjuku	sfg3fþ	snarauka
viðskiptabankarnir	nkfng	viðskiptabanki
þrír	tfkfn	þrír
gjaldeyriseign	nveo	gjaldeyriseign
sína	feveo	sinn
í	aþ	í
janúar	nkeþ	janúar
eða	c	eða
um	ao	um
45	ta	45
milljarða	nkfo	milljarður
og	c	og
ekki	aa	ekki
óvarlegt	lhensf	óvarlegur
að	cn	að
ætla	sng	ætla
að	c	að
langstærsta	lkeove	langstærstur
hlutann	nkeog	hluti
sé	svg3en	vera
nú	aa	nú
að	cn	að
finna	sng	finna
í	aþ	í
bókum	nvfþ	bók
Kaupþings	nhee-s	Kaupþing
banka	nkee	banki
í	aþ	í
Borgartúni	nheþ-s	Borgartún
;	;	;
um	ao	um
miðjan	lkeosf	miður
janúar	nkeo	janúar
gaf	sfg3eþ	gefa
Rabobank	e	Rabobank
út	aa	út
jöklabréf	nhfo	jöklabréf
fyrir	ao	fyrir
40	ta	40
milljarða	nkfo	milljarður
,	,	,
sem	ct	sem
er	sfg3en	vera
langstærsta	lvenve	langstærstur
útgáfan	nveng	útgáfa
til	ae	til
þessa	fahee	þessi
,	,	,
og	c	og
herma	sfg3fn	herma
fregnir	nvfn	fregn
að	c	að
þeir	fakfn	sá
milljarðar	nkfn	milljarður
hafi	svg3fn	hafa
ekki	aa	ekki
komið	ssg	koma
fram	aa	fram
á	aþ	á
gjaldeyrismarkaði	nkeþ	gjaldeyrismarkaður
heldur	c	heldur
runnið	ssg	renna
beint	aa	beint
um	ao	um
hendur	nvfo	hönd
Kaupþings	nhee-s	Kaupþing
sem	ct	sem
hafi	svg3en	hafa
þá	aa	þá
látið	ssg	láta
af	aþ	af
hendi	nveþ	hönd
krónur	nvfo	króna
en	c	en
fengið	ssg	fá
erlenda	lveosf	erlendur
mynt	nveo	mynt
í	ao	í
staðinn	nkeog	staður
.	.	.

Í	aþ	í
ársreikningi	nkeþ	ársreikningur
Kaupþings	nhee-s	Kaupþing
banka	nkee	banki
má	sfg3en	mega
lesa	sng	lesa
að	c	að
um	ao	um
áramótin	nhfog	áramót
síðustu	lhfove	síðari
var	sfg3eþ	vera
gjaldeyrisjöfnuður	nken	gjaldeyrisjöfnuður
hans	fpkee	hann
jákvæður	lkensf	jákvæður
um	ao	um
172,8	ta	172,8
milljarða	nkfo	milljarður
íslenskra	lvfesf	íslenskur
króna	nvfe	króna
og	c	og
bankinn	nkeng	banki
var	sfg3eþ	vera
þá	aa	þá
kominn	sþgken	koma
með	ao	með
meira	lheovm	mikill
en	c	en
helming	nkeo	helmingur
af	aþ	af
eigin	lheþof	eigin
fé	nheþ	fé
sínu	feheþ	sinn
í	ao	í
erlendar	lvfosf	erlendur
myntir	nvfo	mynt
.	.	.

Ef	c	ef
gengið	sþghen	ganga
er	sfg3en	vera
út	aa	út
frá	aþ	frá
endurteknum	lkeþsf	endurtekinn
orðrómi	nkeþ	orðrómur
á	aþ	á
markaði	nkeþ	markaður
má	sfg3en	mega
ætla	sng	ætla
að	c	að
gjaldeyriseign	nven	gjaldeyriseign
Kaupþings	nhee-s	Kaupþing
hafi	svg3en	hafa
verið	ssg	vera
210-220	ta	210-220
miljarðar	nkfn	miljarður
um	ao	um
síðustu	lhfove	síðari
mánaðamót	nhfo	mánaðamót
og	c	og
þá	aa	þá
kominn	sþgken	koma
með	aa	með
um	ao	um
tvo	tfkfo	tveir
þriðju	lkfovf	þriðji
af	aþ	af
eigin	lheþof	eigin
fé	nheþ	fé
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
.	.	.

Og	c	og
er	sfg3en	vera
varla	aa	varla
hættur	sþgken	hætta
ef	c	ef
marka	sng	marka
má	sfg3en	mega
nýlegar	lvfosf	nýlegur
yfirlýsingar	nvfo	yfirlýsing
stjórnenda	nkfe	stjórnandi
hans	fpkee	hann
í	aþ	í
fjölmiðlum	nkfþ	fjölmiðill
.	.	.

En	c	en
ekki	aa	ekki
má	sfg3en	mega
gleyma	sng	gleyma
að	c	að
eigið	lhensf	eiginn
fé	nhen	fé
bankans	nkeeg	banki
hefur	sfg3en	hafa
vaxið	ssg	vaxa
umalsvert	aa	umalsvert
og	c	og
er	sfg3en	vera
nú	aa	nú
komið	sþghen	koma
í	ao	í
um	aa	um
324	ta	324
milljarða	nkfo	milljarður
íslenskra	lvfesf	íslenskur
króna	nvfe	króna
en	c	en
var	sfg3eþ	vera
ekki	aa	ekki
nema	c	nema
rétt	aa	rétt
rúmir	lkfnsf	rúmur
200	ta	200
milljarðar	nkfn	milljarður
fyrir	aþ	fyrir
ári	nheþ	ár
.	.	.

Gjaldeyrisjöfnuður	nken	gjaldeyrisjöfnuður
Glitnis	nkee-s	Glitnir
var	sfg3eþ	vera
jákvæður	lkensf	jákvæður
um	ao	um
36,3	ta	36,3
milljarða	nkfo	milljarður
um	ao	um
áramótin	nhfog	áramót
sem	ct	sem
er	sfg3en	vera
hófleg	lvensf	hóflegur
breyting	nven	breyting
frá	aþ	frá
því	fpheþ	það
í	ao	í
lok	nhfo	lok
september	nkee	september
.	.	.

Glitnir	nken-s	Glitnir
er	sfg3en	vera
því	aa	því
væntanlega	aa	væntanlega
með	ao	með
um	aa	um
fjórðung	nkeo	fjórðungur
af	aþ	af
eigin	lheþof	eigin
fé	nheþ	fé
í	aþ	í
erlendri	lveþsf	erlendur
mynt	nveþ	mynt
og	c	og
er	sfg3en	vera
stærsti	lkenve	stór
hlutinn	nkeng	hluti
í	aþ	í
norskum	lvfþsf	norskur
krónum	nvfþ	króna
eða	c	eða
22,5	ta	22,5
milljarðar	nkfn	milljarður
.	.	.

Um	ao	um
Landsbankann	nkeogs	Landsbanki
þarf	sfg3en	þurfa
kannski	aa	kannski
færri	lhfovm	fár
orð	nhfo	orð
vega	sfg3fn	vega
krónur	nvfn	króna
og	c	og
erlendar	lvfnsf	erlendur
myntir	nvfn	mynt
því	fpheþ	það
sem	aa	sem
næst	aþe	nærri
salt	nheo	salt
á	aþ	á
þeim	fakeþ	sá
bæ	nkeþ	bær
.	.	.

Um	ao	um
áramótin	nhfog	áramót
var	sfg3eþ	vera
gjaldeyrisjöfnuður	nken	gjaldeyrisjöfnuður
Landsbankans	nkeegs	Landsbanki
jákvæður	lkensf	jákvæður
um	ao	um
rétt	aa	rétt
tæpan	lkeosf	tæpur
milljarða	x	milljarður
króna	nvfe	króna
en	c	en
var	sfg3eþ	vera
jákvæður	lkensf	jákvæður
um	ao	um
eina	fokfo	einn
fimm	tfkfo	fimm
í	aþ	í
níu	tfkfe	níu
mánaða	nkfe	mánuður
uppgjöri	nheþ	uppgjör
bankans	nkeeg	banki
.	.	.

Miðað	sþghen	miða
við	ao	við
uppgjör	nhfo	uppgjör
bankanna	nkfeg	banki
og	c	og
tölur	nvfo	tala
Seðlabankans	nkeegs	Seðlabanki
má	sfg3en	mega
ætla	sng	ætla
að	c	að
tölur	nvfn	tala
Seðlabankans	nkeegs	Seðlabanki
sýni	svg3fn	sýna
örlítið	aa	örlítið
minni	lveovm	lítill
gjaldeyriseign	nveo	gjaldeyriseign
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
en	c	en
hún	fpven	hún
er	sfg3en	vera
í	aþ	í
reynd	nveþ	reynd
.	.	.

Þannig	aa	þannig
var	sfg3eþ	vera
gjaldeyrisjöfnuður	nken	gjaldeyrisjöfnuður
viðskiptabankanna	nkfeg	viðskiptabanki
þriggja	tfkfe	þrír
jákvæður	lkensf	jákvæður
um	ao	um
188,5	ta	188,5
milljarða	nkfo	milljarður
um	ao	um
áramótin	nhfog	áramót
samkvæmt	aþ	samkvæmt
tölum	nvfþ	tala
Seðlabankans	nkeegs	Seðlabanki
en	c	en
samkvæmt	aþ	samkvæmt
uppgjörum	nhfþ	uppgjör
þeirra	fpkfe	hann
sjálfra	fbkfe	sjálfur
var	sfg3eþ	vera
hann	fpken	hann
jákvæður	lkensf	jákvæður
um	ao	um
rúma	lkfosf	rúmur
208	ta	208
milljarða	nkfo	milljarður
króna	nvfe	króna
þannig	aa	þannig
að	c	að
munurinn	nkeng	munur
var	sfg3eþ	vera
um	aa	um
20	ta	20
milljarðar	nkfn	milljarður
og	c	og
ef	c	ef
sú	faven	sá
skekkja	nven	skekkja
hefur	sfg3en	hafa
haldist	ssm	halda
næmi	svg3eþ	nema
gjaldeyriseign	nven	gjaldeyriseign
bankanna	nkfeg	banki
væntanlega	aa	væntanlega
240-250	ta	240-250
milljörðum	nkfþ	milljarður
króna	nvfe	króna
.	.	.

Gríðarháar	lvfnsf	gríðarhár
upphæðir	nvfn	upphæð
Kaupþing	nhen-s	Kaupþing
banki	nken	banki
hefur	sfg3en	hafa
á	aþ	á
undanförnum	lkfþsf	undanfarinn
fáum	lkfþsf	fár
mánuðum	nkfþ	mánuður
skipt	ssg	skipta
út	aa	út
gríðarlega	aa	gríðarlega
miklu	lheþsf	mikill
af	aþ	af
krónum	nvfþ	króna
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
þótt	c	þótt
þær	favfn	sá
krónur	nvfn	króna
hafi	svg3fn	hafa
kannski	aa	kannski
ekki	aa	ekki
nema	c	nema
að	aþ	að
takmörkuðu	lheþsf	takmarkaður
leyti	nheþ	leyti
skipt	ssg	skipta
um	ao	um
hendur	nvfo	hönd
í	aþ	í
viðskiptum	nhfþ	viðskipti
á	aþ	á
gjaldeyrismarkaði	nkeþ	gjaldeyrismarkaður
með	ao	með
krónuna	nveog	króna
.	.	.

Hlutafé	nheþ	hlutafé
því	faheþ	sá
sem	ct	sem
aflaðist	sfm3eþ	afla
í	aþ	í
alþjóðlegu	lheþsf	alþjóðlegur
útboði	nheþ	útboð
bankans	nkeeg	banki
fyrir	ao	fyrir
áramótin	nhfog	áramót
,	,	,
hátt	aa	hátt
í	aa	í
60	ta	60
milljarðar	nkfn	milljarður
,	,	,
var	sfg3eþ	vera
þannig	aa	þannig
aldrei	aa	aldrei
skipt	sþghen	skipta
í	ao	í
krónur	nvfo	króna
.	.	.

Hvernig	aa	hvernig
sem	c	sem
á	ao	á
það	fpheo	það
er	sfg3en	vera
litið	sþghen	líta
hefur	sfg3en	hafa
Kaupþing	nhen-s	Kaupþing
banki	nken	banki
fært	ssg	færa
gríðarlega	aa	gríðarlega
mikið	lheosf	mikill
af	aþ	af
eigin	lheþof	eigin
fé	nheþ	fé
í	aþ	í
krónum	nvfþ	króna
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
,	,	,
eða	c	eða
langt	aa	langt
á	ao	á
annað	lheosf	annaður
hundrað	nheo	hundrað
milljarða	nkfe	milljarður
króna	nvfe	króna
á	aþ	á
síðustu	lkfþve	síðari
fjórum	tfkfþ	fjórir
mánuðum	nkfþ	mánuður
án	ae	án
þess	fphee	það
að	c	að
sjáanlegt	lhensf	sjáanlegur
sé	svg3en	vera
að	c	að
það	fphen	það
hafi	svg3en	hafa
komið	ssg	koma
af	aþ	af
stað	nkeþ	staður
miklu	lheþsf	mikill
róti	nheþ	rót
á	aþ	á
gjaldeyrismarkaðinum	nkeþg	gjaldeyrismarkaður
eða	c	eða
leitt	ssg	leiða
til	ae	til
veikingar	nvee	veiking
krónunnar	nveeg	króna
enda	c	enda
kannski	aa	kannski
önnur	fohfn	annar
og	c	og
ekki	aa	ekki
síður	aam	síður
sterk	lhfnsf	sterkur
öfl	nhfn	afl
,	,	,
kennd	sþghfn	kenna
við	ao	við
jökla	nkfo	jökull
,	,	,
að	aþ	að
verki	nheþ	verk
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
.	.	.

Af	aþ	af
hálfu	nveþ	hálfa
Kaupþings	nhee-s	Kaupþing
hafa	sfg3fn	hafa
menn	nkfn	maður
lagt	ssg	leggja
áherslu	nveo	áhersla
á	ao	á
að	c	að
bankinn	nkeng	banki
sé	svg3en	vera
með	ao	með
miklar	lvfosf	mikill
eignir	nvfo	eign
erlendis	aa	erlendis
og	c	og
að	c	að
þessar	favfn	þessi
breytingar	nvfn	breyting
hafi	svg3fn	hafa
einmitt	aa	einmitt
verið	ssg	vera
gerðar	sþgvfn	gera
til	ae	til
þess	fphee	það
að	cn	að
verja	sng	verja
þessar	favfo	þessi
eignir	nvfo	eign
.	.	.

Það	fphen	það
er	sfg3en	vera
skiljanleg	lvensf	skiljanlegur
skýring	nven	skýring
eins	aa	eins
skammt	aa	skammt
og	c	og
hún	fpven	hún
kannski	aa	kannski
nær	sfg3en	ná
.	.	.

En	c	en
voru	sfg3fþ	vera
þessar	favfn	þessi
eignir	nvfn	eign
þá	aa	þá
ótryggðar	lvfnsf	ótryggður
áður	aa	áður
,	,	,
myndi	svg3eþ	munu
einhver	foken	einhver
spyrja	sng	spyrja
.	.	.

Auðvitað	aa	auðvitað
ekki	aa	ekki
;	;	;
bankinn	nkeng	banki
hefur	sfg3en	hafa
vafalaust	aa	vafalaust
varið	ssg	verja
þessar	favfo	þessi
eignir	nvfo	eign
áður	aa	áður
en	c	en
hann	fpken	hann
tók	sfg3eþ	taka
að	cn	að
umbreyta	sng	umbreyta
eigin	lheþof	eigin
fé	nheþ	fé
í	aþ	í
svo	aa	svo
miklum	lkeþsf	mikill
mæli	nkeþ	mælir
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
en	c	en
þá	aa	þá
væntanlega	aa	væntanlega
bara	aa	bara
með	aþ	með
öðrum	fokeþ	annar
hætti	nkeþ	háttur
.	.	.

Þannig	aa	þannig
er	sfg3en	vera
engum	fohfþ	enginn
blöðum	nhfþ	blað
um	ao	um
það	fpheo	það
að	cn	að
fletta	sng	fletta
að	c	að
umbreyting	nven	umbreyting
bankans	nkeeg	banki
á	aþ	á
eigin	lheþof	eigin
fé	nheþ	fé
í	ao	í
erlenda	lveosf	erlendur
mynt	nveo	mynt
markar	sfg3en	marka
nýja	lveosf	nýr
stefnu	nveo	stefna
og	c	og
er	sfg3en	vera
augljóslega	aa	augljóslega
engin	foven	enginn
traustsyfirlýsing	nven	traustsyfirlýsing
við	ao	við
íslensku	lveovf	íslenskur
krónuna	nveog	króna
.	.	.

Enga	foveo	enginn
aðra	foveo	annar
ályktun	nveo	ályktun
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
draga	sng	draga
en	c	en
þá	faveo	sá
að	c	að
Kaupþing	nhen-s	Kaupþing
banki	nken	banki
hyggist	svm3en	hyggja
skrá	sng	skrá
hlutafé	nheo	hlutafé
sitt	feheo	sinn
í	aþ	í
erlendri	lveþsf	erlendur
mynt	nveþ	mynt
og	c	og
gera	sng	gera
þá	aa	þá
upp	aa	upp
í	aþ	í
henni	fpveþ	hún
líka	aa	líka
,	,	,
hvenær	aa	hvenær
svo	aa	svo
sem	c	sem
af	aþ	af
því	fpheþ	það
verður	sfg3en	verða
.	.	.

Kjarni	nken	kjarni
málsins	nheeg	mál
er	sfg3en	vera
að	c	að
íslenska	lvenvf	íslenskur
krónan	nveng	króna
hentar	sfg3en	henta
ekki	aa	ekki
Kaupþingi	nheþ-s	Kaupþing
banka	nkeþ	banki
og	c	og
er	sfg3en	vera
augljóslega	aa	augljóslega
að	cn	að
verða	sng	verða
honum	fpkeþ	hann
fjötur	nken	fjötur
um	ao	um
fót	nkeo	fótur
.	.	.

Gamla	lvenvf	gamall
danska	lvenvf	danskur
með	ao	með
vinninginn	nkeog	vinningur
Þótt	c	þótt
vanalega	aa	vanalega
hafi	svg3en	hafa
verið	ssg	vera
talað	sþghen	tala
um	ao	um
Kaupþing	nheo-s	Kaupþing
banka	nkeo	banki
og	c	og
evru	nveo	evra
í	aþ	í
einni	foveþ	einn
og	c	og
sömu	fbveþ	sami
andrá	nveþ	andrá
fer	sfg3en	fara
því	fpheþ	það
víðs	lkeesf	víður
fjarri	aþ	fjarri
að	c	að
bankinn	nkeng	banki
eigi	svg3en	eiga
í	aþ	í
eldheitu	lheþsf	eldheitur
ástarsambandi	nheþ	ástarsamband
við	ao	við
evruna	nveog	evra
eina	lveosf	einn
.	.	.

Sem	c	sem
fyrr	aam	fyrr
segir	sfg3en	segja
nam	sfg3eþ	nema
gjaldeyriseign	nven	gjaldeyriseign
Kaupþings	nhee-s	Kaupþing
banka	nkee	banki
um	aa	um
172,8	ta	172,8
milljörðum	nkfþ	milljarður
króna	nvfe	króna
um	ao	um
áramót	nhfo	áramót
og	c	og
stærstur	lkense	stór
hluti	nken	hluti
þeirrar	favee	sá
upphæðar	nvee	upphæð
,	,	,
59,5	ta	59,5
milljarðar	nkfn	milljarður
,	,	,
var	sfg3eþ	vera
í	aþ	í
fyrrum	aa	fyrrum
lögeyri	nkeþ	lögeyrir
Íslendinga	nkfe-s	Íslendingur
,	,	,
dönsku	lveþvf	danskur
krónunni	nveþg	króna
,	,	,
sem	ct	sem
raunar	aa	raunar
má	sfg3en	mega
segja	sng	segja
að	c	að
sé	svg3en	vera
þræltrúlofuð	lvensf	þræltrúlofaður
evrunni	nveþg	evra
.	.	.

Um	aa	um
53,4	ta	53,4
milljarðar	nkfn	milljarður
eða	c	eða
31%	tp	31%
af	aþ	af
erlendri	lveþsf	erlendur
gjaldeyriseign	nveþ	gjaldeyriseign
Kaupþings	nhee-s	Kaupþing
var	sfg3eþ	vera
í	aþ	í
evrum	nvfþ	evra
,	,	,
43,7	ta	43,7
milljarðar	nkfn	milljarður
eða	c	eða
rúmur	lkensf	rúmur
fjórðungur	nken	fjórðungur
var	sfg3eþ	vera
í	aþ	í
sterlingspundum	nhfþ	sterlingspund
en	c	en
sextán	tfkfn	sextán
milljarðar	nkfn	milljarður
eða	c	eða
rúm	lhfnsf	rúmur
9%	tp	9%
í	aþ	í
annarri	foveþ	annar
mynt	nveþ	mynt
.	.	.

Verulegur	lkensf	verulegur
hluti	nken	hluti
af	aþ	af
starfsemi	nveþ	starfsemi
Kaupþings	nhee-s	Kaupþing
banka	nkee	banki
er	sfg3en	vera
einmitt	aa	einmitt
í	aþ	í
Danmörku	nveþ-s	Danmörk
og	c	og
á	aþ	á
Bretlandseyjum	nvfþ-s	Bretlandseyjar
og	c	og
því	aa	því
er	sfg3en	vera
auðvitað	aa	auðvitað
ósköp	nhfn	ósköp
eðlilegt	lhensf	eðlilegur
að	c	að
þær	favfn	sá
myntir	nvfn	mynt
fái	svg3fn	fá
pláss	nheo	pláss
við	ao	við
hæfi	nheo	hæfi
í	aþ	í
gjaldeyrisskúffum	nvfþ	gjaldeyrisskúffa
bankans	nkeeg	banki
við	ao	við
hliðina	nveog	hlið
á	aþ	á
evrunni	nveþg	evra
.	.	.

Aftur	aa	aftur
á	aa	á
móti	aa	móti
stefnir	sfg3en	stefna
allt	fohen	allur
í	ao	í
það	fpheo	það
að	c	að
klink	nxen-s	klink
með	aþ	með
alls	fohee	allur
kyns	nhee	kyn
upphleyptum	lvfþsf	upphleyptur
fiskimyndum	nvfþ	fiskimynd
verði	svg3en	verða
þar	aa	þar
fremur	aam	fremur
sjaldgæf	lvensf	sjaldgæfur
sjón	nven	sjón
.	.	.

Í	aþ	í
hnotskurn	nveþ	hnotskurn
»	»	»
Gjaldeyriseign	nven	gjaldeyriseign
viðskiptabankanna	nkfeg	viðskiptabanki
meira	aam	meira
en	c	en
þrefaldaðist	sfm3eþ	þrefalda
í	ao	í
fyrra	lheovm	fyrri
.	.	.

Í	aþ	í
upphafi	nheþ	upphaf
ársins	nheeg	ár
nam	sfg3eþ	nema
hún	fpven	hún
um	aa	um
60	ta	60
milljörðum	nkfþ	milljarður
samkvæmt	aþ	samkvæmt
tölum	nvfþ	tala
Seðlabankans	nkeegs	Seðlabanki
.	.	.

Nú	aa	nú
um	ao	um
áramótin	nhfog	áramót
var	sfg3eþ	vera
hún	fpven	hún
um	aa	um
210	ta	210
milljarðar	nkfn	milljarður
samkvæmt	aþ	samkvæmt
uppgjörum	nhfþ	uppgjör
bankanna	nkfeg	banki
.	.	.

»	»	»
Langstærsti	lkenve	langstærstur
hlutinn	nkeng	hluti
eða	c	eða
tæplega	aa	tæplega
173	ta	173
milljarðar	nkfn	milljarður
og	c	og
meira	lhenvm	mikill
en	c	en
80%	tp	80%
var	sfg3eþ	vera
í	aþ	í
höndum	nvfþ	hönd
Kaupþings	nhee-s	Kaupþing
banka	nkee	banki
.	.	.

Glitnir	nken-s	Glitnir
var	sfg3eþ	vera
með	ao	með
36,3	ta	36,3
milljarða	nkfo	milljarður
en	c	en
Landsbankinn	nkengs	Landsbanki
var	sfg3eþ	vera
nánast	aae	náið
með	ao	með
jafnvægi	nheo	jafnvægi
milli	ae	milli
íslensku	lveevf	íslenskur
krónunnar	nveeg	króna
og	c	og
erlendrar	lveesf	erlendur
myntar	nvee	mynt
.	.	.

HAGNAÐUR	nken	hagnaður
Össurar	nkee-s	Össur
hf.	as	hf.
nam	sfg3eþ	nema
um	aa	um
4,3	ta	4,3
milljónum	nvfþ	milljón
dollara	nkfe	dollari
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
,	,	,
jafnvirði	nheþ	jafnvirði
tæplega	aa	tæplega
300	ta	300
milljónum	nvfþ	milljón
íslenskra	lvfesf	íslenskur
