risastóra	lheovf	risastór
að	cn	að
eiga	sng	eiga
sem	c	sem
dýrustu	lhfove	dýr
fötin	nhfog	fat
,	,	,
flottustu	lkfove	flottur
bílana	nkfog	bíll
,	,	,
vera	sng	vera
sem	c	sem
dekkstur	lkense	dökkur
af	aþ	af
ljósabekkjanotkun	nveþ	ljósabekkjanotkun
og	c	og
næla	sng	næla
sér	fpkeþ	sig
í	ao	í
stelpur	nvfo	stelpa
til	ae	til
þess	fphee	það
eins	lheesf	einn
að	cn	að
rakka	sng	rakka
þær	fpvfo	hún
niður	aa	niður
oft	aa	oft
á	aþ	á
tíðum	nvfþ	tíð
.	.	.
Þetta	fahen	þessi
eru	sfg3fn	vera
áreiðanlega	aa	áreiðanlega
hinir	gkfn	hinn
vænstu	lkfnve	vænn
strákar	nkfn	strákur
inn	aa	inn
við	ao	við
beinið	nheog	bein
en	c	en
það	fahen	sá
sem	ct	sem
fer	sfg3en	fara
í	ao	í
taugarnar	nvfog	taug
á	aþ	á
mér	fp1eþ	ég
er	sfg3en	vera
hvernig	aa	hvernig
þeir	fpkfn	hann
líta	sfg3fn	líta
á	ao	á
veröldina	nveog	veröld
í	aa	í
kringum	ao	kringum
sig	fpkfo	sig
;	;	;
hún	fpven	hún
er	sfg3en	vera
gjörsamlega	aa	gjörsamlega
innihaldslaus	lvensf	innihaldslaus
og	c	og
það	fphen	það
virðist	sfm3en	virða
sem	c	sem
þeir	fpkfn	hann
hafi	svg3fn	hafa
enga	foveo	enginn
hugmynd	nveo	hugmynd
út	aa	út
á	ao	á
hvað	fsheo	hver
þetta	fahen	þessi
blessaða	lhenvf	blessaður
líf	nhen	líf
gengur	sfg3en	ganga
.	.	.
Ég	fp1en	ég
trúi	sfg1en	trúa
ekki	aa	ekki
að	c	að
innst	aae	innar
inni	aa	inni
þeir	fpkfn	hann
virkilega	aa	virkilega
haldi	svg3fn	halda
að	cn	að
vera	sng	vera
sólbrúnn	lkensf	sólbrúnn
og	c	og
sætur	lkensf	sætur
sé	svg3en	vera
lykillinn	nkeng	lykill
að	aþ	að
innihaldsríku	lheþsf	innihaldsríkur
lífi	nheþ	líf
.	.	.
Svo	aa	svo
er	sfg3en	vera
það	fphen	það
annað	fohen	annar
-	-	-
einn	tfken	einn
þessara	fakfe	þessi
drengja	nkfe	drengur
skrifaði	sfg3eþ	skrifa
bókina	nveog	bók
Biblía	nven-s	Biblía
fallega	lheevf	fallegur
fólksins	nheeg	fólk
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
ekki	aa	ekki
lesið	ssg	lesa
hana	fpveo	hún
en	c	en
ég	fp1en	ég
hef	sfg1en	hafa
lesið	ssg	lesa
nokkrar	fovfo	nokkur
gagnrýnir	nvfo	gagnrýni
(	(	(
segir	sfg3en	segja
maður	nken	maður
það	fpheo	það
?	?	?
)	)	)
og	c	og
þær	favfn	sá
sem	ct	sem
ég	fp1en	ég
hef	sfg1en	hafa
lesið	ssg	lesa
eru	sfg3fn	vera
allar	fovfn	allur
á	ao	á
sömu	fbveo	sami
leið	nveo	leið
-	-	-
að	c	að
bókin	nveng	bók
sé	svg3en	vera
brandari	nken	brandari
.	.	.
Þegar	c	þegar
farið	sþghen	fara
er	sfg3en	vera
inn	aa	inn
á	ao	á
síðuna	nveog	síða
hjá	aþ	hjá
þessum	fakfþ	þessi
drengjum	nkfþ	drengur
og	c	og
lesið	sþghen	lesa
er	sfg3en	vera
yfir	ao	yfir
athugasemdirnar	nvfog	athugasemd
þá	aa	þá
eru	sfg3fn	vera
sumir	fokfn	sumur
sem	ct	sem
segja	sfg3fn	segja
sína	feveo	sinn
meiningu	nveo	meining
annaðhvort	c	annaðhvort
á	aþ	á
síðunni	nveþg	síða
þeirra	fpkfe	hann
eða	c	eða
bókinni	nveþg	bók
.	.	.
Það	fphen	það
klikkar	sfg3en	klikka
ekki	aa	ekki
að	c	að
ef	c	ef
eitthvað	fohen	einhver
er	sfg3en	vera
sagt	sþghen	segja
sem	ct	sem
ekki	aa	ekki
telst	sfm3en	telja
hrós	nhen	hrós
þá	aa	þá
hópast	sfm3fn	hópa
allir	fokfn	allur
að	aþ	að
greyis	aa	greyi
manneskjunni	nveþg	manneskja
sem	ct	sem
einungis	aa	einungis
sagði	sfg3eþ	segja
sína	feveo	sinn
skoðun	nveo	skoðun
og	c	og
rakka	sng	rakka
hana	fpveo	hún
niður	aa	niður
.	.	.
Afhverju	aa	afhverju
er	sfg3en	vera
ekki	aa	ekki
hægt	lhensf	hægur
að	cn	að
taka	sng	taka
við	aþ	við
gagnrýni	nveþ	gagnrýni
nema	c	nema
með	aþ	með
skömmum	nvfþ	skömm
og	c	og
niðurlægingu	nveþ	niðurlæging
?	?	?
Af	aþ	af
hverju	fsheþ	hver
þar	x	þar
alltaf	aa	alltaf
að	cn	að
svar	x	svara
með	aþ	með
skít	nkeþ	skítur
og	c	og
skömm	nveþ	skömm
?	?	?
Er	sfg3en	vera
þetta	fahen	þessi
einhver	foven	einhver
tíska	nven	tíska
?	?	?
Segið	sbg2fn	segja
mér	fp1eþ	ég
svo	aa	svo
annað	lheosf	annaður
-	-	-
Hvað	fshen	hver
er	sfg3en	vera
að	aþ	að
okkar	fp1fe	ég
ástkæra	lheþvf	ástkær
ylhýra	lheþvf	ylhýr
tungumáli	nheþ	tungumál
-	-	-
íslenskunni	nveþg	íslenska
?	?	?
Af	aþ	af
hverju	fsheþ	hver
þarf	sfg3en	þurfa
stanslaust	aa	stanslaust
að	cn	að
koma	sng	koma
inn	aa	inn
með	ao	með
slettur	nvfo	sletta
?	?	?
Ef	c	ef
þessu	faheþ	þessi
heldur	sfg3en	halda
áfram	aa	áfram
eigum	sfg1fn	eiga
við	fp1fn	ég
á	aþ	á
hættu	nveþ	hætta
að	cn	að
missa	sng	missa
sérstöðu	nveo	sérstaða
okkar	fp1fe	ég
sem	ct	sem
tungumálið	nheng	tungumál
okkar	fp1fe	ég
er	sfg3en	vera
eftir	ao	eftir
allt	foheo	allur
of	aa	of
fá	lhfosf	fár
ár	nhfo	ár
.	.	.
Maður	nken	maður
berst	sfm3en	berja
eins	aa	eins
og	c	og
rjúpan	nveng	rjúpa
við	ao	við
að	cn	að
kenna	sng	kenna
Eyjólfi	nkeþ-s	Eyjólfur
íslensku	nveo	íslenska
til	ae	til
þess	fphee	það
eins	aa	eins
að	c	að
hann	fpken	hann
geti	svg3en	geta
gert	ssg	gera
sig	fpkeo	sig
skiljanlegan	lkeosf	skiljanlegur
í	aþ	í
framtíðinni	nveþg	framtíð
en	c	en
svo	aa	svo
er	sfg3en	vera
fólk	nhen	fólk
sem	ct	sem
býr	sfg3en	búa
heima	aa	heima
að	cn	að
gefa	sng	gefa
skít	nkeo	skítur
í	ao	í
sína	feveo	sinn
eigin	lveoof	eigin
tungu	nveo	tunga
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
fullvel	aa	fullvel
að	c	að
þetta	fahen	þessi
hefur	sfg3en	hafa
verið	ssg	vera
svona	aa	svona
í	ao	í
mörg	lhfosf	margur
ár	nhfo	ár
en	c	en
AFHVERJU	aa	afhverju
?	?	?
Hvað	fshen	hver
er	sfg3en	vera
svona	aa	svona
hræðilegt	lhensf	hræðilegur
við	ao	við
að	cn	að
tala	sng	tala
gott	lheosf	góður
og	c	og
rétt	lheosf	réttur
mál	nheo	mál
?	?	?
Og	c	og
annað	fohen	annar
-	-	-
Í	aþ	í
þessari	faveþ	þessi
Biblíu	nveþ-s	Biblía
fallega	lheevf	fallegur
fólksins	nheeg	fólk
segir	sfg3en	segja
maðurinn	nkeng	maður
að	c	að
þeir	fakfn	sá
sem	ct	sem
ekki	aa	ekki
eiga	sfg3fn	eiga
bókina	nveog	bók
séu	svg3fn	vera
ljótir	lkfnsf	ljótur
.	.	.
Hver	fsken	hver
er	sfg3en	vera
málið	nheng	mál
með	ao	með
það	fpheo	það
?	?	?
Þeir	fakfn	sá
sem	ct	sem
eru	sfg3fn	vera
fallegir	lkfnsf	fallegur
nái	svg3fn	ná
lengra	aam	langt
en	c	en
þeir	fakfn	sá
sem	ct	sem
eru	sfg3fn	vera
ljótir	lkfnsf	ljótur
!	!	!
Hvað	fshen	hver
varð	sfg3eþ	verða
um	ao	um
að	cn	að
koma	sng	koma
sér	fpkeþ	sig
áfram	aa	áfram
á	aþ	á
getu	nveþ	geta
,	,	,
dug	nkeþ	dugur
og	c	og
hæfileikum	nkfþ	hæfileiki
?	?	?
Stundum	aa	stundum
talar	sfg3en	tala
höfundurinn	nkeng	höfundur
um	ao	um
konur	nvfo	kona
sem	ct	sem
drottningar	nvfo	drottning
en	c	en
á	aþ	á
öðrum	fokfþ	annar
stöðum	nkfþ	staður
sem	c	sem
kellingar	nvfo	kelling
.	.	.
Það	fphen	það
á	sfg3en	eiga
að	cn	að
«	«	«
tríta	sng	tríta
«	«	«
þessar	favfo	þessi
elskur	nvfo	elska
sem	ct	sem
drottningar	nvfo	drottning
en	c	en
svo	aa	svo
snýr	sfg3en	snúa
hann	fpken	hann
sér	fpkeþ	sig
í	ao	í
heilan	lkeosf	heill
hring	nkeo	hringur
og	c	og
segir	sfg3en	segja
að	c	að
það	fphen	það
sé	svg3en	vera
gott	lhensf	góður
að	cn	að
eiga	sng	eiga
þessar	favfo	þessi
kellingar	nvfo	kelling
að	c	að
til	ae	til
þess	fphee	það
að	cn	að
geta	sng	geta
losað	ssg	losa
sig	fpkeo	sig
og	c	og
tappað	ssg	tappa
af	aa	af
!	!	!
Á	sfg3en	eiga
þessi	faken	þessi
blessaði	lkenvf	blessaður
maður	nken	maður
ekki	aa	ekki
móður	nveo	móðir
,	,	,
systur	nvfo	systir
,	,	,
frænkur	nvfo	frænka
o.s.frv.	as	o.s.frv.
ARRRG	au	arrrg
.	.	.
Ég	fp1en	ég
get	sfg1en	geta
orðið	ssg	verða
sjóðandi	aa	sjóðandi
brjáluð	lvensf	brjálaður
á	aþ	á
svona	lkfþof	svona
mönnum	nkfþ	maður
.	.	.
Í	aþ	í
mínum	fekeþ	minn
huga	nkeþ	hugi
þá	aa	þá
hafa	sfg3fn	hafa
þessir	fakfn	þessi
menn	nkfn	maður
enga	foveo	enginn
hugmynd	nveo	hugmynd
um	ao	um
hlutina	nkfog	hlutur
í	aa	í
kringum	ao	kringum
sig	fpkfo	sig
...	...	...
það	fphen	það
mætti	svg3eþ	mega
halda	sng	halda
að	c	að
þeir	fpkfn	hann
fengju	svg3fþ	fá
hugmyndir	nvfo	hugmynd
af	aþ	af
kvenmönnum	nkfþ	kvenmaður
úr	aþ	úr
klámmyndum	nvfþ	klámmynd
.	.	.
Já	au	já
einmitt	aa	einmitt
-	-	-
Við	fp1fn	ég
erum	sfg1fn	vera
allar	fovfn	allur
í	aþ	í
háhæluðum	lkfþsf	háhælaður
skóm	nkfþ	skór
og	c	og
í	aþ	í
skólabúningum	nkfþ	skólabúningur
.	.	.
Ég	fp1en	ég
sé	sfg1en	sjá
mig	fp1eo	ég
í	aþ	í
anda	nkeþ	andi
eiga	sng	eiga
í	aþ	í
samræðum	nvfþ	samræða
við	ao	við
þessa	fakfo	þessi
drengi	nkfo	drengur
.	.	.
Þeir	fpkfn	hann
myndu	svg3fþ	munu
áreiðanlega	aa	áreiðanlega
reyna	sng	reyna
skjóta	sng	skjóta
mig	fp1eo	ég
niður	aa	niður
og	c	og
segja	sng	segja
mig	fp1eo	ég
vera	sng	vera
púritana	nkeo	púritani
,	,	,
rauðsokku	nveo	rauðsokka
,	,	,
tepru	nveo	tepra
og	c	og
ljóta	lveosf	ljótur
manneskju	nveo	manneskja
sem	ct	sem
væri	svg3eþ	vera
afrbrýðisöm	lvensf	afbrýðisamur
út	aa	út
í	ao	í
þetta	faheo	þessi
líferni	nheo	líferni
þeirra	fpkfe	hann
.	.	.
Mér	fp1eþ	ég
er	sfg3en	vera
alveg	aa	alveg
sama	fbhen	sami
hvað	fsheo	hver
hver	fsken	hver
segir	sfg3en	segja
.	.	.
Ég	fp1en	ég
skil	sfg1en	skilja
þetta	faheo	þessi
ekki	aa	ekki
.	.	.
Ég	fp1en	ég
djammaði	sfg1eþ	djamma
heil	lhfosf	heill
ósköp	nhfo	ósköp
hér	aa	hér
í	aa	í
den	aa	den
og	c	og
hafði	sfg1eþ	hafa
gaman	nheo	gaman
af	aa	af
.	.	.
Ég	fp1en	ég
hitti	sfg1eþ	hitta
fullt	lheosf	fullur
af	aþ	af
fólki	nheþ	fólk
,	,	,
skemmtilegu	lheþsf	skemmtilegur
og	c	og
öðru	foheþ	annar
síðra	lheþvm	síðri
skemmtilegu	lheþsf	skemmtilegur
.	.	.
Við	fp1fn	ég
vinkonurnar	nvfng	vinkona
eigum	sfg1fn	eiga
margar	lvfosf	margur
sögur	nvfo	saga
sem	ct	sem
við	fp1fn	ég
yljum	sfg1fn	ylja
okkur	fp1fþ	ég
við	aa	við
,	,	,
liggur	sfg3en	liggja
við	aa	við
í	ao	í
hvert	foheo	hver
sinn	nheo	sinn
sem	ct	sem
við	fp1fn	ég
heyrumst	sfm1fn	heyra
.	.	.
Við	fp1fn	ég
komumst	sfm1fþ	koma
þræl	aa	þræl
oft	aa	oft
á	ao	á
séns	nkeo	séns
og	c	og
þó	aa	þó
erum	sfg1fn	vera
við	fp1fn	ég
ekki	aa	ekki
útlits	nhee	útlit
eins	aa	eins
og	c	og
Kate	e	Kate
Moss	e	Moss
eða	c	eða
aðrar	fovfn	annar
fyrirsætur	nvfn	fyrirsæta
(	(	(
við	fp1fn	ég
erum	sfg1fn	vera
samt	aa	samt
náttúrlega	aa	náttúrlega
algjörar	lvfnsf	algjör
skvísur	nvfn	skvísa
:	:	:
)	)	)
Æi	au	æi
..	..	..
hvað	fsheo	hver
segið	sfg2fn	segja
þið	fp2fn	þú
um	ao	um
þetta	faheo	þessi
allt	foheo	allur
saman	aa	saman
?	?	?
Mig	fp1eo	ég
langar	sfg3en	langa
að	cn	að
vita	sng	vita
,	,	,
bara	aa	bara
svona	aa	svona
fyrir	ao	fyrir
forvitnissakir	nvfo	forvitnissök
.	.	.
En	c	en
svona	aa	svona
að	aþ	að
öðru	foheþ	annar
.	.	.
Hér	aa	hér
á	aþ	á
mínu	feheþ	minn
heimili	nheþ	heimili
týndust	sfm3fþ	týna
páskarnir	nkfng	páskar
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
ekkert	foheo	enginn
hvert	aa	hvert
þeir	fpkfn	hann
fóru	sfg3fþ	fara
.	.	.
Eyjólfur	nken-s	Eyjólfur
og	c	og
Bert	e	Bert
lágu	sfg3fþ	liggja
veikir	lkfnsf	veikur
með	aa	með
upp	aa	upp
og	c	og
niður	aa	niður
og	c	og
á	ao	á
páskadag	nkeo	páskadagur
þegar	c	þegar
við	fp1fn	ég
vorum	sfg1fþ	vera
öll	fohfn	allur
komin	sþghfn	koma
í	ao	í
sparifötin	nhfog	spariföt
þá	aa	þá
tók	sfg3eþ	taka
Eyjólfur	nken-s	Eyjólfur
upp	aa	upp
á	aþ	á
því	fpheþ	það
að	cn	að
æla	sng	æla
yfir	ao	yfir
okkur	fp1fo	ég
öll	fohfo	allur
.	.	.
Jakkafötin	nhfng	jakkaföt
hans	fpkee	hann
,	,	,
bindið	nheng	bindi
,	,	,
sokkarnir	nkfng	sokkur
-	-	-
allt	fohen	allur
útatað	lhensf	útataður
.	.	.
Ég	fp1en	ég
tilkynnti	sfg1eþ	tilkynna
mínum	fekeþ	minn
manni	nkeþ	maður
að	c	að
við	fp1fn	ég
skyldum	svg1fþ	skulu
slá	sng	slá
matarboðið	nheog	matarboð
af	aa	af
því	fpheþ	það
þetta	fahen	þessi
gengi	svg3eþ	ganga
ekki	aa	ekki
.	.	.
Fyrir	ao	fyrir
utan	ao	utan
að	cn	að
hafa	sng	hafa
strákinn	nkeog	strákur
ælandi	lkeoof	ælandi
þá	aa	þá
fannst	sfm3eþ	finna
mér	fp1eþ	ég
einna	fohfe	einn
verst	lhense	verri
að	cn	að
þurfa	sng	þurfa
að	cn	að
taka	sng	taka
matinn	nkeog	matur
af	aþ	af
litlu	lhfþvf	lítill
börnunum	nhfþg	barn
sem	ct	sem
við	fp1fn	ég
bjuggumst	sfm1fþ	búa
við	aa	við
.	.	.
Fallega	lhenvf	fallegur
hárbandið	nheng	hárband
sem	ct	sem
beið	sfg3eþ	bíða
litlu	lveevf	lítill
stelpunnar	nveeg	stelpa
verður	sfg3en	verða
að	cn	að
bíða	sng	bíða
betri	lkeevm	góður
tíma	nkee	tími
.	.	.
Ég	fp1en	ég
hlýt	sfg1en	hljóta
að	cn	að
koma	sng	koma
því	fpheþ	það
til	ae	til
hennar	fpvee	hún
einhvernveginn	aa	einhvernveginn
.	.	.
Í	ao	í
dag	nkeo	dagur
hef	sfg1en	hafa
ég	fp1en	ég
lítið	aa	lítið
annað	foheo	annar
gert	ssg	gera
en	c	en
að	cn	að
klórþvo	sng	klórþvo
allt	foheo	allur
húsið	nheog	hús
svo	aa	svo
nú	aa	nú
ilmar	sfg3en	ilma
allt	fohen	allur
af	aþ	af
hreinleika	nkeþ	hreinleiki
og	c	og
vonandi	aa	vonandi
hef	sfg1en	hafa
ég	fp1en	ég
þrifið	ssg	þrífa
burtu	aa	burtu
veikindin	nhfog	veikindi
líka	aa	líka
.	.	.
Bert	e	Bert
er	sfg3en	vera
allur	foken	allur
að	cn	að
koma	sng	koma
til	aa	til
sem	aa	sem
og	c	og
Eyjólfur	nken-s	Eyjólfur
og	c	og
ég	fp1en	ég
vona	sfg1en	vona
að	c	að
ég	fp1en	ég
sleppi	svg1en	sleppa
algjörlega	aa	algjörlega
.	.	.
Ég	fp1en	ég
er	sfg1en	vera
svooo	aa	svooo
klígjugjörn	lvensf	klígjugjarn
að	c	að
ég	fp1en	ég
myndi	svg1eþ	munu
örugglega	aa	örugglega
taka	sng	taka
þetta	faheo	þessi
út	aa	út
tvisvar	aa	tvisvar
-	-	-
Ég	fp1en	ég
myndi	svg1eþ	munu
gubba	sng	gubba
aftur	aa	aftur
bara	aa	bara
vegna	ae	vegna
klígju	nvee	klígja
á	aþ	á
að	cn	að
hafa	sng	hafa
gubbað	ssg	gubba
einu	foheþ	einn
sinni	nheþ	sinn
...	...	...
bjakk	au	bjakk
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
nú	aa	nú
orðin	sþgven	verða
meiri	lvenvm	mikill
langlokan	nveng	langloka
,	,	,
ég	fp1en	ég
vona	sfg1en	vona
að	c	að
þið	fp2fn	þú
entust	sfm2fþ	endast
í	aa	í
gegnum	ao	gegnum
þetta	faheo	þessi
.	.	.
En	c	en
ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
býð	sfg1en	bjóða
góða	lveosf	góður
nótt	nveo	nótt
.	.	.
Svanfríður	nven-s	Svanfríður
Mér	fp1eþ	ég
sýnist	sfm3en	sýna
sem	c	sem
svo	aa	svo
að	c	að
öll	foven	allur
bloggrútína	nven	bloggrútína
sé	svg3en	vera
komin	sþgven	koma
í	ao	í
flækju	nveo	flækja
hjá	aþ	hjá
mér	fp1eþ	ég
en	c	en
ég	fp1en	ég
held	sfg1en	halda
að	c	að
það	fphen	það
sé	svg3en	vera
nú	aa	nú
í	aþ	í
lagi	nheþ	lag
.	.	.
Hér	aa	hér
á	aþ	á
mínu	feheþ	minn
heimili	nheþ	heimili
hefur	sfg3en	hafa
upp	aa	upp
og	c	og
niður	aa	niður
veikin	nveng	veiki
verið	ssg	vera
í	aþ	í
hámarki	nheþ	hámark
í	ao	í
nokkra	fokfo	nokkur
daga	nkfo	dagur
.	.	.
Eyjólfur	nken-s	Eyjólfur
byrjaði	sfg3eþ	byrja
og	c	og
bóndinn	nkeng	bóndi
smitaðist	sfm3eþ	smita
í	ao	í
kjölfarið	nheog	kjölfar
og	c	og
ég	fp1en	ég
,	,	,
sú	faven	sá
klígjugjarna	lvenvf	klígjugjarn
,	,	,
hef	sfg1en	hafa
átt	ssg	eiga
í	aþ	í
stökustu	lhfþve	stakur
vandræðum	nhfþ	vandræði
stundum	aa	stundum
með	ao	með
sjálfa	fbveo	sjálfur
mig	fp1eo	ég
:	:	:
)	)	)
Ég	fp1en	ég
held	sfg1en	halda
svei	au	svei
mér	fp1eþ	ég
þá	aa	þá
að	c	að
þetta	fahen	þessi
sé	svg3en	vera
ein	tfven	einn
af	aþ	af
ástæðum	nvfþ	ástæða
þess	fphee	það
að	c	að
ég	fp1en	ég
varð	sfg1eþ	verða
ekki	aa	ekki
hjúkrunarkona	nven	hjúkrunarkona
eins	aa	eins
og	c	og
ég	fp1en	ég
stefndi	sfg1eþ	stefna
að	aa	að
í	ao	í
smá	lkeoof	smá
tíma	nkeo	tími
..	..	..
það	fphen	það
hefði	svg3eþ	hafa
þurft	ssg	þurfa
að	cn	að
senda	sng	senda
mig	fp1eo	ég
heim	aa	heim
í	ao	í
hvert	foheo	hver
skipti	nheo	skipti
sem	ct	sem
einhver	foken	einhver
ældi	svg3eþ	æla
.	.	.
Hér	aa	hér
í	aþ	í
henni	fpveþ	hún
Ammríku	nveþ	Ammríka
eru	sfg3fn	vera
páskar	nkfn	páskar
rétt	aa	rétt
eins	aa	eins
og	c	og
annarsstaðar	aa	annarsstaðar
nema	c	nema
hvað	fshen	hver
að	c	að
þeir	fpkfn	hann
fara	sfg3fn	fara
einhvernveginn	aa	einhvernveginn
fram	aa	fram
hjá	aþ	hjá
manni	nkeþ	maður
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
svipað	lhensf	svipaður
eins	aa	eins
og	c	og
með	ao	með
jólin	nhfog	jól
,	,	,
maður	nken	maður
sér	sfg3en	sjá
varla	aa	varla
neitt	foheo	neinn
í	aa	í
kringum	ao	kringum
sig	fpkeo	sig
sem	ct	sem
minnir	sfg3en	minna
á	ao	á
páskana	nkfog	páskar
.	.	.
Því	aa	því
þarf	sfg3en	þurfa
að	cn	að
finna	sng	finna
þá	fpkfo	hann
inni	aa	inni
í	aþ	í
sér	fpkeþ	sig
og	c	og
það	fphen	það
mun	sfg3en	munu
verða	sng	verða
gert	sþghen	gera
.	.	.
Ég	fp1en	ég
fór	sfg1eþ	fara
í	aa	í
gær	aa	gær
og	c	og
keypti	sfg1eþ	kaupa
heljarinnar	nveeg	hel
skinku	nveo	skinka
fyrir	ao	fyrir
páskamatinn	nkeog	páskamatur
sem	ct	sem
verður	sfg3en	verða
snæddur	sþgken	snæða
seinnipartinn	nkeog	seinnipartur
í	ao	í
dag	nkeo	dagur
.	.	.
Ég	fp1en	ég
lenti	sfg1eþ	lenda
í	aþ	í
þeirri	faveþ	sá
aðstöðu	nveþ	aðstaða
í	aa	í
gær	aa	gær
að	cn	að
fá	sng	fá
litla	lveosf	lítill
brotna	lveosf	brotinn
fjölskyldu	nveo	fjölskylda
í	ao	í
heimsókn	nveo	heimsókn
,	,	,
fólk	nheo	fólk
sem	ct	sem
ég	fp1en	ég
aldrei	aa	aldrei
hafði	sfg1eþ	hafa
séð	ssg	sjá
áður	aa	áður
.	.	.
Mér	fp1eþ	ég
leist	sfm3eþ	líta
sosum	aa	sosum
ekki	aa	ekki
mjög	aa	mjög
vel	aa	vel
á	ao	á
föðurinn	nkeog	faðir
en	c	en
börnin	nhfng	barn
hans	fpkee	hann
tvö	tfhfn	tveir
,	,	,
18	ta	18
mánaða	nkfe	mánuður
og	c	og
2	ta	2
1/2	ta	1/2
voru	sfg3fþ	vera
yndisleg	lhfnsf	yndislegur
og	c	og
eitthvað	fohen	einhver
svo	aa	svo
ein	lhfnsf	einn
og	c	og
afskiptalaus	lhfnsf	afskiptalaus
.	.	.
Úr	aa	úr
varð	sfg3eþ	verða
að	c	að
þau	fphfn	það
komi	svg3fn	koma
í	ao	í
mat	nkeo	matur
í	ao	í
dag	nkeo	dagur
.	.	.
Alveg	aa	alveg
er	sfg3en	vera
það	fphen	það
ótrúlegt	lhensf	ótrúlegur
hvað	fshen	hver
smá	lvenof	smár
athygli	nven	athygli
gerir	sfg3en	gera
börnum	nhfþ	barn
mikið	aa	mikið
.	.	.
Litla	lvenvf	lítill
stelpan	nveng	stelpa
,	,	,
með	ao	með
stóru	lhfovf	stór
brúnu	lhfovf	brúnn
augun	nhfog	auga
sín	fehfo	sinn
og	c	og
fallega	lheovf	fallegur
síða	lheovf	síður
hárið	nheog	hár
sem	ct	sem
allt	fohen	allur
var	sfg3eþ	vera
út	aa	út
í	ao	í
loftið	nheog	loft
vegna	ae	vegna
vanhirðu	nvee	vanhirða
fór	sfg3eþ	fara
að	cn	að
brosa	sng	brosa
og	c	og
leika	sng	leika
sér	fpveþ	sig
við	ao	við
Eyjólf	nkeo-s	Eyjólfur
og	c	og
meira	lheovm	mikill
að	cn	að
segja	sng	segja
leyfði	sfg3eþ	leyfa
mér	fp1eþ	ég
að	cn	að
taka	sng	taka
sig	fpveo	sig
í	ao	í
kleinu	nveo	kleina
.	.	.
Þetta	fahen	þessi
bara	aa	bara
sýnir	sfg3en	sýna
að	c	að
öll	fohfn	allur
börn	nhfn	barn
eru	sfg3fn	vera
eins	lhfnof	eins
,	,	,
hvaðan	aa	hvaðan
sem	c	sem
þau	fphfn	það
koma	sfg3fn	koma
og	c	og
hvaða	fskeþ	hvaða
kynþætti	nkeþ	kynþáttur
sem	ct	sem
þau	fphfn	það
kallast	sfm3fn	kalla
-	-	-
þau	fphfn	það
þurfa	sfg3fn	þurfa
bara	aa	bara
blíðu	nveo	blíða
.	.	.
Mér	fp1eþ	ég
er	sfg3en	vera
það	fphen	það
óskiljanlegt	lhensf	óskiljanlegur
afhverju	aa	afhverju
margir	lkfnsf	margur
foreldrar	nkfn	foreldrar
hugsi	svg3fn	hugsa
ekki	aa	ekki
vel	aa	vel
um	ao	um
börnin	nhfog	barn
sín	fehfo	sinn
...	...	...
þetta	fahen	þessi
gerir	sfg3en	gera
mig	fp1eo	ég
reiða	lveosf	reiður
.	.	.
Þannig	aa	þannig
að	c	að
í	ao	í
dag	nkeo	dagur
ætla	sfg1en	ætla
ég	fp1en	ég
út	aa	út
í	ao	í
búð	nveo	búð
og	c	og
ætla	sfg1en	ætla
að	cn	að
kaupa	sng	kaupa
eitthvað	foheo	einhver
fallegt	lheosf	fallegur
í	ao	í
hárið	nheog	hár
hennar	fpvee	hún
og	c	og
gefa	sng	gefa
litla	lkeþvf	lítill
stráknum	nkeþg	strákur
einn	tfken	einn
af	aþ	af
mörgum	lkfþsf	margur
böngsum	nkfþ	bangsi
Eyjólfs	nkee-s	Eyjólfur
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
ekki	aa	ekki
góðsemi	nven	góðsemi
hjá	aþ	hjá
manni	nkeþ	maður
-	-	-
Þetta	fahen	þessi
er	sfg3en	vera
eitthvað	fohen	einhver
sem	ct	sem
flest	aae	margur
allir	fokfn	allur
með	ao	með
hugsun	nveo	hugsun
myndu	svg3fþ	munu
gera	sng	gera
.	.	.
Hitinn	nkeng	hiti
hér	aa	hér
hefur	sfg3en	hafa
stigmagnast	ssm	stigmagna
undanfarna	lkfosf	undanfarinn
daga	nkfo	dagur
.	.	.
Núna	aa	núna
,	,	,
nokkra	fokfo	nokkur
daga	nkfo	dagur
í	aþ	í
röð	nveþ	röð
hefur	sfg3en	hafa
hitastigið	nheng	hitastig
verið	ssg	vera
um	aa	um
25	ta	25
gráður	nvfn	gráða
.	.	.
Fór	sfg3eþ	fara
reyndar	aa	reyndar
upp	aa	upp
í	ao	í
27	ta	27
gráður	nvfo	gráða
um	ao	um
daginn	nkeog	dagur
en	c	en
það	fphen	það
var	sfg3eþ	vera
eitthvað	fohen	einhver
sýnishorn	nhen	sýnishorn
held	sfg1en	halda
ég	fp1en	ég
,	,	,
sólin	nveng	sól
