[ [
kostnaðarútreikninga nkfo
er sfg3en
sýni nhen
áætlaða lvenvf
vinnuþörf nven
, ,
fjármagnskostnað nkeo
, ,
rekstrargjöld nhfn
, ,
launakostnað nkeo
og c
afurðir nvfn
meðalbús nhee
sem ct
er sfg3en
rekið sþghen
við ao
eðlilegar lvfosf
framleiðsluaðstæður nvfo
. .
 
Tilgreina sng
skal sfg3en
ársvinnu nveo
á aþ
sauðfjárbúi nheþ
af aþ
stærð nveþ
sem ct
miðað sþghen
er sfg3en
við fp1fn
og c
virða sng
endurgjald nheo
fyrir ao
vinnuframlag nheo
til ae
samræmis nhee
við ao
kjör nhfo
þeirra fpvfe
sem ct
vinna sfg3fn
sambærileg lhfosf
störf nhfo
og c
hafa sfg3fn
svipaða lveosf
menntun nveo
, ,
sérhæfni nveo
og c
ábyrgð nveo
í aþ
starfi nheþ
á aþ
almennum lkeþsf
vinnumarkaði nkeþ
. .
 
Mat nhen
verðlagsnefndar nvee
skal sfg3en
taka sng
til ae
endurskoðunar nvee
innan ae
verðlagsársins nheeg
komi svg3en
fram aa
um ao
það fpheo
ósk nveo
í aþ
nefndinni nveþg
. .
 
Landssamtökum nhfþ
sauðfjárbænda nkfe
er sfg3en
heimilt lhensf
að cn
gefa sng
út aa
viðmiðunarverð nheo
til ae
framleiðenda nkfe
fyrir ao
einstaka lkfosf
flokka nkfo
sauðfjárafurða nvfe
. .
 
Til ae
ákvörðunar nvee
á aþ
framleiðendaverði nheþ
annarra fovfe
búvara nven
en c
afurða nvfe
sauðfjár nhee
og c
nautgripa nkfo
skal sfg3en
verðlagsnefnd nven
semja sng
um ao
verðlagsgrundvöll nkeo
er sfg3en
sýni nhen
áætlaða lvenvf
vinnuþörf nven
, ,
fjármagnskostnað nkeo
, ,
rekstrargjöld nhfn
, ,
launakostnað nkeo
og c
afurðir nvfn
bús nhee
sem ct
næst aþe
meðalbúi nheþ
að aþ
stærð nveþ
, ,
sem ct
er sfg3en
rekið sþghen
við ao
eðlilegar lvfosf
framleiðsluaðstæður nvfo
, ,
komi svg3en
fram aa
um ao
það fpheo
óskir nvfo
frá aþ
Bændasamtökum nhfþ-s
Íslands nhee-s
og c
viðurkenndum lhfþvf
samtökum nhfþ
búvöruframleiðenda nkfe
í aþ
viðkomandi lveþof
grein nveþ
skv. aþ
2. ta
mgr. nveþ
4. ta
gr. nveþ
 
Tilgreina sng
skal sfg3en
ársvinnu nveo
á aþ
búinu nheþg
og c
virða sng
endurgjald nheo
fyrir ao
vinnuframlag nheo
til ae
samræmis nhee
við ao
kjör nhfo
þeirra fpvfe
sem ct
vinna sfg3fn
sambærileg lhfosf
störf nhfo
og c
hafa sfg3fn
svipaða lveosf
menntun nveo
, ,
sérhæfni nveo
og c
ábyrgð nveo
í aþ
starfi nheþ
á aþ
almennum lkeþsf
vinnumarkaði nkeþ
. .
 
Verðlagsgrundvöllurinn nkeng
gildir sfg3en
fyrir ao
tvö tfhfo
ár nhfo
í aa
senn aa
frá aþ
byrjun nveþ
verðlagsárs nhee
og c
skal sfg3en
hann fpken
vera sng
tilbúinn lkensf
fyrir ao
þann fakeo
tíma nkeo
ár nhfo
hvert foheo
nema c
annað fohen
sé svg3en
ákveðið sþghen
með aþ
samkomulagi nheþ
í aþ
verðlagsnefnd nveþ
. .
 
Nefndinni nveþg
er sfg3en
hvenær aa
sem aa
er sfg3en
heimilt lhensf
að cn
taka sng
mið nheo
af aþ
verðlagsbreytingum nvfþ
vegna ae
fjármagns- nkee
og c
rekstrarkostnaðar nkee
, ,
svo aa
og c
launabreytingum nvfþ
á aþ
tímabilinu nheþg
, ,
komi svg3en
fram aa
um ao
það fpheo
óskir nvfo
í aþ
nefndinni nveþg
. .
 
Verðlagsgrundvöllur nken
hvers fohee
tímabils nhee
framlengist sfm3en
sjálfkrafa aa
um ao
tvö tfhfo
ár nhfo
í aa
senn aa
ef c
honum fpkeþ
er sfg3en
ekki aa
sagt sþghen
upp aa
af aþ
fulltrúum nkfþ
samningsaðila nkfe
með aa
minnst sþmhen
þriggja tfkfe
mánaða nkfe
fyrirvara nkeþ
. .
 
Nefndin nveng
getur sfg3en
þó aa
komið ssg
sér fpveþ
saman aa
um ao
annan fokeo
frest nkeo
. .
 
Við ao
kostnaðarútreikninga nkfo
skulu sfg3fn
beinar lvfosf
greiðslur nvfo
ríkissjóðs nkee
til ae
framleiðenda nkfe
teljast snm
til ae
tekna nvfe
og c
koma sng
til ae
lækkunar nvee
á aþ
verði nheþ
þeirra favfe
afurða nvfe
sem ct
beinar lvfosf
greiðslur nvfo
taka sng
til aa
. .
] ]
4 ta
) )
1 ta
) )
L. lhfosf
 
102/2016 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
61/2004 ta
, ,
1. ta
gr. nveo
4 ta
) )
L. nhfe
 
69/1998 ta
, ,
2. ta
gr. nveo
 
9. ta
– nhen
10. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
11. ta
gr. nven
 
[ [
Hagstofa nven-s
Íslands nhee-s
skal sfg3en
afla sng
fullnægjandi lhfeof
gagna nhfe
fyrir ao
verðlagsnefnd nveo
um ao
framleiðslukostnað nkeo
búvara nkee
, ,
tekjur nvfo
annarra fovfe
stétta nvfe
og c
verð sfg1en
og c
verðbreytingar nvfn
á aþ
einstökum lkfþsf
kostnaðarliðum nkfþ
verðlagsgrundvallar nkee
. .
 
Verðlagsnefnd nven
skal sfg3en
í aþ
samráði nheþ
við ao
Hagstofu nveo-s
Íslands nhee-s
setja sfg3fn
reglur nvfn
um ao
öflun nveo
gagna nhfe
. .
 
[ [
Aðili nken
skv. aþ
3. ta
gr. nveþ
a x
laga nhfe
nr. nhen
63/1989 ta
, ,
um ao
hagþjónustu lveove
landbúnaðarins nkeeg
] ]
, ,
1 ta
) )
skal sfg3en
árlega aa
afla sng
rekstrarreikninga nkfe
frá aþ
bændum nkfþ
, ,
nægilega aa
margra lkfesf
að aþ
dómi nkeþ
Hagstofu nvee-s
Íslands nhee-s
, ,
er sfg3en
sýni nhen
raunverulegan lkeosf
framleiðslukostnað nkeo
hinna favfe
ýmsu fovfe
búvara nvfe
. .
 
Skulu sfg3fn
þeir fpkfn
vera sng
tilbúnir lkfnsf
og c
uppgerðir nvfn
fyrir ao
15. ta
júní nkeo
ár nhfo
hvert foheo
fyrir ao
næsta lheove
ár nheo
á aa
undan aa
. .
 
Reikningar nkfn
þessir fakfn
skulu sfg3fn
vera sng
til ae
afnota nhfe
fyrir ao
Hagstofu nveo-s
Íslands nhee-s
og c
verðlagsnefnd nveþ
. .
 
[ [
Aðili nken
skv. aþ
3. ta
gr. nveþ
a x
laga nhfe
nr. nhen
63/1989 ta
, ,
um ao
hagþjónustu lveove
landbúnaðarins nkeeg
] ]
, ,
1 ta
) )
ásamt aþ
Hagstofu nveþ-s
Íslands nhee-s
, ,
skipuleggur nken
þetta fahen
starf nhen
hennar fpvee
í aþ
samráði nheþ
við ao
verðlagsnefnd nveo
. .
 
Verðlagsnefnd nven
getur sfg3en
ákveðið ssg
að cn
efna sng
til ae
sérstakra lvfesf
rannsókna nvfe
í aþ
því faheþ
skyni nheþ
að cn
fá sng
betri lvfovm
upplýsingar nvfo
um ao
þau fahfo
atriði nhfo
er sfg3en
máli nheþ
skipta sng
fyrir ao
verðlagningu nveo
búvara nkee
. .
 
Skylt lhensf
er sfg3en
að cn
stofna sng
til ae
slíkra fbvfe
rannsókna nvfe
ef c
þrír tfkfn
nefndarmenn nkfn
eða c
fleiri lkfnvm
krefjast sfm3fn
þess fphee
. .
 
Skal sfg3en
nefndin nveng
í aþ
því faheþ
efni nheþ
leita sng
samstarfs nhee
við ao
Hagstofu nveo-s
Íslands nhee-s
, ,
[ [
aðila nkfe
skv. aþ
3. ta
gr. nveþ
a x
laga nhfe
nr. nhen
63/1989 ta
, ,
um ao
hagþjónustu lveove
landbúnaðarins nkeeg
] ]
, ,
1 ta
) )
og c
aðrar fovfn
opinberar lvfnsf
stofnanir nvfn
, ,
svo aa
og c
[ [
Bændasamtök nhfo-s
Íslands nhee-s
] ]
, ,
2 ta
) )
að aþ
því faheþ
leyti nheþ
sem ct
rannsóknirnar nvfng
snerta sfg3fn
starfssvið nhfo
viðkomandi lvfeof
stofnana nvfe
. .
 
Telji svg3fn
umræddar lvfnsf
stofnanir nvfn
sig fpvfo
ekki aa
geta sng
látið ssg
í aþ
té nheþ
starfslið nhen
til ae
þess fphee
að cn
gera sng
þær favfo
rannsóknir nvfo
er sfg3en
verðlagsnefnd nven
hefur sfg3en
ákveðið ssg
að c
fram aa
skuli svg3fn
fara sng
er sfg3en
nefndinni nveþg
heimilt lhensf
að cn
ráða sng
til ae
þess fphee
nauðsynlegt lhensf
starfslið nhen
, ,
enda c
komi svg3en
samþykki nhen
[ [
ráðherra nken
] ]
3 ta
) )
til aa
. .
 
Skylt lhensf
er sfg3en
einstaklingum nkfþ
, ,
fyrirtækjum nhfþ
og c
stofnunum nvfþ
að cn
láta sng
þeim fphfþ
er sfg3en
rannsóknir nvfn
gera sng
í aþ
té nheþ
nauðsynlegar lvfosf
upplýsingar nvfo
að aþ
viðlögðum lvfþsf
dagsektum nvfþ
sé sfg1en
upplýsingaskyldu nveo
ekki aa
sinnt sþghen
. .
] ]
4 ta
1 ta
) )
L. nhfe
 
74/2011 ta
, ,
14. ta
gr. nveo
2 ta
) )
L. nhfe
 
112/1999 ta
, ,
4. ta
gr. nveo
3 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
4 ta
) )
L. nhfe
 
69/1998 ta
, ,
3. ta
gr. nveo
 
12. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
13. ta
gr. nven
 
[ [
Verðlagsnefnd nven-s
ákveður sfg3en
heildsöluverð nheo
búvara nkee
sem ct
verðlagðar lvfnsf
eru sfg3fn
skv. aþ
8. ta
gr. nveþ
, ,
að c
teknu lheþsf
tilliti nheþ
til ae
afurðaverðs nkee
til ae
framleiðenda nkfe
og c
rökstuddra lvfesf
upplýsinga nvfe
um ao
kostnað nkeo
við ao
vinnslu nveo
og c
dreifingu nveo
búvara nkee
, ,
nema c
annað fohen
sé svg3en
tekið sþghen
fram aa
í aþ
samningi nkeþ
sem ct
gerður sþgken
er sfg3en
á aþ
grundvelli nkeþ
a-liðar nkee
30. ta
gr. nveo
laganna nhfeg
. .
 
[ [
Verði svg3en
samið sþghen
um ao
að cn
falla sng
frá aþ
ákvörðun nveþ
um ao
lágmarksverð nhfo
á aþ
mjólk nveþ
til ae
framleiðenda nkfe
samkvæmt aþ
heimild nveþ
í aþ
1. ta
mgr. nveo
8. ta
gr. nveo
hefur sfg3en
slík fbveo
ákvörðun nveo
ekki aa
áhrif nhfo
á aþ
heimild nveþ
verðlagsnefndar nvee
til ae
heildsöluverðlagningar nvee
á aþ
mjólkurafurðum nvfþ
. .
] ]
1 ta
) )
Nefndin nveng
getur sfg3en
ákveðið ssg
að cn
efna sng
til ae
sérstakra lvfesf
rannsókna nvfe
í aþ
því faheþ
skyni nheþ
að cn
fá sng
betri lvfovm
upplýsingar nvfo
um ao
þau fahfo
atriði nhfo
er sfg3en
máli nheþ
skipta sng
fyrir ao
ákvörðun nveo
heildsöluverðs nkee
á aþ
búvörum nvfþ
með aþ
hliðstæðum lkeþsf
hætti nkeþ
og c
segir sfg3en
í aþ
11. ta
gr. nveo
 
Verðlagsnefnd nven
er sfg3en
, ,
þrátt aa
fyrir ao
ákvæði nhfo
1. ta
mgr. nveo
, ,
heimilt lhensf
í aþ
samkomulagi nheþ
um ao
heildsöluverð nheo
að cn
gera sng
tilteknar lvfosf
fyrir aa
fram aa
ákveðnar lvfosf
framleiðnikröfur nvfo
til ae
afurðastöðva nvfe
[ [
og c
einstakra lvfesf
framleiðsluvara nvfe
] ]
, ,
2 ta
) )
enda c
sé svg3en
það fphen
samhljóða aa
ákvörðun nven
nefndarinnar nveeg
. .
 
[ [
Afurðastöð nven-s
skal sfg3en
selja sng
öðrum fokfþ
vinnsluaðilum nkfþ
mjólk nveo
og c
mjólkurafurðir nvfo
á aþ
verði nheþ
sem ct
er sfg3en
í aþ
samræmi nheþ
við ao
1. ta
mgr. nveo
 
Söluskylda nven
afurðastöðvar nvee
nemur sfg3en
allt fohen
að c
20% ta
af aþ
þeirri faveþ
mjólk nveþ
sem ct
afurðastöðin nveng
tekur sfg3en
á aþ
móti nheþ
frá aþ
frumframleiðendum nkfþ
. .
] ]
2 ta
) )
[ [
Þrátt aa
fyrir ao
ákvæði nhfo
samkeppnislaga nkfe
er sfg3en
afurðastöðvum nvfþ
í aþ
mjólkuriðnaði nkeþ
heimilt lhensf
að cn
gera sng
samninga nkfo
sín fpvee
á aa
milli aa
um ao
verðtilfærslu nveo
milli ae
tiltekinna lvfesf
afurða nvfe
. .
 
Leggja sng
skal sfg3en
slíka fbkfo
samninga nkfo
fyrir ao
verðlagsnefnd nveo
til ae
upplýsingar nvfo
. .
] ]
3 ta
) )
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
61/2004 ta
, ,
2. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
5. ta
gr. nveo
3 ta
) )
L. nhfe
 
85/2004 ta
, ,
1. ta
gr. nveo
4 ta
) )
L. nhfe
 
69/1998 ta
, ,
4. ta
gr. nveo
 
14. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
15. ta
gr. nven
 
[ [
Heimilt lhensf
er sfg3en
verðlagsnefnd nven
að cn
breyta sng
heildsöluverði nheþ
á aþ
búvörum nvfþ
hafi svg3en
orðið ssg
breytingar nvfn
á aþ
afurðaverði nheþ
til ae
framleiðenda nkfe
, ,
sbr. as
8. ta
gr. nven
, ,
eða c
rekstrarkostnaði nkeþ
og c
vinnulaunum nhfþ
við ao
vinnslu nveo
búvara nkee
, ,
komi svg3en
fram aa
um ao
það fpheo
ósk nveo
innan ae
nefndarinnar nveeg
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
69/1998 ta
, ,
5. ta
gr. nveo
 
16. ta
gr. nven
 
[ [
Verðlagsnefnd nven-s
getur sfg3en
ákveðið ssg
að cn
undanskilja sng
einstakar lvfosf
vörutegundir nvfo
verðlagningarákvæðum nhfþ
skv. aþ
13. ta
gr. nveþ
þegar c
samkeppni nven
er sfg3en
að aþ
mati nheþ
nefndarinnar nveeg
næg lvensf
til ae
þess fphee
að cn
tryggja sng
æskilega lveosf
verðmyndun nveo
og c
sanngjarnt lhensf
verðlag nhen
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
112/1999 ta
, ,
6. ta
gr. nveo
 
17. ta
gr. nven
 
[ [
Verðlagsnefnd nven-s
annast sfm3en
verðskráningu nveo
þeirra favfe
búvara nvfe
sem ct
tekin sþgven
er sfg3en
verðákvörðun nven
um aa
samkvæmt aþ
kafla nkeþ
þessum fakeþ
og c
auglýsir sfg3en
verðákvarðanir nvfog
sínar fevfo
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
46/2015 ta
, ,
1. ta
gr. nveo
 
18. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
V. sfg3en
kafli nken
. .
 
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
46/2015 ta
, ,
2. ta
gr. nveo
 
VI. lkfnvm
 
kafli nken
. .
 
Um ao
greiðslu nveo
afurðaverðs nkee
. .
 
28. ta
gr. nven
 
Afurðastöð nven
er sfg3en
skylt lhensf
að cn
haga sng
greiðslum nvfþ
til ae
framleiðanda nkee
fyrir ao
innlagðar lvfosf
búvörur nvfo
í aþ
samræmi nheþ
við ao
ákvæði nhfo
þessara fahfe
laga nhfe
og c
þeirra fakfe
samninga nkfe
og c
ákvarðana nvfe
sem ct
teknar sþgvfn
eru sfg3fn
með ao
heimild nveo
í aþ
þeim fphfþ
. .
 
29. ta
gr. nven
 
[ [
Nú aa
er sfg3en
ákveðið sþghen
það fahen
magn nhen
mjólkur nvfn
sem ct
framleiðendum nkfþ
eru sfg3fn
tryggðar sþgvfn
beingreiðslur nvfn
fyrir aa
samkvæmt aþ
heimild nveþ
í aþ
30. ta
gr. nveo
og c
verð sfg1en
hennar fpvee
til ae
framleiðanda nkee
er sfg3en
ákveðið sþghen
skv. aþ
8. ta
gr. nveþ
og c
er sfg3en
þá aa
afurðastöð nven
skylt lhensf
að cn
greiða sng
framleiðanda nkeo
fullt lheosf
verð nheo
innan ae
greiðslumarks nhee
samkvæmt aþ
gildandi lkeþof
verðlagsgrundvelli nkeþ
á aþ
innleggsdegi nkeþ
… nhen
1 ta
) )
Ber sfg3en
að cn
inna sng
greiðslu nveo
af aþ
hendi nveþ
eigi svg3fn
síðar aam
en c
10. ta
dag nkeo
næsta lkeeve
mánaðar nkee
eftir ao
innleggsmánuð nkeo
. .
 
Heimilt lhensf
er sfg3en
að cn
semja sng
um ao
annan fokeo
hátt nkeo
á aþ
greiðslum nvfþ
en c
að c
framan aa
greinir sfg3en
. .
 
Taki nheþ
[ [
afurðastöð nven
] ]
2 ta
) )
við ao
mjólk nveo
umfram ao
greiðslumark nheo
framleiðanda nkee
sem ct
verður sfg3en
utan ae
heildargreiðslumarks nhee
við fp1fn
lokauppgjör lkensf
skal sfg3en
samsvarandi lhenof
magn nhen
mjólkurafurða nvfe
markaðsfært lhensf
erlendis aa
á aþ
ábyrgð nveþ
[ [
afurðastöðvar nvfo
] ]
2 ta
) )
og c
framleiðanda nkeþ
. .
 
[ [
Framkvæmdanefnd nven-s
búvörusamninga nkfo
] ]
3 ta
) )
getur sfg3en
þó aa
heimilað ssg
sölu nvee
þeirra fpkfe
innan ae
lands nhee
ef c
gengið ssg
hefur sfg3en
á ao
birgðir nvfo
og c
skortur nken
á aþ
mjólkurvörum nvfþ
er sfg3en
því aa
fyrirsjáanlegur lkensf
. .
 
Um ao
greiðsluskyldu nveo
afurðastöðva nvfe
fyrir ao
innlegg nkeo
umfram ao
greiðslumark nheo
mjólkur nvfn
, ,
en c
innan ae
efri lhfevm
marka nhfe
þess fphee
, ,
fer sfg3en
eftir aþ
gildandi lkfþof
samningum nkfþ
[ [
ráðherra nken
] ]
4 ta
) )
og c
Bændasamtaka nkfe-s
Íslands nhee-s
skv. aþ
a-lið nveþ
1. ta
mgr. nveþ
30. ta
gr. nveþ
laganna nhfeg
. .
 
… nhen
5 ta
) )
… nhen
3 ta
) )
] ]
6 ta
) )
1 ta
) )
L. nhfe
 
140/2013 ta
, ,
38. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
6. ta
gr. nveo
3 ta
) )
L. nhfe
 
112/1999 ta
, ,
11. ta
gr. nveo
4 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
5 ta
) )
L. nhfe
 
58/2007 ta
, ,
2. ta
gr. nveo
6 ta
) )
L. nhfe
 
124/1995 ta
, ,
10. ta
gr. nveo
 
VII. lkfnvm
 
kafli nken
. .
 
Um ao
stjórn nveo
búvöruframleiðslunnar nveeg
. .
 
30. ta
gr. nven
 
[ [
Til ae
þess fphee
að cn
vinna sng
að aþ
markmiðum nhfþ
stjórnvalda nhfe
á aþ
hverjum fokeþ
tíma nkeþ
um ao
framleiðslu nveo
búvara nkee
er sfg3en
ráðherra nken
: :
a. fohee
heimilt lhensf
að cn
leita sng
eftir aþ
samningum nkfþ
fyrir ao
hönd nveo
ríkisstjórnarinnar nveeg
við ao
Bændasamtök nhfo-s
Íslands nhee-s
um ao
framleiðsluskilyrði nhfo
, ,
stuðning nkeo
og c
stjórn nveo
á aþ
magni nheþ
búvara nkee
. .
 
Heimilt lhensf
er sfg3en
að cn
semja sng
til ae
lengri lkeevm
tíma nkee
í aþ
einu foheþ
og c
að cn
binda sng
samninga nkfo
við ao
einstakar lvfosf
búvörur nvfo
. .
 
Ráðherra nken
er sfg3en
heimilt lhensf
í ao
stað nkeo
fyrrgreindra lkfesf
samninga nkfe
að cn
semja sng
um ao
beinar lvfosf
greiðslur nvfo
ríkissjóðs nkee
til ae
framleiðenda nkfe
nautgripa- nvfe
og c
sauðfjárafurða nvfe
á aþ
lögbýlum nhfþ
og c
framleiðenda nkfe
garðyrkjuafurða nvfe
á aþ
garðyrkjubýlum nhfþ
, ,
b. nhen
heimilt lhensf
að cn
ákveða sng
mismunandi lvfoof
stuðningsgreiðslur nvfo
eftir aþ
landsvæðum nhfþ
með aþ
tilliti nheþ
til ae
byggðasjónarmiða nhfe
og c
mikilvægis nhee
einstakra lvfesf
búgreina nvfe
á aþ
hverjum fokeþ
stað nkeþ
. .
 
Heimilt lhensf
er sfg3en
að cn
mæla sng
fyrir aþ
um aa
endurskoðun nveþ
samnings nkee
skv. aþ
1. ta
mgr. nveþ
á aþ
samningstímanum nkeþg
þar aa
sem c
metin sþgven
eru sfg3fn
áhrif nhfn
og c
þróun nven
samkvæmt aþ
samningi nkeþ
og c
teknar sþgvfn
upp ao
samningaviðræður nvfo
að aþ
nýju lheþsf
teljist svm3fn
þess fphee
þörf nven
. .
 
Þeir fakfn
framleiðendur nkfn
einir lkfnsf
fá sfg3fn
greiðslur nvfo
í aþ
samræmi nheþ
við ao
samning nkeo
samkvæmt aþ
þessari faveþ
grein nveþ
sem ct
stunda sfg3fn
landbúnað nkeo
á aþ
lögbýli nheþ
eða c
garðyrkjubýli nheþ
, ,
eru sfg3fn
með ao
virðisaukaskattsnúmer nheo
og c
starfsemi nveo
sem ct
fellur sfg3en
undir ao
atvinnugreinanúmer nheo
01 ta
og c
02 ta
í aþ
atvinnugreinaflokkun nveþ
Hagstofu nvee-s
Íslands nhee-s
, ,
sbr. as
 
ÍSAT2008 nhen
, ,
þó aa
ekki aa
starfsemi nveþ
í aþ
undirflokkum nkfþ
01.61 ta
, ,
01.62 ta
, ,
01.63 ta
, ,
01.64 ta
, ,
01.70 ta
og c
02.40 ta
. .
 
Á aþ
hverju foheþ
lögbýli nheþ
eða c
garðyrkjubýli nheþ
skal sfg3en
aðeins aa
einn tfken
framleiðandi lkenof
vera sng
skráður sþgken
handhafi nkeþ
greiðslna nvfe
. .
 
Þó aa
er sfg3en
einstaklingum nkfþ
í aþ
hjúskap nkeþ
eða c
óvígðri lveþsf
sambúð nveþ
á aþ
hverju foheþ
lögbýli nheþ
heimilt lhensf
að cn
skrá sng
tvo tfkfo
framleiðendur nkfn
sem ct
handhafa nkfe
greiðslna nvfe
. .
 
Þegar c
um ao
fleiri lkfovm
sjálfstæða lkfosf
rekstraraðila nkfo
er sfg3en
að cn
ræða sng
með ao
aðskilinn lkeosf
búrekstur nkeo
getur sfg3en
hver fsken
og c
einn foken
þeirra fpkfe
verið ssg
handhafi nkeþ
greiðslna nvfe
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
7. ta
gr. nveo
 
31. ta
gr. nven
 
[ [
Ráðherra nken
skipar sfg3en
sex tfkfn
menn nkfn
í aþ
framkvæmdanefnd nveþ
búvörusamninga nkfe
. .
 
Ráðherra nken
tilnefnir sfg3en
tvo tfkfo
fulltrúa nkfo
og c
skal sfg3en
annar foken
þeirra fpkfe
vera sng
formaður nken
. .
 
Ráðherra nken
sem ct
fer sfg3en
með ao
fjárreiður nvfo
ríkisins nheeg
tilnefnir sfg3en
einn tfken
fulltrúa nkfo
og c
Bændasamtök nhfo-s
Íslands nhee-s
tilnefna sng
þrjá tfkfo
fulltrúa nkfo
. .
 
Varamenn nkfn
skulu sfg3fn
tilnefndir lkfnsf
og c
skipaðir sþgkfn
á ao
sama fbkeo
hátt nkeo
. .
 
Framkvæmdanefnd nven
búvörusamninga nkfe
er sfg3en
sjálfstæð lvensf
í aþ
störfum nhfþ
sínum fehfþ
og c
setur sfg3en
sér fpveþ
starfsreglur nvfo
. .
 
Framkvæmdanefnd nveþ
búvörusamninga nkfe
er sfg3en
samráðsvettvangur nken
samningsaðila nkfe
um ao
framkvæmd nveo
samninga nkfe
skv. aþ
30. ta
gr. nveþ
 
Nefndin nveng
er sfg3en
ráðherra nken
til ae
ráðgjafar nkfn
við ao
framkvæmd nveo
samninga nkfo
skv. aþ
30. ta
gr. nveþ
 
Hún fpven
tekur sfg3en
ákvarðanir nvfo
um ao
tilfærslur nvfo
framlaga nhfe
milli ae
einstakra lhfesf
samningsliða nhfe
og c
greiðslutilhögun nveo
framlaga nhfe
. .
 
Ákvarðanir nvfn
í aþ
nefndinni nveþg
skulu sfg3fn
teknar lvfnsf
með aþ
einföldum lkeþsf
meiri lkeþvm
hluta nkeþ
atkvæða nhfe
. .
 
Séu svg3fn
ákvæði nhfn
jöfn lhfnsf
sker sfg3en
atkvæði nhen
formanns nkee
úr aa
um ao
niðurstöðu nveo
. .
 
Ákvarðanir nvfn
framkvæmdanefndar nvee
búvörusamninga nkfe
eru sfg3fn
endanlegar lvfnsf
á aþ
stjórnsýslustigi nheþ
. .
 
Fundargerðir nvfn
og c
ákvarðanir nvfn
nefndarinnar nveeg
skal sfg3en
birta sng
opinberlega aa
. .
] ]
1 ta
) )
1 ta
) )
L. lhfosf
 
102/2016 ta
, ,
8. ta
gr. nveo
 
32. ta
gr. nven
 
[ [
Matvælastofnun nven-s
er sfg3en
heimilt lhensf
að cn
ákveða sng
að c
greiðslur nvfn
í aþ
samræmi nheþ
við ao
samning nkeo
skv. aþ
30. ta
gr. nveþ
verði svg3fn
greiddar lvfnsf
til ae
framleiðanda nkee
óháð lhensf
framleiðslu nveþ
á aþ
lögbýli nheþ
eða c
garðyrkjubýli nheþ
ef c
framleiðsluskilyrði nhen
hafa sfg3fn
raskast ssm
tímabundið aa
vegna ae
náttúruhamfara nvfe
, ,
þannig aa
að c
búskapur nken
hafi svg3en
dregist ssm
saman aa
eða c
fallið ssg
niður aa
um ao
tíma nkeo
, ,
t.d. as
vegna ae
stórfellds lkeesf
öskufalls nkee
eða c
jökulflóða nhfe
, ,
vegna ae
óvenjulegs lheesf
veðurfars nhee
, ,
alvarlegra lheþvm
búfjár- nkfo
eða c
plöntusjúkdóma nkfo
eða c
vegna ae
þess fphee
að c
afurðasala sng
frá aþ
býlinu nheþg
hefur sfg3en
verið ssg
bönnuð sþgven
af aþ
ástæðum nvfþ
sem ct
hlutaðeigandi lkenof
framleiðandi nken
gat sfg3eþ
ekki aa
haft ssg
áhrif nhfo
á aa
. .
 
Nú aa
hefur sfg3en
framleiðandi lkenof
fengið ssg
greiddar lvfosf
bætur nvfo
vegna ae
tjóns nhee
sem ct
hann fpken
á aþ
jafnframt aa
rétt nkeo
á aþ
að cn
fá sng
bætt ssg
með aþ
greiðslum nvfþ
samkvæmt aþ
þessu faheþ
ákvæði nheþ
og c
er sfg3en
þá aa
heimilt lhensf
að cn
lækka sng
greiðslurnar nvfog
sem ct
bótunum nvfþg
nemur sfg3en
. .
 
Jafnframt aa
er sfg3en
ráðherra nken
heimilt lhensf
að cn
áskilja sng
að c
bætur nvfn
sem ct
framleiðandi lkenof
kann sfg3en
að cn
eiga sng
rétt aa
á ao
síðar lvfosf
vegna ae
tjónsins nheeg
renni svg3fn
í ao
ríkissjóð nkeo
. .
 
Ráðherra nken
er sfg3en
heimilt lhensf
að cn
víkja sng
frá aþ
ásetningshlutfalli nheþ
skv. aþ
3. ta
mgr. nveþ
39. ta
gr. nveþ
á aþ
býlum nhfþ
þar aa
sem c
framleiðsluskilyrði nhfn
hafa sfg3fn
raskast ssm
tímabundið aa
skv. aþ
1. ta
