Blómin	nhfng	blóm
þögull	lkensf	þögull
og	c	og
myrkur	lkensf	myrkur
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
sendur	sþgken	senda
heim	aa	heim
síðsumars	nhee	síðsumar
og	c	og
hafði	sfg3eþ	hafa
þá	aa	þá
legið	ssg	liggja
í	aþ	í
rúminu	nheþg	rúm
dögum	nkfþ	dagur
saman	aa	saman
.	.	.
Frændurnir	nkfng	frændi
hnakkrifust	sfm3fþ	hnakkrífast
og	c	og
það	fphen	það
endaði	sfg3eþ	enda
með	aþ	með
handalögmálum	nhfþ	handalögmál
.	.	.
Sigþrúður	nven-s	Sigþrúður
vissi	sfg3eþ	vita
ekki	aa	ekki
hvor	foken	hvor
hafði	sfg3eþ	hafa
betur	aam	vel
en	c	en
fannst	sfm3eþ	finna
líklegt	lhensf	líklegur
að	c	að
það	fphen	það
hefði	svg3eþ	hafa
verið	ssg	vera
Grímur	nken-s	Grímur
.	.	.
Gleraugnaspangirnar	nvfng	gleraugnaspöng
brotnuðu	sfg3fþ	brotna
í	aþ	í
áflogunum	nhfþg	áflog
.	.	.
Kjartan	nken-s	Kjartan
var	sfg3eþ	vera
eins	aa	eins
og	c	og
blindur	lkensf	blindur
kettlingur	nken	kettlingur
þegar	c	þegar
hann	fpken	hann
fór	sfg3eþ	fara
með	aþ	með
rútunni	nveþg	rúta
en	c	en
bauð	sfg3eþ	bjóða
henni	fpveþ	hún
að	cn	að
velja	sng	velja
sér	fpveþ	sig
ljóðabók	nveo	ljóðabók
að	aþ	að
skilnaði	nkeþ	skilnaður
.	.	.
Svartar	lvfnsf	svartur
fjaðrir	nvfn	fjöður
urðu	sfg3fþ	verða
fyrir	aþ	fyrir
valinu	nheþg	val
.	.	.
Hún	fpven	hún
faðmaði	sfg3eþ	faðma
hann	fpkeo	hann
að	aþ	að
sér	fpveþ	sig
í	ao	í
síðasta	lheove	síðari
sinn	nheo	sinn
og	c	og
tárin	nhfng	tár
blinduðu	sfg3fþ	blinda
hana	fpveo	hún
.	.	.
Hún	fpven	hún
saknaði	sfg3eþ	sakna
félagans	nkeeg	félagi
,	,	,
hlýjunnar	nveeg	hlýja
og	c	og
faðmlaganna	nhfeg	faðmlag
.	.	.
Var	sfg3eþ	vera
með	ao	með
grátstafinn	nkeog	grátstafur
í	aþ	í
kverkunum	nvfþg	kverk
vikum	nvfþ	vika
saman	aa	saman
.	.	.
Sá	sfg3eþ	sjá
hann	fpkeo	hann
fyrir	aþ	fyrir
sér	fpveþ	sig
hvert	aa	hvert
sem	ct	sem
hún	fpven	hún
leit	sfg3eþ	líta
,	,	,
dreymdi	sfg3eþ	dreyma
hann	fpkeo	hann
í	aþ	í
svefni	nkeþ	svefn
,	,	,
þráði	sfg3eþ	þrá
hann	fpkeo	hann
í	aþ	í
vöku	nveþ	vaka
.	.	.
Hún	fpven	hún
var	sfg3eþ	vera
áfram	aa	áfram
í	aþ	í
Hraunsnesi	nheþ-s	Hraunsnes
.	.	.
Það	fphen	það
dró	sfg3eþ	draga
úr	aþ	úr
henni	fpveþ	hún
hvað	fshen	hver
hún	fpven	hún
var	sfg3eþ	vera
þreklaus	lvensf	þreklaus
og	c	og
slöpp	lvensf	slappur
.	.	.
Svo	aa	svo
bættist	sfm3eþ	bæta
ógleðin	nveng	ógleði
við	aa	við
.	.	.
Smátt	aa	smátt
og	c	og
smátt	aa	smátt
rann	sfg3eþ	renna
upp	aa	upp
fyrir	aþ	fyrir
henni	fpveþ	hún
ljós	nhen	ljós
og	c	og
ólýsanleg	lvensf	ólýsanlegur
skelfing	nven	skelfing
greip	sfg3eþ	grípa
hana	fpveo	hún
.	.	.
Hvernig	aa	hvernig
hafði	sfg3eþ	hafa
ekki	aa	ekki
farið	ssg	fara
fyrir	aþ	fyrir
mömmu	nveþ	mamma
hennar	fpvee	hún
?	?	?
Tilhugsunin	nveng	tilhugsun
um	ao	um
að	cn	að
deyja	sng	deyja
skelfdi	sfg3eþ	skelfa
hana	fpveo	hún
ekki	aa	ekki
.	.	.
Fóstra	nven	fóstra
tæki	svg3eþ	taka
á	aa	á
móti	aþ	móti
henni	fpveþ	hún
og	c	og
þær	fpvfn	hún
myndu	svg3fþ	munu
hitta	sng	hitta
Petrínu	nveo-s	Petrína
.	.	.
En	c	en
hver	fsken	hver
átti	sfg3eþ	eiga
að	cn	að
annast	snm	anna
barnið	nheog	barn
?	?	?
Hennar	fpvee	hún
fyrsta	lvenve	fyrstur
hugsun	nven	hugsun
var	sfg3eþ	vera
að	cn	að
tala	sng	tala
við	ao	við
Margréti	nveo-s	Margrét
í	aþ	í
Höfnum	nvfþ-s	Höfn
en	c	en
hún	fpven	hún
gat	sfg3eþ	geta
ekki	aa	ekki
hringt	ssg	hringja
því	fpheþ	það
öll	foven	allur
sveitin	nveng	sveit
hefði	svg3eþ	hafa
hlustað	ssg	hlusta
.	.	.
Í	aþ	í
raunum	nvfþ	raun
sínum	fevfþ	sinn
skrifaði	sfg3eþ	skrifa
hún	fpven	hún
.	.	.
Margrét	nven-s	Margrét
bauð	sfg3eþ	bjóða
henni	fpveþ	hún
strax	aa	strax
að	cn	að
koma	sng	koma
og	c	og
fæða	sng	fæða
hjá	aþ	hjá
sér	fpveþ	sig
.	.	.
Hún	fpven	hún
taldi	sfg3eþ	telja
af	aa	af
og	c	og
frá	aa	frá
að	c	að
Sigþrúður	nven-s	Sigþrúður
myndi	svg3eþ	munu
deyja	sng	deyja
.	.	.
Hvatti	sfg3eþ	hvetja
hana	fpveo	hún
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
kjarkaða	lveosf	kjarkaður
og	c	og
duglega	lveosf	duglegur
.	.	.
Þetta	fahen	þessi
yrði	svg3eþ	verða
vorbarn	nhen	vorbarn
og	c	og
allt	fohen	allur
gengi	svg3eþ	ganga
vel	aa	vel
.	.	.
Anna	nven-s	Anna
og	c	og
Grímur	nken-s	Grímur
vildu	sfg3fþ	vilja
ekki	aa	ekki
að	c	að
hún	fpven	hún
færi	svg3eþ	fara
.	.	.
Fannst	sfm3eþ	finna
nóg	lhensf	nógur
að	aa	að
gert	ssg	gera
,	,	,
skelltu	sfg3fþ	skella
skuldinni	nveþg	skuld
á	ao	á
kaupamanninn	nkeog	kaupamaður
fjarverandi	lkeoof	fjarverandi
og	c	og
buðu	sfg3fþ	bjóða
henni	fpveþ	hún
að	cn	að
vera	sng	vera
um	ao	um
kyrrt	lheosf	kyrr
.	.	.
En	c	en
Sigþrúður	nven-s	Sigþrúður
var	sfg3eþ	vera
ákveðin	lvensf	ákveðinn
í	aþ	í
að	cn	að
fæða	sng	fæða
í	aþ	í
Höfnum	nvfþ-s	Höfn
.	.	.
Hún	fpven	hún
ætlaði	sfg3eþ	ætla
samt	aa	samt
ekki	aa	ekki
að	cn	að
fara	sng	fara
strax	aa	strax
.	.	.
Vildi	sfg3eþ	vilja
ekki	aa	ekki
reyna	sng	reyna
um	aa	um
of	aa	of
á	ao	á
samkomulagið	nheog	samkomulag
við	ao	við
húsbóndann	nkeog	húsbóndi
.	.	.
Hvað	fshen	hver
átti	sfg3eþ	eiga
annars	aa	annars
að	cn	að
verða	sng	verða
um	ao	um
hana	fpveo	hún
og	c	og
barnið	nheog	barn
?	?	?
Hún	fpven	hún
sat	sfg3eþ	sitja
löngum	lvfþsf	langur
stundum	nvfþ	stund
við	ao	við
koffortið	nheog	koffort
,	,	,
nuddaði	sfg3eþ	nudda
hreifann	nkeog	hreifi
og	c	og
ríslaði	sfg3eþ	rísla
við	ao	við
gömlu	lkfovf	gamall
munina	nkfog	munur
.	.	.
Kunnugleg	lvensf	kunnuglegur
lyktin	nveng	lykt
veitti	sfg3eþ	veita
hugsvölun	nveo	hugsvölun
,	,	,
stundum	aa	stundum
líka	aa	líka
tilfinningin	nveng	tilfinning
um	ao	um
að	c	að
fóstra	nven	fóstra
hennar	fpvee	hún
,	,	,
Petrína	nven-s	Petrína
eða	c	eða
Magnús	nken-s	Magnús
í	aþ	í
handraðanum	nkeþg	handraði
stæðu	svg3fþ	standa
við	ao	við
hliðina	nveog	hlið
á	aþ	á
henni	fpveþ	hún
.	.	.
Þrátt	aa	þrátt
fyrir	ao	fyrir
kvíðann	nkeog	kvíði
gladdist	sfm3eþ	gleðja
hún	fpven	hún
.	.	.
Ef	c	ef
hún	fpven	hún
leyfði	svg3eþ	leyfa
sér	fpveþ	sig
að	cn	að
vera	sng	vera
bjartsýn	lvensf	bjartsýnn
og	c	og
trúa	sng	trúa
því	fpheþ	það
að	c	að
allt	fohen	allur
færi	svg3eþ	fara
vel	aa	vel
eignaðist	svm3eþ	eigna
hún	fpven	hún
litla	lveosf	lítill
fjölskyldu	nveo	fjölskylda
með	aþ	með
tilkomu	nveþ	tilkoma
barnsins	nheeg	barn
og	c	og
enginn	foken	enginn
gæti	svg3eþ	geta
tekið	ssg	taka
þá	faveo	sá
hamingju	nveo	hamingja
frá	aþ	frá
henni	fpveþ	hún
.	.	.
16	ta	16
Eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
leið	sfg3eþ	líða
á	ao	á
meðgönguna	nveog	meðganga
var	sfg3eþ	vera
Sigþrúður	nven-s	Sigþrúður
þess	fphee	það
meðvituð	lvensf	meðvitaður
að	c	að
einhver	foken	einhver
héldi	svg3eþ	halda
utan	aa	utan
um	ao	um
hana	fpveo	hún
og	c	og
ákvað	sfg3eþ	ákveða
með	aþ	með
sjálfri	fbveþ	sjálfur
sér	fpveþ	sig
að	c	að
það	fphen	það
hlyti	svg3eþ	hljóta
að	cn	að
vera	sng	vera
fóstra	nven	fóstra
hennar	fpvee	hún
.	.	.
Í	aþ	í
páskavikunni	nveþg	páskavika
ætlaði	sfg3eþ	ætla
hún	fpven	hún
að	cn	að
flytja	sng	flytja
heim	aa	heim
í	ao	í
Hafnir	nvfo-s	höfn
til	ae	til
að	cn	að
eiga	sng	eiga
barnið	nheog	barn
og	c	og
hlakkaði	sfg3eþ	hlakka
til	ae	til
þess	fphee	það
að	cn	að
hitta	sng	hitta
Margréti	nveo-s	Margrét
.	.	.
Dag	nkeo	dagur
nokkurn	fokeo	nokkur
fitjaði	sfg3eþ	fitja
Anna	nven-s	Anna
upp	aa	upp
á	aþ	á
hosum	nvfþ	hosa
úr	aþ	úr
fölgrænu	lheþsf	fölgrænn
garni	nheþ	garn
og	c	og
fyrr	aam	fyrr
en	c	en
varði	sfg3eþ	vara
var	sfg3eþ	vera
Sigþrúður	nven-s	Sigþrúður
komin	sþgven	koma
með	ao	með
þær	fpvfo	hún
í	ao	í
hendur	nvfo	hönd
.	.	.
Nú	aa	nú
gat	sfg3eþ	geta
hún	fpven	hún
prjónað	ssg	prjóna
.	.	.
Anna	nven-s	Anna
hló	sfg3eþ	hlæja
og	c	og
tók	sfg3eþ	taka
upp	aa	upp
lykkjurnar	nvfog	lykkja
sem	ct	sem
duttu	sfg3fþ	detta
niður	aa	niður
.	.	.
Og	c	og
það	fphen	það
leið	sfg3eþ	líða
ekki	aa	ekki
á	aþ	á
löngu	lheþsf	langur
áður	aa	áður
en	c	en
Sigþrúður	nven-s	Sigþrúður
hætti	sfg3eþ	hætta
að	cn	að
missa	sng	missa
niður	aa	niður
.	.	.
Fleiri	lvfnvm	margur
hosur	nvfn	hosa
bættust	svm3fþ	bæta
við	aa	við
og	c	og
lítil	lvensf	lítill
treyja	nven	treyja
í	aþ	í
gulu	lheþsf	gulur
.	.	.
Anna	nven-s	Anna
átti	sfg3eþ	eiga
saumavél	nveo	saumavél
og	c	og
hún	fpven	hún
átti	sfg3eþ	eiga
líka	aa	líka
flónelsefni	nheo	flónelsefni
sem	ct	sem
mátti	sfg3eþ	mega
sníða	sng	sníða
og	c	og
sauma	sng	sauma
úr	aa	úr
lök	nhfo	lak
og	c	og
skyrtur	nvfo	skyrta
.	.	.
Sigþrúður	nven-s	Sigþrúður
pakkaði	sfg3eþ	pakka
öllu	foheþ	allur
ofan	aa	ofan
í	ao	í
kassa	nkeo	kassi
en	c	en
tók	sfg3eþ	taka
hann	fpkeo	hann
fram	aa	fram
daglega	aa	daglega
og	c	og
gældi	sfg3eþ	gæla
við	ao	við
mjúkar	lvfosf	mjúkur
flíkurnar	nvfog	flík
.	.	.
Á	ao	á
kvöldin	nhfog	kvöld
kepptist	sfm3eþ	keppa
hún	fpven	hún
við	aa	við
þangað	aa	þangað
til	aa	til
hún	fpven	hún
datt	sfg3eþ	detta
út	aa	út
af	aa	af
.	.	.
Veturinn	nkeng	vetur
var	sfg3eþ	vera
óvenju	nvee	óvenja
mildur	lkensf	mildur
og	c	og
fé	nhen	fé
var	sfg3eþ	vera
á	aþ	á
útibeit	nveþ	útibeit
.	.	.
Þegar	c	þegar
komið	sþghen	koma
var	sfg3eþ	vera
fram	aa	fram
á	ao	á
miðjan	lkeosf	miður
þorra	nkeo	þorri
fékk	sfg3eþ	fá
Sigþrúður	nven-s	Sigþrúður
seyðing	nkeo	seyðingur
í	ao	í
kvið	nkeo	kviður
og	c	og
bak	nheo	bak
.	.	.
Fyrst	aae	fyrr
var	sfg3eþ	vera
hann	fpken	hann
eins	aa	eins
og	c	og
vægur	lkensf	vægur
tíðaverkur	nken	tíðaverkur
.	.	.
Hún	fpven	hún
minntist	sfm3eþ	minna
ekki	aa	ekki
á	ao	á
neitt	foheo	neinn
fyrr	aam	fyrr
en	c	en
henni	fpveþ	hún
varð	sfg3eþ	verða
ljóst	lhensf	ljós
að	c	að
þetta	fahen	þessi
voru	sfg3fþ	vera
hríðir	nvfn	hríð
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
hún	fpven	hún
stödd	lvensf	staddur
úti	aa	úti
í	aþ	í
hlöðu	nveþ	hlaða
að	cn	að
sækja	sng	sækja
hey	nheo	hey
handa	aþ	handa
kúnum	nvfþg	kýr
fyrir	ao	fyrir
kvöldgjöfina	nveog	kvöldgjöf
,	,	,
skjögraði	sfg3eþ	skjögra
inn	aa	inn
og	c	og
fann	sfg3eþ	finna
Önnu	nveo-s	Anna
í	aþ	í
eldhúsinu	nheþg	eldhús
.	.	.
Hún	fpven	hún
fölnaði	sfg3eþ	fölna
en	c	en
brá	sfg3eþ	bregða
skjótt	aa	skjótt
við	aa	við
og	c	og
hringdi	sfg3eþ	hringja
í	ao	í
lækninn	nkeog	læknir
sem	ct	sem
lofaði	sfg3eþ	lofa
að	cn	að
aka	sng	aka
strax	aa	strax
af	aþ	af
stað	nkeþ	staður
.	.	.
Án	ae	án
þess	fphee	það
að	cn	að
hafa	sng	hafa
nokkurt	foheo	nokkur
taumhald	nheo	taumhald
á	aþ	á
sér	fpheþ	sig
byrjuðu	sfg3fþ	byrja
tárin	nhfng	tár
að	cn	að
renna	sng	renna
niður	ao	niður
kinnar	nvfo	kinn
Sigþrúðar	nvee-s	Sigþrúður
.	.	.
Þegar	c	þegar
hún	fpven	hún
var	sfg3eþ	vera
lítil	lvensf	lítill
hafði	sfg3eþ	hafa
hún	fpven	hún
lært	ssg	læra
að	cn	að
gráta	sng	gráta
ekki	aa	ekki
og	c	og
auka	sng	auka
þannig	aa	þannig
áhyggjur	nvfo	áhyggja
Petrínu	nvee-s	Petrína
sem	ct	sem
fylgdist	sfm3eþ	fylgja
með	aþ	með
henni	fpveþ	hún
á	aþ	á
himnum	nkfþ	himinn
.	.	.
Nú	aa	nú
réð	sfg3eþ	ráða
hún	fpven	hún
ekkert	fohen	enginn
við	ao	við
sig	fpveo	sig
,	,	,
þráði	sfg3eþ	þrá
fóstru	nveo	fóstra
sína	feveo	sinn
heitt	aa	heitt
og	c	og
innilega	aa	innilega
og	c	og
langaði	sfg3eþ	langa
til	ae	til
að	cn	að
senda	sng	senda
eftir	aþ	eftir
Margréti	nveþ-s	Margrét
.	.	.
Hún	fpven	hún
sagði	sfg3eþ	segja
ekki	aa	ekki
neitt	foheo	neinn
,	,	,
kreisti	sfg3eþ	kreista
bara	aa	bara
aftur	aa	aftur
augun	nhfog	auga
,	,	,
fór	sfg3eþ	fara
með	ao	með
bænir	nvfo	bæn
og	c	og
barðist	sfm3eþ	berja
við	ao	við
að	cn	að
stilla	sng	stilla
grátinn	nkeog	grátur
.	.	.
Anna	nven-s	Anna
sat	sfg3eþ	sitja
við	ao	við
rúmið	nheog	rúm
,	,	,
hélt	sfg3eþ	halda
í	ao	í
höndina	nveog	hönd
á	aþ	á
henni	fpveþ	hún
og	c	og
strauk	sfg3eþ	strjúka
svitann	nkeog	sviti
af	aþ	af
enninu	nheþg	enni
.	.	.
Loksins	aa	loksins
kom	sfg3eþ	koma
læknirinn	nkeng	læknir
.	.	.
Sigþrúður	nven-s	Sigþrúður
vissi	sfg3eþ	vita
ekkert	fohen	enginn
hvað	fshen	hver
tímanum	nkeþg	tími
leið	sfg3eþ	líða
en	c	en
af	aa	af
og	c	og
til	aa	til
lauk	sfg3eþ	ljúka
hún	fpven	hún
upp	aa	upp
augunum	nhfþg	auga
og	c	og
sá	sfg3eþ	sjá
konu	nveo	kona
standa	sng	standa
við	ao	við
fótagaflinn	nkeog	fótagafl
.	.	.
Hún	fpven	hún
sá	sfg3eþ	sjá
hana	fpveo	hún
í	aþ	í
þoku	nveþ	þoka
en	c	en
sýndist	sfm3eþ	sýna
hún	fpven	hún
dökk	lvensf	dökkur
yfirlitum	nhfþ	yfirlit
með	ao	með
fléttur	nvfo	flétta
og	c	og
sjal	nheo	sjal
um	ao	um
herðar	nvfo	herðar
.	.	.
Þegar	c	þegar
Sigþrúður	nven-s	Sigþrúður
reyndi	sfg3eþ	reyna
að	cn	að
tala	sng	tala
við	ao	við
hana	fpveo	hún
fékk	sfg3eþ	fá
hún	fpven	hún
ekkert	foheo	enginn
svar	nheo	svar
.	.	.
Í	ao	í
hvert	foheo	hver
skipti	nheo	skipti
sem	ct	sem
hún	fpven	hún
opnaði	sfg3eþ	opna
augun	nhfog	auga
var	sfg3eþ	vera
konan	nveng	kona
þétt	aa	þétt
upp	aa	upp
við	ao	við
fótagaflinn	nkeog	fótagafl
og	c	og
horfði	sfg3eþ	horfa
á	ao	á
hana	fpveo	hún
svipbrigðalaus	lvensf	svipbrigðalaus
.	.	.
Smátt	aa	smátt
og	c	og
smátt	aa	smátt
fylltist	sfm3eþ	fylla
herbergið	nheng	herbergi
af	aþ	af
fólki	nheþ	fólk
,	,	,
einhver	foken	einhver
byrjaði	sfg3eþ	byrja
að	cn	að
syngja	sng	syngja
djúpri	lveþsf	djúpur
röddu	nveþ	rödd
og	c	og
brátt	aa	brátt
tóku	sfg3fþ	taka
fleiri	lkfnvm	margur
undir	aa	undir
.	.	.
Hríðarnar	nvfng	hríð
hörðnuðu	sfg3fþ	harðna
,	,	,
Sigþrúði	nveþ-s	Sigþrúður
fannst	sfm3eþ	finna
verkirnir	nkfng	verkur
óbærilegir	lkfnsf	óbærilegur
og	c	og
hold	nhen	hold
vera	sng	vera
að	cn	að
rifna	sng	rifna
frá	aþ	frá
beini	nheþ	bein
.	.	.
Þá	aa	þá
birtist	sfm3en	birta
Hallfríður	nven-s	Hallfríður
.	.	.
Trausta	lvenvf	traustur
góða	lvenvf	góður
fóstra	nven	fóstra
hennar	fpvee	hún
var	sfg3eþ	vera
komin	sþgven	koma
.	.	.
Henni	fpveþ	hún
varð	sfg3eþ	verða
svo	aa	svo
mikið	lhensf	mikill
um	ao	um
að	c	að
hún	fpven	hún
hentist	sfm3eþ	henda
upp	aa	upp
.	.	.
«	«	«
Hvar	aa	hvar
hefurðu	sfg2en	hafa
verið	ssg	vera
?	?	?
»	»	»
stundi	sfg3eþ	stynja
hún	fpven	hún
.	.	.
Hallfríður	nven-s	Hallfríður
ýtti	sfg3eþ	ýta
henni	fpveþ	hún
ofan	aa	ofan
í	ao	í
rúmið	nheog	rúm
,	,	,
strauk	sfg3eþ	strjúka
ennið	nheog	enni
og	c	og
brosti	sfg3eþ	brosa
.	.	.
«	«	«
Hertu	sbg2en	herða
þig	fp2eo	þú
,	,	,
»	»	»
hvíslaði	sfg3eþ	hvísla
fóstra	nven	fóstra
og	c	og
tók	sfg3eþ	taka
fast	aa	fast
utan	aa	utan
um	ao	um
hana	fpveo	hún
.	.	.
Sigþrúður	nven-s	Sigþrúður
ríghélt	sfg3eþ	ríghalda
í	ao	í
hana	fpveo	hún
á	aa	á
meðan	c	meðan
hún	fpven	hún
rembdist	sfm3eþ	rembast
,	,	,
staðráðin	lvensf	staðráðinn
í	aþ	í
að	cn	að
lifa	sng	lifa
af	aa	af
.	.	.
Svo	aa	svo
minnkaði	sfg3eþ	minnka
þrýstingurinn	nkeng	þrýstingur
og	c	og
eitthvað	fohen	einhver
blautt	lhensf	blautur
rann	sfg3eþ	renna
frá	aþ	frá
henni	fpveþ	hún
.	.	.
Allt	fohen	allur
var	sfg3eþ	vera
óendanlega	aa	óendanlega
hljótt	lhensf	hljóður
.	.	.
Sigþrúður	nven-s	Sigþrúður
lauk	sfg3eþ	ljúka
upp	aa	upp
augunum	nhfþg	auga
og	c	og
horfði	sfg3eþ	horfa
í	aa	í
kringum	ao	kringum
sig	fpveo	sig
.	.	.
Fóstra	nven	fóstra
var	sfg3eþ	vera
horfin	sþgven	hverfa
,	,	,
sömuleiðis	aa	sömuleiðis
konan	nveng	kona
við	ao	við
fótagaflinn	nkeog	fótagafl
.	.	.
Söngurinn	nkeng	söngur
þagnaður	lkensf	þagnaður
.	.	.
Drengurinn	nkeng	drengur
gaf	sfg3eþ	gefa
ekki	aa	ekki
frá	aþ	frá
sér	fpkeþ	sig
nokkurt	foheo	nokkur
hljóð	nheo	hljóð
,	,	,
lá	sfg3eþ	liggja
með	ao	með
lokuð	lhfosf	lokaður
augun	nhfog	auga
.	.	.
Hún	fpven	hún
vissi	sfg3eþ	vita
að	c	að
hann	fpken	hann
var	sfg3eþ	vera
dáinn	lkensf	dáinn
.	.	.
Vissi	sfg3eþ	vita
að	c	að
hún	fpven	hún
var	sfg3eþ	vera
hvergi	aa	hvergi
nærri	aa	nærri
fullgengin	lvensf	fullgenginn
með	aa	með
.	.	.
Samt	aa	samt
spurði	sfg3eþ	spyrja
hún	fpven	hún
lækninn	nkeog	læknir
hvort	c	hvort
hann	fpken	hann
gæti	svg3eþ	geta
leyft	ssg	leyfa
henni	fpveþ	hún
að	cn	að
skoða	sng	skoða
hendurnar	nvfog	hönd
á	aþ	á
honum	fpkeþ	hann
.	.	.
Fingurnir	nkfng	fingur
voru	sfg3fþ	vera
rétt	aa	rétt
skapaðir	lkfnsf	skapaður
og	c	og
líka	aa	líka
litlu	lkfnvf	lítill
lófarnir	nkfng	lófi
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
smár	lkensf	smár
og	c	og
undurfínlegur	lkensf	undurfínlegur
.	.	.
Það	fphen	það
var	sfg3eþ	vera
eins	aa	eins
og	c	og
hann	fpken	hann
svæfi	svg3eþ	sofa
undir	aþ	undir
gegnsæjum	lhfþsf	gegnsær
augnlokunum	nhfþg	augnlok
.	.	.
Hún	fpven	hún
gerði	sfg3eþ	gera
krossmark	nheo	krossmark
yfir	aþ	yfir
honum	fpkeþ	hann
,	,	,
hægt	aa	hægt
og	c	og
rólega	aa	rólega
.	.	.
Treindi	sfg3eþ	treina
sér	fpveþ	sig
andartakið	nheog	andartak
.	.	.
Svo	aa	svo
fór	sfg3eþ	fara
hún	fpven	hún
að	cn	að
gráta	sng	gráta
,	,	,
fyrst	aae	fyrr
hljóðlega	aa	hljóðlega
,	,	,
svo	aa	svo
hömlulaust	aa	hömlulaust
.	.	.
Hún	fpven	hún
sá	sfg3eþ	sjá
hann	fpkeo	hann
ekki	aa	ekki
aftur	aa	aftur
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
lagður	sþgken	leggja
í	ao	í
kistu	nveo	kista
hjá	aþ	hjá
manni	nkeþ	maður
í	aþ	í
annarri	foveþ	annar
sveit	nveþ	sveit
og	c	og
jarðaður	sþgken	jarða
þar	aa	þar
.	.	.
Það	fphen	það
var	sfg3eþ	vera
sunnanþeyr	nken	sunnanþeyr
og	c	og
sólbráð	nven	sólbráð
á	aþ	á
fönnum	nvfþ	fönn
þó	aa	þó
að	c	að
enn	aa	enn
væri	svg3eþ	vera
miður	lkensf	miður
þorri	nken	þorri
.	.	.
Um	ao	um
sumarið	nheog	sumar
flutti	sfg3eþ	flytja
Sigþrúður	nven-s	Sigþrúður
í	ao	í
kauptúnið	nheog	kauptún
.	.	.
Hún	fpven	hún
réð	sfg3eþ	ráða
sig	fpveo	sig
í	ao	í
síldarsöltun	nveo	síldarsöltun
og	c	og
ákvað	sfg3eþ	ákveða
að	cn	að
láta	sng	láta
kylfu	nveo	kylfa
ráða	sng	ráða
kasti	nheþ	kast
.	.	.
Vissi	sfg3eþ	vita
ekki	aa	ekki
hvort	c	hvort
hún	fpven	hún
gæti	svg3eþ	geta
saltað	ssg	salta
en	c	en
hafði	sfg3eþ	hafa
ekki	aa	ekki
orð	nheo	orð
á	aþ	á
neinu	foheþ	neinn
,	,	,
útvegaði	sfg3eþ	útvega
sér	fpveþ	sig
það	faheo	sá
nauðsynlegasta	lheove	nauðsynlegur
og	c	og
var	sfg3eþ	vera
tilbúin	lvensf	tilbúinn
þegar	c	þegar
síldin	nveng	síld
kom	sfg3eþ	koma
.	.	.
Hún	fpven	hún
bjó	sfg3eþ	búa
í	aþ	í
kvennabragga	nkeþ	kvennabraggi
.	.	.
Þær	fpvfn	hún
voru	sfg3fþ	vera
átta	tfvfn	átta
saman	aa	saman
í	aþ	í
stórum	lkeþsf	stór
sal	nkeþ	salur
og	c	og
hún	fpven	hún
svaf	sfg3eþ	sofa
í	aþ	í
efri	lveþvm	efri
koju	nveþ	koja
nálægt	aþ	nálægt
glugga	nkeþ	gluggi
.	.	.
Hún	fpven	hún
ætlaði	sfg3eþ	ætla
að	cn	að
láta	sng	láta
reyna	sng	reyna
á	ao	á
vinnuna	nveog	vinna
.	.	.
Ef	c	ef
það	fphen	það
gengi	svg3eþ	ganga
ekki	aa	ekki
,	,	,
fengi	svg3eþ	fá
hún	fpven	hún
sér	fpveþ	sig
eitthvað	foheo	einhver
annað	foheo	annar
.	.	.
Í	ao	í
sveitina	nveog	sveit
færi	svg3eþ	fara
hún	fpven	hún
ekki	aa	ekki
aftur	aa	aftur
.	.	.
Söltunin	nveng	söltun
fór	sfg3eþ	fara
hægt	aa	hægt
af	aþ	af
stað	nkeþ	staður
.	.	.
Einn	tfken	einn
og	c	og
einn	tfken	einn
bátur	nken	bátur
tíndist	sfm3eþ	tína
inn	aa	inn
.	.	.
Á	aa	á
meðan	c	meðan
lærði	sfg3eþ	læra
Sigþrúður	nven-s	Sigþrúður
handtökin	nhfog	handtak
.	.	.
Og	c	og
þau	fphfn	það
voru	sfg3fþ	vera
sáraeinföld	lhfnsf	sáraeinfaldur
.	.	.
Vinstri	lvenvf	vinstri
höndin	nveng	hönd
þurfti	sfg3eþ	þurfa
bara	aa	bara
að	cn	að
grípa	sng	grípa
og	c	og
ríghalda	sng	ríghalda
.	.	.
Hvort	fohen	hvor
tveggja	tfhfe	tveir
gat	sfg3eþ	geta
hún	fpven	hún
.	.	.
Þumalfingurinn	nkeng	þumalfingur
var	sfg3eþ	vera
sterkur	lkensf	sterkur
,	,	,
gripið	nheng	grip
öruggt	lhensf	öruggur
og	c	og
handleggurinn	nkeng	handleggur
liðugur	lkensf	liðugur
.	.	.
Maður	nken	maður
varð	sfg3eþ	verða
að	cn	að
hafa	sng	hafa
gott	lheosf	góður
bak	nheo	bak
og	c	og
það	fpheo	það
hafði	sfg3eþ	hafa
hún	fpven	hún
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
aldrei	aa	aldrei
verið	ssg	vera
hrædd	lvensf	hræddur
við	ao	við
að	cn	að
