gefin	sþgven	gefa
ekki	aa	ekki
kunnugt	lhensf	kunnugur
um	ao	um
að	c	að
skoðanakannanir	nvfn	skoðanakönnun
hafi	svg3fn	hafa
farið	ssg	fara
fram	aa	fram
á	aþ	á
því	fpheþ	það
meðal	ae	meðal
þeirra	fphfe	það
.	.	.
Af	aþ	af
hverju	fsheþ	hver
hafa	sfg3fn	hafa
sumir	fokfn	sumur
meiri	lveovm	mikill
kynlífslöngun	nveo	kynlífslöngun
en	c	en
aðrir	fokfn	annar
?	?	?
Sálkönnuðurinn	nkeng	sálkönnuður
Sigmund	e	Sigmund
Freud	e	Freud
fjallaði	sfg3eþ	fjalla
um	ao	um
libido	e	libido
sem	ct	sem
ákveðna	lveosf	ákveðinn
lífsorku	nveo	lífsorka
en	c	en
lagði	sfg3eþ	leggja
sérstaka	lveosf	sérstakur
áherslu	nveo	áhersla
á	ao	á
kynlífsorkuna	nveog	kynlífsorka
(	(	(
Garsee	e	Garsee
og	c	og
Schuster	e	Schuster
,	,	,
1992	ta	1992
)	)	)
.	.	.
Oftast	aae	oft
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
libido	e	libido
sem	ct	sem
kynlöngun	nveo	kynlöngun
einstaklingsins	nkeeg	einstaklingur
.	.	.
Aðeins	aa	aðeins
um	aa	um
tuttugu	tfhfn	tuttugu
ár	nhfn	ár
eru	sfg3fn	vera
síðan	aa	síðan
byrjað	sþghen	byrja
var	sfg3eþ	vera
að	cn	að
greina	sng	greina
skerta	lveosf	skertur
kynlöngun	nveo	kynlöngun
(	(	(
hypoactive	e	hypoactive
sexual	e	sexual
desire	e	desire
)	)	)
.	.	.
Við	ao	við
frekari	lvfovm	frekur
rannsóknir	nvfo	rannsókn
kom	sfg3eþ	koma
í	ao	í
ljós	nheo	ljós
að	c	að
skert	lvensf	skertur
kynlöngun	nven	kynlöngun
er	sfg3en	vera
algeng	lvensf	algengur
.	.	.
Ein	foven	einn
rannsókn	nven	rannsókn
leiddi	sfg3eþ	leiða
í	ao	í
ljós	nheo	ljós
að	c	að
16%	tp	16%
karla	nkfe	karl
og	c	og
33%	tp	33%
kvenna	nvfe	kona
eiga	sfg3fn	eiga
við	ao	við
slíkt	fbheo	slíkur
vandamál	nheo	vandamál
að	cn	að
stríða	sng	stríða
(	(	(
Hyde	e	Hyde
og	c	og
DeLamater	e	DeLamater
,	,	,
2000	ta	2000
)	)	)
.	.	.
Fólk	nhen	fólk
er	sfg3en	vera
margbreytilegt	lhensf	margbreytilegur
og	c	og
kynlöngun	nven	kynlöngun
mismunandi	lvenof	mismunandi
.	.	.
Hér	aa	hér
spila	sfg3fn	spila
líklega	aa	líklega
saman	aa	saman
upplag	nhen	upplag
einstaklingsins	nkeeg	einstaklingur
,	,	,
það	fphen	það
er	sfg3en	vera
líffræðileg	lvensf	líffræðilegur
starfsemi	nven	starfsemi
,	,	,
einstaklingseðlið	nheng	einstaklingseðli
og	c	og
samspil	nhen	samspil
við	ao	við
aðra	fokfo	annar
(	(	(
Hyde	e	Hyde
og	c	og
DeLamater	e	DeLamater
,	,	,
2000	ta	2000
)	)	)
.	.	.
Sumir	fokfn	sumur
hallast	sfm3fn	halla
meira	aam	meira
að	aþ	að
líkamlegum	lkfþsf	líkamlegur
skýringarþáttum	nkfþ	skýringarþáttur
,	,	,
aðrir	fokfn	annar
að	aþ	að
einstaklingseðlinu	nheþg	einstaklingseðli
og	c	og
enn	aa	enn
aðrir	fokfn	annar
að	aþ	að
samspili	nheþ	samspil
beggja	fohfe	báðir
(	(	(
biosocial	e	biosocial
interaction	e	interaction
model	e	model
)	)	)
(	(	(
Baldwin	nken-s	Baldwin
og	c	og
Baldwin	nken-s	Baldwin
,	,	,
1997	ta	1997
)	)	)
.	.	.
Hér	aa	hér
er	sfg3en	vera
lögð	sþgven	leggja
áhersla	nven	áhersla
á	ao	á
margvíslega	lkfosf	margvíslegur
skýringarþætti	nkfo	skýringarþáttur
.	.	.
Ef	c	ef
litið	sþghen	líta
er	sfg3en	vera
til	ae	til
líffræðilegrar	lveesf	líffræðilegur
starfsemi	nvee	starfsemi
er	sfg3en	vera
testósterón	nhen	testósterón
það	fahen	sá
hormón	nhen	hormón
sem	ct	sem
einkum	aa	einkum
er	sfg3en	vera
talið	sþghen	telja
stjórna	sng	stjórna
kynlöngun	nveþ	kynlöngun
(	(	(
Kaplan	e	Kaplan
,	,	,
1981	ta	1981
)	)	)
.	.	.
Hjá	aþ	hjá
karlmönnum	nkfþ	karlmaður
sjá	sfg3fn	sjá
eistun	nhfng	eista
um	ao	um
að	cn	að
framleiða	sng	framleiða
testósterón	nheo	testósterón
en	c	en
eggjastokkarnir	nkfng	eggjastokkur
hjá	aþ	hjá
konum	nvfþ	kona
.	.	.
Karlmenn	nkfn	karlmaður
hafa	sfg3fn	hafa
meira	lheovm	mikill
af	aþ	af
þessu	faheþ	þessi
hormóni	nheþ	hormón
en	c	en
konur	nvfn	kona
,	,	,
sem	ct	sem
að	aþ	að
hluta	nkeþ	hluti
til	aa	til
getur	sfg3en	geta
skýrt	ssg	skýra
meiri	lveovm	mikill
kynlöngun	nveo	kynlöngun
karla	nkfe	karl
.	.	.
Með	aþ	með
lækkandi	lheþof	lækkandi
magni	nheþ	magn
testósteróns	nhee	testósterón
minnnkar	sfg3en	minnnka
kynlöngun	nven	kynlöngun
(	(	(
Davis	e	Davis
,	,	,
2000	ta	2000
;	;	;
Kaplan	e	Kaplan
,	,	,
1981	ta	1981
)	)	)
.	.	.
Margt	lhensf	margur
getur	sfg3en	geta
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
líkamlega	lveosf	líkamlegur
starfsemi	nveo	starfsemi
og	c	og
þar	aa	þar
með	aa	með
kynlöngun	nveo	kynlöngun
mannsins	nkeeg	maður
.	.	.
Minni	lvenvm	lítill
kynlöngun	nven	kynlöngun
tengist	sfm3en	tengja
ýmsum	fokfþ	ýmis
sjúkdómum	nkfþ	sjúkdómur
svo	aa	svo
sem	c	sem
þunglyndi	nheþ	þunglyndi
og	c	og
jafnframt	aa	jafnframt
margvíslegri	lveþsf	margvíslegur
lyfjameðferð	nveþ	lyfjameðferð
.	.	.
Eftir	ao	eftir
fæðingu	nveo	fæðing
barns	nhee	barn
getur	sfg3en	geta
tímabundið	aa	tímabundið
komið	ssg	koma
fram	aa	fram
minni	lvenvm	lítill
kynlöngun	nven	kynlöngun
hjá	aþ	hjá
konum	nvfþ	kona
(	(	(
Barrett	e	Barrett
,	,	,
o.fl.	as	o.fl.
,	,	,
1999	ta	1999
)	)	)
.	.	.
Konur	nvfn	kona
hafa	sfg3fn	hafa
jafnframt	aa	jafnframt
greint	ssg	greina
frá	aþ	frá
mismikilli	lveþsf	mismikill
kynlöngun	nveþ	kynlöngun
eftir	aþ	eftir
því	fpheþ	það
hvar	aa	hvar
þær	fpvfn	hún
eru	sfg3fn	vera
staddar	lvfnsf	staddur
í	aþ	í
tíðahringnum	nkeþg	tíðahringur
(	(	(
Kitzinger	e	Kitzinger
,	,	,
1986	ta	1986
)	)	)
.	.	.
Hvað	fshen	hver
einstaklingseðlið	nheog	einstaklingseðli
og	c	og
andlega	lveosf	andlegur
starfsemi	nveo	starfsemi
varðar	sfg3en	varða
þá	aa	þá
virðist	sfm3en	virða
andlegt	lhensf	andlegur
jafnvægi	nhen	jafnvægi
einstaklingsins	nkeeg	einstaklingur
,	,	,
skynjun	nven	skynjun
og	c	og
næði	nhen	næði
skipta	sng	skipta
máli	nheþ	mál
í	aþ	í
sambandi	nheþ	samband
við	ao	við
kynlöngun	nveo	kynlöngun
og	c	og
skapa	sng	skapa
þannig	lvfoof	þannig
aðstæður	nvfo	aðstæður
að	c	að
kynferðisleg	lvensf	kynferðislegur
örvun	nven	örvun
sé	svg3en	vera
möguleg	lvensf	mögulegur
.	.	.
Rannsókn	nven	rannsókn
Mitchell	e	Mitchell
,	,	,
DiBartolo	e	DiBartolo
,	,	,
Brown	e	Brown
og	c	og
Barlow	e	Barlow
(	(	(
1998	ta	1998
)	)	)
meðal	ae	meðal
karla	nkfe	karl
sýndi	sfg3eþ	sýna
að	c	að
jákvæð	lvensf	jákvæður
skaphöfn	nven	skaphöfn
þeirra	fpkfe	hann
hefði	svg3eþ	hafa
kynferðislega	aa	kynferðislega
örvandi	lhfoof	örvandi
áhrif	nhfo	áhrif
.	.	.
Önnur	foven	annar
rannsókn	nven	rannsókn
leiddi	sfg3eþ	leiða
í	ao	í
ljós	nheo	ljós
að	c	að
reiði	nven	reiði
og	c	og
kvíði	nken	kvíði
minnkaði	svg3eþ	minnka
kynferðislega	lveosf	kynferðislegur
löngun	nveo	löngun
(	(	(
Beck	e	Beck
og	c	og
Bozman	e	Bozman
,	,	,
1995	ta	1995
)	)	)
.	.	.
Hjá	aþ	hjá
konum	nvfþ	kona
hafði	sfg3eþ	hafa
reiðin	nveng	reiði
meiri	lhfovm	mikill
áhrif	nhfo	áhrif
en	c	en
hjá	aþ	hjá
körlum	nkfþ	karl
.	.	.
Rannsókn	nven	rannsókn
sem	ct	sem
byggði	sfg3eþ	byggja
á	aþ	á
mismunandi	lveþof	mismunandi
sjónörvun	nveþ	sjónörvun
sýndi	sfg3eþ	sýna
fram	aa	fram
á	ao	á
að	c	að
kynlífsefni	nhen	kynlífsefni
veitti	svg3eþ	veita
meiri	lveovm	mikill
kynferðislega	lveosf	kynferðislegur
örvun	nveo	örvun
en	c	en
hlutlaust	lhensf	hlutlaus
efni	nhen	efni
.	.	.
Styrkur	nken	styrkur
testósteróns	nhee	testósterón
var	sfg3eþ	vera
hærri	lkenvm	hár
undir	aþ	undir
þeim	favfþ	sá
kringumstæðum	nvfþ	kringumstæður
(	(	(
Stoléru	e	Stoléru
,	,	,
o.fl.	as	o.fl.
,	,	,
1999	ta	1999
)	)	)
.	.	.
Einnig	aa	einnig
virðist	sfm3en	virða
það	fahen	sá
næði	nhen	næði
sem	ct	sem
einstaklingurinn	nkeng	einstaklingur
hefur	sfg3en	hafa
til	ae	til
kynferðislegrar	lveesf	kynferðislegur
örvunar	nvee	örvun
skipta	sng	skipta
máli	nheþ	mál
.	.	.
Rannsókn	nven	rannsókn
Elliott	e	Elliott
,	,	,
William	e	William
og	c	og
O	e	O
'	'	'
Donohue	e	Donohue
(	(	(
1997	ta	1997
)	)	)
sýndi	sfg3eþ	sýna
fram	aa	fram
á	ao	á
að	c	að
truflun	nven	truflun
í	aþ	í
umhverfinu	nheþg	umhverfi
dregur	sfg3en	draga
úr	aþ	úr
kynferðislegri	lveþsf	kynferðislegur
örvun	nveþ	örvun
.	.	.
Margt	lhensf	margur
fleira	lhenvm	margur
getur	sfg3en	geta
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
einstaklingseðlið	nheog	einstaklingseðli
og	c	og
þar	aa	þar
með	aa	með
kynlöngun	nveo	kynlöngun
.	.	.
Má	sfg3en	mega
þar	aa	þar
nefna	sng	nefna
skerta	lveosf	skertur
líkamsímynd	nveo	líkamsímynd
eins	aa	eins
og	c	og
ef	c	ef
einstaklingurinn	nkeng	einstaklingur
upplifir	sfg3en	upplifa
sig	fpkeo	sig
of	aa	of
feitan	lkeosf	feitur
,	,	,
hvort	c	hvort
fólk	nhen	fólk
hefur	sfg3en	hafa
erfiða	lveosf	erfiður
fyrri	lveovm	fyrri
reynslu	nveo	reynsla
af	aþ	af
kynlífi	nheþ	kynlíf
(	(	(
kynferðisleg	lvensf	kynferðislegur
misnotkun	nven	misnotkun
)	)	)
og	c	og
hvort	c	hvort
ótti	nken	ótti
sé	svg3en	vera
til	ae	til
staðar	nkee	staður
gagnvart	aþ	gagnvart
kynlífi	nheþ	kynlíf
(	(	(
Wiederman	e	Wiederman
,	,	,
2000	ta	2000
,	,	,
Hyde	e	Hyde
og	c	og
DeLamater	e	DeLamater
,	,	,
2000	ta	2000
)	)	)
.	.	.
Samspil	nhen	samspil
tveggja	tfkfe	tveir
einstaklinga	nkfe	einstaklingur
í	aþ	í
kynferðislegu	lheþsf	kynferðislegur
sambandi	nheþ	samband
getur	sfg3en	geta
að	aa	að
auki	aa	auki
skipt	ssg	skipta
máli	nheþ	mál
í	aþ	í
sambandi	nheþ	samband
við	ao	við
kynlöngun	nveo	kynlöngun
.	.	.
Er	sfg3en	vera
fólk	nhen	fólk
ánægt	lhensf	ánægður
í	aþ	í
parsambandi	nheþ	parsamband
sínu	feheþ	sinn
?	?	?
Nær	sfg3en	ná
það	fphen	það
að	cn	að
tala	sng	tala
eðlilega	aa	eðlilega
saman	aa	saman
um	ao	um
kynlíf	nheo	kynlíf
?	?	?
Getur	sfg3en	geta
það	fphen	það
sagt	ssg	segja
við	ao	við
hvort	fohen	hvor
annað	foheo	annar
hvað	fsheo	hver
það	fphen	það
vill	sfg3en	vilja
og	c	og
hvað	fsheo	hver
ekki	aa	ekki
?	?	?
Hefur	sfg3en	hafa
það	fphen	það
gert	ssg	gera
góðar	lvfosf	góður
ráðstafanir	nvfo	ráðstöfun
til	ae	til
að	cn	að
stjórna	sng	stjórna
barneignum	nvfþ	barneign
?	?	?
Tveir	tfkfn	tveir
einstaklingar	nkfn	einstaklingur
í	aþ	í
parsambandi	nheþ	parsamband
hafa	sfg3fn	hafa
iðulega	aa	iðulega
ekki	aa	ekki
sama	fbkeo	samur
áhugann	nkeog	áhugi
á	aþ	á
kynlífi	nheþ	kynlíf
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
.	.	.
Mjög	aa	mjög
líklegt	lhensf	líklegur
er	sfg3en	vera
að	c	að
einn	fokeo	einn
daginn	nkeog	dagur
hafi	svg3en	hafa
annar	foken	annar
aðilinn	nkeng	aðili
meiri	lkeovm	mikill
áhuga	nkeo	áhugi
og	c	og
annan	fokeo	annar
daginn	nkeog	dagur
hinn	faken	hinn
aðilinn	nkeng	aðili
.	.	.
Þannig	aa	þannig
getur	sfg3en	geta
áhuginn	nkeng	áhugi
og	c	og
löngunin	nveng	löngun
verið	ssg	vera
mismikil	lvensf	mismikill
(	(	(
Kitzinger	e	Kitzinger
,	,	,
1986	ta	1986
)	)	)
.	.	.
Af	aþ	af
þessum	favfþ	þessi
upplýsingum	nvfþ	upplýsing
má	sfg3en	mega
draga	sng	draga
þá	faveo	sá
ályktun	nveo	ályktun
að	c	að
margvíslegar	lvfnsf	margvíslegur
skýringar	nvfn	skýring
eru	sfg3fn	vera
á	aþ	á
því	fpheþ	það
hvers	fshee	hver
vegna	ae	vegna
kynlífslöngun	nven	kynlífslöngun
getur	sfg3en	geta
verið	ssg	vera
mismikil	lvensf	mismikill
hjá	aþ	hjá
fólki	nheþ	fólk
.	.	.
Hvenær	aa	hvenær
var	sfg3eþ	vera
smokkurinn	nkeng	smokkur
fundinn	sþgken	finna
upp	aa	upp
?	?	?
Óvíst	lhensf	óvís
er	sfg3en	vera
hvenær	aa	hvenær
smokkurinn	nkeng	smokkur
var	sfg3eþ	vera
fyrst	aae	fyrr
fundinn	sþgken	finna
upp	aa	upp
.	.	.
Þó	aa	þó
er	sfg3en	vera
víst	lhensf	vís
að	c	að
ýmsir	fokfn	ýmis
hlutir	nkfn	hlutur
hafa	sfg3fn	hafa
verið	ssg	vera
notaðir	sþgkfn	nota
í	aþ	í
aldanna	nvfeg	öld
rás	nveþ	rás
til	ae	til
að	cn	að
þekja	sng	þekja
getnaðarlimi	nkfo	getnaðarlimur
í	aþ	í
þeim	fakeþ	sá
tilgangi	nkeþ	tilgangur
að	cn	að
vernda	sng	vernda
gegn	aþ	gegn
þungun	nveþ	þungun
og	c	og
sýkingum	nvfþ	sýking
og	c	og
til	ae	til
skrauts	nhee	skraut
og	c	og
örvunar	nvee	örvun
.	.	.
Nokkurs	fokee	nokkur
konar	nkee	konar
slíður	nhen	slíður
til	ae	til
að	cn	að
setja	sng	setja
á	ao	á
getnaðarlim	nkeo	getnaðarlimur
var	sfg3eþ	vera
notað	sþghen	nota
af	aþ	af
egypskum	lkfþsf	egypskur
karlmönnum	nkfþ	karlmaður
um	ao	um
1350	ta	1350
fyrir	ao	fyrir
Krist	nkeo-s	Kristur
.	.	.
Óvíst	lhensf	óvís
er	sfg3en	vera
um	ao	um
tilgang	nkeo	tilgangur
notkunarinnar	nveeg	notkun
en	c	en
talið	sþghen	telja
er	sfg3en	vera
að	c	að
það	fphen	það
hafi	svg3en	hafa
verið	ssg	vera
ætlað	sþghen	ætla
til	ae	til
skrauts	nhee	skraut
.	.	.
Árið	nheog	ár
1564	ta	1564
lýsti	sfg3eþ	lýsa
ítalski	lkenvf	ítalskur
líffærafræðingurinn	nkeng	líffærafræðingur
Fallopius	e	Fallopius
slíðri	nheþ	slíður
úr	aþ	úr
hör	nkeþ	hör
.	.	.
Fljótlega	aa	fljótlega
fylgdu	sfg3fþ	fylgja
í	ao	í
kjölfarið	nheog	kjölfar
slíður	nhfn	slíður
úr	aþ	úr
dýragörn	nveþ	dýragörn
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ekki	aa	ekki
fyrr	aam	fyrr
en	c	en
á	aþ	á
18.	ta	18.
öldinni	nveþg	öld
sem	ct	sem
farið	sþghen	fara
var	sfg3eþ	vera
að	cn	að
nefna	sng	nefna
þessi	fahfo	þessi
slíður	nhfo	slíður
smokka	nkfo	smokkur
.	.	.
Upp	aa	upp
úr	aþ	úr
1840	ta	1840
var	sfg3eþ	vera
svo	aa	svo
farið	sþghen	fara
að	cn	að
framleiða	sng	framleiða
smokka	nkfo	smokkur
úr	aþ	úr
gúmmíi	nheþ	gúmmí
en	c	en
um	ao	um
1930	ta	1930
kom	sfg3eþ	koma
fram	aa	fram
nýtt	lhensf	nýr
gúmmíkennt	lhensf	gúmmíkenndur
plastefni	nhen	plastefni
,	,	,
latex	nhen	latex
,	,	,
sem	ct	sem
þótti	sfg3eþ	þykja
henta	sng	henta
betur	aam	vel
(	(	(
Robertson	e	Robertson
,	,	,
1990	ta	1990
;	;	;
Hatcher	e	Hatcher
,	,	,
o.fl.	as	o.fl.
,	,	,
1990	ta	1990
;	;	;
Everett	e	Everett
,	,	,
1998	ta	1998
)	)	)
.	.	.
Af	aþ	af
hverju	fsheþ	hver
fá	sfg3fn	fá
sumar	fovfn	sumur
konur	nvfn	kona
leggangafullnægingu	nveo	leggangafullnæging
en	c	en
ekki	aa	ekki
aðrar	fovfn	annar
?	?	?
Hvað	fshen	hver
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
gera	sng	gera
til	ae	til
að	cn	að
auka	sng	auka
líkurnar	nvfog	líkur
á	aþ	á
henni	fpveþ	hún
?	?	?
Athyglisvert	lhensf	athyglisverður
er	sfg3en	vera
að	cn	að
skoða	sng	skoða
viðhorf	nhfo	viðhorf
til	ae	til
fullnægingar	nvee	fullnæging
og	c	og
hvernig	aa	hvernig
er	sfg3en	vera
litið	sþghen	líta
á	ao	á
konuna	nveog	kona
sem	ct	sem
ýmist	c	ýmist
óvirka	lveosf	óvirkur
eða	c	eða
virka	lveosf	virkur
samkvæmt	aþ	samkvæmt
þeim	fphfþ	það
.	.	.
Sigmund	e	Sigmund
Freud	e	Freud
taldi	sfg3eþ	telja
að	c	að
til	aa	til
væri	svg3eþ	vera
tvenns	lkeesf	tvennur
konar	nkee	konar
fullnæging	nven	fullnæging
hjá	aþ	hjá
konum	nvfþ	kona
;	;	;
annars	fokee	annar
vegar	nkee	vegur
fullnæging	nven	fullnæging
í	aþ	í
leggöngum	nhfþ	leggöng
og	c	og
hins	fakee	hinn
vegar	nkee	vegur
snípörvun	nven	snípörvun
.	.	.
Hann	fpken	hann
hélt	sfg3eþ	halda
því	fpheþ	það
fram	aa	fram
að	c	að
fullnæging	nven	fullnæging
í	aþ	í
leggöngum	nhfþ	leggöng
væri	svg3eþ	vera
merki	nhen	merki
um	ao	um
kynsvörun	nveo	kynsvörun
hjá	aþ	hjá
þroskaðri	lveþsf	þroskaður
konu	nveþ	kona
en	c	en
að	c	að
snípörvun	nven	snípörvun
sem	ct	sem
leiddi	svg3eþ	leiða
til	ae	til
fullnægingar	nvee	fullnæging
væri	svg3eþ	vera
hins	fakee	hinn
vegar	nkee	vegur
merki	nhen	merki
um	ao	um
kynsvörun	nveo	kynsvörun
óþroskaðrar	lveesf	óþroskaður
unglingsstúlku	nvee	unglingsstúlka
(	(	(
Rossi	e	Rossi
,	,	,
1994	ta	1994
)	)	)
.	.	.
Nefnir	sfg3en	nefna
Rossi	e	Rossi
að	c	að
í	aþ	í
kvennafræðum	nhfþ	kvennafræði
sé	svg3en	vera
snípörvun	nveþ	snípörvun
til	ae	til
fullnægingar	nvee	fullnæging
haldið	sþghen	halda
á	aþ	á
lofti	nheþ	loft
og	c	og
litið	sþghen	líta
á	ao	á
hana	fpveo	hún
sem	ct	sem
leið	nveo	leið
til	ae	til
kvenfrelsis	nhee	kvenfrelsi
en	c	en
örvun	nven	örvun
legganga	nhfe	leggöng
til	ae	til
fullnægingar	nvee	fullnæging
sé	svg3en	vera
merki	nhen	merki
um	ao	um
yfirráð	nhfo	yfirráð
karla	nkfe	karl
yfir	aþ	yfir
konum	nvfþ	kona
(	(	(
Rossi	e	Rossi
,	,	,
1994	ta	1994
)	)	)
.	.	.
Hins	fakee	hinn
vegar	nkee	vegur
er	sfg3en	vera
það	fphen	það
staðreynd	nven	staðreynd
að	c	að
snípurinn	nkeng	snípur
á	sfg3en	eiga
alltaf	aa	alltaf
þátt	nkeo	þáttur
í	aþ	í
fullnægingu	nveþ	fullnæging
konunnar	nveeg	kona
,	,	,
beint	aa	beint
eða	c	eða
óbeint	aa	óbeint
.	.	.
Þegar	c	þegar
kona	nven	kona
fær	sfg3en	fá
ekki	aa	ekki
fullnægingu	nveo	fullnæging
með	aþ	með
örvun	nveþ	örvun
legganga	nhfe	leggöng
þarf	sfg3en	þurfa
að	cn	að
skoða	sng	skoða
margvíslega	lkfosf	margvíslegur
þætti	nkfo	þáttur
sem	ct	sem
tengjast	sfm3fn	tengja
kynferðislegri	lveþsf	kynferðislegur
örvun	nveþ	örvun
og	c	og
fullnægingu	nveþ	fullnæging
.	.	.
Sjúkdómar	nkfn	sjúkdómur
,	,	,
lyf	nhfn	lyf
,	,	,
erfið	lvensf	erfiður
kynlífsreynsla	nven	kynlífsreynsla
,	,	,
óánægja	nven	óánægja
með	ao	með
líkamann	nkeog	líkami
,	,	,
reiði	nven	reiði
,	,	,
áhyggjur	nvfn	áhyggja
,	,	,
álag	nhen	álag
og	c	og
einbeitingarskortur	nken	einbeitingarskortur
eru	sfg3fn	vera
þættir	nkfn	þáttur
sem	ct	sem
geta	sfg3fn	geta
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
kynlíf	nheo	kynlíf
fólks	nhee	fólk
(	(	(
Wiederman	e	Wiederman
og	c	og
Hurst	e	Hurst
,	,	,
1998	ta	1998
;	;	;
Elliott	e	Elliott
og	c	og
O	e	O
'	'	'
Donohue	e	Donohue
,	,	,
1997	ta	1997
)	)	)
.	.	.
Skoða	sng	skoða
ætti	svg3eþ	eiga
slíka	fbkfo	slíkur
þætti	nkfo	þáttur
og	c	og
leita	sng	leita
leiða	nvfe	leið
með	aþ	með
úrlausn	nveþ	úrlausn
þeirra	fpkfe	hann
áður	aa	áður
en	c	en
farið	sþghen	fara
er	sfg3en	vera
út	aa	út
í	ao	í
að	cn	að
skoða	sng	skoða
kynlífið	nheog	kynlíf
sem	ct	sem
einangrað	lheosf	einangraður
fyrirbæri	nheo	fyrirbæri
.	.	.
Gott	lhensf	góður
kynlíf	nhen	kynlíf
er	sfg3en	vera
afrakstur	nken	afrakstur
almennrar	lveesf	almennur
vellíðunar	nvee	vellíðun
.	.	.
Góð	lvensf	góður
kynlífsreynsla	nven	kynlífsreynsla
byggist	sfm3en	byggja
á	aþ	á
því	fpheþ	það
að	cn	að
njóta	sng	njóta
kynlífs	nhee	kynlíf
en	c	en
ekki	aa	ekki
að	cn	að
líta	sng	líta
á	ao	á
fullnæginguna	nveog	fullnæging
sem	ct	sem
eina	lheovf	einn
takmarkið	nheog	takmark
.	.	.
Það	fphen	það
getur	sfg3en	geta
dregið	ssg	draga
úr	aþ	úr
kynlífsánægjunni	nveþg	kynlífsánægja
að	cn	að
einblína	sng	einblína
á	ao	á
það	fpheo	það
að	cn	að
fá	sng	fá
fullnægingu	nveo	fullnæging
.	.	.
Ef	c	ef
einstaklingurinn	nkeng	einstaklingur
nýtur	sfg3en	njóta
ekki	aa	ekki
kynörvunarinnar	nveeg	kynörvun
eru	sfg3fn	vera
minni	lvfnvm	lítill
líkur	nvfn	líkur
á	aþ	á
því	fpheþ	það
að	c	að
hann	fpken	hann
njóti	svg3en	njóta
kynmakanna	nhfeg	kynmök
.	.	.
Ýmsar	fovfn	ýmis
ráðleggingar	nvfn	ráðlegging
hafa	sfg3fn	hafa
verið	ssg	vera
gefnar	sþgvfn	gefa
til	ae	til
að	cn	að
auka	sng	auka
líkur	nvfo	líkur
á	aþ	á
fullnægingu	nveþ	fullnæging
og	c	og
byggjast	sfm3fn	byggja
slíkar	fbvfn	slíkur
ráðleggingar	nvfn	ráðlegging
á	aþ	á
góðri	lveþsf	góður
kynlífssögu	nveþ	kynlífssaga
einstaklingsins	nkeeg	einstaklingur
og	c	og
parsins	nheeg	par
.	.	.
Eitt	tfhen	einn
af	aþ	af
því	faheþ	sá
sem	ct	sem
þarf	sfg3en	þurfa
að	cn	að
skoða	sng	skoða
þegar	c	þegar
slík	fbven	slíkur
kynlífssaga	nven	kynlífssaga
er	sfg3en	vera
tekin	sþgven	taka
er	sfg3en	vera
fyrri	lvenvm	fyrri
reynsla	nven	reynsla
af	aþ	af
fullnægingu	nveþ	fullnæging
.	.	.
Hefur	sfg3en	hafa
viðkomandi	lvenof	viðkomandi
fengið	ssg	fá
fullnægingu	nveo	fullnæging
áður	aa	áður
?	?	?
Hvaða	fsven	hvaða
leið	nven	leið
var	sfg3eþ	vera
þá	aa	þá
farin	sþgven	fara
?	?	?
Hvað	fshen	hver
reyndist	sfm3eþ	reyna
vel	aa	vel
og	c	og
hvað	fshen	hver
ekki	aa	ekki
?	?	?
Það	fphen	það
er	sfg3en	vera
engin	foven	enginn
ein	tfven	einn
leið	nven	leið
til	ae	til
að	cn	að
ná	sng	ná
fullnægingu	nveþ	fullnæging
.	.	.
Kona	nven	kona
sem	ct	sem
hefur	sfg3en	hafa
fengið	ssg	fá
fullnægingu	nveo	fullnæging
með	aþ	með
snípörvun	nveþ	snípörvun
getur	sfg3en	geta
átt	ssg	eiga
auðveldara	lheovm	auðveldur
með	ao	með
að	cn	að
fá	sng	fá
fullnægingu	nveo	fullnæging
í	aa	í
gegnum	ao	gegnum
leggöng	nhfo	leggöng
en	c	en
kona	nven	kona
sem	ct	sem
aldrei	aa	aldrei
hefur	sfg3en	hafa
fengið	ssg	fá
fullnægingu	nveo	fullnæging
.	.	.
Skoða	sng	skoða
þarf	sfg3en	þurfa
einnig	aa	einnig
hvaða	fsvfn	hvaða
leiðir	nvfn	leið
eru	sfg3fn	vera
farnar	sþgvfn	fara
til	ae	til
örvunar	nvee	örvun
.	.	.
Stundum	aa	stundum
þarf	sfg3en	þurfa
að	cn	að
leita	sng	leita
annarra	fovfe	annar
leiða	nvfe	leið
til	ae	til
örvunar	nvee	örvun
en	c	en
gert	sþghen	gera
hefur	sfg3en	hafa
verið	ssg	vera
.	.	.
Mikilvægt	lhensf	mikilvægur
er	sfg3en	vera
að	c	að
pör	nhfn	par
geti	svg3fn	geta
rætt	ssg	ræða
saman	aa	saman
um	aa	um
hvaða	fsven	hvaða
snerting	nven	snerting
gefur	sfg3en	gefa
góðar	lvfosf	góður
tilfinningar	nvfo	tilfinning
(	(	(
Byers	e	Byers
og	c	og
Demmons	e	Demmons
,	,	,
