landinu	nheþg	land
af	aþ	af
eigin	lveþof	eigin
reynslu	nveþ	reynsla
eða	c	eða
sögnum	nvfþ	sögn
annarra	fokfe	annar
eða	c	eða
bóklestri	nkeþ	bóklestur
.	.	.
29	ta	29
Það	fphen	það
getur	sfg3en	geta
sýnst	ssm	sýna
með	aþ	með
nokkrum	fohfþ	nokkur
ólíkindum	nhfþ	ólíkindi
að	c	að
fólk	nhen	fólk
hlaupi	svg3en	hlaupa
nær	aam	nær
nakið	lhensf	nakinn
út	aa	út
í	ao	í
morgunsárið	nheog	morgunsár
um	ao	um
miðjan	lkeosf	miður
janúar	nkeo	janúar
og	c	og
bjóði	svg3en	bjóða
kuldanum	nkeþg	kuldi
birginn	nkeog	birgir
á	aþ	á
ekki	aa	ekki
skemmri	lveþvm	skammur
stund	nveþ	stund
en	c	en
tekur	sfg3en	taka
að	cn	að
hoppa	sng	hoppa
á	aþ	á
öðrum	fokeþ	annar
fæti	nkeþ	fótur
kringum	ao	kringum
bæjarhús	nhfo	bæjarhús
hvernig	aa	hvernig
sem	c	sem
viðrar	sfg3en	viðra
.	.	.
Ekki	aa	ekki
þyrfti	svg3eþ	þurfa
það	fphen	það
samt	aa	samt
að	cn	að
vera	sng	vera
nein	foven	neinn
frágangssök	nven	frágangssök
í	aþ	í
sjálfu	fbheþ	sjálfur
sér	fpheþ	sig
.	.	.
Menn	nkfn	maður
sváfu	sfg3fþ	sofa
oftast	aae	oft
naktir	lkfnsf	nakinn
í	aþ	í
baðstofunni	nveþg	baðstofa
sem	ct	sem
oft	aa	oft
gat	sfg3eþ	geta
verið	ssg	vera
héluð	lvensf	hélaður
innan	aa	innan
á	ao	á
morgnana	nkfog	morgunn
svo	aa	svo
að	c	að
hitastigið	nheng	hitastig
þar	aa	þar
hefur	sfg3en	hafa
ekki	aa	ekki
verið	ssg	vera
öllu	foheþ	allur
hærra	lhenvm	hár
en	c	en
í	aþ	í
venjulegum	lkeþsf	venjulegur
kæliskáp	nkeþ	kæliskápur
nú	aa	nú
á	aþ	á
dögum	nkfþ	dagur
.	.	.
30	ta	30
Viðbrigðin	nhfng	viðbrigði
að	cn	að
koma	sng	koma
út	aa	út
úr	aþ	úr
bænum	nkeþg	bær
þurftu	sfg3fþ	þurfa
því	fpheþ	það
ekki	aa	ekki
að	cn	að
vera	sng	vera
neitt	fohen	neinn
gífurleg	lhfnsf	gífurlegur
.	.	.
Auk	ae	auk
þess	fphee	það
er	sfg3en	vera
morgunleikfimi	nven	morgunleikfimi
af	aþ	af
þessu	faheþ	þessi
tagi	nheþ	tag
engum	fokeþ	enginn
heilbrigðum	lkeþsf	heilbrigður
manni	nkeþ	maður
óholl	lvensf	óhollur
ef	c	ef
hann	fpken	hann
hleypur	sfg3en	hlaupa
sér	fpkeþ	sig
til	ae	til
hita	nkee	hiti
og	c	og
dúðar	sfg3en	dúða
sig	fpkeo	sig
vel	aa	vel
strax	aa	strax
og	c	og
inn	aa	inn
er	sfg3en	vera
komið	sþghen	koma
svo	aa	svo
að	c	að
ekki	aa	ekki
slái	svg3en	slá
að	aþ	að
honum	fpkeþ	hann
.	.	.
Annað	fohen	annar
mál	nhen	mál
er	sfg3en	vera
hvort	c	hvort
unnt	lhensf	unnt
sé	svg3en	vera
að	cn	að
finna	sng	finna
nokkurn	fokeo	nokkur
upprunalegan	lkeosf	upprunalegur
tilgang	nkeo	tilgangur
í	aþ	í
þesskonar	lheþof	þesskonar
framferði	nheþ	framferði
.	.	.
Það	fphen	það
minnir	sfg3en	minna
ögn	nveo	ögn
á	ao	á
ýmiskonar	lheoof	ýmiskonar
athæfi	nheo	athæfi
sem	ct	sem
iðkað	sþghen	iðka
var	sfg3eþ	vera
og	c	og
er	sfg3en	vera
á	aþ	á
kjötkveðjuhátíðum	nvfþ	kjötkveðjuhátíð
og	c	og
annarri	foveþ	annar
vorgleði	nveþ	vorgleði
sunnar	aam	sunnar
í	aþ	í
Evrópu	nveþ-s	Evrópa
og	c	og
víðar	aam	víða
.	.	.
Umdeilt	lhensf	umdeildur
er	sfg3en	vera
og	c	og
óljóst	lhensf	óljós
hvort	c	hvort
allar	fovfn	allur
þær	favfn	sá
kúnstir	nvfn	kúnst
séu	svg3fn	vera
að	aþ	að
einhverju	foheþ	einhver
leyti	nheþ	leyti
táknrænar	lvfnsf	táknrænn
eða	c	eða
blátt	aa	blátt
áfram	aa	áfram
ungæðislegur	lkensf	ungæðislegur
galsi	nken	galsi
sem	ct	sem
brýst	sfm3en	brjóta
út	aa	út
í	aþ	í
ótal	nhen	ótal
myndum	nvfþ	mynd
.	.	.
Fatafækkun	nven	fatafækkun
og	c	og
jafnvel	aa	jafnvel
nektardans	nken	nektardans
er	sfg3en	vera
meðal	ae	meðal
margra	lhfesf	margur
atvika	nhfe	atvik
sem	ct	sem
fyrir	aa	fyrir
koma	sfg3fn	koma
í	aþ	í
þeim	fakeþ	sá
gleðskap	nkeþ	gleðskapur
.	.	.
Sumir	fokfn	sumur
vilja	sfg3fn	vilja
tengja	sng	tengja
þá	faveo	sá
breytni	nveo	breytni
við	ao	við
hermigaldur	nkeo	hermigaldur
:	:	:
með	aþ	með
því	fpheþ	það
að	cn	að
fletta	sng	fletta
sig	fpkfo	sig
klæðum	nhfþ	klæði
séu	svg3fn	vera
menn	nkfn	maður
að	cn	að
særa	sng	særa
náttúruna	nveog	náttúra
til	ae	til
að	cn	að
varpa	sng	varpa
af	aþ	af
sér	fpveþ	sig
vetrarskrúða	nkeþ	vetrarskrúði
.	.	.
31	ta	31
Hafi	svg3en	hafa
einhver	foken	einhver
vottur	nken	vottur
af	aþ	af
þvílíkri	fbveþ	þvílíkur
náttúrutrú	nveþ	náttúrutrú
fundist	ssm	finna
hér	aa	hér
á	aþ	á
landi	nheþ	land
,	,	,
væri	svg3eþ	vera
ekkert	fohen	enginn
fráleitt	lhensf	fráleitur
að	cn	að
túlka	sng	túlka
hálfnekt	nveo	hálfnekt
bónda	nkee	bóndi
á	aþ	á
fyrsta	lkeþve	fyrstur
morgni	nkeþ	morgunn
þorra	nkee	þorri
sem	ct	sem
leifar	nvfo	leif
af	aþ	af
særingarathöfn	nveþ	særingarathöfn
.	.	.
Á	ao	á
hinn	fakeo	hinn
bóginn	nkeog	bógur
mætti	svg3eþ	mega
einnig	aa	einnig
líta	sng	líta
á	ao	á
framferði	nheo	framferði
hans	fpkee	hann
sem	c	sem
auðmýkingarvott	nkeo	auðmýkingarvottur
til	ae	til
að	cn	að
undirstrika	sng	undirstrika
þau	fahfo	sá
fögru	lhfovf	fagur
tilmæli	nhfo	tilmæli
,	,	,
að	c	að
Þorri	nken-s	Þorri
yrði	svg3eþ	verða
,	,	,
sér	fpkeþ	sig
og	c	og
sínum	fekfþ	sinn
léttur	lkensf	léttur
og	c	og
ekki	aa	ekki
skaðsamur	lkensf	skaðsamur
.	.	.
'	'	'
Annars	aa	annars
minnir	sfg3en	minna
þessi	faven	þessi
lýsing	nven	lýsing
á	aþ	á
hoppi	nheþ	hopp
bónda	nkee	bóndi
kringum	ao	kringum
bæinn	nkeog	bær
ekki	aa	ekki
lítið	aa	lítið
á	ao	á
viss	lhfosf	viss
atriði	nhfo	atriði
í	aþ	í
baðsiðum	nkfþ	baðsiður
Norðurlandabúa	nkfe-s	Norðurlandabúi
fyrr	aam	fyrr
og	c	og
síðar	aam	síðar
.	.	.
Reglulegar	lvfnsf	reglulegur
baðferðir	nvfn	baðferð
voru	sfg3fþ	vera
eitt	foheo	einn
sinn	nheo	sinn
taldar	sþgvfn	telja
sjálfsagður	lkensf	sjálfsagður
þáttur	nken	þáttur
í	aþ	í
þrifnaði	nkeþ	þrifnaður
sem	aa	sem
og	c	og
líkamlegri	lveþsf	líkamlegur
og	c	og
andlegri	lveþsf	andlegur
heilsugæslu	nveþ	heilsugæsla
.	.	.
Var	sfg3eþ	vera
þá	aa	þá
að	aþ	að
jafnaði	nkeþ	jafnaður
farið	sþghen	fara
í	ao	í
bað	nheo	bað
einu	tfheþ	einn
sinni	nheþ	sinn
í	aþ	í
viku	nveþ	vika
á	aþ	á
laugardegi	nkeþ	laugardagur
(	(	(
þvottdegi	nkeþ	þvottdagur
)	)	)
en	c	en
auk	ae	auk
þess	fphee	það
fyrir	ao	fyrir
aðra	fokfo	annar
hátíðis-	nkfo	hátíðisdagur
og	c	og
helgidaga	nkfo	helgidagur
og	c	og
ekki	aa	ekki
síst	aae	síður
áður	aa	áður
eða	c	eða
um	ao	um
leið	nveo	leið
og	c	og
sest	sþmhen	setja
var	sfg3eþ	vera
að	aþ	að
drykkju	nveþ	drykkja
eða	c	eða
annarri	foveþ	annar
skemmtan	nveþ	skemmtan
.	.	.
Slíkt	fbhen	slíkur
hefði	svg3eþ	hafa
hæglega	aa	hæglega
getað	ssg	geta
átt	ssg	eiga
sér	fpheþ	sig
stað	nkeo	staður
í	aþ	í
tengslum	nhfþ	tengsl
við	ao	við
þorrafagnað	nkeo	þorrafagnaður
í	aþ	í
heimahúsum	nhfþ	heimahús
.	.	.
Alkunnur	lkensf	alkunnur
liður	nken	liður
í	aþ	í
sambandi	nheþ	samband
við	ao	við
gufubað	nheo	gufubað
var	sfg3eþ	vera
og	c	og
er	sfg3en	vera
að	cn	að
kæla	sng	kæla
sig	fpkeo	sig
öðru	foheþ	annar
hverju	foheþ	hver
með	aþ	með
því	fpheþ	það
að	cn	að
hlaupa	sng	hlaupa
nakinn	lkensf	nakinn
út	aa	út
úr	aþ	úr
baðstofunni	nveþg	baðstofa
og	c	og
velta	sng	velta
sér	fpkeþ	sig
í	aþ	í
snjó	nkeþ	snjór
ellegar	c	ellegar
busla	sng	busla
í	aþ	í
nálægum	lkeþsf	nálægur
læk	nkeþ	lækur
eða	c	eða
vatni	nheþ	vatn
.	.	.
Þessi	faken	þessi
baðháttur	nken	baðháttur
sem	ct	sem
í	aþ	í
Danmörku	nveþ-s	Danmörk
,	,	,
Noregi	nkeþ-s	Noregur
og	c	og
Svíþjóð	nveþ-s	Svíþjóð
varð	sfg3eþ	verða
fyrir	aþ	fyrir
barði	nheþ	barð
kirkjunnar	nveeg	kirkja
á	aþ	á
16.	ta	16.
öld	nveþ	öld
,	,	,
er	sfg3en	vera
enn	aa	enn
alþekktur	lkensf	alþekktur
í	aþ	í
Finnlandi	nheþ-s	Finnland
eins	aa	eins
og	c	og
flestir	lkfnse	margur
vita	sfg3fn	vita
.	.	.
Ekki	aa	ekki
er	sfg3en	vera
unnt	lhensf	unnt
að	cn	að
segja	sng	segja
með	aþ	með
neinni	foveþ	neinn
vissu	nveþ	vissa
,	,	,
hvenær	aa	hvenær
draga	sng	draga
tók	sfg3eþ	taka
úr	aþ	úr
þesskonar	lvfþof	þesskonar
baðferðum	nvfþ	baðferð
á	aþ	á
Íslandi	nheþ-s	Ísland
,	,	,
en	c	en
það	fphen	það
mun	sfg3en	munu
þó	aa	þó
almennt	aa	almennt
hafa	sng	hafa
verið	ssg	vera
fyrr	aam	fyrr
en	c	en
annarstaðar	aa	annarstaðar
á	aþ	á
Norðurlöndum	nhfþ-s	Norðurlönd
.	.	.
Hefur	sfg3en	hafa
þar	aa	þar
annars	fokee	annar
vegar	nkee	vegur
valdið	ssg	valda
sparsemi	nven	sparsemi
á	ao	á
eldivið	nkeo	eldiviður
vegna	ae	vegna
eyðingar	nvee	eyðing
skóga	nkfe	skógur
,	,	,
sem	ct	sem
varð	sfg3eþ	verða
æ	aa	æ
ískyggilegri	lvenvm	ískyggilegur
eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
leið	sfg3eþ	líða
á	ao	á
miðaldir	nvfo	miðöld
,	,	,
og	c	og
hinsvegar	aa	hinsvegar
þeir	fakfn	sá
sérstöku	lkfnvf	sérstakur
landkostir	nkfn	landkostir
,	,	,
að	c	að
víða	aa	víða
fundust	sfm3fþ	finna
heitar	lvfnsf	heitur
uppsprettur	nvfn	uppspretta
,	,	,
laugar	nvfn	laug
og	c	og
jafnvel	aa	jafnvel
náttúrleg	lhfnsf	náttúrlegur
gufuböð	nhfn	gufubað
,	,	,
sem	ct	sem
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
voldugri	lkfnvm	voldugur
menn	nkfn	maður
gátu	sfg3fþ	geta
leyft	ssg	leyfa
sér	fpkfþ	sig
að	cn	að
gera	sng	gera
ferðir	nvfo	ferð
til	aa	til
og	c	og
nýta	sng	nýta
.	.	.
Hvað	fshen	hver
sem	ct	sem
því	fpheþ	það
líður	sfg3en	líða
verður	sfg3en	verða
að	cn	að
telja	sng	telja
líklegt	lhensf	líklegur
,	,	,
að	c	að
baðstofur	nvfn	baðstofa
í	aþ	í
merkingunni	nveþg	merking
baðhús	nhfn	baðhús
hafi	svg3en	hafa
verið	ssg	vera
til	aa	til
á	aþ	á
Íslandi	nheþ-s	Ísland
eigi	aa	eigi
skemur	aam	skammt
en	c	en
fram	aa	fram
á	ao	á
15.	ta	15.
öld	nveo	öld
.	.	.
32	ta	32
Munnmæli	nhfn	munnmæli
kunna	sfg3fn	kunna
að	cn	að
hafa	sng	hafa
lifað	ssg	lifa
kynslóðum	nvfþ	kynslóð
saman	aa	saman
um	ao	um
hlaup	nhfo	hlaup
manna	nkfe	maður
úr	aþ	úr
baðstofum	nvfþ	baðstofa
út	aa	út
í	ao	í
snjó	nkeo	snjór
fyrr	aam	fyrr
á	aþ	á
tímum	nkfþ	tími
.	.	.
Einstaka	lkenof	einstaka
maður	nken	maður
hefði	svg3eþ	hafa
jafnvel	aa	jafnvel
getað	ssg	geta
hermt	ssg	herma
þetta	faheo	þessi
eftir	aa	eftir
til	ae	til
gamans	nhee	gaman
löngu	lheþsf	langur
síðar	aam	síðar
með	aþ	með
því	fpheþ	það
að	cn	að
hoppa	sng	hoppa
kringum	ao	kringum
bæinn	nkeog	bær
án	ae	án
þess	fphee	það
að	cn	að
hafa	sng	hafa
verið	ssg	vera
í	aþ	í
baði	nheþ	bað
.	.	.
Síðan	aa	síðan
kynni	svg3eþ	kunna
þessi	faven	þessi
sögn	nven	sögn
að	cn	að
hafa	sng	hafa
lifað	ssg	lifa
og	c	og
þróast	ssm	þróa
í	aþ	í
munnmælum	nhfþ	munnmæli
frá	aþ	frá
einni	foveþ	einn
kynslóð	nveþ	kynslóð
til	ae	til
annarrar	fovee	annar
,	,	,
jafnvel	aa	jafnvel
á	aþ	á
afmörkuðu	lheþsf	afmarkaður
svæði	nheþ	svæði
,	,	,
uns	c	uns
hún	fpven	hún
var	sfg3eþ	vera
bókfest	sþgven	bókfesta
um	ao	um
miðja	lveosf	miður
19.	ta	19.
öld	nveo	öld
og	c	og
varð	sfg3eþ	verða
um	ao	um
leið	nveo	leið
rúmheilagur	lkensf	rúmheilagur
stórisannleikur	nken	stórisannleikur
.	.	.
Hafi	svg3en	hafa
Þorra	nkeþ-s	Þorri
verið	ssg	vera
fagnað	sþghen	fagna
í	aþ	í
heimahúsum	nhfþ	heimahús
á	aþ	á
miðöldum	nvfþ	miðöld
eins	aa	eins
og	c	og
hér	aa	hér
er	sfg3en	vera
talið	sþghen	telja
sennilegast	lhense	sennilegur
,	,	,
var	sfg3eþ	vera
ekki	aa	ekki
nema	c	nema
eðlilegt	lhensf	eðlilegur
að	c	að
honum	fpkeþ	hann
hefði	svg3eþ	hafa
með	aþ	með
táknrænum	lkeþsf	táknrænn
hætti	nkeþ	háttur
verið	ssg	vera
boðið	sþghen	bjóða
inn	aa	inn
í	ao	í
baðstofuhitann	nkeog	baðstofuhiti
strax	aa	strax
um	ao	um
kvöldið	nheog	kvöld
þar	aa	þar
sem	c	sem
menn	nkfn	maður
bökuðu	sfg3fþ	baka
sig	fpkfo	sig
og	c	og
drukku	sfg3fþ	drekka
full	nheo	full
hans	fpkee	hann
;	;	;
þess	fphee	það
á	aa	á
milli	aa	milli
hafi	svg3en	hafa
menn	nkfn	maður
hlaupið	ssg	hlaupa
naktir	lkfnsf	nakinn
eða	c	eða
fáklæddir	lkfnsf	fáklæddur
út	aa	út
úr	aþ	úr
baðstofunni	nveþg	baðstofa
til	ae	til
að	cn	að
kæla	sng	kæla
sig	fpkfo	sig
.	.	.
Þá	aa	þá
hlaut	sfg3eþ	hljóta
einn	tfken	einn
hringur	nken	hringur
um	ao	um
bæjarhúsin	nhfog	bæjarhús
að	cn	að
geta	sng	geta
talist	ssm	telja
sæmilegur	lkensf	sæmilegur
sprettur	nken	sprettur
.	.	.
Vel	aa	vel
má	sfg3en	mega
vera	sng	vera
að	c	að
húsbóndinn	nkeng	húsbóndi
eða	c	eða
annar	foken	annar
af	aþ	af
fyrirmönnum	nkfþ	fyrirmaður
heimilisins	nheeg	heimili
hafi	svg3en	hafa
ráðið	ssg	ráða
ferðinni	nveþg	ferð
.	.	.
Það	fphen	það
gat	sfg3eþ	geta
svo	aa	svo
verið	ssg	vera
undir	aþ	undir
ýmsu	foheþ	ýmis
komið	sþghen	koma
,	,	,
hversu	aa	hversu
langt	aa	langt
var	sfg3eþ	vera
liðið	sþghen	líða
á	ao	á
nótt	nveo	nótt
eða	c	eða
morgun	nkeo	morgunn
,	,	,
þegar	c	þegar
síðasta	lhenve	síðari
skeiðið	nheng	skeið
var	sfg3eþ	vera
runnið	sþghen	renna
.	.	.
Þvílíkar	fbvfn	þvílíkur
gætu	svg3fþ	geta
verið	ssg	vera
rætur	nvfn	rót
munnmæla	nhfe	munnmæli
um	ao	um
hlaup	nhfo	hlaup
og	c	og
hopp	nhfo	hopp
bænda	nkfe	bóndi
kringum	ao	kringum
bæinn	nkeog	bær
sem	ct	sem
Jón	nken-s	Jón
Árnason	nken-s	Árnason
lætur	sfg3en	láta
prenta	sng	prenta
árið	nheog	ár
1864	ta	1864
.	.	.
Bændaveislur	nvfn	bændaveisla
Enn	aa	enn
tortryggilegri	lhfnvm	tortryggilegur
eru	sfg3fn	vera
þau	fahfn	sá
ummæli	nhfn	ummæli
hjá	aþ	hjá
Jóni	nkeþ-s	Jón
Árnasyni	nkeþ-s	Árnason
að	c	að
bóndi	nken	bóndi
ætti	svg3eþ	eiga
að	cn	að
halda	sng	halda
öðrum	fokfþ	annar
bændum	nkfþ	bóndi
úr	aþ	úr
byggðarlaginu	nheþg	byggðarlag
veislu	nveo	veisla
fyrsta	lkeove	fyrstur
þorradag	nkeo	þorradagur
.	.	.
Í	aþ	í
fyrsta	lheþve	fyrstur
lagi	nheþ	lag
er	sfg3en	vera
það	fphen	það
tæknilega	aa	tæknilega
ógerlegt	lhensf	ógerlegur
að	c	að
hver	foken	hver
bóndi	nken	bóndi
í	aþ	í
heilu	lheþsf	heill
byggðarlagi	nheþ	byggðarlag
haldi	svg3en	halda
öllum	fokfþ	allur
hinum	fakfþ	hinn
veislu	nveo	veisla
á	aþ	á
sama	fbkeþ	sami
degi	nkeþ	dagur
.	.	.
Annaðhvort	c	annaðhvort
verður	sfg3en	verða
að	cn	að
gera	sng	gera
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
bændur	nkfn	bóndi
hafi	svg3fn	hafa
skipst	ssm	skipta
á	aþ	á
þessu	faheþ	þessi
veisluhaldi	nheþ	veisluhald
frá	aþ	frá
ári	nheþ	ár
til	ae	til
árs	nhee	ár
eða	c	eða
degi	nkeþ	dagur
til	ae	til
dags	nkee	dagur
ellegar	c	ellegar
hér	aa	hér
sé	svg3en	vera
átt	sþghen	eiga
við	ao	við
bónda	nkeo	bóndi
í	aþ	í
merkingu	nveþ	merking
14.	ta	14.
og	c	og
15.	ta	15.
aldar	nvee	öld
þegar	c	þegar
það	fphen	það
virðist	sfm3en	virða
einna	fohfe	einn
helst	aae	heldur
merkja	sfg3fn	merkja
landeiganda	nkeo	landeigandi
,	,	,
stórbónda	nkeo	stórbóndi
eða	c	eða
óðalsbónda	nkeo	óðalsbóndi
.	.	.
Í	aþ	í
öðru	lheþsf	öðr
lagi	nheþ	lag
er	sfg3en	vera
það	fphen	það
með	aþ	með
ólíkindum	nhfþ	ólíkindi
að	c	að
engar	fovfn	enginn
aðrar	fovfn	annar
spurnir	nvfn	spurn
væru	svg3fþ	vera
af	aþ	af
slíkum	fbkeþ	slíkur
árlegum	lkeþsf	árlegur
fagnaði	nkeþ	fagnaður
,	,	,
sem	ct	sem
ekki	aa	ekki
gat	sfg3eþ	geta
verið	ssg	vera
neitt	fohen	neinn
innanhússmál	nhen	innanhússmál
hjá	aþ	hjá
einstökum	lvfþsf	einstakur
fjölskyldum	nvfþ	fjölskylda
og	c	og
heimilum	nhfþ	heimili
.	.	.
Loks	aa	loks
má	sfg3en	mega
spyrja	sng	spyrja
hversu	aa	hversu
mikil	lhfosf	mikill
föng	nhfo	fang
menn	nkfn	maður
hafi	svg3fn	hafa
að	aþ	að
jafnaði	nkeþ	jafnaður
átt	ssg	eiga
um	ao	um
miðjan	lkeosf	miður
vetur	nkeo	vetur
til	ae	til
að	cn	að
halda	sng	halda
nágrönnum	nkfþ	nágranni
meiri	lkeevm	mikill
háttar	nkee	háttur
veislu	nveo	veisla
og	c	og
það	fphen	það
svo	aa	svo
skömmu	lheþsf	skammur
eftir	ao	eftir
jólamatarglaðninginn	nkeog	jólamatarglaðningur
.	.	.
Til	ae	til
að	c	að
fyrrnefnd	lhfnsf	fyrrnefndur
orð	nhfn	orð
Jóns	nkee-s	Jón
Árnasonar	nkee-s	Árnason
gætu	svg3fþ	geta
gengið	ssg	ganga
upp	aa	upp
þyrfti	svg3eþ	þurfa
helst	aae	heldur
að	cn	að
líta	sng	líta
á	ao	á
þau	fphfo	það
sem	c	sem
arfsögn	nveo	arfsögn
frá	aþ	frá
15.	ta	15.
og	c	og
16.	ta	16.
öld	nveþ	öld
þegar	c	þegar
talsvert	aa	talsvert
var	sfg3eþ	vera
til	aa	til
af	aþ	af
auðugum	lkfþsf	auðugur
óðalsbændum	nkfþ	óðalsbóndi
,	,	,
sem	ct	sem
bárust	sfm3fþ	bera
mikið	aa	mikið
á	aa	á
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
einnig	aa	einnig
óvenjumikið	lhensf	óvenjumikill
flutt	sþghen	flytja
inn	aa	inn
af	aþ	af
öli	nheþ	öl
,	,	,
víni	nheþ	vín
og	c	og
öðrum	fovfþ	annar
munaðarvörum	nvfþ	munaðarvara
vegna	ae	vegna
hinnar	gvee	hinn
hagkvæmu	lveevf	hagkvæmur
verslunar	nvee	verslun
við	ao	við
Englendinga	nkfo-s	Englendingur
og	c	og
Þjóðverja	nkfo-s	Þjóðverji
.	.	.
Kirkjan	nveng	kirkja
og	c	og
önnur	fohfn	annar
yfirvöld	nhfn	yfirvald
á	aþ	á
síðmiðöldum	nvfþ	síðmiðaldir
voru	sfg3fþ	vera
fremur	aam	fremur
mild	lhfnsf	mildur
og	c	og
afskiptalítil	lhfnsf	afskiptalítill
gagnvart	aþ	gagnvart
þjóðlegum	lvfþsf	þjóðlegur
venjum	nvfþ	venja
.	.	.
Hvað	fshen	hver
hugsanlegar	lvfosf	hugsanlegur
stórveislur	nvfo	stórveisla
bænda	nkfe	bóndi
snertir	sfg3en	snerta
verða	sfg3fn	verða
samt	aa	samt
getgátur	nvfn	getgáta
einar	lvfnsf	einn
að	cn	að
nægja	sng	nægja
vegna	ae	vegna
þess	fphee	það
hve	aa	hve
lítið	lhensf	lítill
er	sfg3en	vera
varðveitt	sþghfn	varðveita
af	aþ	af
rituðum	lvfþsf	ritaður
samtímaheimildum	nvfþ	samtímaheimild
frá	aþ	frá
þessum	favfþ	þessi
öldum	nvfþ	öld
.	.	.
33	ta	33
Veitingar	nvfn	veiting
og	c	og
skemmtun	nven	skemmtun
Ekki	aa	ekki
var	sfg3eþ	vera
bóndi	nken	bóndi
almennt	aa	almennt
talinn	sþgken	telja
aðgerðalítill	lkensf	aðgerðalítill
þennan	fakeo	þessi
dag	nkeo	dagur
þótt	c	þótt
honum	fpkeþ	hann
væri	svg3eþ	vera
vel	aa	vel
veitt	sþghen	veita
.	.	.
Sumstaðar	aa	sumstaðar
bar	sfg3eþ	bera
honum	fpkeþ	hann
jafnvel	aa	jafnvel
skylda	nven	skylda
til	ae	til
að	cn	að
leggja	sng	leggja
matinn	nkeog	matur
sérstaklega	aa	sérstaklega
til	aa	til
,	,	,
,	,	,
fara	sng	fara
í	ao	í
rótina	nveog	rót
'	'	'
eða	c	eða
,	,	,
hjallinn	nkeog	hjallur
'	'	'
,	,	,
brytja	sng	brytja
kjötið	nheog	kjöt
sjálfur	fbken	sjálfur
og	c	og
jafnvel	aa	jafnvel
skammta	sng	skammta
það	fpheo	það
.	.	.
Einkum	aa	einkum
á	sfg3en	eiga
þetta	fahen	þessi
við	aa	við
um	ao	um
Suðurland	nheo-s	Suðurland
.	.	.
34	ta	34
Tveir	tfkfn	tveir
heimildarmenn	nkfn	heimildarmaður
bæta	sfg3fn	bæta
því	fpheþ	það
við	aa	við
að	c	að
bóndi	nken	bóndi
yrði	svg3eþ	verða
látinn	sþgken	láta
sitja	sng	sitja
klofvega	aa	klofvega
á	aþ	á
bæjarburstinni	nveþg	bæjarburst
myrkranna	nhfeg	myrkur
milli	ae	milli
daginn	nkeog	dagur
þann	fakeo	sá
ef	c	ef
hann	fpken	hann
brygðist	svm3eþ	bregða
þessari	faveþ	þessi
skyldu	nveþ	skylda
.	.	.
35	ta	35
Hátíðamaturinn	nkengs	Hátíðamatur
þennan	fakeo	þessi
dag	nkeo	dagur
var	sfg3eþ	vera
auðvitað	aa	auðvitað
mestanpart	aa	mestanpart
alstaðar	aa	alstaðar
hinn	gken	hinn
sami	fbken	sami
og	c	og
yfirleitt	aa	yfirleitt
var	sfg3eþ	vera
kostur	nken	kostur
á	aþ	á
að	aþ	að
vetrarlagi	nheþ	vetrarlag
.	.	.
Einna	fohfe	einn
elst	lvense	gamall
er	sfg3en	vera
lýsing	nven	lýsing
áðurnefnds	lkeesf	áðurnefndur
Árna	nkee-s	Árni
Sigurðssonar	nkee-s	Sigurðsson
úr	aþ	úr
Breiðdal	nkeþ-s	Breiðdalur
frá	aþ	frá
miðri	lveþsf	miður
19.	ta	19.
öld	nveþ	öld
en	c	en
hann	fpken	hann
segir	sfg3en	segja
um	ao	um
matarvenjur	nvfo	matarvenja
á	aþ	á
fyrsta	lkeþve	fyrstur
degi	nkeþ	dagur
þorra	nkee	þorri
og	c	og
góu	nvee	góa
:	:	:
Báða	fokfo	báðir
þessa	fakfo	þessi
daga	nkfo	dagur
var	sfg3eþ	vera
almennt	aa	almennt
skammtaður	sþgken	skammta
meiri	lkenvm	mikill
og	c	og
betri	lkenvm	góður
matur	nken	matur
en	c	en
endranær	aa	endranær
:	:	:
Hangið	lhensf	hanginn
kjöt	nhen	kjöt
,	,	,
súr	lhfnsf	súr
svið	nhfn	svið
og	c	og
brauð	nhen	brauð
,	,	,
svo	aa	svo
og	c	og
gefið	ssg	gefa
kaffi	nhen	kaffi
og	c	og
brauð	nhen	brauð
með	aa	með
.	.	.
36	ta	36
Segja	sng	segja
má	sfg3en	mega
að	c	að
þessi	faven	þessi
upptalning	nven	upptalning
eigi	svg3en	eiga
í	aþ	í
stórum	lkfþsf	stór
dráttum	nkfþ	dráttur
við	aa	við
um	ao	um
lýsingar	nvfo	lýsing
flestra	lkfese	margur
heimildamanna	nkfe	heimildamaður
fram	aa	fram
um	ao	um
1920	ta	1920
.	.	.
Þó	aa	þó
taka	sfg3fn	taka
margir	lkfnsf	margur
að	cn	að
nefna	sng	nefna
saltkjöt	nheo	saltkjöt
þegar	c	þegar
á	aa	á
líður	sfg3en	líða
,	,	,
og	c	og
stöku	lhfþof	stöku
sinnum	nhfþ	sinn
kálfasteik	nveo	kálfasteik
ef	c	ef
kýr	nven	kýr
var	sfg3eþ	vera
nýlega	aa	nýlega
borin	sþgven	bera
.	.	.
