fáeina	fokfo	fáeinir
gerist	sfm3en	gera
því	aa	því
ég	fp1en	ég
lagði	sfg1eþ	leggja
áherslu	nveo	áhersla
á	ao	á
að	cn	að
kenna	sng	kenna
þeim	fphfþ	það
sjálf	fbven	sjálfur
að	cn	að
lesa	sng	lesa
og	c	og
skrifa	sng	skrifa
.	.	.
Síðan	aa	síðan
varð	sfg1eþ	verða
ég	fp1en	ég
að	cn	að
senda	sng	senda
þau	fphfo	það
í	ao	í
Reykjanes	nheo-s	Reykjanes
.	.	.
Þau	fphfn	það
fengu	sfg3fþ	fá
að	cn	að
koma	sng	koma
heim	aa	heim
um	ao	um
jól	nhfo	jól
og	c	og
páska	nkfo	páskar
en	c	en
voru	sfg3fþ	vera
í	aa	í
burtu	aa	burtu
mestallan	fokeo	mestallur
veturinn	nkeog	vetur
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
tómlegt	lhensf	tómlegur
heima	aa	heima
á	aþ	á
Laugabóli	nheþ-s	Laugaból
.	.	.
Aðeins	aa	aðeins
ég	fp1en	ég
,	,	,
vinnumaður	nken	vinnumaður
og	c	og
Gunna	nven-s	Gunna
gamla	lvenvf	gamall
sem	ct	sem
var	sfg3eþ	vera
komin	sþgven	koma
yfir	ao	yfir
áttrætt	lheosf	áttræður
og	c	og
þurfti	sfg3eþ	þurfa
gæslu	nveo	gæsla
til	ae	til
að	cn	að
fara	sng	fara
sér	fpveþ	sig
ekki	aa	ekki
að	aþ	að
voða	nkeþ	voði
.	.	.
Þegar	c	þegar
börnin	nhfng	barn
komust	sfm3fþ	koma
á	ao	á
legg	nkeo	leggur
tíndust	sfm3fþ	tína
þau	fphfn	það
í	aa	í
burtu	aa	burtu
eitt	fohen	einn
af	aþ	af
öðru	foheþ	annar
.	.	.
Að	aþ	að
vetrinum	nkeþg	vetur
fóru	sfg3fþ	fara
þau	fphfn	það
að	aa	að
heiman	aa	heiman
til	ae	til
náms	nhee	nám
í	ao	í
barnaskóla	nkeo	barnaskóli
og	c	og
síðan	aa	síðan
í	ao	í
framhaldsskóla	nkeo	framhaldsskóli
og	c	og
þaðan	aa	þaðan
á	ao	á
vinnumarkaðinn	nkeog	vinnumarkaður
.	.	.
Oft	aa	oft
var	sfg3eþ	vera
dauflegt	lhensf	dauflegur
á	aþ	á
Laugabóli	nheþ-s	Laugaból
þegar	c	þegar
veturinn	nkeng	vetur
gekk	sfg3eþ	ganga
í	ao	í
garð	nkeo	garður
og	c	og
börnin	nhfng	barn
voru	sfg3fþ	vera
öll	fohfn	allur
að	aa	að
heiman	aa	heiman
.	.	.
Guðjón	nken-s	Guðjón
vinnumaður	nken	vinnumaður
fór	sfg3eþ	fara
líka	aa	líka
um	ao	um
veturinn	nkeog	vetur
og	c	og
hélt	sfg3eþ	halda
þá	aa	þá
til	aa	til
í	aþ	í
Hafnarfirði	nkeþ-s	Hafnarfjörður
hjá	aþ	hjá
Rebekku	nveþ-s	Rebekka
.	.	.
Stundum	aa	stundum
voru	sfg3fþ	vera
Ragna	nven-s	Ragna
og	c	og
Gunna	nven-s	Gunna
aðeins	aa	aðeins
tvær	tfvfn	tveir
á	aþ	á
bænum	nkeþg	bær
og	c	og
þá	aa	þá
var	sfg3eþ	vera
lítið	lhensf	lítill
um	ao	um
að	cn	að
vera	sng	vera
annað	fohen	annar
en	c	en
að	cn	að
hlusta	sng	hlusta
á	ao	á
útvarp	nheo	útvarp
og	c	og
sinna	sng	sinna
skepnunum	nvfþg	skepna
.	.	.
Bella	nven-s	Bella
var	sfg3eþ	vera
að	cn	að
verða	sng	verða
átján	tfhfe	átján
ára	nhfe	ár
og	c	og
farin	sþgven	fara
í	ao	í
vinnu	nveo	vinna
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
rétt	aa	rétt
eins	aa	eins
og	c	og
Ragna	nven-s	Ragna
gerði	sfg3eþ	gera
á	aþ	á
sínum	fekeþ	sinn
tíma	nkeþ	tími
.	.	.
Ragna	nven-s	Ragna
hugsaði	sfg3eþ	hugsa
stundum	aa	stundum
með	aþ	með
sér	fpveþ	sig
að	c	að
margt	lhensf	margur
væri	svg3eþ	vera
líkt	aa	líkt
með	aþ	með
þeim	favfþ	sá
mæðgum	nvfþ	mæðgur
en	c	en
meiri	lkenvm	mikill
óróleiki	nken	óróleiki
var	sfg3eþ	vera
í	aþ	í
Bellu	nveþ-s	Bella
.	.	.
Í	aþ	í
skammdeginu	nheþg	skammdegi
og	c	og
einsemdinni	nveþg	einsemd
læddist	sfm3eþ	læða
stundum	aa	stundum
óyndi	nhen	óyndi
og	c	og
depurð	nven	depurð
að	aþ	að
Rögnu	nveþ-s	Ragna
og	c	og
hún	fpven	hún
beitti	sfg3eþ	beita
sig	fpveo	sig
hörðu	lheþsf	harður
til	ae	til
að	cn	að
rífa	sng	rífa
sig	fpveo	sig
upp	aa	upp
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
vinnan	nveng	vinna
meðalið	nheng	meðal
til	ae	til
að	cn	að
öðlast	snm	öðlast
á	aa	á
ný	aa	ný
trú	nveo	trú
á	ao	á
tilveruna	nveog	tilvera
.	.	.
Hugur	nken	hugur
hennar	fpvee	hún
reikaði	sfg3eþ	reika
gjarnan	aa	gjarnan
til	ae	til
þeirra	fakfe	sá
tíma	nkfe	tími
þegar	c	þegar
hún	fpven	hún
var	sfg3eþ	vera
að	cn	að
alast	snm	ala
upp	aa	upp
á	aþ	á
Laugabóli	nheþ-s	Laugaból
við	ao	við
allt	fohen	allur
önnur	fohfo	annar
lífsskilyrði	nhfo	lífsskilyrði
.	.	.
Nú	aa	nú
voru	sfg3fþ	vera
öll	fohfn	allur
bústörfin	nhfng	bústarf
léttari	lhfnvm	léttur
en	c	en
samt	aa	samt
var	sfg3eþ	vera
fólkið	nheng	fólk
á	aþ	á
förum	nvfþ	för
og	c	og
stöðugt	aa	stöðugt
fækkaði	sfg3eþ	fækka
í	aþ	í
Ísafjarðardjúpi	nheþ-s	Ísafjarðardjúp
.	.	.
Rögnu	nveþ-s	Ragna
þótti	sfg3eþ	þykja
einsýnt	lhensf	einsýnn
að	c	að
það	fphen	það
færi	svg3eþ	fara
fyrir	aþ	fyrir
sveitinni	nveþg	sveit
hennar	fpvee	hún
eins	aa	eins
og	c	og
byggðinni	nveþg	byggð
í	aþ	í
Grunnavíkurhreppi	nkeþ-s	Grunnavíkurhreppur
við	ao	við
norðanvert	lheosf	norðanverður
Ísafjarðardjúp	nheo-s	Ísafjarðardjúp
þaðan	aa	þaðan
sem	c	sem
allir	fokfn	allur
fluttu	sfg3fþ	flytja
í	aa	í
burtu	aa	burtu
.	.	.
Eitt	foheo	einn
sinn	nheo	sinn
hafði	sfg3eþ	hafa
verið	ssg	vera
blómleg	lvensf	blómlegur
byggð	nven	byggð
á	aþ	á
Hesteyri	nveþ-s	Hesteyri
en	c	en
nú	aa	nú
voru	sfg3fþ	vera
allir	fokfn	allur
farnir	sþgkfn	fara
.	.	.
Á	aþ	á
Ögurnesi	nheþ-s	Ögurnes
hafði	sfg3eþ	hafa
verið	ssg	vera
vísir	nken	vísir
að	aþ	að
þorpi	nheþ	þorp
en	c	en
nú	aa	nú
var	sfg3eþ	vera
þar	aa	þar
enginn	foken	enginn
.	.	.
Þetta	fahen	þessi
var	sfg3eþ	vera
ekki	aa	ekki
gæfuleg	lvensf	gæfulegur
þróun	nven	þróun
og	c	og
verst	lhense	verri
af	aþ	af
öllu	foheþ	allur
að	c	að
hún	fpven	hún
var	sfg3eþ	vera
ekki	aa	ekki
viss	lvensf	viss
um	ao	um
að	c	að
neitt	fohen	neinn
barnanna	nhfeg	barn
hennar	fpvee	hún
myndi	svg3eþ	munu
taka	sng	taka
við	aþ	við
Laugabóli	nheþ-s	Laugaból
.	.	.
Öll	fohfn	allur
höfðu	sfg3fþ	hafa
þau	fphfn	það
Bella	nven-s	Bella
,	,	,
Garðar	nken-s	Garðar
Smári	nken-s	Smári
og	c	og
Bjarki	nken-s	Bjarki
sýnt	ssg	sýna
því	fpheþ	það
áhuga	nkeo	áhugi
að	cn	að
stunda	sng	stunda
búskap	nkeo	búskapur
en	c	en
Rögnu	nveþ-s	Ragna
fannst	sfm3eþ	finna
þó	aa	þó
líklegast	lhense	líklegur
að	c	að
það	fphen	það
yrði	svg3eþ	verða
Bjarki	nken-s	Bjarki
sem	ct	sem
tæki	svg3eþ	taka
við	aa	við
af	aþ	af
henni	fpveþ	hún
en	c	en
hann	fpken	hann
var	sfg3eþ	vera
aðeins	aa	aðeins
níu	tfhfe	níu
ára	nhfe	ár
og	c	og
ekki	aa	ekki
gott	lhensf	góður
að	cn	að
átta	sng	átta
sig	fpkeo	sig
á	aþ	á
því	fpheþ	það
hvert	aa	hvert
hugur	nken	hugur
hans	fpkee	hann
stefndi	svg3eþ	stefna
.	.	.
Í	aþ	í
desember	nkeþ	desember
1972	ta	1972
varð	sfg3eþ	verða
sú	faven	sá
bylting	nven	bylting
að	c	að
sjónvarp	nhen	sjónvarp
kom	sfg3eþ	koma
að	aþ	að
Laugabóli	nheþ-s	Laugaból
.	.	.
Það	fphen	það
varð	sfg3eþ	verða
góð	lvensf	góður
dægrastytting	nven	dægrastytting
á	aþ	á
löngum	lhfþsf	langur
vetrarkvöldum	nhfþ	vetrarkvöld
og	c	og
stuggaði	sfg3eþ	stugga
í	aa	í
burtu	aa	burtu
mestu	lveþve	mikill
einsemdinni	nveþg	einsemd
.	.	.
Sumarið	nheog	sumar
1974	ta	1974
var	sfg3eþ	vera
mikið	aa	mikið
um	ao	um
framkvæmdir	nvfo	framkvæmd
á	aþ	á
Laugabóli	nheþ-s	Laugaból
.	.	.
Fjárhús	nhfn	fjárhús
voru	sfg3fþ	vera
reist	sþghfn	reisa
og	c	og
Ragna	nven-s	Ragna
lagði	sfg3eþ	leggja
í	ao	í
það	faheo	sá
stórvirki	nheo	stórvirki
að	cn	að
láta	sng	láta
leggja	sng	leggja
veg	nkeo	vegur
fram	aa	fram
í	ao	í
Efstadal	nkeo-s	Efstidalur
,	,	,
sjö	tfkfe	sjö
kílómetra	nkfe	kílómetri
leið	nveo	leið
.	.	.
Þetta	fahen	þessi
var	sfg3eþ	vera
nauðsynlegt	lhensf	nauðsynlegur
til	ae	til
að	cn	að
geta	sng	geta
farið	ssg	fara
með	aþ	með
ánni	nveþg	á
en	c	en
einnig	aa	einnig
til	ae	til
að	cn	að
sækja	sng	sækja
kindur	nvfo	kind
fram	aa	fram
í	ao	í
dalinn	nkeog	dalur
.	.	.
Mikill	lkensf	mikill
munur	nken	munur
var	sfg3eþ	vera
að	cn	að
geta	sng	geta
ekið	ssg	aka
þessa	faveo	þessi
leið	nveo	leið
í	ao	í
stað	nkeo	staður
þess	fphee	það
að	cn	að
fara	sng	fara
gangandi	slg	ganga
eða	c	eða
í	aþ	í
besta	lheþve	góður
falli	nheþ	fall
á	aþ	á
hestum	nkfþ	hestur
.	.	.
Vegleysurnar	nvfng	vegleysa
og	c	og
sambandsleysið	nheng	sambandsleysi
við	ao	við
Ísafjarðarkaupstað	nkeo-s	Ísafjarðarkaupstaður
stóðu	sfg3fþ	standa
byggðinni	nveþg	byggð
fyrir	aþ	fyrir
þrifum	nhfþ	þrif
en	c	en
þangað	aa	þangað
var	sfg3eþ	vera
aðeins	aa	aðeins
hægt	lhensf	hægur
að	cn	að
komast	snm	koma
sjóleiðina	nveog	sjóleið
.	.	.
Frá	aþ	frá
Laugabóli	nheþ-s	Laugaból
var	sfg3eþ	vera
aðeins	aa	aðeins
hægt	lhensf	hægur
að	cn	að
komast	snm	koma
að	aþ	að
Hjöllum	nkfþ-s	Hjalli
í	aþ	í
mynni	nheþ	mynni
Skötufjarðar	nkee-s	Skötufjörður
og	c	og
frá	aþ	frá
Ísafirði	nkeþ-s	Ísafjörður
náði	sfg3eþ	ná
vegurinn	nkeng	vegur
aðeins	aa	aðeins
að	aþ	að
Eyri	nveþ-s	Eyri
í	aþ	í
Seyðisfirði	nkeþ-s	Seyðisfjörður
.	.	.
Það	fphen	það
hyllti	sfg3eþ	hylla
undir	ao	undir
lausn	nveo	lausn
á	aþ	á
þeim	fahfþ	sá
málum	nhfþ	mál
þar	aa	þar
sem	c	sem
unnið	sþghen	vinna
var	sfg3eþ	vera
að	aþ	að
lagningu	nveþ	lagning
vegar	nkee	vegur
frá	aþ	frá
Ísafirði	nkeþ-s	Ísafjörður
.	.	.
Árið	nheog	ár
1975	ta	1975
rann	sfg3eþ	renna
upp	aa	upp
sú	faven	sá
stóra	lvenvf	stór
stund	nven	stund
þegar	c	þegar
leiðin	nveng	leið
á	aa	á
milli	ae	milli
Ísafjarðar	nkee-s	Ísafjörður
og	c	og
Ögurs	nhee-s	Ögur
var	sfg3eþ	vera
fær	lvensf	fær
öllum	fokfþ	allur
bílum	nkfþ	bíll
.	.	.
Þetta	fahen	þessi
var	sfg3eþ	vera
hrein	lvensf	hreinn
bylting	nven	bylting
í	aþ	í
samgöngumálum	nhfþ	samgöngumál
sveitarinnar	nveeg	sveit
þar	aa	þar
sem	c	sem
nú	aa	nú
var	sfg3eþ	vera
hægt	lhensf	hægur
að	cn	að
fara	sng	fara
á	aþ	á
bíl	nkeþ	bíll
á	aþ	á
tveimur	tfvfþ	tveir
klukkustundum	nvfþ	klukkustund
til	ae	til
Ísafjarðar	nkee-s	Ísafjörður
.	.	.
Ragna	nven-s	Ragna
hafði	sfg3eþ	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
eldri	lkfþvm	gamall
krökkunum	nkfþg	krakki
sínum	fekfþ	sinn
.	.	.
Þau	fphfn	það
voru	sfg3fþ	vera
sjálfstæð	lhfnsf	sjálfstæður
eins	aa	eins
og	c	og
hún	fpven	hún
á	aþ	á
sínum	fekeþ	sinn
tíma	nkeþ	tími
og	c	og
hugur	nken	hugur
þeirra	fphfe	það
virtist	sfm3eþ	virða
ekki	aa	ekki
standa	sng	standa
til	ae	til
þess	fphee	það
að	cn	að
vera	sng	vera
á	aþ	á
Laugabóli	nheþ-s	Laugaból
.	.	.
Bella	nven-s	Bella
hafði	sfg3eþ	hafa
þó	aa	þó
uppi	aa	uppi
áform	nhfo	áform
um	ao	um
að	cn	að
læra	sng	læra
búfræði	nveo	búfræði
og	c	og
hún	fpven	hún
fór	sfg3eþ	fara
í	ao	í
Bændaskólann	nkeogs	Bændaskóli
á	aþ	á
Hvanneyri	nveþ-s	Hvanneyri
.	.	.
Ragna	nven-s	Ragna
dauðsá	sfg3eþ	dauðsjá
eftir	aþ	eftir
að	cn	að
hafa	sng	hafa
sent	ssg	senda
syni	nkfo	sonur
sína	fekfo	sinn
í	ao	í
Reykjanesskóla	nkeo-s	Reykjanesskóli
en	c	en
hrósaði	sfg3eþ	hrósa
jafnframt	aa	jafnframt
happi	nheþ	happ
yfir	aþ	yfir
að	cn	að
hafa	sng	hafa
forðað	ssg	forða
Bellu	nveþ-s	Bella
þaðan	aa	þaðan
og	c	og
komið	ssg	koma
henni	fpveþ	hún
í	ao	í
Héraðsskólann	nkeogs	Héraðsskóli
að	aþ	að
Núpi	nkeþ-s	Núpur
.	.	.
Í	aþ	í
Reykjanesskóla	nkeþ-s	Reykjanesskóli
höfðu	sfg3fþ	hafa
synir	nkfn	sonur
hennar	fpvee	hún
stundum	aa	stundum
orðið	ssg	verða
fyrir	aþ	fyrir
aðkasti	nheþ	aðkast
vegna	ae	vegna
stöðu	nvee	staða
hennar	fpvee	hún
sem	c	sem
einstæð	lvensf	einstæður
móðir	nven	móðir
.	.	.
Þá	aa	þá
fannst	sfm3eþ	finna
Rögnu	nveþ-s	Ragna
vera	sng	vera
viðloðandi	lhenof	viðloðandi
agaleysi	nhen	agaleysi
hjá	aþ	hjá
kennurum	nkfþ	kennari
og	c	og
óregla	nven	óregla
.	.	.
Þeir	fakfn	sá
sem	ct	sem
áttu	sfg3fþ	eiga
að	cn	að
vera	sng	vera
börnunum	nhfþg	barn
fyrirmyndir	nvfn	fyrirmynd
brugðust	sfm3fþ	bregða
algjörlega	aa	algjörlega
.	.	.
Henni	fpveþ	hún
fannst	sfm3eþ	finna
skólayfirvöld	nhfn	skólayfirvöld
meðvitað	aa	meðvitað
leyna	sng	leyna
foreldra	nkfo	foreldrar
því	faheþ	sá
sem	ct	sem
gerðist	svm3eþ	gera
í	aþ	í
skólastarfinu	nheþg	skólastarf
.	.	.
Það	fphen	það
var	sfg3eþ	vera
eins	aa	eins
og	c	og
yfirvöld	nhfn	yfirvald
vildu	svg3fþ	vilja
fá	sng	fá
greidd	sþghfo	greiða
skólagjöldin	nhfog	skólagjald
og	c	og
um	ao	um
leið	nveo	leið
reka	sng	reka
skólann	nkeog	skóli
eftir	aþ	eftir
eigin	lkeþof	eigin
geðþótta	nkeþ	geðþótti
og	c	og
gjarnan	aa	gjarnan
til	ae	til
skaða	nkee	skaði
fyrir	ao	fyrir
börnin	nhfog	barn
.	.	.
Kennarar	nkfn	kennari
voru	sfg3fþ	vera
oft	aa	oft
réttindalausir	lkfnsf	réttindalaus
og	c	og
það	fphen	það
setti	sfg3eþ	setja
mark	nheo	mark
sitt	feheo	sinn
á	ao	á
kennsluna	nveog	kennsla
.	.	.
Börnin	nhfng	barn
urðu	sfg3fþ	verða
eins	aa	eins
og	c	og
tilraunadýr	nhfn	tilraunadýr
fyrir	ao	fyrir
menn	nkfo	maður
sem	ct	sem
voru	sfg3fþ	vera
að	cn	að
æfa	sng	æfa
sig	fpkfo	sig
í	aþ	í
að	cn	að
verða	sng	verða
kennarar	nkfn	kennari
.	.	.
Ragna	nven-s	Ragna
skrifaði	sfg3eþ	skrifa
grein	nveo	grein
um	ao	um
Reykjanesskóla	nkeo-s	Reykjanesskóli
í	ao	í
Morgunblaðið	nheogs	Morgunblað
5.	ta	5.
apríl	nkeo	apríl
1979	ta	1979
þar	aa	þar
sem	c	sem
hún	fpven	hún
gagnrýndi	sfg3eþ	gagnrýna
harkalega	aa	harkalega
þá	fakfo	sá
sem	ct	sem
stjórnuðu	sfg3fþ	stjórna
skólanum	nkeþg	skóli
í	aþ	í
Reykjanesi	nheþ-s	Reykjanes
og	c	og
fóru	sfg3fþ	fara
með	ao	með
nemendur	nkfo	nemandi
eins	aa	eins
og	c	og
þeir	fpkfn	hann
væru	svg3fþ	vera
fangar	nkfn	fangi
.	.	.
Þar	aa	þar
rifjaði	sfg3eþ	rifja
Ragna	nven-s	Ragna
upp	aa	upp
þegar	c	þegar
Smári	nken-s	Smári
sonur	nken	sonur
hennar	fpvee	hún
handleggsbrotnaði	sfg3eþ	handleggsbrotna
og	c	og
fór	sfg3eþ	fara
auk	ae	auk
þess	fphee	það
úr	aþ	úr
liði	nkeþ	liður
.	.	.
Drengnum	nkeþg	drengur
var	sfg3eþ	vera
komið	sþghen	koma
í	ao	í
Vatnsfjörð	nkeo-s	Vatnsfjörður
og	c	og
um	ao	um
borð	nheo	borð
í	ao	í
Djúpbátinn	nkeogs	djúpbátur
Fagranes	nheo-s	Fagranes
sem	ct	sem
var	sfg3eþ	vera
að	cn	að
sækja	sng	sækja
fé	nheo	fé
.	.	.
Siglt	sþghen	sigla
var	sfg3eþ	vera
vítt	aa	vítt
og	c	og
breitt	aa	breitt
um	ao	um
Djúpið	nheogs	djúp
allan	fokeo	allur
daginn	nkeog	dagur
með	ao	með
handleggsbrotinn	lkeosf	handleggsbrotinn
drenginn	nkeog	drengur
um	ao	um
borð	nheo	borð
.	.	.
Þegar	c	þegar
hann	fpken	hann
loks	aa	loks
komst	sfm3eþ	koma
á	ao	á
spítalann	nkeog	spítali
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
var	sfg3eþ	vera
handleggurinn	nkeng	handleggur
svo	aa	svo
bólginn	lkensf	bólginn
að	c	að
nokkrir	fokfn	nokkur
dagar	nkfn	dagur
liðu	sfg3fþ	líða
áður	aa	áður
en	c	en
hægt	lhensf	hægur
var	sfg3eþ	vera
að	cn	að
gera	sng	gera
að	aþ	að
brotinu	nheþg	brot
.	.	.
Rögnu	nveþ-s	Ragna
fannst	sfm3eþ	finna
þessi	faven	þessi
meðferð	nven	meðferð
ekki	aa	ekki
sæmandi	lvenof	sæmandi
og	c	og
vakti	sfg3eþ	vekja
á	aþ	á
því	fpheþ	það
athygli	nveo	athygli
.	.	.
Hún	fpven	hún
þurfti	sfg3eþ	þurfa
að	cn	að
fara	sng	fara
nokkrum	fohfþ	nokkur
sinnum	nhfþ	sinn
með	ao	með
drenginn	nkeog	drengur
til	ae	til
Reykjavíkur	nvee-s	Reykjavík
svo	aa	svo
hann	fpken	hann
fengi	svg3eþ	fá
bót	nveo	bót
meina	nhfe	mein
sinna	fehfe	sinn
.	.	.
Kornið	nheng	korn
sem	ct	sem
fyllti	sfg3eþ	fylla
mælinn	nkeog	mælir
var	sfg3eþ	vera
að	c	að
Bjarki	nken-s	Bjarki
var	sfg3eþ	vera
rekinn	sþgken	reka
úr	aþ	úr
skólanum	nkeþg	skóli
um	ao	um
stundarsakir	nvfo	stundarsakir
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
tekið	ssg	taka
þátt	nkeo	þáttur
í	aþ	í
vatnsslag	nkeþ	vatnsslagur
ásamt	aþ	ásamt
fjölda	nkeþ	fjöldi
annarra	fohfe	annar
skólasystkina	nhfe	skólasystkin
.	.	.
Ekki	aa	ekki
vildi	sfg3eþ	vilja
betur	aam	vel
til	aa	til
en	c	en
að	c	að
blaut	lvensf	blautur
tuska	nven	tuska
small	sfg3eþ	smella
í	aþ	í
hnakka	nkeþ	hnakki
kennara	nkee	kennari
sem	ct	sem
kom	sfg3eþ	koma
aðvífandi	aa	aðvífandi
.	.	.
Kennarinn	nkeng	kennari
þreif	sfg3eþ	þrífa
til	ae	til
Bjarka	nkee-s	Bjarki
og	c	og
reyndi	sfg3eþ	reyna
að	cn	að
draga	sng	draga
hann	fpkeo	hann
með	aþ	með
sér	fpkeþ	sig
.	.	.
Bjarki	nken-s	Bjarki
var	sfg3eþ	vera
sterkur	lkensf	sterkur
og	c	og
hristi	sfg3eþ	hrista
kennarann	nkeog	kennari
auðveldlega	aa	auðveldlega
af	aþ	af
sér	fpkeþ	sig
.	.	.
Stympingunum	nvfþg	stymping
lauk	sfg3eþ	ljúka
með	aþ	með
því	fpheþ	það
að	c	að
kennarinn	nkeng	kennari
lenti	sfg3eþ	lenda
á	aþ	á
vegg	nkeþ	veggur
.	.	.
Í	aþ	í
framhaldinu	nheþg	framhald
var	sfg3eþ	vera
ákveðið	sþghen	ákveða
að	cn	að
vísa	sng	vísa
Bjarka	nkeþ-s	Bjarki
úr	aþ	úr
skólanum	nkeþg	skóli
.	.	.
Rögnu	nveþ-s	Ragna
fannst	sfm3eþ	finna
þetta	fahen	þessi
mjög	aa	mjög
ósanngjarnt	lhensf	ósanngjarn
þar	aa	þar
sem	c	sem
hópur	nken	hópur
nemenda	nkfe	nemandi
hafði	sfg3eþ	hafa
átt	ssg	eiga
hlut	nkeo	hlutur
að	aþ	að
máli	nheþ	mál
en	c	en
syni	nkeþ	sonur
hennar	fpvee	hún
einum	tfkeþ	einn
var	sfg3eþ	vera
refsað	sþghen	refsa
harðlega	aa	harðlega
.	.	.
Greinin	nveng	grein
vakti	sfg3eþ	vekja
mikla	lveosf	mikill
athygli	nveo	athygli
og	c	og
skólastjórinn	nkeng	skólastjóri
í	aþ	í
Reykjanesi	nheþ-s	Reykjanes
svaraði	sfg3eþ	svara
fullum	lkeþsf	fullur
hálsi	nkeþ	háls
í	aþ	í
annarri	foveþ	annar
grein	nveþ	grein
.	.	.
Ragna	nven-s	Ragna
ákvað	sfg3eþ	ákveða
að	c	að
hún	fpven	hún
myndi	svg3eþ	munu
aldrei	aa	aldrei
framar	aam	framar
senda	sng	senda
barn	nheo	barn
í	ao	í
skólann	nkeog	skóli
og	c	og
Bjarki	nken-s	Bjarki
fór	sfg3eþ	fara
í	ao	í
Núpsskóla	nkeo-s	Núpsskóli
í	aþ	í
Dýrafirði	nkeþ-s	Dýrafjörður
.	.	.
Þar	aa	þar
farnaðist	sfm3eþ	farnast
honum	fpkeþ	hann
vel	aa	vel
.	.	.
Öll	fohfn	allur
börnin	nhfng	barn
fóru	sfg3fþ	fara
til	ae	til
framhaldsnáms	nhee	framhaldsnám
.	.	.
Bella	nven-s	Bella
lauk	sfg3eþ	ljúka
búfræðinni	nveþg	búfræði
og	c	og
Smári	nken-s	Smári
varð	sfg3eþ	verða
húsasmíðameistari	nken	húsasmíðameistari
.	.	.
Bjarki	nken-s	Bjarki
lagði	sfg3eþ	leggja
stund	nveo	stund
á	ao	á
vélvirkjun	nveo	vélvirkjun
.	.	.
Oft	aa	oft
var	sfg3eþ	vera
erfitt	lhensf	erfiður
á	aþ	á
Laugabóli	nheþ-s	Laugaból
þegar	c	þegar
veturinn	nkeng	vetur
var	sfg3eþ	vera
harðastur	lkense	harður
.	.	.
Ragna	nven-s	Ragna
gaf	sfg3eþ	gefa
skepnunum	nvfþg	skepna
og	c	og
mjólkaði	sfg3eþ	mjólka
.	.	.
Stundum	aa	stundum
var	sfg3eþ	vera
hún	fpven	hún
með	ao	með
Gauja	nkeo-s	Gaui
gamla	lkeovf	gamall
vinnumann	nkeo	vinnumaður
til	ae	til
aðstoðar	nvee	aðstoð
en	c	en
hann	fpken	hann
fór	sfg3eþ	fara
gjarnan	aa	gjarnan
til	ae	til
Hafnarfjarðar	nkee-s	Hafnarfjörður
til	ae	til
Rebekku	nvee-s	Rebekka
um	ao	um
lengri	lkeovm	langur
eða	c	eða
skemmri	lkeovm	skammur
tíma	nkeo	tími
.	.	.
Það	fphen	það
var	sfg3eþ	vera
óumflýjanlegt	lhensf	óumflýjanlegur
að	c	að
Ragna	nven-s	Ragna
héldi	svg3eþ	halda
vinnumenn	nkfo	vinnumaður
að	aþ	að
vetrinum	nkeþg	vetur
.	.	.
Einn	tfken	einn
þeirra	fakfe	sá
sem	ct	sem
vann	sfg3eþ	vinna
hjá	aþ	hjá
henni	fpveþ	hún
var	sfg3eþ	vera
Jón	nken-s	Jón
Hansson	nken-s	Hansson
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
dugnaðarforkur	nken	dugnaðarforkur
en	c	en
ölkær	lkensf	ölkær
og	c	og
átti	sfg3eþ	eiga
það	fpheo	það
til	ae	til
að	cn	að
hverfa	sng	hverfa
þegar	c	þegar
þannig	aa	þannig
stóð	sfg3eþ	standa
á	aa	á
.	.	.
Rögnu	nveo-s	Ragna
munaði	sfg3eþ	muna
svo	aa	svo
sem	aa	sem
ekkert	fohen	enginn
um	ao	um
að	cn	að
halda	sng	halda
búinu	nheþg	bú
gangandi	slg	ganga
.	.	.
Hún	fpven	hún
var	sfg3eþ	vera
í	aþ	í
fullu	lheþsf	fullur
fjöri	nheþ	fjör
og	c	og
gekk	sfg3eþ	ganga
til	ae	til
allra	fohfe	allur
verka	nhfe	verk
.	.	.
En	c	en
það	fphen	það
getur	sfg3en	geta
verið	ssg	vera
erfitt	lhensf	erfiður
að	cn	að
vera	sng	vera
einyrki	nken	einyrki
og	c	og
þurfa	sng	þurfa
að	cn	að
treysta	sng	treysta
alfarið	aa	alfarið
á	ao	á
sjálfan	fbkeo	sjálfur
sig	fpkeo	sig
.	.	.
Það	fpheo	það
fékk	sfg3eþ	fá
Ragna	nven-s	Ragna
að	cn	að
reyna	sng	reyna
í	aþ	í
vetrarbyrjun	nveþ	vetrarbyrjun
1973	ta	1973
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
stundum	aa	stundum
fundið	ssg	finna
til	aa	til
í	aþ	í
baki	nheþ	bak
og	c	og
jafnvel	aa	jafnvel
verið	ssg	vera
frá	aþ	frá
vinnu	nveþ	vinna
í	ao	í
einhverja	fokfo	einhver
