Búnaðarlög búnaðarlag nhfn
landsráðunautur landsráðunautur nken

eða eða c

c c x

eða eða c

fagstjóri fagstjóri nken

nken nken nkeog

fagstjóri fagstjóri nken

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

ráðunautur ráðunautur nken

nken nken nkeog

ráðunautur ráðunautur nken

sem sem c

c c x

sem sem c

hefur hafa sfg3en

sfg3en sfg3en nkeog

hafa hafa sfg3fn

yfirumsjón yfirumsjón nven

nven nven nkeog

yfirumsjón yfirumsjón nven

með með aþ

aþ aþ nhen

með með aþ

leiðbeiningum leiðbeining nvfþ

nvfþ nvfþ nhen

leiðbeining leiðbeining nven

á á aþ

aþ aþ nhen

á á aþ

sínu sinn feheþ

feheþ feheþ nhen

sinn sinn feken

sviði sviði nken

nken nken nkeog

sviði sviði nken

á á aþ

aþ aþ nhen

á á aþ

landsvísu landsvísa nveo

nveo nveo sng

landsvísa landsvísa nven

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

[ [ [

[ [ [

[ [ [

13 13 ta

ta ta nven

13 13 ta

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

… … nhen

nhen nhen nkeog

… … nhen

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

129/2012 129 ta

ta ta nven

129 129 ta

, , ,

, , ,

, , ,

1. 1. ta

ta ta nven

1 1 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

43. 43. ta

ta ta nven

43 43 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

2. 2. ta

ta ta nven

2 2 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

laganna lag nhfeg

nhfeg nhfegur lvensf

lag lag nhen

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

laga lag nhfe

nhfe nhfe sng

lag lag nhen

þessara þessi fahfe

fahfe fahfe sng

þessi þessi faven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

: : :

: : :

: : :

a. annar fohee

fohee fohee sng

annar annar foken

almenn almaÃ°ur lvensf

lvensf lvensf sfg3eþ

almaÃ almaã nhen

° ° nhen

ur ur nken

starfsskilyrði starfsskilyrði nhfn

nhfn nhfn nheo

starfsskilyrði starfsskilyrði nhfn

við við ao

ao ao sng

við við ao

framleiðslu framleiðsla nveþ

nveþ nveþ nhen

framleiðsla framleiðsla nven

og og c

c c x

og og c

vinnslu vinnsla nvee

nvee nvee sng

vinnsla vinnsla nven

búvara búvara nven

nven nven nkeog

búvara búvara nven

ásamt ásamt aþ

aþ aþ nhen

ásamt ásamt aþ

stuðningi stuðningur nkeþ

nkeþ nkeþ nhen

stuðningur stuðningur nken

ríkisins ríki nheeg

nheeg nheegur lvensf

ríki ríki nheþ

stuðli stuðla svg3en

svg3en svg3en nkeog

stuðla stuðla sng

að að cn

cn cn e

að að cn

áframhaldandi áframhaldandi lkenof

lkenof lkenof nhen

áframhaldandi áframhaldandi lkenof

hagræðingu hagræðing nveþ

nveþ nveþ nhen

hagræðing hagræðing nven

, , ,

, , ,

, , ,

bættri bættur lkenvm

lkenvm lkenvm nhfþ

bættur bæta sþgken

samkeppnishæfni samkeppnishæfni nven

nven nven nkeog

samkeppnishæfni samkeppnishæfni nven

og og c

c c x

og og c

fjölbreyttu fjölbreyttur lkfnvf

lkfnvf lkfnvf sfg3eþ

fjölbreyttur fjölbreyttur lkensf

framboði framboð nheþ

nheþ nheþ nhen

framboð framboð nhen

gæðaafurða gæðaafurð nvfe

nvfe nvfe sng

gæðaafurð gæðaafurð nven

á á aþ

aþ aþ nhen

á á aþ

sanngjörnu sanngjörna nveþ

nveþ nveþ nhen

sanngjörna sanngjörni nhfe

verði verða svg3en

svg3en svg3en nkeog

verða verða sng

, , ,

, , ,

, , ,

b. bil nheo

nheo nheo sng

bil bil nhen

tryggja tryggja sng

sng sng nven

tryggja tryggja sng

að að cn

cn cn e

að að cn

bændum bóndi nkfþ

nkfþ nkfþ nhen

bóndi bóndi nken

standi stand nheþ

nheþ nheþ nhen

stand stand nhen

til til ae

ae ae sng

til til ae

boða boða sng

sng sng nven

boða boða sng

leiðbeiningarþjónusta leiðbeiningarþjónusta nven

nven nven nkeog

leiðbeiningarþjónusta leiðbeiningarþjónusta nven

og og c

c c x

og og c

skýrsluhaldshugbúnaður skýrsluhaldshugbúnaður nken

nken nken nkeog

skýrsluhaldshugbúnaður skýrsluhaldshugbúnaður nken

til til ae

ae ae sng

til til ae

að að cn

cn cn e

að að cn

styðja styðja sng

sng sng nven

styðja styðja sng

við við ao

ao ao sng

við við ao

framgang framgangur nkeo

nkeo nkeo sng

framgangur framgangur nken

markmiða markmið nhfe

nhfe nhfe sng

markmið markmið nhen

samnings samningur nkee

nkee nkee sng

samningur samningur nken

skv. samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

3. 3. ta

ta ta nven

3 3 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

, , ,

, , ,

, , ,

c. c. x

x x nhen

c. c. x

við við ao

ao ao sng

við við ao

búvöruframleiðsluna búvöruframleiðsla nveog

nveog nveog nhen

búvöruframleiðsla búvöruframleiðsla nven

sé vera svg3en

svg3en svg3en nkeog

vera vera sng

gætt gæta ssg

ssg ssgur nkeo

gæta gæta sng

sjónarmiða sjónarmið nhfe

nhfe nhfe sng

sjónarmið sjónarmið nhfn

um um ao

ao ao sng

um um ao

velferð velferð nven

nven nven nkeog

velferð velferð nven

dýra dýr nhfe

nhfe nhfe sng

dýr dýr nhfo

, , ,

, , ,

, , ,

heilnæmi heilnæmi nhen

nhen nhen nkeog

heilnæmi heilnæmi nhen

afurða afurð nvfe

nvfe nvfe sng

afurð afurð nven

, , ,

, , ,

, , ,

umhverfisvernd umhverfisvernd nven

nven nven nkeog

umhverfisvernd umhverfisvernd nven

og og c

c c x

og og c

sjálfbæra sjálfbæri nkeo

nkeo nkeo sng

sjálfbæri sjálfbæri nken

landnýtingu landnýting nveþ

nveþ nveþ nhen

landnýting landnýting nven

, , ,

, , ,

, , ,

d. dæmi nhee

nhee nhee sng

dæmi dæmi nhen

auka auka sng

sng sng nven

auka auka sng

vægi vægur lkenvf

lkenvf lkenvf sfg3eþ

vægur vægur lkensf

lífrænnar lífrænnur nkee

nkee nkee sng

lífrænnur lífrænna sfg3en

framleiðslu framleiðsla nveþ

nveþ nveþ nhen

framleiðsla framleiðsla nven

, , ,

, , ,

, , ,

e. vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

stuðningur stuðningur nken

nken nken nkeog

stuðningur stuðningur nken

ríkisins ríki nheeg

nheeg nheegur lvensf

ríki ríki nheþ

stuðli stuðla svg3en

svg3en svg3en nkeog

stuðla stuðla sng

að að cn

cn cn e

að að cn

áframhaldandi áframhaldandi lkenof

lkenof lkenof nhen

áframhaldandi áframhaldandi lkenof

þróun þróun nven

nven nven nkeog

þróun þróun nven

í í aþ

aþ aþ nhen

í í aþ

greininni grein nveþg

nveþg nveþgur nkeo

grein grein nven

og og c

c c x

og og c

bættri bættur lkenvm

lkenvm lkenvm nhfþ

bættur bæta sþgken

afkomu afkoma nveo

nveo nveo sng

afkoma afkoma nven

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

, , ,

, , ,

, , ,

f. fyrir ao

ao ao sng

fyrir fyrir ao

auðvelda auðvelda sng

sng sng nven

auðvelda auðvelda sng

nýliðun nýliðun nven

nven nven nkeog

nýliðun nýliðun nven

þannig þannig aa

aa aur nkfo

þannig þannig aa

að að cn

cn cn e

að að cn

nauðsynleg nauðsynlegur lvensf

lvensf lvensf sfg3eþ

nauðsynlegur nauðsynlegur lkensf

kynslóðaskipti kynslóðaskipti nhfn

nhfn nhfn nheo

kynslóðaskipti kynslóðaskipti nhfn

geti geta svg3en

svg3en svg3en nkeog

geta geta sfg3fn

orðið verða ssg

ssg ssgur nkeo

verða verða sng

í í aþ

aþ aþ nhen

í í aþ

hópi hópur nkeþ

nkeþ nkeþ nhen

hópur hópur nken

framleiðenda framleiðandi nkfe

nkfe nkfe sng

framleiðandi framleiðandi lkenof

, , ,

, , ,

, , ,

g g x

x x nhen

g g x

. . .

. . .

. . .

tryggja tryggja sng

sng sng nven

tryggja tryggja sng

að að cn

cn cn e

að að cn

stuðningur stuðningur nken

nken nken nkeog

stuðningur stuðningur nken

ríkisins ríki nheeg

nheeg nheegur lvensf

ríki ríki nheþ

nýtist nýta svm3fn

svm3fn svm3fn nheo

nýta nýta sng

sem sem c

c c x

sem sem c

best vel aae

aae aae sng

vel vel aa

starfandi starfa slg

slg slgur nkeo

starfa starf nhfe

bændum bóndi nkfþ

nkfþ nkfþ nhen

bóndi bóndi nken

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

44. 44. ta

ta ta nven

44 44 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

3. 3. ta

ta ta nven

3 3 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Yfirstjórn yfirstjórn nven

nven nven nkeog

yfirstjórn yfirstjórn nven

og og c

c c x

og og c

fjárframlög fjárframlag nhfn

nhfn nhfn nheo

fjárframlag fjárframlag nhen

ríkisins ríki nheeg

nheeg nheegur lvensf

ríki ríki nheþ

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

hefur hafa sfg3en

sfg3en sfg3en nkeog

hafa hafa sfg3fn

á á aþ

aþ aþ nhen

á á aþ

hendi hönd nveþ

nveþ nveþ nhen

hönd hönd nven

yfirstjórn yfirstjórn nven

nven nven nkeog

yfirstjórn yfirstjórn nven

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

mála mál nhfe

nhfe nhfe sng

mál mál nhen

sem sem c

c c x

sem sem c

lög lag nhfn

nhfn nhfn nheo

lag lag nhen

þessi þessi faven

faven faven nkeog

þessi þessi faven

taka taka sng

sng sng nven

taka taka sng

til til ae

ae ae sng

til til ae

. . .

. . .

. . .

Hann hann fpken

fpken fpken nkeog

hann hann fpken

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

gera gera sng

sng sng nven

gera gera sng

samning samning nven

nven nven nkeog

samning samning nven

við við ao

ao ao sng

við við ao

Bændasamtök bændasamtök nhfn

nhfn nhfn nheo

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

til til ae

ae ae sng

til til ae

[ [ [

[ [ [

[ [ [

tíu tíu tfhfe

tfhfe tfhfe sng

tíu tíu tfhfe

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

ára ár nhfe

nhfe nhfe sng

ár ár nhfn

í í aþ

aþ aþ nhen

í í aþ

senn senn aa

aa aur nkfo

senn senn aa

um um ao

ao ao sng

um um ao

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

og og c

c c x

og og c

framlög framlag nhfn

nhfn nhfn nheo

framlag framlag nhen

til til ae

ae ae sng

til til ae

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

þar þar aa

aa aur nkfo

þar þar aa

sem sem c

c c x

sem sem c

m. meðal ae

ae ae sng

meðal meðal ae

a. annar fohee

fohee fohee sng

annar annar foken

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

kveðið kveða ssg

ssg ssgur nkeo

kveða kveða sng

á á aþ

aþ aþ nhen

á á aþ

um um ao

ao ao sng

um um ao

framlög framlag nhfn

nhfn nhfn nheo

framlag framlag nhen

til til ae

ae ae sng

til til ae

Framleiðnisjóðs framleiðnisjóður nkee

nkee nkee sng

framleiðnisjóður framleiðnisjóður nken

landbúnaðarins landbúnaður nkeeg

nkeeg nkeegur lvensf

landbúnaður landbúnaður nken

vegna vegna ae

ae ae sng

vegna vegna ae

atvinnuuppbyggingar atvinnuuppbygging nvee

nvee nvee sng

atvinnuuppbygging atvinnuuppbygging nven

í í aþ

aþ aþ nhen

í í aþ

sveitum sveit nvfþ

nvfþ nvfþ nhen

sveit sveit nven

og og c

c c x

og og c

verkefna verkefni nhfe

nhfe nhfe sng

verkefni verkefni nhfn

sem sem c

c c x

sem sem c

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

aukinni aukinn lveþsf

lveþsf lveþsf sfg3eþ

aukinn aukinn lkensf

framleiðni framleiðni nven

nven nven nkeog

framleiðni framleiðni nven

í í aþ

aþ aþ nhen

í í aþ

íslenskum íslenskur lkeþsf

lkeþsf lkeþsf sfg3eþ

íslenskur íslenskur lkensf

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Samningurinn samningur nkeng

nkeng nkengur lvensf

samningur samningur nken

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

endurskoðaður endurskoðaður lkensf

lkensf lkensf sfg3eþ

endurskoðaður endurskoðaður lkensf

á á aþ

aþ aþ nhen

á á aþ

samningstímanum samningstími nkeþg

nkeþg nkeþgur nkeo

samningstími samningstími nken

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

Búnaðarþing búnaðarþing nhen

nhen nhen nkeog

búnaðarþing búnaðarþing nhen

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

fjalla fjalla sng

sng sng nven

fjalla fjalla sng

um um ao

ao ao sng

um um ao

samning samning nven

nven nven nkeog

samning samning nven

[ [ [

[ [ [

[ [ [

ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

og og c

c c x

og og c

Bændasamtaka bændasamtök nhfe

nhfe nhfe sng

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

um um ao

ao ao sng

um um ao

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

og og c

c c x

og og c

fjármögnun fjármögnun nven

nven nven nkeog

fjármögnun fjármögnun nven

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ríkissjóður ríkissjóður nken

nken nken nkeog

ríkissjóður ríkissjóður nken

veitir veita sfg3en

sfg3en sfg3en nkeog

veita veita sng

árlega árlega aa

aa aur nkfo

árlega árlega aa

framlög framlag nhfn

nhfn nhfn nheo

framlag framlag nhen

til til ae

ae ae sng

til til ae

verkefna verkefni nhfe

nhfe nhfe sng

verkefni verkefni nhfn

á á aþ

aþ aþ nhen

á á aþ

sviði sviði nken

nken nken nkeog

sviði sviði nken

kynbóta kynbóta nvfe

nvfe nvfe sng

kynbóta kynbóta nvfe

, , ,

, , ,

, , ,

þróunar þróun nvee

nvee nvee sng

þróun þróun nven

, , ,

, , ,

, , ,

jarðabóta jarðabóta nvfe

nvfe nvfe sng

jarðabóta jarðabóta nvfe

, , ,

, , ,

, , ,

landgreiðslna landgreiðsln nvfe

nvfe nvfe sng

landgreiðsln landgreiðsln nkeog

, , ,

, , ,

, , ,

nýliðunar nýliðunar nvfn

nvfn nvfn nheo

nýliðunar nýliðunar nvfn

, , ,

, , ,

, , ,

lífrænnar lífrænnur nkee

nkee nkee sng

lífrænnur lífrænna sfg3en

framleiðslu framleiðsla nveþ

nveþ nveþ nhen

framleiðsla framleiðsla nven

, , ,

, , ,

, , ,

varðveislu varðveisla nveþ

nveþ nveþ nhen

varðveisla varðveisla nven

búfjárstofna búfjárstofn nkfo

nkfo nkfo sng

búfjárstofn búfjárstofn nken

, , ,

, , ,

, , ,

átaksverkefna átaksverkefni nhfe

nhfe nhfe sng

átaksverkefni átaksverkefni nhfn

og og c

c c x

og og c

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

nven nven nkeog

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

Bændasamtök bændasamtök nhfn

nhfn nhfn nheo

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

hafa hafa sfg3fn

sfg3fn sfg3fn nheo

hafa hafa sfg3fn

á á aþ

aþ aþ nhen

á á aþ

hendi hönd nveþ

nveþ nveþ nhen

hönd hönd nven

faglega faglegur lveosf

lveosf lveosf sfg3eþ

faglegur faglegur lkensf

og og c

c c x

og og c

fjárhagslega fjárhagslega aa

aa aur nkfo

fjárhagslega fjárhagslega aa

umsjón umsjón nven

nven nven nkeog

umsjón umsjón nven

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

verkefna verkefni nhfe

nhfe nhfe sng

verkefni verkefni nhfn

sem sem c

c c x

sem sem c

svo svo aa

aa aur nkfo

svo svo aa

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

samið semja ssg

ssg ssgur nkeo

semja semja sng

um um ao

ao ao sng

um um ao

skv. samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

1. 1. ta

ta ta nven

1 1 ta

. . .

mgr. málsgrein nven

nven nven nkeog

málsgrein málsgrein nven

og og c

c c x

og og c

fjárveiting fjárveiting nven

nven nven nkeog

fjárveiting fjárveiting nven

heimilar heimila sfg3en

sfg3en sfg3en nkeog

heimila heimili nhfe

og og c

c c x

og og c

annast anna snm

snm snm nhfþ

anna önn nvfe

framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

nema nema c

c c x

nema nema c

öðruvísi öðruvísi aa

aa aur nkfo

öðruvísi öðruvísi aa

sé vera svg3en

svg3en svg3en nkeog

vera vera sng

um um ao

ao ao sng

um um ao

samið semja ssg

ssg ssgur nkeo

semja semja sng

eða eða c

c c x

eða eða c

ákveðið ákveða ssg

ssg ssgur nkeo

ákveða ákveða sng

með með aþ

aþ aþ nhen

með með aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

, , ,

, , ,

, , ,

enda enda c

c c x

enda enda c

sé vera svg3en

svg3en svg3en nkeog

vera vera sng

skipulag skipulag nhen

nhen nhen nkeog

skipulag skipulag nhen

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

og og c

c c x

og og c

starfsreglur starfsregla nvfn

nvfn nvfn nheo

starfsregla starfsregla nven

í í aþ

aþ aþ nhen

í í aþ

samræmi samræmi nhen

nhen nhen nkeog

samræmi samræmi nhen

við við ao

ao ao sng

við við ao

ákvæði ákvæði nhfn

nhfn nhfn nheo

ákvæði ákvæði nhfn

laganna lag nhfeg

nhfeg nhfegur lvensf

lag lag nhen

. . .

. . .

. . .

Bændasamtök bændasamtök nhfn

nhfn nhfn nheo

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

, , ,

, , ,

, , ,

[ [ [

[ [ [

[ [ [

félög félag nhfn

nhfn nhfn nheo

félag félag nhen

í í aþ

aþ aþ nhen

í í aþ

fullri fullur lveþsf

lveþsf lveþsf sfg3eþ

fullur fullur lkensf

eigu eiga nveþ

nveþ nveþ nhen

eiga eiga sng

samtakanna samtök nhfeg

nhfeg nhfegur lvensf

samtök samtök nhfn

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

og og c

c c x

og og c

önnur annar foven

foven foven nkeog

annar annar foken

samtök samtök nhfn

nhfn nhfn nheo

samtök samtök nhfn

sem sem c

c c x

sem sem c

fara fara sng

sng sng nven

fara fara sng

með með aþ

aþ aþ nhen

með með aþ

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

geta geta sfg3fn

sfg3fn sfg3fn nheo

geta geta sfg3fn

tekið taka ssg

ssg ssgur nkeo

taka taka sng

gjald gjald nhen

nhen nhen nkeog

gjald gjald nhen

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

þjónustu þjónusta nveo

nveo nveo sng

þjónusta þjónusta nven

sína sinn feveo

feveo feveo sng

sinn sinn feken

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

gjaldskrá gjaldskrá nven

nven nven nkeog

gjaldskrá gjaldskrá nven

sem sem c

c c x

sem sem c

[ [ [

[ [ [

[ [ [

ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

staðfestir staðfesta sfg3en

sfg3en sfg3en nkeog

staðfesta staðfesta sng

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Þeir hann fpkfn

fpkfn fpkfn nheo

hann hann fpken

framleiðendur framleiðandi nkfn

nkfn nkfn nheo

framleiðandi framleiðandi lkenof

einir einn lkfnsf

lkfnsf lkfnsf sfg3eþ

einn einn tfken

fá fá sng

sng sng nven

fá fá sng

greiðslur greiðsla nvfn

nvfn nvfn nheo

greiðsla greiðsla nven

í í aþ

aþ aþ nhen

í í aþ

samræmi samræmi nhen

nhen nhen nkeog

samræmi samræmi nhen

við við ao

ao ao sng

við við ao

samning samning nven

nven nven nkeog

samning samning nven

skv. samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

1. 1. ta

ta ta nven

1 1 ta

. . .

mgr. málsgrein nven

nven nven nkeog

málsgrein málsgrein nven

sem sem c

c c x

sem sem c

stunda stunda sng

sng sng nven

stunda stunda sng

landbúnað landbúnaður nkeo

nkeo nkeo sng

landbúnaður landbúnaður nken

á á aþ

aþ aþ nhen

á á aþ

lögbýli lögbýli nheþ

nheþ nheþ nhen

lögbýli lögbýli nheþ

eða eða c

c c x

eða eða c

garðyrkjubýli garðyrkjubýli nheþ

nheþ nheþ nhen

garðyrkjubýli garðyrkjubýli nheþ

, , ,

, , ,

, , ,

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

með með aþ

aþ aþ nhen

með með aþ

virðisaukaskattsnúmer virðisaukaskattsnúmer nhen

nhen nhen nkeog

virðisaukaskattsnúmer virðisaukaskattsnúmer nhen

og og c

c c x

og og c

starfsemi starfsemi nven

nven nven nkeog

starfsemi starfsemi nven

sem sem c

c c x

sem sem c

fellur falla sfg3en

sfg3en sfg3en nkeog

falla falla sng

undir undir aþ

aþ aþ nhen

undir undir aþ

atvinnugreinanúmer atvinnugreinanúmer nhen

nhen nhen nkeog

atvinnugreinanúmer atvinnugreinanúmer nhen

01 01 ta

ta ta nven

01 01 ta

og og c

c c x

og og c

02 02 ta

ta ta nven

02 02 ta

í í aþ

aþ aþ nhen

í í aþ

atvinnugreinaflokkun atvinnugreinaflokkun nven

nven nven nkeog

atvinnugreinaflokkun atvinnugreinaflokkun nven

Hagstofu hagstofa nveo

nveo nveo sng

hagstofa hagstofa nven

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

, , ,

, , ,

, , ,

sbr. samanbera as

as aur nkee

samanbera samanber nhfe

