Búnaðarlög nhfn búnaðarlag
þróunarstarfi nken þróunarstarfi
  
nken nkeog nken
  
þróunarstarfi nken þróunarstarfi
  
búgreinar nvfn búgrein
  
nvfn nheo nvfn
  
búgrein nven búgrein
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
getur sfg3en geta
  
sfg3en nkeog sfg3en
  
geta sfg3fn geta
  
starfað ssg starfa
  
ssg nkeo ssgur
  
starfa nhfe starf
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
fagsviði nken fagsviði
  
nken nkeog nken
  
fagsviði nken fagsviði
  
, , ,
  
, , ,
  
, , ,
  
t aa til
  
. . .
  
ae sng ae
  
til ae til
  
d. nhee dæmi
  
nhee sng nhee
  
dæmi nhen dæmi
  
hagfræði nven hagfræði
  
nven nkeog nven
  
hagfræði nven hagfræði
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
11 ta 11
  
ta nven ta
  
11 ta 11
  
. . .
  
. . .
  
. . .
  
Landgreiðslur nvfn landgreiðsla
  
nvfn nheo nvfn
  
landgreiðsla nven landgreiðsla
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
greiðslur nvfn greiðsla
  
nvfn nheo nvfn
  
greiðsla nven greiðsla
  
sem c sem
  
c x c
  
sem c sem
  
greiddar lvfnsf greiddur
  
lvfnsf sfg3eþ lvfnsf
  
greiddur lkensf greiddur
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
út aa út
  
aa nkfo aur
  
út aa út
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
ræktað lhensf ræktaður
  
lhensf sfg3eþ lhensf
  
ræktaður lkensf ræktaður
  
land nhen land
  
nhen nkeog nhen
  
land nhen land
  
sem c sem
  
c x c
  
sem c sem
  
uppskorið lhensf uppskorinn
  
lhensf sfg3eþ lhensf
  
uppskorinn lkensf uppskorinn
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
til ae til
  
ae sng ae
  
til ae til
  
fóðuröflunar nvfn fóðuröflunar
  
nvfn nheo nvfn
  
fóðuröflunar nvfn fóðuröflunar
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
[ [ [
  
[ [ [
  
[ [ [
  
12 ta 12
  
ta nven ta
  
12 ta 12
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
[ [ [
  
[ [ [
  
[ [ [
  
Landsráðunautur nken landsráðunautur
  
nken nkeog nken
  
landsráðunautur nken landsráðunautur
  
eða c eða
  
c x c
  
eða c eða
  
fagstjóri nken fagstjóri
  
nken nkeog nken
  
fagstjóri nken fagstjóri
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
ráðunautur nken ráðunautur
  
nken nkeog nken
  
ráðunautur nken ráðunautur
  
sem c sem
  
c x c
  
sem c sem
  
hefur sfg3en hafa
  
sfg3en nkeog sfg3en
  
hafa sfg3fn hafa
  
yfirumsjón nven yfirumsjón
  
nven nkeog nven
  
yfirumsjón nven yfirumsjón
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
leiðbeiningum nvfþ leiðbeining
  
nvfþ nhen nvfþ
  
leiðbeining nven leiðbeining
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
sínu feheþ sinn
  
feheþ nhen feheþ
  
sinn feken sinn
  
sviði nken sviði
  
nken nkeog nken
  
sviði nken sviði
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
landsvísu nveo landsvísa
  
nveo sng nveo
  
landsvísa nven landsvísa
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
[ [ [
  
[ [ [
  
[ [ [
  
13 ta 13
  
ta nven ta
  
13 ta 13
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
… nhen …
  
nhen nkeog nhen
  
… nhen …
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
126/2011 ta 126
  
ta nven ta
  
126 ta 126
  
, , ,
  
, , ,
  
, , ,
  
273. ta 273.
  
ta nven ta
  
273 ta 273
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
129/2012 ta 129
  
ta nven ta
  
129 ta 129
  
, , ,
  
, , ,
  
, , ,
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
3 ta 3
  
ta nven ta
  
3 ta 3
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
43. ta 43.
  
ta nven ta
  
43 ta 43
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
2. ta 2.
  
ta nven ta
  
2 ta 2
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Markmið nhen markmið
  
nhen nkeog nhen
  
markmið nhen markmið
  
laganna nhfeg lag
  
nhfeg lvensf nhfegur
  
lag nhen lag
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Markmið nhen markmið
  
nhen nkeog nhen
  
markmið nhen markmið
  
laga nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
þessara fahfe þessi
  
fahfe sng fahfe
  
þessi faven þessi
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
: : :
  
: : :
  
: : :
  
a. fohee annar
  
fohee sng fohee
  
annar foken annar
  
almenn lvensf almaÃ°ur
  
lvensf sfg3eþ lvensf
  
almaÃ nhen almaã
  
° nhen °
  
ur nken ur
  
starfsskilyrði nhfn starfsskilyrði
  
nhfn nheo nhfn
  
starfsskilyrði nhfn starfsskilyrði
  
við ao við
  
ao sng ao
  
við ao við
  
framleiðslu nveþ framleiðsla
  
nveþ nhen nveþ
  
framleiðsla nven framleiðsla
  
og c og
  
c x c
  
og c og
  
vinnslu nvee vinnsla
  
nvee sng nvee
  
vinnsla nven vinnsla
  
búvara nven búvara
  
nven nkeog nven
  
búvara nven búvara
  
ásamt aþ ásamt
  
aþ nhen aþ
  
ásamt aþ ásamt
  
stuðningi nkeþ stuðningur
  
nkeþ nhen nkeþ
  
stuðningur nken stuðningur
  
ríkisins nheeg ríki
  
nheeg lvensf nheegur
  
ríki nheþ ríki
  
stuðli svg3en stuðla
  
svg3en nkeog svg3en
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
áframhaldandi lkenof áframhaldandi
  
lkenof nhen lkenof
  
áframhaldandi lkenof áframhaldandi
  
hagræðingu nveþ hagræðing
  
nveþ nhen nveþ
  
hagræðing nven hagræðing
  
, , ,
  
, , ,
  
, , ,
  
bættri lkenvm bættur
  
lkenvm nhfþ lkenvm
  
bættur sþgken bæta
  
samkeppnishæfni nven samkeppnishæfni
  
nven nkeog nven
  
samkeppnishæfni nven samkeppnishæfni
  
og c og
  
c x c
  
og c og
  
fjölbreyttu lkfnvf fjölbreyttur
  
lkfnvf sfg3eþ lkfnvf
  
fjölbreyttur lkensf fjölbreyttur
  
framboði nheþ framboð
  
nheþ nhen nheþ
  
framboð nhen framboð
  
gæðaafurða nvfe gæðaafurð
  
nvfe sng nvfe
  
gæðaafurð nven gæðaafurð
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
sanngjörnu nveþ sanngjörna
  
nveþ nhen nveþ
  
sanngjörna nhfe sanngjörni
  
verði svg3en verða
  
svg3en nkeog svg3en
  
verða sng verða
  
, , ,
  
, , ,
  
, , ,
  
b. nheo bil
  
nheo sng nheo
  
bil nhen bil
  
tryggja sng tryggja
  
sng nven sng
  
tryggja sng tryggja
  
að cn að
  
cn e cn
  
að cn að
  
bændum nkfþ bóndi
  
nkfþ nhen nkfþ
  
bóndi nken bóndi
  
standi nheþ stand
  
nheþ nhen nheþ
  
stand nhen stand
  
til ae til
  
ae sng ae
  
til ae til
  
boða sng boða
  
sng nven sng
  
boða sng boða
  
leiðbeiningarþjónusta nven leiðbeiningarþjónusta
  
nven nkeog nven
  
leiðbeiningarþjónusta nven leiðbeiningarþjónusta
  
og c og
  
c x c
  
og c og
  
skýrsluhaldshugbúnaður nken skýrsluhaldshugbúnaður
  
nken nkeog nken
  
skýrsluhaldshugbúnaður nken skýrsluhaldshugbúnaður
  
til ae til
  
ae sng ae
  
til ae til
  
að cn að
  
cn e cn
  
að cn að
  
styðja sng styðja
  
sng nven sng
  
styðja sng styðja
  
við ao við
  
ao sng ao
  
við ao við
  
framgang nkeo framgangur
  
nkeo sng nkeo
  
framgangur nken framgangur
  
markmiða nhfe markmið
  
nhfe sng nhfe
  
markmið nhen markmið
  
samnings nkee samningur
  
nkee sng nkee
  
samningur nken samningur
  
skv. aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
3. ta 3.
  
ta nven ta
  
3 ta 3
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
, , ,
  
, , ,
  
, , ,
  
c. x c.
  
x nhen x
  
c. x c.
  
við ao við
  
ao sng ao
  
við ao við
  
búvöruframleiðsluna nveog búvöruframleiðsla
  
nveog nhen nveog
  
búvöruframleiðsla nven búvöruframleiðsla
  
sé svg3en vera
  
svg3en nkeog svg3en
  
vera sng vera
  
gætt ssg gæta
  
ssg nkeo ssgur
  
gæta sng gæta
  
sjónarmiða nhfe sjónarmið
  
nhfe sng nhfe
  
sjónarmið nhfn sjónarmið
  
um ao um
  
ao sng ao
  
um ao um
  
velferð nven velferð
  
nven nkeog nven
  
velferð nven velferð
  
dýra nhfe dýr
  
nhfe sng nhfe
  
dýr nhfo dýr
  
, , ,
  
, , ,
  
, , ,
  
heilnæmi nhen heilnæmi
  
nhen nkeog nhen
  
heilnæmi nhen heilnæmi
  
afurða nvfe afurð
  
nvfe sng nvfe
  
afurð nven afurð
  
, , ,
  
, , ,
  
, , ,
  
umhverfisvernd nven umhverfisvernd
  
nven nkeog nven
  
umhverfisvernd nven umhverfisvernd
  
og c og
  
c x c
  
og c og
  
sjálfbæra nkeo sjálfbæri
  
nkeo sng nkeo
  
sjálfbæri nken sjálfbæri
  
landnýtingu nveþ landnýting
  
nveþ nhen nveþ
  
landnýting nven landnýting
  
, , ,
  
, , ,
  
, , ,
  
d. nhee dæmi
  
nhee sng nhee
  
dæmi nhen dæmi
  
auka sng auka
  
sng nven sng
  
auka sng auka
  
vægi lkenvf vægur
  
lkenvf sfg3eþ lkenvf
  
vægur lkensf vægur
  
lífrænnar nkee lífrænnur
  
nkee sng nkee
  
lífrænnur sfg3en lífrænna
  
framleiðslu nveþ framleiðsla
  
nveþ nhen nveþ
  
framleiðsla nven framleiðsla
  
, , ,
  
, , ,
  
, , ,
  
e. sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
stuðningur nken stuðningur
  
nken nkeog nken
  
stuðningur nken stuðningur
  
ríkisins nheeg ríki
  
nheeg lvensf nheegur
  
ríki nheþ ríki
  
stuðli svg3en stuðla
  
svg3en nkeog svg3en
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
áframhaldandi lkenof áframhaldandi
  
lkenof nhen lkenof
  
áframhaldandi lkenof áframhaldandi
  
þróun nven þróun
  
nven nkeog nven
  
þróun nven þróun
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
greininni nveþg grein
  
nveþg nkeo nveþgur
  
grein nven grein
  
og c og
  
c x c
  
og c og
  
bættri lkenvm bættur
  
lkenvm nhfþ lkenvm
  
bættur sþgken bæta
  
afkomu nveo afkoma
  
nveo sng nveo
  
afkoma nven afkoma
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
, , ,
  
, , ,
  
, , ,
  
f. ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
auðvelda sng auðvelda
  
sng nven sng
  
auðvelda sng auðvelda
  
nýliðun nven nýliðun
  
nven nkeog nven
  
nýliðun nven nýliðun
  
þannig aa þannig
  
aa nkfo aur
  
þannig aa þannig
  
að cn að
  
cn e cn
  
að cn að
  
nauðsynleg lvensf nauðsynlegur
  
lvensf sfg3eþ lvensf
  
nauðsynlegur lkensf nauðsynlegur
  
kynslóðaskipti nhfn kynslóðaskipti
  
nhfn nheo nhfn
  
kynslóðaskipti nhfn kynslóðaskipti
  
geti svg3en geta
  
svg3en nkeog svg3en
  
geta sfg3fn geta
  
orðið ssg verða
  
ssg nkeo ssgur
  
verða sng verða
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
hópi nkeþ hópur
  
nkeþ nhen nkeþ
  
hópur nken hópur
  
framleiðenda nkfe framleiðandi
  
nkfe sng nkfe
  
framleiðandi lkenof framleiðandi
  
, , ,
  
, , ,
  
, , ,
  
g x g
  
x nhen x
  
g x g
  
. . .
  
. . .
  
. . .
  
tryggja sng tryggja
  
sng nven sng
  
tryggja sng tryggja
  
að cn að
  
cn e cn
  
að cn að
  
stuðningur nken stuðningur
  
nken nkeog nken
  
stuðningur nken stuðningur
  
ríkisins nheeg ríki
  
nheeg lvensf nheegur
  
ríki nheþ ríki
  
nýtist svm3fn nýta
  
svm3fn nheo svm3fn
  
nýta sng nýta
  
sem c sem
  
c x c
  
sem c sem
  
best aae vel
  
aae sng aae
  
vel aa vel
  
starfandi slg starfa
  
slg nkeo slgur
  
starfa nhfe starf
  
bændum nkfþ bóndi
  
nkfþ nhen nkfþ
  
bóndi nken bóndi
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
44. ta 44.
  
ta nven ta
  
44 ta 44
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
3. ta 3.
  
ta nven ta
  
3 ta 3
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Yfirstjórn nven yfirstjórn
  
nven nkeog nven
  
yfirstjórn nven yfirstjórn
  
og c og
  
c x c
  
og c og
  
fjárframlög nhfn fjárframlag
  
nhfn nheo nhfn
  
fjárframlag nhen fjárframlag
  
ríkisins nheeg ríki
  
nheeg lvensf nheegur
  
ríki nheþ ríki
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
hefur sfg3en hafa
  
sfg3en nkeog sfg3en
  
hafa sfg3fn hafa
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
hendi nveþ hönd
  
nveþ nhen nveþ
  
hönd nven hönd
  
yfirstjórn nven yfirstjórn
  
nven nkeog nven
  
yfirstjórn nven yfirstjórn
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
mála nhfe mál
  
nhfe sng nhfe
  
mál nhen mál
  
sem c sem
  
c x c
  
sem c sem
  
lög nhfn lag
  
nhfn nheo nhfn
  
lag nhen lag
  
þessi faven þessi
  
faven nkeog faven
  
þessi faven þessi
  
taka sng taka
  
sng nven sng
  
taka sng taka
  
til ae til
  
ae sng ae
  
til ae til
  
. . .
  
. . .
  
. . .
  
Hann fpken hann
  
fpken nkeog fpken
  
hann fpken hann
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
gera sng gera
  
sng nven sng
  
gera sng gera
  
samning nven samning
  
nven nkeog nven
  
samning nven samning
  
við ao við
  
ao sng ao
  
við ao við
  
Bændasamtök nhfn bændasamtök
  
nhfn nheo nhfn
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
til ae til
  
ae sng ae
  
til ae til
  
[ [ [
  
[ [ [
  
[ [ [
  
tíu tfhfe tíu
  
tfhfe sng tfhfe
  
tíu tfhfe tíu
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
ára nhfe ár
  
nhfe sng nhfe
  
ár nhfn ár
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
senn aa senn
  
aa nkfo aur
  
senn aa senn
  
um ao um
  
ao sng ao
  
um ao um
  
verkefni nhfn verkefni
  
nhfn nheo nhfn
  
verkefni nhfn verkefni
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
þessum fakeþ þessi
  
fakeþ nhen fakeþ
  
þessi faven þessi
  
og c og
  
c x c
  
og c og
  
framlög nhfn framlag
  
nhfn nheo nhfn
  
framlag nhen framlag
  
til ae til
  
ae sng ae
  
til ae til
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
þar aa þar
  
aa nkfo aur
  
þar aa þar
  
sem c sem
  
c x c
  
sem c sem
  
m. ae meðal
  
ae sng ae
  
meðal ae meðal
  
a. fohee annar
  
fohee sng fohee
  
annar foken annar
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
kveðið ssg kveða
  
ssg nkeo ssgur
  
kveða sng kveða
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
um ao um
  
ao sng ao
  
um ao um
  
framlög nhfn framlag
  
nhfn nheo nhfn
  
framlag nhen framlag
  
til ae til
  
ae sng ae
  
til ae til
  
Framleiðnisjóðs nkee framleiðnisjóður
  
nkee sng nkee
  
framleiðnisjóður nken framleiðnisjóður
  
landbúnaðarins nkeeg landbúnaður
  
nkeeg lvensf nkeegur
  
landbúnaður nken landbúnaður
  
vegna ae vegna
  
ae sng ae
  
vegna ae vegna
  
atvinnuuppbyggingar nvee atvinnuuppbygging
  
nvee sng nvee
  
atvinnuuppbygging nven atvinnuuppbygging
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
sveitum nvfþ sveit
  
nvfþ nhen nvfþ
  
sveit nven sveit
  
og c og
  
c x c
  
og c og
  
verkefna nhfe verkefni
  
nhfe sng nhfe
  
verkefni nhfn verkefni
  
sem c sem
  
c x c
  
sem c sem
  
stuðla sng stuðla
  
sng nven sng
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
aukinni lveþsf aukinn
  
lveþsf sfg3eþ lveþsf
  
aukinn lkensf aukinn
  
framleiðni nven framleiðni
  
nven nkeog nven
  
framleiðni nven framleiðni
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
íslenskum lkeþsf íslenskur
  
lkeþsf sfg3eþ lkeþsf
  
íslenskur lkensf íslenskur
  
landbúnaði nkeþ landbúnaður
  
nkeþ nhen nkeþ
  
landbúnaður nken landbúnaður
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Samningurinn nkeng samningur
  
nkeng lvensf nkengur
  
samningur nken samningur
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
endurskoðaður lkensf endurskoðaður
  
lkensf sfg3eþ lkensf
  
endurskoðaður lkensf endurskoðaður
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
samningstímanum nkeþg samningstími
  
nkeþg nkeo nkeþgur
  
samningstími nken samningstími
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
Búnaðarþing nhen búnaðarþing
  
nhen nkeog nhen
  
búnaðarþing nhen búnaðarþing
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
fjalla sng fjalla
  
sng nven sng
  
fjalla sng fjalla
  
um ao um
  
ao sng ao
  
um ao um
  
samning nven samning
  
nven nkeog nven
  
samning nven samning
  
[ [ [
  
[ [ [
  
[ [ [
  
ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
og c og
  
c x c
  
og c og
  
Bændasamtaka nhfe bændasamtök
  
nhfe sng nhfe
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
um ao um
  
ao sng ao
  
um ao um
  
verkefni nhfn verkefni
  
nhfn nheo nhfn
  
verkefni nhfn verkefni
  
og c og
  
c x c
  
og c og
  
fjármögnun nven fjármögnun
  
nven nkeog nven
  
fjármögnun nven fjármögnun
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Ríkissjóður nken ríkissjóður
  
nken nkeog nken
  
ríkissjóður nken ríkissjóður
  
veitir sfg3en veita
  
sfg3en nkeog sfg3en
  
veita sng veita
  
árlega aa árlega
  
aa nkfo aur
  
árlega aa árlega
  
framlög nhfn framlag
  
nhfn nheo nhfn
  
framlag nhen framlag
  
til ae til
  
ae sng ae
  
til ae til
  
verkefna nhfe verkefni
  
nhfe sng nhfe
  
verkefni nhfn verkefni
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
sviði nken sviði
  
nken nkeog nken
  
sviði nken sviði
  
kynbóta nvfe kynbóta
  
nvfe sng nvfe
  
kynbóta nvfe kynbóta
  
, , ,
  
, , ,
  
, , ,
  
þróunar nvee þróun
  
nvee sng nvee
  
þróun nven þróun
  
, , ,
  
, , ,
  
, , ,
  
jarðabóta nvfe jarðabóta
  
nvfe sng nvfe
  
jarðabóta nvfe jarðabóta
  
, , ,
  
, , ,
  
, , ,
  
landgreiðslna nvfe landgreiðsln
  
nvfe sng nvfe
  
landgreiðsln nkeog landgreiðsln
  
, , ,
  
, , ,
  
, , ,
  
nýliðunar nvfn nýliðunar
  
nvfn nheo nvfn
  
nýliðunar nvfn nýliðunar
  
, , ,
  
, , ,
  
, , ,
  
lífrænnar nkee lífrænnur
  
nkee sng nkee
  
lífrænnur sfg3en lífrænna
  
framleiðslu nveþ framleiðsla
  
nveþ nhen nveþ
  
framleiðsla nven framleiðsla
  
, , ,
  
, , ,
  
, , ,
  
varðveislu nveþ varðveisla
  
nveþ nhen nveþ
  
varðveisla nven varðveisla
  
búfjárstofna nkfo búfjárstofn
  
nkfo sng nkfo
  
búfjárstofn nken búfjárstofn
  
, , ,
  
, , ,
  
, , ,
  
átaksverkefna nhfe átaksverkefni
  
nhfe sng nhfe
  
átaksverkefni nhfn átaksverkefni
  
og c og
  
c x c
  
og c og
  
leiðbeiningarstarfsemi nven leiðbeiningarstarfsemi
  
nven nkeog nven
  
leiðbeiningarstarfsemi nven leiðbeiningarstarfsemi
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
þessum fakeþ þessi
  
fakeþ nhen fakeþ
  
þessi faven þessi
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
Bændasamtök nhfn bændasamtök
  
nhfn nheo nhfn
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
hafa sfg3fn hafa
  
sfg3fn nheo sfg3fn
  
hafa sfg3fn hafa
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
hendi nveþ hönd
  
nveþ nhen nveþ
  
hönd nven hönd
  
faglega lveosf faglegur
  
lveosf sfg3eþ lveosf
  
faglegur lkensf faglegur
  
og c og
  
c x c
  
og c og
  
fjárhagslega aa fjárhagslega
  
aa nkfo aur
  
fjárhagslega aa fjárhagslega
  
umsjón nven umsjón
  
nven nkeog nven
  
umsjón nven umsjón
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
verkefna nhfe verkefni
  
nhfe sng nhfe
  
verkefni nhfn verkefni
  
sem c sem
  
c x c
  
sem c sem
  
svo aa svo
  
aa nkfo aur
  
svo aa svo
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
samið ssg semja
  
ssg nkeo ssgur
  
semja sng semja
  
um ao um
  
ao sng ao
  
um ao um
  
skv. aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
mgr. nven málsgrein
  
nven nkeog nven
  
málsgrein nven málsgrein
  
og c og
  
c x c
  
og c og
  
fjárveiting nven fjárveiting
  
nven nkeog nven
  
fjárveiting nven fjárveiting
  
heimilar sfg3en heimila
  
sfg3en nkeog sfg3en
  
heimila nhfe heimili
  
og c og
  
c x c
  
og c og
  
annast snm anna
  
snm nhfþ snm
  
anna nvfe önn
  
framkvæmd nven framkvæmd
  
nven nkeog nven
  
framkvæmd nven framkvæmd
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
nema c nema
  
c x c
  
nema c nema
  
öðruvísi aa öðruvísi
  
aa nkfo aur
  
öðruvísi aa öðruvísi
  
sé svg3en vera
  
svg3en nkeog svg3en
  
vera sng vera
  
um ao um
  
ao sng ao
  
um ao um
  
samið ssg semja
  
ssg nkeo ssgur
  
semja sng semja
  
eða c eða
  
c x c
  
eða c eða
  
ákveðið ssg ákveða
  
ssg nkeo ssgur
  
ákveða sng ákveða
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
, , ,
  
, , ,
  
, , ,
  
enda c enda
  
c x c
  
enda c enda
  
sé svg3en vera
  
svg3en nkeog svg3en
  
vera sng vera
  
skipulag nhen skipulag
  
nhen nkeog nhen
  
skipulag nhen skipulag
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
og c og
  
c x c
  
og c og
  
starfsreglur nvfn starfsregla
  
nvfn nheo nvfn
  
starfsregla nven starfsregla
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
samræmi nhen samræmi
  
nhen nkeog nhen
  
samræmi nhen samræmi
  
við ao við
  
ao sng ao
  
við ao við
  
ákvæði nhfn ákvæði
  
nhfn nheo nhfn
  
ákvæði nhfn ákvæði
  
laganna nhfeg lag
  
nhfeg lvensf nhfegur
  
lag nhen lag
  
. . .
  
. . .
  
